OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2008112104,2,1
2008112105,4,2
2008112106,4,3
2008112107,2,4
2008112120,4,1
2008112121,4,2
2008112122,4,3
2008112123,2,4
2008112201,1,1
2008112209,1,1
2008120201,2,1
2008120202,4,2
2008120203,4,3
2008120204,4,4
2008120205,4,5
2008120206,4,6
2008120207,4,7
2008120208,4,8
2008120209,4,9
2008120210,4,10
2008120211,4,11
2008120212,4,12
2008120213,4,13
2008120214,4,14
2008120215,4,15
2008120216,2,16
2008120217,4,17
2008120218,3,18
2008120606,1,1
2008120615,3,1
2008120616,2,2
2008120617,3,3
2008120618,4,4
2008120619,4,5
2008120620,4,6
2008120621,2,7
2008120622,2,8
2008120623,1,9
2008120719,2,1
2008120721,1,1
2008121001,1,1
2008121002,4,2
2008121005,1,1
2008121006,4,2
2008121017,2,1
2008121018,1,2
2008121019,2,3
2008121020,4,4
2008121021,4,5
2008121022,4,6
2008122921,1,1
2008122923,2,1
2008123000,2,2
2008123001,4,3
2008123002,2,4
2008123104,4,1
2008123105,4,2
2008123106,4,3
2008123107,3,4
2008123108,3,5
2008123109,4,6
2008123110,4,7
2008123111,4,8
2008123112,4,9
2008123113,4,10
2008123114,4,11
2008123115,4,12
2008123116,4,13
2008123117,4,14
2008123118,4,15
2008123119,4,16
2008123120,4,17
2008123121,4,18
2008123122,4,19
2008123123,4,20
2009010100,2,21
2009010212,3,1
2009010213,3,2
2009010214,3,3
2009010505,1,1
2009010506,4,2
2009010507,4,3
2009010508,4,4
2009010509,4,5
2009010510,4,6
2009010511,4,7
2009010512,4,8
2009010513,4,9
2009010514,4,10
2009010515,3,11
2009011418,3,1
2009011617,1,1
2009011618,4,2
2009011619,2,3
2009011620,4,4
2009011621,4,5
2009011622,4,6
2009011711,2,1
2009011802,1,1
2009011803,1,2
2009011804,4,3
2009011805,4,4
2009011806,4,5
2009011807,4,6
2009011808,4,7
2009011809,4,8
2009011810,4,9
2009011811,4,10
2009011812,4,11
2009011813,4,12
2009011814,4,13
2009011815,4,14
2009011816,4,15
