MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,22,4.55
0102,2,22,9.09
0103,1,22,4.55
0104,2,22,9.09
0105,1,22,4.55
0106,0,22,0.00
0107,1,22,4.55
0108,2,22,9.09
0109,2,22,9.09
0110,0,22,0.00
0111,3,22,13.64
0112,2,22,9.09
0113,0,22,0.00
0114,0,22,0.00
0115,1,22,4.55
0116,3,21,14.29
0117,2,22,9.09
0118,1,22,4.55
0119,1,22,4.55
0120,1,22,4.55
0121,0,22,0.00
0122,3,22,13.64
0123,2,22,9.09
0124,1,22,4.55
0125,1,22,4.55
0126,2,22,9.09
0127,3,22,13.64
0128,3,22,13.64
0129,1,22,4.55
0130,0,22,0.00
0131,1,22,4.55
0201,0,22,0.00
0202,1,22,4.55
0203,5,22,22.73
0204,1,22,4.55
0205,2,21,9.52
0206,2,22,9.09
0207,3,22,13.64
0208,4,22,18.18
0209,3,22,13.64
0210,3,21,14.29
0211,0,21,0.00
0212,1,22,4.55
0213,1,22,4.55
0214,2,22,9.09
0215,2,21,9.52
0216,3,22,13.64
0217,4,22,18.18
0218,3,22,13.64
0219,3,22,13.64
0220,3,22,13.64
0221,1,20,5.00
0222,2,21,9.52
0223,3,21,14.29
0224,2,21,9.52
0225,3,21,14.29
0226,4,21,19.05
0227,4,21,19.05
0228,1,20,5.00
0229,1,5,20.00
0301,4,21,19.05
0302,4,21,19.05
0303,2,21,9.52
0304,3,20,15.00
0305,2,19,10.53
0306,3,20,15.00
0307,4,19,21.05
0308,4,19,21.05
0309,3,19,15.79
0310,1,20,5.00
0311,3,20,15.00
0312,0,20,0.00
0313,2,18,11.11
0314,3,19,15.79
0315,3,20,15.00
0316,2,20,10.00
0317,6,20,30.00
0318,3,20,15.00
0319,2,20,10.00
0320,0,20,0.00
0321,4,20,20.00
0322,6,20,30.00
0323,4,20,20.00
0324,5,20,25.00
0325,2,20,10.00
0326,7,20,35.00
0327,3,20,15.00
0328,5,20,25.00
0329,3,20,15.00
0330,3,20,15.00
0331,7,20,35.00
0401,5,20,25.00
0402,3,20,15.00
0403,6,21,28.57
0404,2,21,9.52
0405,4,21,19.05
0406,4,21,19.05
0407,6,21,28.57
0408,5,21,23.81
0409,4,21,19.05
0410,6,21,28.57
0411,4,21,19.05
0412,4,21,19.05
0413,8,21,38.10
0414,11,21,52.38
0415,4,21,19.05
0416,6,21,28.57
0417,5,21,23.81
0418,4,21,19.05
0419,3,21,14.29
0420,2,21,9.52
0421,0,20,0.00
0422,6,21,28.57
0423,6,21,28.57
0424,6,20,30.00
0425,2,21,9.52
0426,5,21,23.81
0427,7,21,33.33
0428,7,21,33.33
0429,5,21,23.81
0430,5,21,23.81
0501,3,21,14.29
0502,2,21,9.52
0503,3,21,14.29
0504,3,21,14.29
0505,5,21,23.81
0506,3,21,14.29
0507,3,21,14.29
0508,1,21,4.76
0509,0,21,0.00
0510,2,22,9.09
0511,2,22,9.09
0512,6,22,27.27
0513,3,22,13.64
0514,1,22,4.55
0515,3,22,13.64
0516,3,22,13.64
0517,4,22,18.18
0518,3,22,13.64
