MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,22,4.55
0102,1,22,4.55
0103,2,22,9.09
0104,1,22,4.55
0105,1,21,4.76
0106,1,21,4.76
0107,0,21,0.00
0108,1,21,4.76
0109,0,21,0.00
0110,0,21,0.00
0111,2,21,9.52
0112,1,21,4.76
0113,1,21,4.76
0114,1,21,4.76
0115,2,21,9.52
0116,1,20,5.00
0117,2,21,9.52
0118,1,21,4.76
0119,0,21,0.00
0120,0,21,0.00
0121,0,21,0.00
0122,0,21,0.00
0123,0,21,0.00
0124,0,21,0.00
0125,0,21,0.00
0126,1,21,4.76
0127,1,21,4.76
0128,0,21,0.00
0129,0,21,0.00
0130,1,21,4.76
0131,1,21,4.76
0201,0,21,0.00
0202,2,21,9.52
0203,2,21,9.52
0204,1,21,4.76
0205,1,20,5.00
0206,1,21,4.76
0207,2,21,9.52
0208,3,21,14.29
0209,1,21,4.76
0210,1,20,5.00
0211,0,20,0.00
0212,2,21,9.52
0213,2,21,9.52
0214,3,21,14.29
0215,2,20,10.00
0216,3,21,14.29
0217,1,21,4.76
0218,5,21,23.81
0219,3,21,14.29
0220,3,21,14.29
0221,1,19,5.26
0222,2,20,10.00
0223,3,20,15.00
0224,3,20,15.00
0225,3,20,15.00
0226,4,20,20.00
0227,4,20,20.00
0228,3,19,15.79
0229,1,5,20.00
0301,3,20,15.00
0302,3,20,15.00
0303,3,20,15.00
0304,4,19,21.05
0305,6,19,31.58
0306,8,20,40.00
0307,4,19,21.05
0308,4,19,21.05
0309,5,19,26.32
0310,5,20,25.00
0311,5,20,25.00
0312,6,20,30.00
0313,5,18,27.78
0314,10,19,52.63
0315,8,20,40.00
0316,9,20,45.00
0317,10,20,50.00
0318,7,20,35.00
0319,8,20,40.00
0320,10,20,50.00
0321,11,20,55.00
0322,12,20,60.00
0323,6,20,30.00
0324,6,20,30.00
0325,8,20,40.00
0326,10,20,50.00
0327,8,20,40.00
0328,11,20,55.00
0329,6,20,30.00
0330,7,20,35.00
0331,7,20,35.00
0401,11,20,55.00
0402,7,20,35.00
0403,11,21,52.38
0404,14,21,66.67
0405,11,21,52.38
0406,8,21,38.10
0407,9,21,42.86
0408,12,21,57.14
0409,10,21,47.62
0410,7,21,33.33
0411,11,21,52.38
0412,13,21,61.90
0413,14,21,66.67
0414,13,21,61.90
0415,11,21,52.38
0416,10,21,47.62
0417,10,21,47.62
0418,12,21,57.14
0419,8,21,38.10
0420,10,21,47.62
0421,10,20,50.00
0422,10,21,47.62
0423,12,21,57.14
0424,10,20,50.00
0425,10,21,47.62
0426,11,21,52.38
0427,8,21,38.10
0428,13,21,61.90
0429,11,21,52.38
0430,10,21,47.62
0501,11,21,52.38
0502,10,21,47.62
0503,14,21,66.67
0504,14,21,66.67
0505,15,21,71.43
0506,14,21,66.67
0507,12,21,57.14
0508,11,21,52.38
0509,9,21,42.86
0510,11,22,50.00
0511,10,22,45.45
0512,14,22,63.64
0513,15,22,68.18
0514,16,22,72.73
0515,16,22,72.73
0516,15,22,68.18
0517,13,22,59.09
0518,12,22,54.55
0519,12,22,54.55
0520,11,22,50.00
0521,15,22,68.18
0522,11,22,50.00
0523,9,21,42.86
0524,9,22,40.91
0525,11,22,50.00
0526,16,22,72.73
0527,12,22,54.55
0528,13,22,59.09
0529,15,22,68.18
0530,15,22,68.18
0531,19,22,86.36
0601,17,22,77.27
0602,16,22,72.73
0603,14,22,63.64
0604,17,22,77.27
0605,18,22,81.82
0606,19,22,86.36
0607,16,22,72.73
0608,17,22,77.27
0609,16,22,72.73
0610,16,22,72.73
0611,16,22,72.73
0612,16,22,72.73
0613,17,22,77.27
0614,17,22,77.27
0615,19,22,86.36
0616,19,22,86.36
0617,19,22,86.36
0618,17,22,77.27
0619,20,22,90.91
0620,21,22,95.45
0621,20,22,90.91
0622,20,22,90.91
0623,19,22,86.36
0624,20,22,90.91
0625,20,22,90.91
0626,19,22,86.36
0627,19,22,86.36
0628,22,22,100.00
0629,19,22,86.36
0630,19,22,86.36
0701,22,22,100.00
0702,21,22,95.45
0703,20,22,90.91
0704,20,21,95.24
0705,19,22,86.36
0706,19,22,86.36
