OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1998073121,1,1
1998073122,1,2
1998073123,1,3
1998080900,1,1
1998081800,1,1
1998081806,1,1
1998082320,1,1
1998091822,1,1
1998091823,1,2
1998100423,1,1
1998101022,1,1
1998101321,1,1
1998102123,1,1
1998102509,1,1
1998103003,1,1
1998111719,1,1
1998111720,1,2
1998112406,1,1
1998112407,1,2
1998112408,1,3
1998112411,1,1
1998112412,1,2
1998120408,1,1
1998120409,1,2
1998120410,1,3
1998120411,1,4
1998120412,1,5
1998120413,1,6
1998120415,1,1
1999010722,1,1
1999012320,1,1
1999012321,1,2
1999012322,1,3
1999012323,1,4
1999020914,1,1
1999020916,1,1
1999020920,1,1
1999020921,1,2
1999020922,1,3
1999020923,1,4
1999021000,1,5
1999021001,1,6
1999021004,1,1
1999021009,1,1
1999021010,1,2
1999021720,1,1
1999021721,1,2
1999021722,1,3
1999021723,1,4
1999021910,1,1
1999021911,1,2
1999021912,1,3
1999041321,1,1
1999041322,1,2
1999041405,1,1
1999041419,1,1
1999041420,1,2
1999041421,1,3
1999041422,1,4
1999041423,1,5
1999041521,1,1
1999041600,1,1
1999042809,1,1
1999042913,1,1
1999050221,1,1
1999050422,1,1
1999051922,1,1
1999052622,1,1
1999052623,1,2
1999053019,1,1
1999053020,1,2
1999060304,1,1
1999060305,1,2
1999060316,1,1
1999061017,1,1
1999061102,1,1
1999061905,1,1
1999062122,1,1
1999062503,1,1
1999070221,1,1
1999070222,1,2
1999070223,1,3
1999070300,1,4
1999070301,1,5
1999070302,1,6
1999070303,1,7
1999070304,1,8
1999070308,1,1
1999070309,1,2
1999070318,1,1
1999070319,1,2
1999070320,1,3
1999070321,1,4
1999070400,1,1
1999070401,1,2
1999070402,1,3
1999070403,1,4
1999070404,1,5
1999070405,1,6
1999070417,1,1
1999070418,1,2
1999070419,1,3
1999070420,1,4
1999070421,1,5
1999070422,1,6
1999070423,1,7
1999071400,1,1
1999071904,1,1
1999072421,1,1
1999072422,1,2
1999080710,1,1
1999081400,1,1
1999081401,1,2
1999081417,1,1
1999081418,1,2
1999081419,1,3
1999081420,1,4
1999081421,1,5
1999081422,1,6
1999081423,1,7
1999081500,1,8
1999081501,1,9
1999081502,1,10
1999081503,1,11
1999081506,1,1
1999083019,1,1
1999083020,1,2
1999083021,1,3
1999083107,1,1
1999083109,1,1
1999090117,1,1
1999090118,1,2
1999090119,1,3
1999090121,1,1
1999090206,1,1
1999090218,1,1
1999090317,1,1
1999090604,1,1
1999090605,1,2
1999090606,1,3
1999090607,1,4
1999092605,1,1
1999092606,1,2
1999092617,1,1
1999100119,1,1
1999100121,1,1
1999100122,1,2
1999100700,1,1
1999100722,1,1
1999100723,1,2
1999100800,1,3
1999100801,1,4
1999101606,1,1
1999101622,1,1
1999101623,1,2
1999102816,1,1
1999102901,1,1
1999102902,1,2
1999102903,1,3
1999102904,1,4
1999102906,1,1
1999110710,1,1
1999110711,1,2
1999111722,1,1
1999111723,1,2
1999113017,1,1
1999113022,1,1
1999120119,1,1
1999120307,1,1
1999120309,1,1
1999120313,1,1
1999121319,1,1
1999121322,1,1
1999121400,1,1
1999121404,1,1
1999121817,1,1
1999121823,1,1
1999121905,1,1
2000010907,1,1
2000011201,1,1
2000011202,1,2
2000012623,1,1
2000021500,1,1
2000021502,1,1
2000022413,1,1
2000031514,1,1
2000031517,1,1
2000031709,1,1
2000031713,1,1
2000032002,1,1
2000032322,1,1
2000033121,1,1
2000040705,1,1
2000040706,1,2
2000041319,1,1
2000041320,1,2
2000041322,1,1
2000041323,1,2
2000041400,1,3
2000041401,1,4
2000041402,1,5
2000041403,1,6
2000041815,1,1
2000041816,1,2
2000041823,1,1
2000041900,1,2
2000042818,1,1
2000042819,1,2
