OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1998073002,1,1
1998073011,1,1
1998073023,1,1
1998073102,1,1
1998073103,1,2
1998073104,1,3
1998073105,1,4
1998073106,1,5
1998073107,1,6
1998073108,1,7
1998073109,1,8
1998073110,1,9
1998073111,1,10
1998073112,1,11
1998073113,1,12
1998073114,1,13
1998073117,1,1
1998073118,1,2
1998073119,1,3
1998073120,1,4
1998073121,1,5
1998073122,1,6
1998073123,1,7
1998080100,1,8
1998080101,1,9
1998080220,1,1
1998080221,1,2
1998080222,1,3
1998080223,1,4
1998080300,1,5
1998080320,1,1
1998080321,1,2
1998080322,1,3
1998080323,1,4
1998080400,1,5
1998080401,1,6
1998080410,1,1
1998080506,1,1
1998080705,1,1
1998080706,1,2
1998080707,1,3
1998080708,1,4
1998080709,1,5
1998080710,1,6
1998080711,1,7
1998080712,1,8
1998080800,1,1
1998080801,1,2
1998080900,1,1
1998080901,1,2
1998080902,1,3
1998080909,1,1
1998080911,1,1
1998080912,1,2
1998080913,1,3
1998080914,1,4
1998081011,1,1
1998081014,1,1
1998081015,1,2
1998081105,1,1
1998081210,1,1
1998081705,1,1
1998081706,1,2
1998081707,1,3
1998081721,1,1
1998081722,1,2
1998081800,1,1
1998081801,1,2
1998081805,1,1
1998081806,1,2
1998081807,1,3
1998081808,1,4
1998081902,1,1
1998081917,1,1
1998082004,1,1
1998082005,1,2
1998082006,1,3
1998082007,1,4
1998082008,1,5
1998082023,1,1
1998082103,1,1
1998082104,1,2
1998082204,1,1
1998082205,1,2
1998082206,1,3
1998082207,1,4
1998082208,1,5
1998082209,1,6
1998082210,1,7
1998082211,1,8
1998082212,1,9
1998082219,1,1
1998082220,1,2
1998082221,1,3
1998082304,1,1
1998082305,1,2
1998082306,1,3
1998082319,1,1
1998082320,1,2
1998082321,1,3
1998082322,1,4
1998082323,1,5
1998082400,1,6
1998082401,1,7
1998082520,1,1
1998082521,1,2
1998082604,1,1
1998082605,1,2
1998082606,1,3
1998082608,1,1
1998082609,1,2
1998082613,1,1
1998082623,1,1
1998082700,1,2
1998082704,1,1
1998082706,1,1
1998082707,1,2
1998082709,1,1
1998082710,1,2
1998082711,1,3
1998082908,1,1
1998083004,1,1
1998083005,1,2
1998083006,1,3
1998083007,1,4
1998083008,1,5
1998083009,1,6
1998083010,1,7
1998083011,1,8
1998083012,1,9
1998083013,1,10
1998083103,1,1
1998090310,1,1
1998090617,1,1
1998090821,1,1
1998090822,1,2
1998090902,1,1
1998090903,1,2
1998090904,1,3
1998090919,1,1
1998090920,1,2
1998090921,1,3
1998090922,1,4
1998091002,1,1
1998091003,1,2
1998091004,1,3
1998091011,1,1
1998091101,1,1
1998091106,1,1
1998091221,1,1
1998091222,1,2
1998091223,1,3
1998091300,1,4
1998091514,1,1
1998091612,1,1
1998091613,1,2
1998091614,1,3
1998091704,1,1
1998091706,1,1
1998091707,1,2
1998091708,1,3
1998091709,1,4
1998091710,1,5
1998091711,1,6
1998091712,1,7
1998091713,1,8
1998091811,1,1
1998091817,1,1
1998091818,1,2
1998091819,1,3
1998091820,1,4
1998091821,1,5
1998091822,1,6
1998091823,1,7
1998091900,1,8
1998091901,1,9
1998091902,1,10
1998091903,1,11
1998091904,1,12
1998091906,1,1
1998092123,1,1
1998092200,1,2
1998092323,1,1
1998092709,1,1
1998092710,1,2
1998092712,1,1
1998092809,1,1
1998092810,1,2
1998092811,1,3
1998092812,1,4
1998092814,1,1
1998092903,1,1
1998092905,1,1
1998092907,1,1
1998092913,1,1
1998092918,1,1
1998093002,1,1
1998093004,1,1
1998093006,1,1
1998093007,1,2
1998093008,1,3
1998093019,1,1
1998100201,1,1
1998100312,1,1
1998100400,1,1
1998100411,1,1
1998100418,1,1
1998100421,1,1
1998100422,1,2
1998100423,1,3
1998100500,1,4
1998100520,1,1
1998100521,1,2
1998100522,1,3
1998100821,1,1
1998101021,1,1
1998101022,1,2
1998101023,1,3
1998101100,1,4
1998101112,1,1
1998101303,1,1
1998101304,1,2
1998101305,1,3
1998101306,1,4
1998101307,1,5
1998101308,1,6
1998101309,1,7
1998101310,1,8
1998101311,1,9
1998101312,1,10
1998101319,1,1
1998101320,1,2
1998101321,1,3
1998101322,1,4
1998101517,1,1
1998101518,1,2
1998101519,1,3
1998101520,1,4
1998101521,1,5
1998101619,1,1
1998101620,1,2
1998101621,1,3
1998101622,1,4
1998101623,1,5
1998102106,1,1
1998102111,1,1
1998102115,1,1
1998102123,1,1
1998102200,1,2
1998102409,1,1
1998102506,1,1
1998102507,1,2
1998102508,1,3
1998102509,1,4
1998102510,1,5
1998102511,1,6
1998102512,1,7
1998102513,1,8
1998102514,1,9
1998102515,1,10
1998102705,1,1
1998103003,1,1
1998110602,1,1
1998110720,1,1
1998110721,1,2
1998110801,1,1
1998110802,1,2
1998110805,1,1
1998110806,1,2
1998110808,1,1
1998110809,1,2
1998110811,1,1
1998110812,1,2
1998110919,1,1
1998110922,1,1
1998111106,1,1
1998111107,1,2
1998111108,1,3
1998111505,1,1
1998111717,1,1
1998111718,1,2
1998111719,1,3
1998111720,1,4
1998111721,1,5
1998111722,1,6
1998111723,1,7
1998111800,1,8
1998111805,1,1
1998111818,1,1
1998112117,1,1
1998112118,1,2
1998112119,1,3
1998112202,1,1
1998112205,1,1
1998112207,1,1
1998112208,1,2
1998112209,1,3
1998112210,1,4
1998112211,1,5
1998112212,1,6
1998112213,1,7
1998112216,1,1
1998112217,1,2
1998112218,1,3
1998112320,1,1
1998112321,1,2
1998112322,1,3
1998112402,1,1
1998112403,1,2
1998112404,1,3
1998112405,1,4
1998112406,1,5
1998112407,1,6
1998112408,1,7
1998112409,1,8
1998112410,1,9
1998112411,1,10
1998112412,1,11
1998112413,1,12
1998112418,1,1
1998112419,1,2
1998112421,1,1
1998112608,1,1
1998112609,1,2
1998112610,1,3
1998112611,1,4
1998112614,1,1
1998112809,1,1
1998112812,1,1
1998112817,1,1
1998113020,1,1
1998113021,1,2
1998113022,1,3
1998120323,1,1
1998120400,1,2
1998120401,1,3
1998120402,1,4
1998120405,1,1
1998120406,1,2
1998120407,1,3
1998120408,1,4
1998120409,1,5
1998120410,1,6
1998120411,1,7
1998120412,1,8
1998120413,1,9
1998120414,1,10
1998120415,1,11
1998120416,1,12
1998120417,1,13
1998120420,1,1
1998120421,1,2
1998120908,1,1
1998120923,1,1
1998121818,1,1
1998121819,1,2
1998121820,1,3
1998121822,1,1
1998121823,1,2
1998122701,1,1
1998122702,1,2
1998123121,1,1
1999010111,1,1
1999010112,1,2
1999010719,1,1
1999010720,1,2
1999010721,1,3
1999010722,1,4
1999010723,1,5
1999010800,1,6
1999010811,1,1
1999011212,1,1
1999011213,1,2
1999011515,1,1
1999011609,1,1
1999011610,1,2
1999011616,1,1
1999011703,1,1
1999011923,1,1
1999012014,1,1
1999012015,1,2
1999012016,1,3
1999012104,1,1
1999012109,1,1
1999012112,1,1
1999012113,1,2
1999012114,1,3
1999012119,1,1
1999012120,1,2
1999012121,1,3
1999012200,1,1
1999012201,1,2
1999012202,1,3
1999012306,1,1
1999012318,1,1
1999012319,1,2
1999012320,1,3
1999012321,1,4
1999012322,1,5
1999012323,1,6
1999012400,1,7
1999012401,1,8
1999012402,1,9
1999012612,1,1
1999012616,1,1
1999012617,1,2
1999012618,1,3
1999012619,1,4
1999012620,1,5
1999012621,1,6
1999013106,1,1
1999013114,1,1
1999013116,1,1
1999013117,1,2
1999020118,1,1
1999020119,1,2
1999020318,1,1
1999020404,1,1
1999020405,1,2
1999020406,1,3
1999020407,1,4
1999020408,1,5
1999020423,1,1
1999020502,1,1
1999020622,1,1
1999020702,1,1
1999020703,1,2
1999020704,1,3
1999020705,1,4
1999020706,1,5
1999020707,1,6
1999020708,1,7
1999020709,1,8
1999020710,1,9
1999020711,1,10
1999020712,1,11
1999020713,1,12
1999020714,1,13
1999020715,1,14
1999020717,1,1
1999020718,1,2
1999020719,1,3
1999020720,1,4
1999020721,1,5
1999020723,1,1
1999020803,1,1
1999020805,1,1
1999020807,1,1
1999020808,1,2
1999020811,1,1
1999020822,1,1
1999020913,1,1
1999020914,1,2
1999020915,1,3
1999020916,1,4
1999020917,1,5
1999020918,1,6
1999020919,1,7
1999020920,1,8
1999020921,1,9
1999020922,1,10
1999020923,1,11
1999021000,1,12
1999021001,1,13
1999021002,1,14
1999021003,1,15
1999021004,1,16
1999021005,1,17
1999021006,1,18
1999021007,1,19
1999021008,1,20
1999021009,1,21
1999021010,1,22
1999021011,1,23
1999021012,1,24
1999021013,1,25
1999021014,1,26
1999021015,1,27
1999021016,1,28
1999021017,1,29
1999021018,1,30
1999021020,1,1
1999021021,1,2
1999021022,1,3
1999021103,1,1
1999021104,1,2
1999021105,1,3
1999021106,1,4
1999021107,1,5
1999021414,1,1
1999021712,1,1
1999021713,1,2
1999021720,1,1
1999021721,1,2
1999021722,1,3
1999021723,1,4
1999021800,1,5
1999021801,1,6
1999021802,1,7
1999021803,1,8
1999021804,1,9
1999021903,1,1
1999021910,1,1
1999021911,1,2
1999021912,1,3
1999021913,1,4
1999021914,1,5
1999021918,1,1
1999021919,1,2
1999021920,1,3
1999021921,1,4
1999021922,1,5
1999021923,1,6
1999022000,1,7
1999022001,1,8
1999040322,1,1
1999040323,1,2
1999040501,1,1
1999040516,1,1
1999040517,1,2
1999040518,1,3
1999040519,1,4
1999040520,1,5
1999040601,1,1
1999040602,1,2
1999040603,1,3
1999040604,1,4
1999040605,1,5
1999040607,1,1
1999040620,1,1
1999040622,1,1
1999040623,1,2
1999040703,1,1
1999040704,1,2
1999040705,1,3
1999040706,1,4
1999040707,1,5
1999040708,1,6
1999040709,1,7
1999040710,1,8
1999040723,1,1
1999040801,1,1
1999040802,1,2
1999040803,1,3
1999040904,1,1
1999040905,1,2
1999040909,1,1
1999040910,1,2
1999040911,1,3
1999040913,1,1
1999040917,1,1
1999040918,1,2
1999040919,1,3
1999040920,1,4
1999040921,1,5
1999040922,1,6
1999040923,1,7
1999041000,1,8
1999041001,1,9
1999041002,1,10
1999041003,1,11
1999041004,1,12
1999041005,1,13
1999041109,1,1
1999041318,1,1
1999041319,1,2
1999041320,1,3
1999041321,1,4
1999041322,1,5
1999041323,1,6
1999041400,1,7
1999041401,1,8
1999041402,1,9
1999041404,1,1
1999041405,1,2
1999041406,1,3
1999041407,1,4
1999041417,1,1
1999041418,1,2
1999041419,1,3
1999041420,1,4
1999041421,1,5
1999041422,1,6
1999041423,1,7
1999041500,1,8
1999041501,1,9
1999041502,1,10
1999041519,1,1
1999041520,1,2
1999041521,1,3
1999041522,1,4
1999041523,1,5
1999041600,1,6
1999041601,1,7
1999041602,1,8
1999041620,1,1
1999041621,1,2
1999041622,1,3
1999041623,1,4
1999041700,1,5
1999041701,1,6
1999041702,1,7
1999041805,1,1
1999041806,1,2
1999041809,1,1
1999041810,1,2
1999041812,1,1
1999041904,1,1
1999041905,1,2
1999041906,1,3
1999041907,1,4
1999041908,1,5
1999041909,1,6
1999041911,1,1
1999042021,1,1
1999042219,1,1
1999042220,1,2
1999042221,1,3
1999042222,1,4
1999042223,1,5
1999042300,1,6
1999042323,1,1
1999042411,1,1
1999042415,1,1
1999042416,1,2
1999042502,1,1
1999042509,1,1
1999042723,1,1
1999042808,1,1
1999042809,1,2
1999042810,1,3
1999042812,1,1
1999042813,1,2
1999042814,1,3
1999042815,1,4
1999042816,1,5
1999042817,1,6
1999042823,1,1
1999042900,1,2
1999042901,1,3
1999042912,1,1
1999042913,1,2
1999042914,1,3
1999042915,1,4
1999042920,1,1
1999042922,1,1
1999043004,1,1
1999043005,1,2
1999043006,1,3
1999043013,1,1
1999043014,1,2
1999050122,1,1
1999050220,1,1
1999050221,1,2
1999050222,1,3
1999050223,1,4
1999050300,1,5
1999050400,1,1
1999050420,1,1
1999050421,1,2
1999050422,1,3
1999050423,1,4
1999050500,1,5
1999050501,1,6
1999050504,1,1
1999050505,1,2
1999050506,1,3
1999050507,1,4
1999050521,1,1
1999050522,1,2
1999050523,1,3
1999050600,1,4
1999050601,1,5
1999050705,1,1
1999050706,1,2
1999050707,1,3
1999050708,1,4
1999050709,1,5
1999050710,1,6
1999050711,1,7
1999050713,1,1
1999050804,1,1
1999050805,1,2
1999050806,1,3
1999050820,1,1
1999050821,1,2
1999050906,1,1
1999050907,1,2
1999050909,1,1
1999050910,1,2
1999050912,1,1
1999051001,1,1
1999051006,1,1
1999051009,1,1
1999051019,1,1
1999051020,1,2
1999051021,1,3
1999051022,1,4
1999051300,1,1
1999051305,1,1
1999051310,1,1
1999051311,1,2
1999051400,1,1
1999051403,1,1
1999051406,1,1
1999051408,1,1
1999051518,1,1
1999051519,1,2
1999051520,1,3
1999051805,1,1
1999051806,1,2
1999051807,1,3
1999051808,1,4
1999051809,1,5
1999051810,1,6
1999051811,1,7
1999051812,1,8
1999051813,1,9
1999051818,1,1
1999051819,1,2
1999051821,1,1
1999051822,1,2
1999051904,1,1
1999051905,1,2
1999051906,1,3
1999051907,1,4
1999051921,1,1
1999051922,1,2
1999051923,1,3
1999052004,1,1
1999052105,1,1
1999052106,1,2
1999052107,1,3
1999052305,1,1
1999052309,1,1
1999052314,1,1
1999052316,1,1
1999052319,1,1
1999052322,1,1
1999052401,1,1
1999052402,1,2
1999052403,1,3
1999052404,1,4
1999052405,1,5
1999052406,1,6
1999052407,1,7
1999052408,1,8
1999052504,1,1
1999052603,1,1
1999052604,1,2
1999052605,1,3
1999052606,1,4
1999052622,1,1
1999052623,1,2
1999052700,1,3
1999052722,1,1
1999052723,1,2
1999052901,1,1
1999052920,1,1
1999052921,1,2
1999052923,1,1
1999053000,1,2
1999053001,1,3
1999053006,1,1
1999053017,1,1
1999053019,1,1
1999053020,1,2
1999053021,1,3
1999053022,1,4
1999053023,1,5
1999053100,1,6
1999053101,1,7
1999053102,1,8
1999053103,1,9
1999053104,1,10
1999053105,1,11
1999053120,1,1
1999053121,1,2
1999053122,1,3
1999053123,1,4
1999060120,1,1
1999060121,1,2
1999060122,1,3
1999060123,1,4
1999060202,1,1
1999060203,1,2
1999060204,1,3
1999060205,1,4
1999060206,1,5
1999060207,1,6
1999060208,1,7
1999060209,1,8
1999060210,1,9
1999060211,1,10
1999060216,1,1
1999060217,1,2
1999060221,1,1
1999060223,1,1
1999060300,1,2
1999060301,1,3
1999060302,1,4
1999060303,1,5
1999060304,1,6
1999060305,1,7
1999060306,1,8
1999060307,1,9
1999060308,1,10
1999060316,1,1
1999060317,1,2
1999060502,1,1
1999060617,1,1
1999060620,1,1
1999060622,1,1
1999060702,1,1
1999060703,1,2
1999060711,1,1
1999060712,1,2
1999060718,1,1
1999060719,1,2
1999060720,1,3
1999060721,1,4
1999060722,1,5
1999060801,1,1
1999060802,1,2
1999060804,1,1
1999060805,1,2
1999060806,1,3
1999060807,1,4
1999060818,1,1
1999060819,1,2
1999060823,1,1
1999060900,1,2
1999060901,1,3
1999060903,1,1
1999060904,1,2
1999061017,1,1
1999061018,1,2
1999061019,1,3
1999061102,1,1
1999061103,1,2
1999061105,1,1
1999061106,1,2
1999061209,1,1
1999061305,1,1
1999061307,1,1
1999061308,1,2
1999061309,1,3
1999061407,1,1
1999061523,1,1
1999061600,1,2
1999061608,1,1
1999061609,1,2
1999061610,1,3
1999061611,1,4
1999061612,1,5
1999061613,1,6
1999061614,1,7
1999061623,1,1
1999061701,1,1
1999061705,1,1
1999061706,1,2
1999061708,1,1
1999061711,1,1
1999061712,1,2
1999061713,1,3
1999061714,1,4
1999061805,1,1
1999061810,1,1
1999061811,1,2
1999061812,1,3
1999061813,1,4
1999061904,1,1
1999061905,1,2
1999061906,1,3
1999061907,1,4
1999061908,1,5
1999061909,1,6
1999061910,1,7
1999061911,1,8
1999061912,1,9
1999061922,1,1
1999061923,1,2
1999062005,1,1
1999062006,1,2
1999062007,1,3
