OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1998073000,1,1
1998073022,1,1
1998073100,1,1
1998073101,1,2
1998073102,1,3
1998073104,1,1
1998073109,1,1
1998073110,1,2
1998073115,1,1
1998073117,1,1
1998073118,1,2
1998073119,1,3
1998073120,1,4
1998073121,1,5
1998073122,1,6
1998073123,1,7
1998080100,1,8
1998080101,1,9
1998080102,1,10
1998080104,1,1
1998080105,1,2
1998080106,1,3
1998080107,1,4
1998080108,1,5
1998080118,1,1
1998080119,1,2
1998080120,1,3
1998080121,1,4
1998080122,1,5
1998080123,1,6
1998080200,1,7
1998080201,1,8
1998080202,1,9
1998080203,1,10
1998080204,1,11
1998080220,1,1
1998080221,1,2
1998080222,1,3
1998080223,1,4
1998080300,1,5
1998080301,1,6
1998080302,1,7
1998080321,1,1
1998080322,1,2
1998080323,1,3
1998080400,1,4
1998080401,1,5
1998080418,1,1
1998080419,1,2
1998080420,1,3
1998080421,1,4
1998080422,1,5
1998080423,1,6
1998080500,1,7
1998080501,1,8
1998080502,1,9
1998080518,1,1
1998080519,1,2
1998080520,1,3
1998080521,1,4
1998080522,1,5
1998080523,1,6
1998080600,1,7
1998080601,1,8
1998080602,1,9
1998080617,1,1
1998080618,1,2
1998080619,1,3
1998080620,1,4
1998080621,1,5
1998080622,1,6
1998080623,1,7
1998080700,1,8
1998080701,1,9
1998080702,1,10
1998080703,1,11
1998080704,1,12
1998080705,1,13
1998080706,1,14
1998080707,1,15
1998080708,1,16
1998080709,1,17
1998080710,1,18
1998080711,1,19
1998080712,1,20
1998080713,1,21
1998080714,1,22
1998080715,1,23
1998080717,1,1
1998080718,1,2
1998080719,1,3
1998080720,1,4
1998080721,1,5
1998080722,1,6
1998080723,1,7
1998080800,1,8
1998080801,1,9
1998080802,1,10
1998080804,1,1
1998080805,1,2
1998080806,1,3
1998080808,1,1
1998080809,1,2
1998080810,1,3
1998080811,1,4
1998080818,1,1
1998080820,1,1
1998080821,1,2
1998080822,1,3
1998080823,1,4
1998080919,1,1
1998080920,1,2
1998080921,1,3
1998080922,1,4
1998080923,1,5
1998081000,1,6
1998081001,1,7
1998081002,1,8
1998081003,1,9
1998081004,1,10
1998081005,1,11
1998081020,1,1
1998081021,1,2
1998081022,1,3
1998081120,1,1
1998081121,1,2
1998081122,1,3
1998081123,1,4
1998081210,1,1
1998081211,1,2
1998081212,1,3
1998081219,1,1
1998081220,1,2
1998081221,1,3
1998081222,1,4
1998081223,1,5
1998081300,1,6
1998081301,1,7
1998081302,1,8
1998081303,1,9
1998081304,1,10
1998081305,1,11
1998081306,1,12
1998081314,1,1
1998081317,1,1
1998081319,1,1
1998081320,1,2
1998081321,1,3
1998081322,1,4
1998081323,1,5
1998081400,1,6
1998081401,1,7
1998081402,1,8
1998081403,1,9
1998081404,1,10
1998081405,1,11
1998081406,1,12
1998081407,1,13
1998081408,1,14
1998081409,1,15
1998081417,1,1
1998081418,1,2
1998081419,1,3
1998081420,1,4
1998081421,1,5
1998081422,1,6
1998081423,1,7
1998081500,1,8
1998081501,1,9
1998081502,1,10
1998081503,1,11
1998081504,1,12
1998081505,1,13
1998081506,1,14
1998081507,1,15
1998081508,1,16
1998081509,1,17
1998081510,1,18
1998081511,1,19
1998081512,1,20
1998081513,1,21
1998081515,1,1
1998081517,1,1
1998081518,1,2
1998081519,1,3
1998081520,1,4
1998081521,1,5
1998081522,1,6
1998081523,1,7
1998081600,1,8
1998081601,1,9
1998081602,1,10
1998081603,1,11
1998081604,1,12
1998081605,1,13
1998081606,1,14
1998081607,1,15
1998081608,1,16
1998081609,1,17
1998081610,1,18
1998081616,1,1
1998081617,1,2
1998081618,1,3
1998081619,1,4
1998081620,1,5
1998081621,1,6
1998081622,1,7
1998081623,1,8
1998081700,1,9
1998081701,1,10
1998081702,1,11
1998081718,1,1
1998081719,1,2
1998081720,1,3
1998081721,1,4
1998081722,1,5
1998081723,1,6
1998081800,1,7
1998081821,1,1
1998081822,1,2
1998081823,1,3
1998081900,1,4
1998081901,1,5
1998081902,1,6
1998081906,1,1
1998081907,1,2
1998081908,1,3
1998081909,1,4
1998081910,1,5
1998081911,1,6
1998081912,1,7
1998081913,1,8
1998081914,1,9
1998081916,1,1
1998081917,1,2
1998081918,1,3
1998081919,1,4
1998081920,1,5
1998081921,1,6
1998081922,1,7
1998081923,1,8
1998082000,1,9
1998082001,1,10
1998082002,1,11
1998082003,1,12
1998082004,1,13
1998082005,1,14
1998082006,1,15
1998082007,1,16
1998082008,1,17
1998082009,1,18
1998082010,1,19
1998082011,1,20
1998082015,1,1
1998082018,1,1
1998082019,1,2
1998082020,1,3
1998082021,1,4
1998082022,1,5
1998082023,1,6
1998082100,1,7
1998082101,1,8
1998082104,1,1
1998082105,1,2
1998082119,1,1
1998082120,1,2
1998082121,1,3
1998082122,1,4
1998082123,1,5
1998082200,1,6
1998082201,1,7
1998082218,1,1
1998082219,1,2
1998082220,1,3
1998082221,1,4
1998082222,1,5
1998082223,1,6
1998082300,1,7
1998082301,1,8
1998082302,1,9
1998082303,1,10
1998082304,1,11
1998082305,1,12
1998082306,1,13
1998082307,1,14
1998082308,1,15
1998082309,1,16
1998082310,1,17
1998082311,1,18
1998082315,1,1
1998082316,1,2
1998082317,1,3
1998082318,1,4
1998082319,1,5
1998082320,1,6
1998082321,1,7
1998082322,1,8
1998082323,1,9
1998082400,1,10
1998082401,1,11
1998082402,1,12
1998082403,1,13
1998082404,1,14
1998082405,1,15
1998082406,1,16
1998082407,1,17
1998082408,1,18
1998082409,1,19
1998082410,1,20
1998082411,1,21
1998082412,1,22
1998082413,1,23
1998082414,1,24
1998082415,1,25
1998082416,1,26
1998082417,1,27
1998082418,1,28
1998082419,1,29
1998082420,1,30
1998082421,1,31
1998082422,1,32
1998082423,1,33
1998082500,1,34
1998082501,1,35
1998082502,1,36
1998082503,1,37
1998082504,1,38
1998082505,1,39
1998082506,1,40
1998082507,1,41
1998082508,1,42
1998082511,1,1
1998082517,1,1
1998082819,1,1
1998082820,1,2
1998082821,1,3
1998082822,1,4
1998082823,1,5
1998082900,1,6
1998082901,1,7
1998082902,1,8
1998082903,1,9
1998082904,1,10
1998082905,1,11
1998082906,1,12
1998082907,1,13
1998082908,1,14
1998082909,1,15
1998082910,1,16
1998082919,1,1
1998082920,1,2
1998082921,1,3
1998082922,1,4
1998082923,1,5
1998083000,1,6
1998083001,1,7
1998083002,1,8
1998083003,1,9
1998083004,1,10
1998083005,1,11
1998083006,1,12
1998083007,1,13
1998083008,1,14
1998083009,1,15
1998083010,1,16
1998083011,1,17
1998083012,1,18
1998083013,1,19
1998083014,1,20
1998083015,1,21
1998083016,1,22
1998083018,1,1
1998083019,1,2
1998083020,1,3
1998083021,1,4
1998083022,1,5
1998083023,1,6
1998083100,1,7
1998083101,1,8
1998083103,1,1
1998083108,1,1
1998083119,1,1
1998090221,1,1
1998090222,1,2
1998090223,1,3
1998090300,1,4
1998090301,1,5
1998090320,1,1
1998090321,1,2
1998090322,1,3
1998090323,1,4
1998090400,1,5
1998090401,1,6
1998090420,1,1
1998090421,1,2
1998090422,1,3
1998090423,1,4
1998090500,1,5
1998090503,1,1
1998090506,1,1
1998090508,1,1
1998090509,1,2
1998090510,1,3
1998090523,1,1
1998090722,1,1
1998090820,1,1
1998090821,1,2
1998090822,1,3
1998090823,1,4
1998090900,1,5
1998090901,1,6
1998090918,1,1
1998090919,1,2
1998091421,1,1
1998091422,1,2
1998091423,1,3
1998091500,1,4
1998091519,1,1
1998091520,1,2
1998091521,1,3
1998091522,1,4
1998091523,1,5
1998091600,1,6
1998091601,1,7
1998091619,1,1
1998091620,1,2
1998091621,1,3
1998091622,1,4
1998091623,1,5
1998091700,1,6
1998091701,1,7
1998091702,1,8
1998091703,1,9
1998091704,1,10
1998091705,1,11
1998091706,1,12
1998091707,1,13
1998091708,1,14
1998091709,1,15
1998091710,1,16
1998091711,1,17
1998091712,1,18
1998091713,1,19
1998091714,1,20
1998091716,1,1
1998091717,1,2
1998091719,1,1
1998091720,1,2
1998091721,1,3
1998091722,1,4
1998091723,1,5
1998091800,1,6
1998091801,1,7
1998091802,1,8
1998091803,1,9
1998091804,1,10
1998091805,1,11
1998091806,1,12
1998091807,1,13
1998091808,1,14
1998091809,1,15
1998091810,1,16
1998091811,1,17
1998091812,1,18
1998091817,1,1
1998091818,1,2
1998091819,1,3
1998091820,1,4
1998091821,1,5
1998091822,1,6
1998091823,1,7
1998091900,1,8
1998091901,1,9
1998091902,1,10
1998091903,1,11
1998091904,1,12
1998091905,1,13
1998091906,1,14
1998091907,1,15
1998091908,1,16
1998091909,1,17
1998091918,1,1
1998091919,1,2
1998091920,1,3
1998091921,1,4
1998091922,1,5
1998091923,1,6
1998092000,1,7
1998092001,1,8
1998092002,1,9
1998092006,1,1
1998092223,1,1
1998092421,1,1
1998092422,1,2
1998092423,1,3
1998092517,1,1
1998092518,1,2
1998092608,1,1
1998092609,1,2
1998092619,1,1
1998092620,1,2
1998092621,1,3
1998092622,1,4
1998092623,1,5
1998092701,1,1
1998092719,1,1
1998092720,1,2
1998092721,1,3
1998092722,1,4
1998092723,1,5
1998092800,1,6
1998092801,1,7
1998092802,1,8
1998092803,1,9
1998092804,1,10
1998092805,1,11
1998092806,1,12
1998092807,1,13
1998092808,1,14
1998092809,1,15
1998092810,1,16
1998092811,1,17
1998092812,1,18
1998092813,1,19
1998092814,1,20
1998092815,1,21
1998092819,1,1
1998092820,1,2
1998092821,1,3
1998092822,1,4
1998092823,1,5
1998092900,1,6
1998092901,1,7
1998092902,1,8
1998092903,1,9
1998092904,1,10
1998092905,1,11
1998092906,1,12
1998092907,1,13
1998092908,1,14
1998092909,1,15
1998092910,1,16
1998092911,1,17
1998092912,1,18
1998092913,1,19
1998092914,1,20
1998092915,1,21
1998092916,1,22
1998092917,1,23
1998092918,1,24
1998092919,1,25
1998092920,1,26
1998092921,1,27
1998092922,1,28
1998092923,1,29
1998093000,1,30
1998100219,1,1
1998100220,1,2
1998100221,1,3
1998100222,1,4
1998100223,1,5
1998100523,1,1
1998100718,1,1
1998100719,1,2
1998100720,1,3
1998100721,1,4
1998100722,1,5
1998100723,1,6
1998100800,1,7
1998100801,1,8
1998100802,1,9
1998100803,1,10
1998100804,1,11
1998100805,1,12
1998100806,1,13
1998100807,1,14
1998100808,1,15
1998100809,1,16
1998100810,1,17
1998100811,1,18
1998100812,1,19
1998100813,1,20
1998100814,1,21
1998100815,1,22
1998100816,1,23
1998100817,1,24
1998100818,1,25
1998100819,1,26
1998100820,1,27
1998100821,1,28
1998100822,1,29
1998100823,1,30
1998100900,1,31
1998100901,1,32
1998100902,1,33
1998100903,1,34
1998100904,1,35
1998100905,1,36
1998100906,1,37
1998100907,1,38
1998100908,1,39
1998100909,1,40
1998100910,1,41
1998100911,1,42
1998100912,1,43
1998100913,1,44
1998100914,1,45
1998100918,1,1
1998100919,1,2
1998100920,1,3
1998100921,1,4
1998100922,1,5
1998100923,1,6
1998101014,1,1
1998101019,1,1
1998101020,1,2
1998101021,1,3
1998101022,1,4
1998101023,1,5
1998101100,1,6
1998101101,1,7
1998101102,1,8
1998101103,1,9
1998101104,1,10
1998101106,1,1
1998101118,1,1
1998101119,1,2
1998101120,1,3
1998101121,1,4
1998101122,1,5
1998101123,1,6
1998101200,1,7
1998101201,1,8
1998101202,1,9
1998101203,1,10
1998101204,1,11
1998101205,1,12
1998101206,1,13
1998101207,1,14
1998101208,1,15
1998101209,1,16
1998101210,1,17
1998101211,1,18
1998101213,1,1
1998101214,1,2
1998101217,1,1
1998101218,1,2
1998101219,1,3
1998101220,1,4
1998101221,1,5
1998101222,1,6
1998101223,1,7
1998101300,1,8
1998101301,1,9
1998101302,1,10
1998101303,1,11
1998101304,1,12
1998101305,1,13
1998101306,1,14
1998101307,1,15
1998101308,1,16
1998101309,1,17
1998101310,1,18
1998101311,1,19
1998101312,1,20
1998101313,1,21
1998101314,1,22
1998101315,1,23
1998101316,1,24
1998101317,1,25
1998101318,1,26
1998101319,1,27
1998101320,1,28
1998101321,1,29
1998101322,1,30
1998101323,1,31
1998101400,1,32
1998101401,1,33
1998101402,1,34
1998101403,1,35
1998101404,1,36
1998101405,1,37
1998101406,1,38
1998101407,1,39
1998101408,1,40
1998101409,1,41
1998101410,1,42
1998101411,1,43
1998101413,1,1
1998101414,1,2
1998101419,1,1
1998101420,1,2
1998101421,1,3
1998101422,1,4
1998101423,1,5
1998101500,1,6
1998101502,1,1
1998101503,1,2
1998101504,1,3
1998101505,1,4
1998101506,1,5
1998101507,1,6
1998101508,1,7
1998101820,1,1
1998101821,1,2
1998101920,1,1
1998101921,1,2
1998102019,1,1
1998102020,1,2
1998102021,1,3
1998102022,1,4
1998102023,1,5
1998102100,1,6
1998102101,1,7
1998102102,1,8
1998102103,1,9
1998102104,1,10
1998102105,1,11
1998102106,1,12
1998102107,1,13
1998102108,1,14
1998102109,1,15
1998102110,1,16
1998102111,1,17
1998102112,1,18
1998102113,1,19
1998102114,1,20
1998102115,1,21
1998102116,1,22
1998102117,1,23
1998102118,1,24
1998102119,1,25
1998102120,1,26
1998102121,1,27
1998102122,1,28
1998102222,1,1
1998102223,1,2
1998102300,1,3
1998102301,1,4
1998102419,1,1
1998102420,1,2
1998102421,1,3
1998102422,1,4
1998102423,1,5
1998102500,1,6
1998102501,1,7
1998102502,1,8
1998110422,1,1
1998110800,1,1
1998111519,1,1
1998111520,1,2
1998111522,1,1
1998111523,1,2
1998111600,1,3
1998111601,1,4
1998111702,1,1
1998111717,1,1
1998111718,1,2
1998111719,1,3
1998111720,1,4
1998111721,1,5
1998111722,1,6
1998112102,1,1
1998112103,1,2
1998112104,1,3
1998112106,1,1
1998112107,1,2
1998112108,1,3
1998112109,1,4
1998112110,1,5
1998112111,1,6
1998112112,1,7
1998112113,1,8
1998112114,1,9
1998112115,1,10
1998112116,1,11
1998112117,1,12
1998112118,1,13
1998112119,1,14
1998112120,1,15
1998112121,1,16
1998112122,1,17
1998112123,1,18
1998112200,1,19
1998112201,1,20
1998112202,1,21
1998112203,1,22
1998112204,1,23
1998112205,1,24
1998112206,1,25
1998112207,1,26
1998112208,1,27
1998112209,1,28
1998112210,1,29
1998112211,1,30
1998112212,1,31
1998112213,1,32
1998112214,1,33
1998112215,1,34
1998112305,1,1
1998112319,1,1
1998112320,1,2
1998112321,1,3
1998112322,1,4
1998112323,1,5
1998112400,1,6
1998112401,1,7
1998112402,1,8
1998112403,1,9
1998112404,1,10
1998112405,1,11
1998112406,1,12
1998112407,1,13
1998112408,1,14
1998112409,1,15
1998112410,1,16
1998112411,1,17
1998112412,1,18
1998112413,1,19
1998112414,1,20
1998112421,1,1
1998112422,1,2
1998112423,1,3
1998112521,1,1
1998112522,1,2
1998112523,1,3
1998112607,1,1
1998112608,1,2
1998112609,1,3
1998112610,1,4
1998112611,1,5
1998112612,1,6
1998112613,1,7
1998112614,1,8
1998112619,1,1
1998112621,1,1
1998112622,1,2
1998112623,1,3
1998112700,1,4
1998112701,1,5
1998112702,1,6
1998112703,1,7
1998112704,1,8
1998112708,1,1
1998112709,1,2
1998112717,1,1
1998112720,1,1
1998112721,1,2
1998112722,1,3
1998112723,1,4
1998112800,1,5
1998112801,1,6
1998112802,1,7
1998112803,1,8
1998112804,1,9
1998112805,1,10
1998112806,1,11
1998112807,1,12
1998112808,1,13
1998112809,1,14
1998112811,1,1
1998112813,1,1
1998112814,1,2
1998112815,1,3
1998113020,1,1
1998113021,1,2
1998113022,1,3
1998113023,1,4
1998120100,1,5
1998120101,1,6
1998120103,1,1
1998120121,1,1
1998120122,1,2
1998120123,1,3
1998120222,1,1
1998120223,1,2
1998120321,1,1
1998120322,1,2
1998120323,1,3
1998120400,1,4
1998120401,1,5
1998120402,1,6
1998120405,1,1
1998120406,1,2
1998120408,1,1
1998120409,1,2
1998120410,1,3
1998121401,1,1
1998121402,1,2
1998121405,1,1
1998121406,1,2
1998121408,1,1
1998121409,1,2
1998121410,1,3
1998121414,1,1
1998121415,1,2
1998121416,1,3
1998121417,1,4
1998121419,1,1
1998121420,1,2
1998121421,1,3
1998121422,1,4
1998121423,1,5
1998121503,1,1
1999010719,1,1
1999010720,1,2
1999010721,1,3
1999010722,1,4
1999010723,1,5
1999010800,1,6
1999010801,1,7
1999010802,1,8
1999011100,1,1
1999011200,1,1
1999011201,1,2
1999011212,1,1
1999011501,1,1
1999011502,1,2
1999011503,1,3
1999011504,1,4
1999011505,1,5
1999011506,1,6
1999011507,1,7
1999011509,1,1
1999011511,1,1
1999011512,1,2
1999011513,1,3
1999011514,1,4
1999013121,1,1
1999013123,1,1
1999020406,1,1
1999020407,1,2
1999020417,1,1
1999020418,1,2
1999020419,1,3
1999020420,1,4
1999020421,1,5
1999021321,1,1
1999021322,1,2
1999021323,1,3
1999021403,1,1
1999021404,1,2
1999021407,1,1
1999021408,1,2
1999021409,1,3
1999021413,1,1
1999021414,1,2
1999040600,1,1
1999040620,1,1
1999040621,1,2
1999040720,1,1
1999040721,1,2
1999040722,1,3
1999040723,1,4
1999041023,1,1
1999041100,1,2
1999041101,1,3
1999041102,1,4
1999041120,1,1
1999041122,1,1
1999041123,1,2
1999041200,1,3
1999041201,1,4
1999041202,1,5
1999041203,1,6
1999041204,1,7
1999041205,1,8
1999041206,1,9
1999041207,1,10
1999041208,1,11
1999041209,1,12
1999041210,1,13
1999041211,1,14
1999041212,1,15
1999041213,1,16
1999041214,1,17
1999041215,1,18
1999041217,1,1
1999041218,1,2
1999041219,1,3
1999041220,1,4
1999041221,1,5
1999041222,1,6
1999041223,1,7
1999041320,1,1
1999041322,1,1
1999041323,1,2
1999041400,1,3
1999041401,1,4
1999041402,1,5
1999041404,1,1
1999041405,1,2
1999041406,1,3
1999041407,1,4
1999041408,1,5
1999041409,1,6
1999041412,1,1
1999041419,1,1
1999041420,1,2
1999041421,1,3
1999041422,1,4
1999041423,1,5
1999041500,1,6
1999041501,1,7
1999041502,1,8
1999041503,1,9
1999041504,1,10
1999041508,1,1
1999041509,1,2
1999041511,1,1
1999041514,1,1
1999041515,1,2
1999041518,1,1
1999041519,1,2
1999041520,1,3
1999041521,1,4
1999041522,1,5
1999041523,1,6
1999041600,1,7
1999041601,1,8
1999041602,1,9
1999041603,1,10
1999041605,1,1
1999041606,1,2
1999041607,1,3
1999041608,1,4
1999041609,1,5
1999041610,1,6
1999041611,1,7
1999041612,1,8
1999041613,1,9
1999041614,1,10
1999041617,1,1
1999041618,1,2
1999041619,1,3
1999041620,1,4
1999041621,1,5
1999041622,1,6
1999041623,1,7
1999041700,1,8
1999041701,1,9
1999041702,1,10
1999041703,1,11
1999041704,1,12
1999041705,1,13
1999041706,1,14
1999041707,1,15
1999041709,1,1
1999041711,1,1
1999041718,1,1
1999041719,1,2
1999041720,1,3
1999041721,1,4
1999041722,1,5
1999041723,1,6
1999041800,1,7
1999041801,1,8
1999041802,1,9
1999041803,1,10
1999041804,1,11
1999041805,1,12
1999041806,1,13
1999041807,1,14
1999041808,1,15
1999041809,1,16
1999041810,1,17
1999041811,1,18
1999041812,1,19
1999041813,1,20
1999041814,1,21
1999041815,1,22
1999041816,1,23
1999041817,1,24
1999041818,1,25
1999041819,1,26
1999041820,1,27
1999041821,1,28
1999041822,1,29
1999041823,1,30
1999041900,1,31
1999041901,1,32
1999041902,1,33
1999041903,1,34
1999041904,1,35
1999041905,1,36
1999041906,1,37
1999041907,1,38
1999041908,1,39
1999041909,1,40
1999041910,1,41
