MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,9,24,37.50
0102,5,23,21.74
0103,4,24,16.67
0104,6,24,25.00
0105,10,23,43.48
0106,5,23,21.74
0107,7,23,30.43
0108,6,23,26.09
0109,7,23,30.43
0110,9,23,39.13
0111,8,23,34.78
0112,8,23,34.78
0113,8,23,34.78
0114,6,23,26.09
0115,8,23,34.78
0116,6,23,26.09
0117,6,23,26.09
0118,7,23,30.43
0119,7,23,30.43
0120,6,23,26.09
0121,4,23,17.39
0122,3,23,13.04
0123,6,23,26.09
0124,6,22,27.27
0125,5,22,22.73
0126,5,23,21.74
0127,7,23,30.43
0128,7,23,30.43
0129,3,23,13.04
0130,8,23,34.78
0131,5,23,21.74
0201,6,23,26.09
0202,5,22,22.73
0203,8,22,36.36
0204,6,22,27.27
0205,7,22,31.82
0206,7,22,31.82
0207,7,23,30.43
0208,8,23,34.78
0209,8,23,34.78
0210,7,23,30.43
0211,5,23,21.74
0212,5,23,21.74
0213,5,23,21.74
0214,8,23,34.78
0215,8,23,34.78
0216,5,23,21.74
0217,5,23,21.74
0218,7,22,31.82
0219,8,22,36.36
0220,7,22,31.82
0221,4,23,17.39
0222,6,23,26.09
0223,7,22,31.82
0224,8,22,36.36
0225,8,22,36.36
0226,4,23,17.39
0227,8,23,34.78
0228,5,22,22.73
0229,2,5,40.00
0301,10,23,43.48
0302,7,23,30.43
0303,5,23,21.74
0304,6,23,26.09
0305,5,22,22.73
0306,11,22,50.00
0307,9,22,40.91
0308,8,22,36.36
0309,10,22,45.45
0310,4,22,18.18
0311,4,22,18.18
0312,5,22,22.73
0313,3,22,13.64
0314,5,22,22.73
0315,3,22,13.64
0316,6,22,27.27
0317,6,22,27.27
0318,2,22,9.09
0319,5,22,22.73
0320,4,23,17.39
0321,8,23,34.78
0322,6,23,26.09
0323,5,23,21.74
0324,6,22,27.27
0325,8,23,34.78
0326,7,23,30.43
0327,4,23,17.39
0328,6,23,26.09
0329,6,23,26.09
0330,5,23,21.74
0331,5,23,21.74
0401,9,23,39.13
0402,8,23,34.78
0403,6,23,26.09
0404,6,23,26.09
0405,9,23,39.13
0406,5,23,21.74
0407,4,22,18.18
0408,7,22,31.82
0409,5,22,22.73
0410,2,22,9.09
0411,2,21,9.52
0412,4,22,18.18
0413,7,22,31.82
0414,11,22,50.00
0415,8,23,34.78
0416,5,23,21.74
0417,6,23,26.09
0418,7,23,30.43
0419,4,23,17.39
0420,4,23,17.39
0421,0,21,0.00
0422,2,22,9.09
0423,4,22,18.18
0424,2,21,9.52
0425,2,21,9.52
0426,3,21,14.29
0427,3,22,13.64
0428,8,22,36.36
0429,8,22,36.36
0430,5,22,22.73
0501,3,22,13.64
0502,0,22,0.00
0503,4,22,18.18
0504,3,21,14.29
0505,3,21,14.29
0506,5,21,23.81
0507,4,21,19.05
0508,2,21,9.52
0509,3,21,14.29
0510,2,20,10.00
0511,3,20,15.00
0512,6,19,31.58
0513,6,19,31.58
0514,0,21,0.00
0515,7,21,33.33
0516,3,21,14.29
