MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,10,24,41.67
0102,5,23,21.74
0103,7,24,29.17
0104,7,24,29.17
0105,12,24,50.00
0106,6,24,25.00
0107,11,24,45.83
0108,9,24,37.50
0109,9,24,37.50
0110,12,24,50.00
0111,11,24,45.83
0112,10,24,41.67
0113,9,24,37.50
0114,9,24,37.50
0115,8,24,33.33
0116,8,24,33.33
0117,8,24,33.33
0118,9,24,37.50
0119,9,24,37.50
0120,10,24,41.67
0121,7,24,29.17
0122,8,24,33.33
0123,11,24,45.83
0124,8,23,34.78
0125,6,23,26.09
0126,8,24,33.33
0127,13,24,54.17
0128,10,24,41.67
0129,6,24,25.00
0130,10,24,41.67
0131,8,24,33.33
0201,5,24,20.83
0202,9,23,39.13
0203,13,23,56.52
0204,7,23,30.43
0205,12,23,52.17
0206,12,23,52.17
0207,10,24,41.67
0208,9,24,37.50
0209,9,24,37.50
0210,8,24,33.33
0211,8,24,33.33
0212,7,24,29.17
0213,5,24,20.83
0214,12,24,50.00
0215,10,24,41.67
0216,10,24,41.67
0217,8,24,33.33
0218,7,23,30.43
0219,11,23,47.83
0220,11,23,47.83
0221,8,24,33.33
0222,11,24,45.83
0223,11,23,47.83
0224,10,23,43.48
0225,10,23,43.48
0226,9,24,37.50
0227,13,24,54.17
0228,8,23,34.78
0229,2,5,40.00
0301,10,24,41.67
0302,8,24,33.33
0303,9,24,37.50
0304,8,24,33.33
0305,8,22,36.36
0306,11,22,50.00
0307,11,22,50.00
0308,9,22,40.91
0309,14,22,63.64
0310,6,22,27.27
0311,5,22,22.73
0312,7,22,31.82
0313,4,22,18.18
0314,7,22,31.82
0315,8,22,36.36
0316,8,22,36.36
0317,12,22,54.55
0318,8,22,36.36
0319,8,22,36.36
0320,9,23,39.13
0321,11,23,47.83
0322,8,23,34.78
0323,9,23,39.13
0324,10,22,45.45
0325,12,23,52.17
0326,10,23,43.48
0327,10,23,43.48
0328,13,23,56.52
0329,9,23,39.13
0330,12,23,52.17
0331,13,23,56.52
0401,16,23,69.57
0402,11,23,47.83
0403,10,23,43.48
0404,10,23,43.48
0405,11,23,47.83
0406,10,23,43.48
0407,8,22,36.36
0408,10,22,45.45
0409,12,22,54.55
0410,7,22,31.82
0411,7,21,33.33
0412,10,22,45.45
0413,10,22,45.45
0414,12,22,54.55
0415,10,23,43.48
0416,9,23,39.13
0417,10,23,43.48
0418,12,23,52.17
0419,7,23,30.43
0420,11,23,47.83
0421,5,21,23.81
0422,6,22,27.27
0423,11,22,50.00
0424,9,21,42.86
0425,4,21,19.05
0426,9,21,42.86
0427,9,22,40.91
0428,14,22,63.64
0429,13,22,59.09
0430,13,22,59.09
0501,5,22,22.73
0502,9,22,40.91
0503,10,22,45.45
0504,7,21,33.33
0505,6,21,28.57
0506,9,21,42.86
0507,10,21,47.62
0508,3,21,14.29
0509,8,21,38.10
0510,5,20,25.00
0511,7,20,35.00
0512,9,19,47.37
0513,7,19,36.84
0514,8,21,38.10
0515,11,21,52.38
0516,10,21,47.62
0517,12,21,57.14
0518,11,22,50.00
0519,8,22,36.36
0520,7,22,31.82
0521,8,21,38.10
0522,8,21,38.10
0523,6,21,28.57
0524,6,22,27.27
0525,4,21,19.05
0526,6,20,30.00
0527,7,20,35.00
0528,8,20,40.00
0529,6,20,30.00
0530,6,20,30.00
0531,9,21,42.86
0601,9,21,42.86
0602,5,20,25.00
0603,6,20,30.00
0604,2,20,10.00
0605,6,20,30.00
0606,11,20,55.00
0607,9,21,42.86
0608,8,19,42.11
0609,9,19,47.37
0610,12,20,60.00
0611,11,19,57.89
0612,6,19,31.58
0613,8,19,42.11
0614,7,19,36.84
0615,7,19,36.84
0616,10,20,50.00
0617,8,20,40.00
0618,6,20,30.00
0619,11,20,55.00
0620,9,21,42.86
0621,9,21,42.86
0622,5,20,25.00
0623,10,21,47.62
0624,8,21,38.10
0625,11,21,52.38
0626,9,21,42.86
0627,8,21,38.10
0628,9,21,42.86
0629,8,21,38.10
0630,6,21,28.57
0701,7,21,33.33
0702,9,21,42.86
0703,7,21,33.33
0704,6,21,28.57
0705,7,21,33.33
0706,3,21,14.29
0707,6,20,30.00
0708,6,20,30.00
0709,4,19,21.05
0710,3,19,15.79
0711,6,19,31.58
0712,4,19,21.05
0713,4,19,21.05
0714,1,19,5.26
0715,3,19,15.79
0716,4,18,22.22
0717,4,18,22.22
0718,4,18,22.22
0719,5,19,26.32
0720,6,19,31.58
0721,6,20,30.00
0722,6,20,30.00
0723,4,20,20.00
0724,7,19,36.84
0725,7,19,36.84
0726,6,19,31.58
0727,3,19,15.79
0728,2,19,10.53
0729,1,19,5.26
0730,3,18,16.67
0731,3,18,16.67
0801,4,18,22.22
0802,4,18,22.22
0803,6,18,33.33
0804,4,18,22.22
0805,6,16,37.50
0806,4,16,25.00
0807,5,16,31.25
0808,7,16,43.75
0809,5,15,33.33
0810,3,16,18.75
0811,5,16,31.25
0812,6,16,37.50
0813,5,16,31.25
0814,3,17,17.65
0815,2,17,11.76
0816,2,17,11.76
0817,3,17,17.65
0818,6,17,35.29
0819,6,17,35.29
0820,4,16,25.00
0821,5,16,31.25
0822,8,16,50.00
0823,6,16,37.50
0824,4,15,26.67
0825,6,16,37.50
0826,5,16,31.25
0827,4,16,25.00
0828,1,16,6.25
0829,7,16,43.75
0830,7,15,46.67
0831,6,15,40.00
0901,5,15,33.33
0902,6,15,40.00
0903,5,15,33.33
0904,6,17,35.29
0905,7,17,41.18
0906,4,17,23.53
0907,4,17,23.53
0908,6,18,33.33
0909,7,18,38.89
0910,6,18,33.33
0911,4,19,21.05
0912,3,20,15.00
0913,5,20,25.00
0914,8,20,40.00
0915,10,19,52.63
0916,9,19,47.37
0917,9,19,47.37
0918,10,19,52.63
0919,11,18,61.11
0920,10,19,52.63
0921,8,20,40.00
0922,9,20,45.00
0923,3,21,14.29
0924,4,20,20.00
0925,4,20,20.00
0926,5,20,25.00
0927,6,20,30.00
0928,4,20,20.00
0929,6,21,28.57
0930,8,20,40.00
1001,6,20,30.00
1002,8,21,38.10
1003,11,21,52.38
1004,8,21,38.10
1005,4,21,19.05
1006,5,21,23.81
1007,3,21,14.29
1008,8,21,38.10
1009,7,20,35.00
1010,12,20,60.00
1011,13,20,65.00
1012,7,19,36.84
1013,8,19,42.11
1014,7,18,38.89
1015,4,18,22.22
1016,6,18,33.33
1017,6,19,31.58
1018,4,20,20.00
1019,10,20,50.00
1020,9,20,45.00
1021,9,21,42.86
1022,6,21,28.57
1023,7,21,33.33
1024,6,21,28.57
1025,9,21,42.86
1026,4,21,19.05
1027,9,22,40.91
