MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,2,19,10.53
0102,2,18,11.11
0103,5,19,26.32
0104,4,19,21.05
0105,5,19,26.32
0106,3,19,15.79
0107,2,19,10.53
0108,6,19,31.58
0109,1,19,5.26
0110,1,19,5.26
0111,3,19,15.79
0112,4,19,21.05
0113,3,19,15.79
0114,4,19,21.05
0115,2,19,10.53
0116,4,19,21.05
0117,1,19,5.26
0118,4,19,21.05
0119,5,19,26.32
0120,5,19,26.32
0121,4,19,21.05
0122,3,19,15.79
0123,4,19,21.05
0124,3,18,16.67
0125,3,18,16.67
0126,3,19,15.79
0127,2,19,10.53
0128,0,19,0.00
0129,3,19,15.79
0130,3,19,15.79
0131,2,19,10.53
0201,1,19,5.26
0202,2,18,11.11
0203,2,18,11.11
0204,2,18,11.11
0205,3,18,16.67
0206,2,18,11.11
0207,3,19,15.79
0208,2,19,10.53
0209,0,19,0.00
0210,1,19,5.26
0211,3,19,15.79
0212,5,19,26.32
0213,5,19,26.32
0214,5,19,26.32
0215,3,19,15.79
0216,4,19,21.05
0217,3,19,15.79
0218,3,18,16.67
0219,2,18,11.11
0220,1,18,5.56
0221,1,19,5.26
0222,2,19,10.53
0223,1,18,5.56
0224,1,18,5.56
0225,0,18,0.00
0226,2,19,10.53
0227,2,19,10.53
0228,2,19,10.53
0229,2,5,40.00
0301,1,19,5.26
0302,2,19,10.53
0303,3,19,15.79
0304,2,19,10.53
0305,4,18,22.22
0306,5,18,27.78
0307,3,18,16.67
0308,1,18,5.56
0309,3,18,16.67
0310,2,18,11.11
0311,3,18,16.67
0312,1,18,5.56
0313,4,18,22.22
0314,4,18,22.22
0315,3,18,16.67
0316,5,18,27.78
0317,4,18,22.22
0318,3,18,16.67
0319,3,18,16.67
0320,7,19,36.84
0321,7,19,36.84
0322,4,19,21.05
0323,4,19,21.05
0324,2,18,11.11
0325,3,19,15.79
0326,4,19,21.05
0327,2,19,10.53
0328,3,19,15.79
