OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1997120807,2,1
1997121508,1,1
1997121509,1,2
1997121510,1,3
1997121511,1,4
1998010101,1,1
1998010102,1,2
1998010104,1,1
1998010105,1,2
1998022612,1,1
1998050406,1,1
1998050407,1,2
1998050408,1,3
1998050521,1,1
1998050820,1,1
1998050822,1,1
1998051018,1,1
1998051019,1,2
1998051020,1,3
1998051021,1,4
1998051022,1,5
1998051023,1,6
1998051313,1,1
1998051317,1,1
1998051512,1,1
1998051519,1,1
1998051520,1,2
1998052106,1,1
1998052108,1,1
1998052109,1,2
1998052118,1,1
1998052119,1,2
1998052122,1,1
1998052123,1,2
1998052218,1,1
1998052601,1,1
1998052621,1,1
1998060402,1,1
1998060403,1,2
1998060404,1,3
1998060405,1,4
1998060407,1,1
1998060415,1,1
1998060417,1,1
1998060418,1,2
1998060419,1,3
1998060512,1,1
1998082509,1,1
1998082517,1,1
1998082518,1,2
1998082519,1,3
1998082520,1,4
1998083102,1,1
1998090919,1,1
1998090920,1,2
1998090921,1,3
1998091815,1,1
1998091816,1,2
1998091817,1,3
1998091818,1,4
1998091819,1,5
1998091820,1,6
1998091821,1,7
1998091822,1,8
1998091823,1,9
1998091900,1,10
1998092516,1,1
1998092523,1,1
1998100720,1,1
1998100809,1,1
1998100810,1,2
1998100811,1,3
1998100812,1,4
1998100813,1,5
1998100814,1,6
1998100816,1,1
1998100817,1,2
1998100818,1,3
1998100819,1,4
1998100821,1,1
1998101018,1,1
1998101019,1,2
1998101318,1,1
1998101319,1,2
1998101320,1,3
1998101321,1,4
1998101322,1,5
1998101907,1,1
1998102012,1,1
1998102013,1,2
1998102111,1,1
1998102805,1,1
1998102806,1,2
1998102807,1,3
1998102808,1,4
1998110810,1,1
1998110811,1,2
1998110812,1,3
1998110814,1,1
1998111005,1,1
1998111508,1,1
1998111509,1,2
1998111510,1,3
1998111511,1,4
1998111512,1,5
1998111513,1,6
1998111514,1,7
1998111515,1,8
1998111516,1,9
1998111517,1,10
1998111518,1,11
