OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1997120807,3,1
1997121501,1,1
1997121503,1,1
1997121504,1,2
1997121505,1,3
1997121506,1,4
1997121507,1,5
1997121508,1,6
1997121509,1,7
1997121510,1,8
1997121511,1,9
1997121512,1,10
1998010100,1,1
1998010101,1,2
1998010102,1,3
1998010103,1,4
1998010104,1,5
1998010105,1,6
1998010106,1,7
1998022507,1,1
1998022520,1,1
1998022611,1,1
1998022612,1,2
1998022614,1,1
1998022620,1,1
1998050120,1,1
1998050121,1,2
1998050306,1,1
1998050307,1,2
1998050310,1,1
1998050311,1,2
1998050406,1,1
1998050407,1,2
1998050408,1,3
1998050409,1,4
1998050416,1,1
1998050417,1,2
1998050418,1,3
1998050420,1,1
1998050421,1,2
1998050423,1,1
1998050515,1,1
1998050520,1,1
1998050521,1,2
1998050522,1,3
1998050603,1,1
1998050615,1,1
1998050815,1,1
1998050818,1,1
1998050819,1,2
1998050820,1,3
1998050823,1,1
1998050900,1,2
1998050916,1,1
1998050917,1,2
1998050918,1,3
1998050919,1,4
1998050922,1,1
1998051000,1,1
1998051015,1,1
1998051016,1,2
1998051017,1,3
1998051018,1,4
1998051019,1,5
1998051020,1,6
1998051021,1,7
1998051022,1,8
1998051023,1,9
1998051100,1,10
1998051101,1,11
1998051320,1,1
1998051321,1,2
1998051322,1,3
1998051402,1,1
1998051623,1,1
1998051700,1,2
1998051703,1,1
1998051705,1,1
1998051706,1,2
1998051707,1,3
1998051708,1,4
1998051709,1,5
1998051710,1,6
1998051711,1,7
1998051712,1,8
1998051713,1,9
1998051714,1,10
1998051715,1,11
1998051716,1,12
1998051717,1,13
1998051718,1,14
1998051719,1,15
1998051720,1,16
1998051721,1,17
1998051722,1,18
1998051820,1,1
1998051821,1,2
1998052000,1,1
1998052020,1,1
1998052101,1,1
1998052102,1,2
1998052107,1,1
1998052110,1,1
1998052600,1,1
1998052720,1,1
1998052918,1,1
1998052919,1,2
1998052920,1,3
1998052921,1,4
1998052922,1,5
1998052923,1,6
1998053000,1,7
1998053001,1,8
