MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,21,4.76
0102,0,22,0.00
0103,0,23,0.00
0104,0,23,0.00
0105,1,23,4.35
0106,0,24,0.00
0107,0,23,0.00
0108,0,23,0.00
0109,0,23,0.00
0110,0,23,0.00
0111,0,22,0.00
0112,0,22,0.00
0113,1,22,4.55
0114,0,22,0.00
0115,0,22,0.00
0116,1,20,5.00
0117,0,21,0.00
0118,0,22,0.00
0119,0,22,0.00
0120,0,22,0.00
0121,0,22,0.00
0122,0,24,0.00
0123,0,24,0.00
0124,0,24,0.00
0125,0,24,0.00
0126,2,24,8.33
0127,1,24,4.17
0128,2,24,8.33
0129,0,24,0.00
0130,0,24,0.00
0131,0,24,0.00
0201,1,24,4.17
0202,1,24,4.17
0203,0,24,0.00
0204,2,24,8.33
0205,1,23,4.35
0206,0,23,0.00
0207,3,22,13.64
0208,2,23,8.70
0209,1,23,4.35
0210,0,23,0.00
0211,0,23,0.00
0212,1,23,4.35
0213,0,23,0.00
0214,1,23,4.35
0215,0,23,0.00
0216,1,23,4.35
0217,1,23,4.35
0218,1,23,4.35
0219,0,23,0.00
0220,1,23,4.35
0221,2,23,8.70
0222,1,23,4.35
0223,2,23,8.70
0224,2,23,8.70
0225,1,22,4.55
0226,0,21,0.00
0227,0,21,0.00
0228,1,21,4.76
0229,0,4,0.00
0301,0,22,0.00
0302,0,22,0.00
0303,0,22,0.00
0304,1,21,4.76
0305,0,20,0.00
0306,2,20,10.00
0307,1,21,4.76
0308,1,21,4.76
0309,0,21,0.00
0310,0,21,0.00
0311,1,20,5.00
0312,0,20,0.00
0313,1,20,5.00
0314,0,20,0.00
0315,0,20,0.00
0316,0,19,0.00
0317,0,20,0.00
0318,3,20,15.00
0319,0,20,0.00
0320,3,20,15.00
0321,1,20,5.00
0322,0,20,0.00
0323,0,20,0.00
0324,0,20,0.00
0325,1,20,5.00
0326,0,20,0.00
0327,0,22,0.00
0328,0,21,0.00
0329,0,23,0.00
0330,1,23,4.35
0331,3,23,13.04
0401,0,21,0.00
0402,0,22,0.00
0403,0,22,0.00
0404,0,22,0.00
0405,1,22,4.55
0406,0,22,0.00
0407,0,22,0.00
0408,1,22,4.55
0409,0,22,0.00
0410,2,23,8.70
0411,1,22,4.55
0412,1,23,4.35
0413,0,23,0.00
0414,1,23,4.35
0415,2,22,9.09
0416,1,23,4.35
0417,0,23,0.00
0418,0,23,0.00
0419,0,23,0.00
0420,0,22,0.00
0421,0,21,0.00
0422,0,22,0.00
0423,1,22,4.55
0424,2,22,9.09
0425,0,22,0.00
0426,0,22,0.00
0427,0,22,0.00
0428,1,22,4.55
0429,0,23,0.00
0430,0,23,0.00
0501,0,23,0.00
0502,1,23,4.35
0503,0,23,0.00
0504,0,23,0.00
0505,1,23,4.35
0506,0,23,0.00
0507,0,23,0.00
0508,1,23,4.35
0509,1,23,4.35
0510,1,22,4.55
0511,0,22,0.00
0512,0,22,0.00
0513,0,22,0.00
0514,1,22,4.55
0515,1,23,4.35
0516,0,23,0.00
0517,1,22,4.55
0518,0,22,0.00
0519,0,22,0.00
0520,1,23,4.35
0521,0,23,0.00
0522,0,22,0.00
0523,1,22,4.55
0524,0,23,0.00
0525,1,22,4.55
0526,0,22,0.00
0527,0,23,0.00
0528,0,23,0.00
0529,1,23,4.35
0530,0,23,0.00
0531,1,23,4.35
0601,0,22,0.00
0602,0,22,0.00
0603,0,23,0.00
0604,4,22,18.18
0605,1,22,4.55
0606,2,22,9.09
0607,0,20,0.00
0608,1,21,4.76
0609,0,22,0.00
0610,0,23,0.00
0611,0,23,0.00
0612,0,23,0.00
0613,1,22,4.55
0614,1,22,4.55
0615,0,22,0.00
0616,2,21,9.52
0617,1,22,4.55
0618,1,22,4.55
0619,0,22,0.00
0620,0,22,0.00
0621,1,21,4.76
0622,0,22,0.00
0623,2,22,9.09
0624,0,23,0.00
0625,1,23,4.35
0626,2,23,8.70
0627,2,23,8.70
0628,1,22,4.55
0629,2,22,9.09
0630,3,22,13.64
0701,2,22,9.09
0702,2,22,9.09
0703,2,22,9.09
0704,0,21,0.00
0705,2,21,9.52
0706,1,21,4.76
0707,4,21,19.05
0708,2,20,10.00
0709,4,21,19.05
0710,2,21,9.52
0711,4,21,19.05
0712,1,21,4.76
0713,1,21,4.76
0714,1,21,4.76
0715,3,22,13.64
0716,1,22,4.55
0717,1,22,4.55
0718,2,22,9.09
0719,0,22,0.00
0720,0,22,0.00
0721,0,22,0.00
0722,2,21,9.52
0723,0,21,0.00
0724,2,19,10.53
0725,0,19,0.00
0726,1,19,5.26
0727,0,20,0.00
0728,0,20,0.00
0729,0,21,0.00
0730,2,21,9.52
0731,3,20,15.00
0801,0,21,0.00
0802,1,22,4.55
0803,1,20,5.00
0804,3,20,15.00
0805,1,20,5.00
0806,1,20,5.00
0807,1,20,5.00
0808,1,20,5.00
0809,1,21,4.76
0810,0,20,0.00
0811,0,20,0.00
0812,0,20,0.00
0813,2,20,10.00
0814,2,20,10.00
0815,1,20,5.00
0816,0,19,0.00
0817,2,19,10.53
0818,1,21,4.76
0819,3,21,14.29
0820,1,21,4.76
0821,0,21,0.00
0822,0,21,0.00
0823,1,20,5.00
0824,1,20,5.00
0825,1,21,4.76
0826,0,20,0.00
0827,0,21,0.00
0828,1,21,4.76
0829,0,21,0.00
0830,0,21,0.00
0831,0,20,0.00
0901,0,19,0.00
0902,0,19,0.00
0903,0,19,0.00
0904,0,19,0.00
