OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1999032823,1,1
2000082622,3,1
2008072008,2,1
2008072306,2,1
2008072307,1,2
2008081905,2,1
2008081907,1,1
2008081908,3,2
2008081909,3,3
2008081910,1,4
2008081911,2,5
2008081912,1,6
2008081913,1,7
2008082107,3,1
2008082108,2,2
2008082109,2,3
2008082110,1,4
2008082112,1,1
2008082310,1,1
2008082509,1,1
2008082512,2,1
2008082513,1,2
2008082606,1,1
2008082607,2,2
2008083012,1,1
2008083021,1,1
2008083104,1,1
2008083105,1,2
2008083106,3,3
2008083111,1,1
2008083112,2,2
2008083114,2,1
2008083120,2,1
2008083121,3,2
2008083122,1,3
2008083123,3,4
2008090100,1,5
2008090104,3,1
2008090105,2,2
2008090106,1,3
2008090107,1,4
2008090109,2,1
2008090115,3,1
2008090708,2,1
2008090910,1,1
2008090922,1,1
2008091012,2,1
2008091013,2,2
2008091204,1,1
2008091205,4,2
2008091206,6,3
2008091207,6,4
2008091208,6,5
2008091209,6,6
2008091210,2,7
2008091412,2,1
2008091413,6,2
2008091414,4,3
2008091511,3,1
2008091514,1,1
2008091606,1,1
2008091722,2,1
2008091909,1,1
2008091912,3,1
2008091913,5,2
2008091914,3,3
2008092019,4,1
2008092020,2,2
2008092022,1,1
2008092101,2,1
2008092102,2,2
2008092504,2,1
2008092505,1,2
2008092508,2,1
2008092510,3,1
2008092511,3,2
2008092512,2,3
2008092513,4,4
2008092514,3,5
2008092519,2,1
2008092520,1,2
2008092604,3,1
2008092605,4,2
2008092606,2,3
2008092608,1,1
2008092713,1,1
2008092909,1,1
2008092913,1,1
2008092914,1,2
2008100205,1,1
2008100206,1,2
2008100207,5,3
2008100208,2,4
2008100406,1,1
2008100409,1,1
2008100410,1,2
2008100411,2,3
2008101105,3,1
2008101106,3,2
2008101107,1,3
2008101108,1,4
2008101109,2,5
2008101110,5,6
2008101111,6,7
2008101112,6,8
2008101120,2,1
2008101810,1,1
2008101821,1,1
2008102019,1,1
2008102118,1,1
2008102119,1,2
2008102709,1,1
2008102710,3,2
2008103120,1,1
2008110101,1,1
2008110204,1,1
2008110210,2,1
2008110211,4,2
2008110212,3,3
2008110213,1,4
2008110216,1,1
2008110217,2,2
2008110218,5,3
2008110219,2,4
2008110220,3,5
2008110402,1,1
2008110411,2,1
2008110412,2,2
2008110415,3,1
2008110910,1,1
2008110912,2,1
2008112011,3,1
2008112012,6,2
2008112013,6,3
2008112014,6,4
2008112015,6,5
2008112016,6,6
2008112017,6,7
2008112018,6,8
2008112019,6,9
2008112020,6,10
2008112021,6,11
2008112022,6,12
2008112023,5,13
2008112100,5,14
2008112101,6,15
2008112102,5,16
2008112103,3,17
2008120220,2,1
2008120221,1,2
2008120222,2,3
2008120223,1,4
2008121305,1,1
2008121306,3,2
2008121307,1,3
2008121308,2,4
2008121309,2,5
2008121310,1,6
2008121311,3,7
2008121312,5,8
2008121313,2,9
2008121314,5,10
2008121315,2,11
2008121505,1,1
2008121506,1,2
2008121513,1,1
2008121515,1,1
2008121621,1,1
2008121807,1,1
2008121808,2,2
2008121916,1,1
2008121917,3,2
2008121918,2,3
2008121919,3,4
2008122213,3,1
2008122215,1,1
2008122216,5,2
2008122217,1,3
2008122420,2,1
2008122421,1,2
2008122423,2,1
2008122500,1,2
2008122501,2,3
2008122503,1,1
2008122505,1,1
2008122507,2,1
2008122508,1,2
2008122509,6,3
2008122510,3,4
2008122511,6,5
2008122512,4,6
2008122513,6,7
2008122514,5,8
2008122515,5,9
2008122516,3,10
2008122517,6,11
2008122518,6,12
2008122519,6,13
2008122520,6,14
2008122521,6,15
2008122522,6,16
2008122523,5,17
2008122600,5,18
2008122601,3,19
2008122602,4,20
2008122603,1,21
2009010301,2,1
2009010408,2,1
2009010409,3,2
2009010410,1,3
2009010413,1,1
2009010414,2,2
2009010415,2,3
2009010416,3,4
2009010417,4,5
2009020611,1,1
2009020713,2,1
2009020715,1,1
2009020716,3,2
2009020721,5,1
2009020722,5,2
2009020723,4,3
2009020800,4,4
2009020801,6,5
2009020802,5,6
2009020803,6,7
2009020804,6,8
2009020805,6,9
2009020806,6,10
2009020807,4,11
2009020808,5,12
2009020809,4,13
2009020810,6,14
2009020811,6,15
2009020812,6,16
2009020813,5,17
2009020814,6,18
2009020815,6,19
2009020816,6,20
2009020817,2,21
2009020818,3,22
2009020819,1,23
2009020923,1,1
2009021216,1,1
2009021315,1,1
2009021316,1,2
2009021506,1,1
2009021507,1,2
2009021513,3,1
2009021514,4,2
2009021515,5,3
2009021516,3,4
2009021517,1,5
2009021608,3,1
2009021609,1,2
2009021703,1,1
2009021704,2,2
2009022514,1,1
2009022519,3,1
2009022520,1,2
2009022523,2,1
2009022620,1,1
2009022622,1,1
2009022700,2,1
2009030300,3,1
2009030301,6,2
2009030302,3,3
2009030303,6,4
2009030304,6,5
2009030305,6,6
2009030306,4,7
2009030307,5,8
2009030308,3,9
2009030309,3,10
2009030310,1,11
2009030311,3,12
2009030312,1,13
2009030317,3,1
2009030318,5,2
2009030319,6,3
2009030320,6,4
2009030321,6,5
2009030322,5,6
2009030323,5,7
2009030400,3,8
2009030404,2,1
2009030405,1,2
2009030408,1,1
2009030411,4,1
2009030412,4,2
2009030413,2,3
2009030414,4,4
2009030415,5,5
2009030416,4,6
2009030417,6,7
2009030418,6,8
2009030419,6,9
2009030420,6,10
2009030421,6,11
2009030422,6,12
2009030423,6,13
2009030500,2,14
2009030818,1,1
2009030819,1,2
2009030820,2,3
2009030821,1,4
2009030822,1,5
2009030900,1,1
2009030901,2,2
2009030902,1,3
2009030903,1,4
2009031504,1,1
2009031622,2,1
2009032109,1,1
2009032118,1,1
2009032120,2,1
2009032121,2,2
2009032122,3,3
2009032123,1,4
2009032202,1,1
2009032203,5,2
2009032204,4,3
2009032205,1,4
2009032215,1,1
2009032216,3,2
2009032217,6,3
2009032218,5,4
2009032219,6,5
2009032220,5,6
2009032610,1,1
2009032623,1,1
2009032700,2,2
2009032709,3,1
2009032710,6,2
2009032711,6,3
2009032712,2,4
2009032723,1,1
2009032907,3,1
2009032908,1,2
2009032910,2,1
2009032913,2,1
2009032914,3,2
2009032915,4,3
2009032922,3,1
2009032923,4,2
2009033000,2,3
2009033001,5,4
2009040105,3,1
2009040106,1,2
2009040107,1,3
2009040109,1,1
2009040110,1,2
2009040220,3,1
2009040221,3,2
2009040222,1,3
2009040223,1,4
2009040301,1,1
2009040610,2,1
2009040613,1,1
2009040803,3,1
2009040816,4,1
2009040817,3,2
2009040818,4,3
2009040819,4,4
2009040820,5,5
2009040821,4,6
2009040822,1,7
2009041006,1,1
2009041008,3,1
2009041010,2,1
2009041011,3,2
2009041012,2,3
2009041013,6,4
2009041014,3,5
2009041100,2,1
2009041106,2,1
2009041107,5,2
2009041108,6,3
2009041109,6,4
2009041110,6,5
2009041111,2,6
2009041112,5,7
2009041113,6,8
2009041114,6,9
2009041115,4,10
2009041409,2,1
2009041410,5,2
2009041412,3,1
2009041413,3,2
2009041414,2,3
2009041417,3,1
2009041418,2,2
2009041505,1,1
2009041508,2,1
2009041600,5,1
2009041601,1,2
2009041602,1,3
2009042323,1,1
2009042509,1,1
2009042701,1,1
2009042722,1,1
2009042723,2,2
2009042802,2,1
2009042803,1,2
2009042804,4,3
2009042805,2,4
2009042806,2,5
2009042807,2,6
2009042808,2,7
2009042809,5,8
2009042812,2,1
2009042813,2,2
2009042814,3,3
2009042815,1,4
2009042816,3,5
2009042817,2,6
2009042900,2,1
2009042901,4,2
2009042902,1,3
2009050216,2,1
2009050217,1,2
2009050400,1,1
2009050402,2,1
2009050621,1,1
2009050623,1,1
2009051211,1,1
2009051213,1,1
2009051910,1,1
2009051917,2,1
2009051918,1,2
2009051919,1,3
2009051920,2,4
2009051922,1,1
2009052000,1,1
2009052223,1,1
2009052300,3,2
2009052500,2,1
2009052610,1,1
2009052611,6,2
2009052612,6,3
2009052613,6,4
2009052614,5,5
2009052615,2,6
2009052711,1,1
2009052912,1,1
2009052922,2,1
2009052923,6,2
2009053000,4,3
2009053003,3,1
2009053004,4,2
2009053013,1,1
2009053023,2,1
2009053100,1,2
2009053102,3,1
2009053103,1,2
2009053105,1,1
2009053107,1,1
2009060202,1,1
2009060204,2,1
2009060205,1,2
2009060208,1,1
2009060210,1,1
2009060211,4,2
2009060212,6,3
2009060213,6,4
2009060214,4,5
2009060215,1,6
2009060300,1,1
2009060301,1,2
2009060302,3,3
2009060303,6,4
2009060304,6,5
2009060305,2,6
2009060307,3,1
2009060308,5,2
2009060309,3,3
2009060310,4,4
2009060311,1,5
2009060312,1,6
2009060314,1,1
2009060320,3,1
2009060321,1,2
2009060408,6,1
2009060409,6,2
2009060410,6,3
2009060411,6,4
2009060412,6,5
2009060413,1,6
2009060414,1,7
2009060421,1,1
2009060422,1,2
2009060510,1,1
2009060518,1,1
2009060519,4,2
2009060523,1,1
2009060600,3,2
2009060601,1,3
2009060602,1,4
2009060620,1,1
2009060623,1,1
2009060702,1,1
2009060704,1,1
2009060705,1,2
2009060823,1,1
2009060900,1,2
2009060901,1,3
2009060906,1,1
2009060907,1,2
2009060908,3,3
2009060909,1,4
2009060911,4,1
2009060912,1,2
2009060913,1,3
2009061000,3,1
2009061305,2,1
2009061306,3,2
2009061307,5,3
2009061308,6,4
2009061309,5,5
2009061311,2,1
2009061321,2,1
2009061419,1,1
2009061420,1,2
2009061502,2,1
2009061504,1,1
2009061919,1,1
2009062007,2,1
2009062016,3,1
2009062017,1,2
2009062114,1,1
2009062115,6,2
2009062116,4,3
2009062117,3,4
2009062201,4,1
2009062202,2,2
2009062506,3,1
2009062507,1,2
2009062508,3,3
2009062509,1,4
2009062512,3,1
2009062522,3,1
2009062609,2,1
2009062610,4,2
2009062612,1,1
2009062701,2,1
2009062702,5,2
2009062703,3,3
2009062705,5,1
2009062707,1,1
2009063007,4,1
2009063008,6,2
2009063009,4,3
2009063010,3,4
2009063011,3,5
2009063012,3,6
2009063013,2,7
2009063021,1,1
2009070200,1,1
2009070209,1,1
2009070407,3,1
2009070408,6,2
2009070409,2,3
2009070412,1,1
2009070606,3,1
2009070607,6,2
2009070608,6,3
2009070609,6,4
2009070610,5,5
2009070611,5,6
2009070612,2,7
2009070620,2,1
2009070621,1,2
2009070720,1,1
2009070805,1,1
2009070807,2,1
2009070818,1,1
2009070906,2,1
2009070907,3,2
2009070908,6,3
2009070909,6,4
2009070910,6,5
2009070911,6,6
2009070912,6,7
2009070913,6,8
2009071010,1,1
2009071107,2,1
2009071108,1,2
2009071110,3,1
2009071112,2,1
2009071117,1,1
2009071118,2,2
2009071213,1,1
2009071223,1,1
2009071301,2,1
2009071304,5,1
2009071508,2,1
2009071509,5,2
2009071510,6,3
2009071511,5,4
2009071512,1,5
