MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,18,0.00
0102,0,20,0.00
0103,0,21,0.00
0104,0,21,0.00
0105,0,21,0.00
0106,0,21,0.00
0107,1,20,5.00
0108,0,20,0.00
0109,1,20,5.00
0110,1,20,5.00
0111,1,19,5.26
0112,0,20,0.00
0113,0,20,0.00
0114,0,21,0.00
0115,0,21,0.00
0116,1,19,5.26
0117,1,20,5.00
0118,0,21,0.00
0119,0,21,0.00
0120,0,21,0.00
0121,2,20,10.00
0122,2,22,9.09
0123,1,22,4.55
0124,0,22,0.00
0125,1,22,4.55
0126,0,22,0.00
0127,0,22,0.00
0128,0,22,0.00
0129,0,22,0.00
0130,0,22,0.00
0131,0,22,0.00
0201,2,22,9.09
0202,2,22,9.09
0203,1,22,4.55
0204,2,22,9.09
0205,1,22,4.55
0206,1,22,4.55
0207,2,22,9.09
0208,1,22,4.55
0209,0,22,0.00
0210,2,22,9.09
0211,2,22,9.09
0212,0,23,0.00
0213,0,23,0.00
0214,0,23,0.00
0215,1,24,4.17
0216,3,24,12.50
0217,1,24,4.17
0218,3,24,12.50
0219,1,24,4.17
0220,1,24,4.17
0221,1,24,4.17
0222,1,24,4.17
0223,1,24,4.17
0224,0,24,0.00
0225,0,24,0.00
0226,2,23,8.70
0227,0,23,0.00
0228,0,23,0.00
0229,1,5,20.00
0301,2,24,8.33
0302,1,24,4.17
0303,1,24,4.17
0304,2,24,8.33
0305,2,24,8.33
0306,4,23,17.39
0307,3,23,13.04
0308,1,23,4.35
0309,0,23,0.00
0310,0,23,0.00
0311,2,22,9.09
0312,0,22,0.00
0313,2,22,9.09
0314,3,22,13.64
0315,1,22,4.55
0316,1,22,4.55
0317,3,22,13.64
0318,3,22,13.64
0319,2,22,9.09
0320,0,22,0.00
0321,3,22,13.64
0322,4,23,17.39
0323,4,23,17.39
0324,1,23,4.35
0325,0,22,0.00
0326,2,22,9.09
0327,0,22,0.00
0328,1,23,4.35
0329,1,23,4.35
0330,3,23,13.04
0331,4,23,17.39
0401,4,22,18.18
