MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,18,0.00
0102,0,20,0.00
0103,0,21,0.00
0104,0,21,0.00
0105,0,21,0.00
0106,0,20,0.00
0107,0,19,0.00
0108,0,19,0.00
0109,0,19,0.00
0110,0,19,0.00
0111,0,18,0.00
0112,0,19,0.00
0113,0,19,0.00
0114,1,20,5.00
0115,2,20,10.00
0116,1,18,5.56
0117,1,19,5.26
0118,0,20,0.00
0119,0,20,0.00
0120,0,20,0.00
0121,0,19,0.00
0122,0,21,0.00
0123,1,21,4.76
0124,0,21,0.00
0125,1,21,4.76
0126,0,21,0.00
0127,0,21,0.00
0128,0,21,0.00
0129,0,21,0.00
0130,0,21,0.00
0131,0,21,0.00
0201,1,21,4.76
0202,2,21,9.52
0203,0,21,0.00
0204,0,21,0.00
0205,0,21,0.00
0206,1,21,4.76
0207,1,21,4.76
0208,1,21,4.76
0209,1,21,4.76
0210,2,21,9.52
0211,0,21,0.00
0212,1,22,4.55
0213,0,22,0.00
0214,0,22,0.00
0215,1,23,4.35
0216,2,23,8.70
0217,1,23,4.35
0218,2,23,8.70
0219,2,23,8.70
0220,0,23,0.00
0221,0,23,0.00
0222,2,23,8.70
0223,3,23,13.04
0224,1,23,4.35
0225,2,23,8.70
0226,2,22,9.09
0227,3,22,13.64
0228,1,22,4.55
0229,1,5,20.00
0301,0,23,0.00
0302,2,23,8.70
0303,3,23,13.04
0304,4,23,17.39
0305,3,23,13.04
0306,6,23,26.09
0307,3,23,13.04
0308,2,23,8.70
0309,1,23,4.35
0310,2,23,8.70
0311,2,22,9.09
0312,3,22,13.64
0313,2,22,9.09
0314,3,22,13.64
0315,6,22,27.27
0316,10,22,45.45
0317,9,22,40.91
0318,4,22,18.18
0319,6,22,27.27
0320,4,22,18.18
0321,8,22,36.36
0322,5,23,21.74
0323,4,23,17.39
0324,3,23,13.04
0325,6,22,27.27
0326,9,22,40.91
0327,3,23,13.04
0328,7,23,30.43
0329,8,24,33.33
0330,4,24,16.67
0331,7,24,29.17
0401,6,22,27.27
