OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1997032903,3,1
1997032904,4,2
1997032905,2,3
1997032906,2,4
1997033109,2,1
1997033110,1,2
1997033112,2,1
1997033113,4,2
1997033114,4,3
1997033115,3,4
1997033116,3,5
1997033117,3,6
1997033118,2,7
1997033119,1,8
1997041001,1,1
1997041002,4,2
1997041003,4,3
1997041004,1,4
1997042318,1,1
1997042319,2,2
1997042320,2,3
1997042414,2,1
1997050104,4,1
1997050105,1,2
1997050204,2,1
1997051602,1,1
1997051723,1,1
1997051800,3,2
1997052022,1,1
1997052100,2,1
1997052101,3,2
1997052322,2,1
1997053100,3,1
1997053101,1,2
1997060103,1,1
1997060104,1,2
1997060420,1,1
1997060503,1,1
1997061023,1,1
1997061100,3,2
1997061200,1,1
1997061216,1,1
1997071017,1,1
1997071021,4,1
1997071022,3,2
1997071023,1,3
1997071101,1,1
1997071102,3,2
1997071103,1,3
1997071109,1,1
1997071110,1,2
1997071201,2,1
1997071202,1,2
1997071210,2,1
1997071211,4,2
1997071212,4,3
1997071213,1,4
1997071800,1,1
1997072819,1,1
1997073004,1,1
1997073021,1,1
1997080322,2,1
1997080400,2,1
1997081002,1,1
1997081103,3,1
1997081104,2,2
1997081201,4,1
1997081202,2,2
1997081206,3,1
1997081301,1,1
1997081723,1,1
1997081800,1,2
1997081801,1,3
1997082100,1,1
1997082114,1,1
1997082418,1,1
1997082419,2,2
1997082618,2,1
1997082619,2,2
1997082620,1,3
1997082802,1,1
1997082805,2,1
1997082903,1,1
1997083112,1,1
1997083122,1,1
1997091116,1,1
1997091118,2,1
1997091119,2,2
1997091120,2,3
1997091121,2,4
1997091122,4,5
1997091318,2,1
1997091319,1,2
1997091401,3,1
1997091402,3,2
1997091406,2,1
1997091417,1,1
1997091418,3,2
1997091419,4,3
1997091420,4,4
1997091421,4,5
1997091422,2,6
1997091500,2,1
1997091504,1,1
1997091506,2,1
1997091507,3,2
1997091508,4,3
1997091509,3,4
1997091510,4,5
1997091512,1,1
1997091516,3,1
1997091517,4,2
1997091518,2,3
1997091522,2,1
1997091719,2,1
1997091720,2,2
1997091721,1,3
1997091804,2,1
1997091805,3,2
1997091806,1,3
1997091811,1,1
1997091813,2,1
1997091814,2,2
1997091818,1,1
1997091904,2,1
1997091905,1,2
1997092712,1,1
1997100217,4,1
1997100218,4,2
1997100219,4,3
1997100220,4,4
1997100221,4,5
1997100222,2,6
1997100418,1,1
1997100419,2,2
1997100420,1,3
1997100601,1,1
1997100703,1,1
1997100704,1,2
1997100706,3,1
1997100707,3,2
1997100708,4,3
1997100804,1,1
1997100915,3,1
1997100916,3,2
1997100919,1,1
1997101007,1,1
1997101016,3,1
1997101017,4,2
1997101018,4,3
1997101019,4,4
1997101020,4,5
1997101021,4,6
1997101022,4,7
1997101023,1,8
1997101100,4,9
1997101101,4,10
1997101102,3,11
1997101103,4,12
1997101104,4,13
1997101105,3,14
1997101106,2,15
1997101107,1,16
1997101109,2,1
1997101110,4,2
1997101111,1,3
1997101202,3,1
1997101203,3,2
1997101204,2,3
1997101207,1,1
1997101211,3,1
1997101213,1,1
1997102405,1,1
1997102406,3,2
1997102407,3,3
1997102408,1,4
1997102409,1,5
1997102411,1,1
1997102414,1,1
1997102415,4,2
1997102416,4,3
1997102417,4,4
1997102418,1,5
1997102420,1,1
1997102421,1,2
1997102422,4,3
1997102423,1,4
1997102500,3,5
1997102501,3,6
1997102512,1,1
1997111421,2,1
1997112002,1,1
1997112518,1,1
1997112619,1,1
1997112620,4,2
1997112621,4,3
1997112622,2,4
1997112700,4,1
1997112701,3,2
1997112702,3,3
1997112704,2,1
1997112708,1,1
1997120911,1,1
1997120917,2,1
1997120918,2,2
1997120919,3,3
1997120920,1,4
1997120922,1,1
1997121002,1,1
1997122409,1,1
1997122500,1,1
1997122501,4,2
1997122502,3,3
1998010417,1,1
1998011123,2,1
1998011200,2,2
1998011203,1,1
1998011204,1,2
1998020415,1,1
1998020807,1,1
1998021419,1,1
1998021420,4,2
1998021421,1,3
1998021422,1,4
1998021423,2,5
1998021523,1,1
1998021600,2,2
1998021604,3,1
1998021605,1,2
1998021606,3,3
1998021607,3,4
1998021608,3,5
1998022210,1,1
1998022413,1,1
1998022500,1,1
1998030400,1,1
1998030401,2,2
1998030619,1,1
1998030621,1,1
1998030622,2,2
1998031716,2,1
1998031717,1,2
1998031807,1,1
1998031808,2,2
1998031809,3,3
1998031810,3,4
1998031811,2,5
1998031813,3,1
1998031814,3,2
1998031815,3,3
1998032402,2,1
1998032419,1,1
1998032421,1,1
1998032500,1,1
1998032509,1,1
1998032510,4,2
1998032512,1,1
1998032513,2,2
1998032514,2,3
1998032515,4,4
1998032516,4,5
1998032517,2,6
1998032518,3,7
1998032519,2,8
1998032715,1,1
1998032803,1,1
1998033018,1,1
1998040417,1,1
1998040418,4,2
1998040419,4,3
1998040421,1,1
1998041115,1,1
1998041116,2,2
1998041117,3,3
1998041118,4,4
1998041119,4,5
1998041120,3,6
1998041121,4,7
1998041122,4,8
1998041123,2,9
1998041200,3,10
1998041201,2,11
1998041217,4,1
1998041218,2,2
1998041319,1,1
1998041416,2,1
1998041417,4,2
1998041608,2,1
1998041609,2,2
1998042317,3,1
1998042318,3,2
1998042319,3,3
1998042320,2,4
1998042321,3,5
1998042322,4,6
1998042323,4,7
1998042400,4,8
1998042401,3,9
1998042402,3,10
1998042403,4,11
1998042404,4,12
1998042405,4,13
1998042406,3,14
1998042407,1,15
1998042408,1,16
1998042513,1,1
1998042604,2,1
1998042605,4,2
1998042606,4,3
1998042613,1,1
1998050500,2,1
1998050501,1,2
1998050521,1,1
1998051012,1,1
1998051020,4,1
1998051021,2,2
1998051023,1,1
1998051223,1,1
1998051300,2,2
1998051301,2,3
1998051316,2,1
1998051317,2,2
1998051319,4,1
1998051320,4,2
1998051321,4,3
1998051322,4,4
1998051323,2,5
1998051401,1,1
1998051621,2,1
1998051622,3,2
1998051623,2,3
1998051700,4,4
1998051701,3,5
1998051702,4,6
1998051703,1,7
1998051706,1,1
1998051707,2,2
1998052015,1,1
1998052016,1,2
1998052017,3,3
1998052018,4,4
1998052019,4,5
1998052020,4,6
1998052021,4,7
1998052022,3,8
1998052023,1,9
1998052102,3,1
1998052103,4,2
1998052107,2,1
1998052108,1,2
1998052118,2,1
1998052119,2,2
1998052121,2,1
1998052122,1,2
1998052201,1,1
1998052203,1,1
1998052204,1,2
1998052614,1,1
1998052615,1,2
1998052616,2,3
1998052617,1,4
1998052618,3,5
1998052619,4,6
1998052620,3,7
1998052621,3,8
1998052622,3,9
1998052703,1,1
1998052915,1,1
1998052916,3,2
1998052917,4,3
1998052918,4,4
1998052919,4,5
1998052920,4,6
1998052921,3,7
1998052922,4,8
1998052923,3,9
1998053000,4,10
1998053001,4,11
1998053002,4,12
1998053005,4,1
1998053006,4,2
1998053007,1,3
1998060302,4,1
1998060400,4,1
1998060401,4,2
1998060414,3,1
1998060800,2,1
1998061605,1,1
1998061606,2,2
1998061607,1,3
1998061616,4,1
1998061617,1,2
1998061621,1,1
1998062001,1,1
1998062304,1,1
1998062305,1,2
1998062321,2,1
1998062516,1,1
1998062606,2,1
1998062607,1,2
1998062609,1,1
1998062610,1,2
1998062622,1,1
1998062623,4,2
1998062700,1,3
1998062922,1,1
1998070320,1,1
1998070321,2,2
1998070419,3,1
1998070420,1,2
1998070421,2,3
1998070521,1,1
1998071021,1,1
1998072400,1,1
1998073001,1,1
1998073003,3,1
1998073115,1,1
1998073117,2,1
1998073118,4,2
1998073119,4,3
1998073120,3,4
1998073121,3,5
1998073122,4,6
1998073123,1,7
1998080100,2,8
1998080101,1,9
1998081715,1,1
1998081800,2,1
1998081801,4,2
1998081802,2,3
1998081803,1,4
1998081804,3,5
1998081805,4,6
1998081806,4,7
1998081807,3,8
1998081808,4,9
1998081809,4,10
1998081810,2,11
1998082019,3,1
1998082020,1,2
1998082321,1,1
1998082322,1,2
1998082518,1,1
1998082602,2,1
1998082603,3,2
1998082623,3,1
1998090800,1,1
1998090916,1,1
1998090920,2,1
1998090921,3,2
1998091816,2,1
1998091818,3,1
1998092512,1,1
1998092520,3,1
1998092600,1,1
1998100310,2,1
1998100311,3,2
