MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,11,0.00
0102,1,10,10.00
0103,0,11,0.00
0104,0,11,0.00
0105,1,11,9.09
0106,0,11,0.00
0107,0,11,0.00
0108,0,11,0.00
0109,0,11,0.00
0110,0,11,0.00
0111,0,11,0.00
0112,0,11,0.00
0113,0,11,0.00
0114,2,11,18.18
0115,1,11,9.09
0116,1,11,9.09
0117,0,11,0.00
0118,0,11,0.00
0119,0,11,0.00
0120,1,11,9.09
0121,0,11,0.00
0122,0,11,0.00
0123,1,11,9.09
0124,1,11,9.09
0125,1,11,9.09
0126,0,11,0.00
0127,0,11,0.00
0128,0,11,0.00
0129,0,11,0.00
0130,1,11,9.09
0131,1,11,9.09
0201,1,11,9.09
0202,1,11,9.09
0203,1,11,9.09
0204,0,11,0.00
0205,2,11,18.18
0206,2,11,18.18
0207,2,11,18.18
0208,1,11,9.09
0209,1,11,9.09
0210,0,11,0.00
0211,0,11,0.00
0212,0,11,0.00
0213,3,11,27.27
0214,3,11,27.27
0215,1,11,9.09
0216,3,11,27.27
0217,3,11,27.27
0218,3,11,27.27
0219,2,11,18.18
0220,0,10,0.00
0221,1,10,10.00
0222,1,10,10.00
0223,0,10,0.00
0224,1,11,9.09
0225,1,11,9.09
0226,1,11,9.09
0227,2,11,18.18
0228,2,11,18.18
0229,1,3,33.33
0301,2,11,18.18
0302,2,11,18.18
0303,3,11,27.27
0304,1,11,9.09
0305,4,10,40.00
0306,6,10,60.00
0307,1,10,10.00
0308,1,10,10.00
0309,3,10,30.00
0310,6,10,60.00
0311,5,10,50.00
0312,3,10,30.00
0313,3,10,30.00
0314,4,10,40.00
0315,4,10,40.00
0316,3,10,30.00
0317,3,10,30.00
0318,3,10,30.00
0319,4,10,40.00
0320,5,10,50.00
0321,5,10,50.00
0322,4,10,40.00
0323,3,10,30.00
0324,2,10,20.00
0325,2,10,20.00
0326,4,10,40.00
0327,3,10,30.00
0328,5,10,50.00
0329,2,10,20.00
0330,2,10,20.00
0331,5,10,50.00
0401,4,10,40.00
0402,4,10,40.00
0403,4,10,40.00
0404,8,10,80.00
0405,6,10,60.00
0406,4,10,40.00
0407,4,10,40.00
0408,5,10,50.00
0409,2,10,20.00
0410,5,10,50.00
0411,5,10,50.00
0412,5,10,50.00
0413,3,10,30.00
0414,4,10,40.00
0415,4,10,40.00
0416,3,9,33.33
0417,4,9,44.44
0418,3,9,33.33
0419,2,9,22.22
0420,5,9,55.56
0421,6,9,66.67
0422,6,9,66.67
0423,7,9,77.78
0424,5,9,55.56
0425,5,9,55.56
0426,3,9,33.33
0427,3,9,33.33
0428,5,9,55.56
0429,6,9,66.67
0430,6,9,66.67
0501,4,9,44.44
0502,5,9,55.56
0503,7,9,77.78
0504,9,9,100.00
0505,7,9,77.78
0506,7,9,77.78
0507,4,9,44.44
0508,4,9,44.44
0509,3,9,33.33
0510,4,9,44.44
0511,6,9,66.67
0512,7,9,77.78
0513,8,9,88.89
0514,7,9,77.78
0515,6,8,75.00
0516,4,8,50.00
0517,4,8,50.00
0518,4,8,50.00
0519,2,8,25.00
0520,3,8,37.50
0521,2,8,25.00
0522,3,8,37.50
0523,4,8,50.00
0524,3,8,37.50
0525,3,8,37.50
0526,4,8,50.00
0527,4,8,50.00
0528,2,8,25.00
0529,5,8,62.50
0530,7,8,87.50
0531,7,8,87.50
0601,6,8,75.00
0602,7,8,87.50
0603,8,8,100.00
0604,7,8,87.50
0605,7,8,87.50
0606,6,8,75.00
0607,6,8,75.00
0608,7,8,87.50
0609,7,8,87.50
0610,7,8,87.50
0611,7,8,87.50
0612,6,8,75.00
0613,7,8,87.50
0614,7,8,87.50
0615,6,8,75.00
0616,6,8,75.00
0617,4,8,50.00
0618,3,8,37.50
0619,5,8,62.50
0620,7,8,87.50
0621,8,8,100.00
0622,8,8,100.00
0623,8,8,100.00
0624,8,8,100.00
0625,8,8,100.00
0626,8,8,100.00
0627,7,8,87.50
0628,7,8,87.50
0629,7,8,87.50
0630,6,8,75.00
0701,7,8,87.50
0702,7,8,87.50
0703,8,8,100.00
0704,8,8,100.00
0705,7,8,87.50
0706,6,8,75.00
0707,6,8,75.00
0708,6,8,75.00
0709,7,8,87.50
0710,5,8,62.50
0711,3,8,37.50
0712,5,8,62.50
0713,5,8,62.50
0714,6,8,75.00
0715,6,9,66.67
0716,7,9,77.78
0717,7,9,77.78
0718,7,9,77.78
0719,8,9,88.89
0720,6,9,66.67
0721,6,9,66.67
0722,6,9,66.67
0723,6,9,66.67
0724,7,9,77.78
0725,6,9,66.67
0726,6,9,66.67
0727,7,9,77.78
0728,6,9,66.67
0729,6,9,66.67
0730,6,9,66.67
0731,7,9,77.78
0801,6,9,66.67
0802,8,9,88.89
0803,7,9,77.78
0804,7,9,77.78
0805,7,9,77.78
0806,7,9,77.78
0807,5,9,55.56
0808,4,9,44.44
0809,5,9,55.56
0810,7,9,77.78
0811,9,9,100.00
0812,7,9,77.78
0813,6,9,66.67
0814,6,9,66.67
0815,7,9,77.78
0816,8,9,88.89
0817,9,9,100.00
0818,9,9,100.00
0819,9,9,100.00
0820,7,9,77.78
0821,7,9,77.78
0822,6,9,66.67
0823,5,9,55.56
0824,5,9,55.56
0825,7,9,77.78
0826,7,9,77.78
0827,6,9,66.67
0828,7,9,77.78
0829,8,9,88.89
0830,8,9,88.89
0831,6,9,66.67
0901,5,9,55.56
0902,5,9,55.56
0903,8,9,88.89
0904,8,9,88.89
0905,7,9,77.78
