OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2011021809,1,1
2011021813,1,1
2011022615,1,1
2011030208,1,1
2011030407,1,1
2011030417,1,1
2011030714,1,1
2011030822,1,1
2011031303,1,1
2011031412,1,1
2011031418,1,1
2011031522,1,1
2011031612,1,1
2011031621,1,1
2011031720,1,1
2011031802,1,1
2011032105,1,1
2011032112,1,1
2011032308,1,1
2011032421,1,1
2011032623,1,1
2011032800,1,1
2011032813,1,1
2011033111,1,1
2011033116,1,1
2011040705,1,1
2011040711,1,1
2011040801,1,1
2011041103,1,1
2011041223,1,1
2011041505,1,1
2013040623,1,1
2013102518,2,1
