OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2010120222,1,1
2010120223,1,2
2010120305,1,1
2010120306,1,2
2010120312,1,1
2010120819,1,1
2010120820,3,2
2010120821,6,3
2010120822,4,4
2010120823,3,5
2010121319,2,1
2010121410,1,1
2010121412,6,1
2010121413,2,2
2010121414,6,3
2010121415,6,4
2010121416,6,5
2010121417,6,6
2010121418,6,7
2010121419,6,8
2010121420,5,9
2010121421,1,10
2011010920,1,1
2011011119,1,1
2011011905,5,1
2011020119,1,1
2011020200,1,1
2011020201,5,2
2011020205,3,1
2011020218,1,1
2011020219,5,2
2011020220,2,3
2011020317,3,1
2011020318,4,2
2011020319,4,3
2011020320,1,4
2011021217,1,1
2011021218,5,2
2011021219,6,3
2011021220,4,4
2011021308,5,1
2011021309,5,2
2011021310,5,3
2011021311,6,4
2011021312,5,5
2011021316,2,1
2011021317,6,2
2011021318,5,3
2011021319,6,4
2011021320,5,5
2011021321,3,6
2011021416,1,1
2011021417,6,2
2011021418,6,3
2011021419,5,4
2011021420,6,5
2011021421,6,6
2011021422,6,7
2011021423,5,8
2011021500,6,9
2011021501,5,10
2011021502,3,11
2011021518,6,1
2011021519,6,2
2011021520,6,3
2011021521,5,4
2011021522,6,5
2011021523,6,6
2011021600,1,7
2011021601,2,8
2011021608,2,1
2011021609,6,2
2011021610,3,3
2011021611,5,4
2011021612,4,5
2011021613,2,6
2011021615,1,1
2011021616,1,2
2011021617,1,3
2011021817,2,1
2011021818,6,2
2011021819,3,3
2011022815,2,1
2011022816,5,2
2011022817,6,3
2011022818,6,4
2011022819,6,5
2011022820,6,6
2011022821,6,7
2011022822,5,8
2011030117,5,1
2011030118,6,2
2011030119,6,3
2011030120,6,4
2011030121,6,5
2011030122,1,6
2011030214,1,1
2011030215,2,2
2011030216,6,3
2011030217,6,4
2011030218,3,5
2011030516,1,1
2011030517,4,2
2011030518,6,3
2011030521,2,1
2011031017,1,1
2011031018,2,2
2011031019,6,3
2011031020,2,4
2011031021,5,5
2011031022,5,6
2011031104,2,1
2011031518,1,1
2011031520,1,1
2011031911,2,1
2011031912,6,2
2011031913,6,3
2011031914,6,4
2011031915,6,5
2011031916,4,6
2011032109,6,1
2011032110,5,2
2011032111,5,3
2011032112,5,4
2011032113,3,5
2011032114,5,6
2011032115,6,7
2011032116,6,8
2011032117,2,9
2011032206,1,1
2011032313,1,1
2011032717,3,1
2011032918,2,1
2011032919,4,2
2011032920,6,3
2011032921,6,4
2011032922,6,5
2011032923,6,6
2011033000,1,7
2011033117,1,1
2011033118,6,2
2011033119,5,3
2011033120,6,4
2011033121,6,5
2011033122,6,6
2011033123,3,7
2011040116,3,1
2011040117,6,2
2011040118,6,3
2011040119,6,4
2011040120,6,5
2011040121,6,6
2011040122,5,7
2011040123,3,8
2011040212,3,1
2011040213,5,2
2011040214,6,3
2011040215,6,4
2011040216,6,5
2011040217,6,6
2011040218,2,7
2011040220,1,1
2011040222,1,1
2011040223,1,2
2011040609,1,1
2011040621,4,1
2011040622,3,2
2011040623,3,3
2011040700,3,4
2011040701,1,5
2011041118,3,1
2011041119,1,2
2011041122,4,1
2011041123,2,2
2011041318,2,1
2011041319,3,2
2011041321,4,1
2011041322,6,2
2011041323,6,3
2011041400,3,4
2011041401,1,5
2011041418,1,1
2011041419,6,2
2011041420,6,3
2011041421,5,4
2011041422,5,5
2011111118,1,1
2011111119,2,2
2011111120,6,3
2011111121,6,4
2011111122,6,5
2011111123,6,6
2011111200,6,7
2011111201,5,8
2011111202,1,9
2011111203,3,10
2011111204,1,11
2011111502,2,1
2011111503,5,2
2011111504,6,3
2011111505,5,4
2011111506,1,5
2011111722,1,1
2011112320,1,1
2011112416,2,1
2011112419,1,1
2011112602,4,1
2011112603,1,2
2011112619,1,1
2011113018,1,1
2011121120,6,1
2011121121,6,2
2011121122,6,3
2011121123,1,4
2011122120,3,1
2011122617,1,1
2011122718,5,1
2011122719,6,2
2011122720,6,3
2011122721,2,4
2011122822,1,1
2011123022,1,1
2011123113,5,1
2011123114,1,2
2011123115,2,3
2011123117,1,1
2011123118,2,2
2011123119,3,3
2011123120,5,4
2011123121,1,5
2012010118,2,1
2012010119,2,2
2012010318,3,1
2012010319,6,2
2012010320,5,3
2012010321,2,4
2012010322,2,5
2012011418,5,1
2012011419,6,2
2012011420,6,3
2012011421,6,4
2012011422,3,5
2012011423,1,6
2012011503,1,1
2012011504,6,2
2012011505,6,3
2012011506,6,4
2012011507,6,5
2012011508,6,6
2012011509,6,7
2012011510,6,8
2012011511,6,9
2012011512,6,10
2012011513,6,11
2012011514,6,12
2012011515,6,13
2012011516,6,14
2012011517,6,15
2012011518,6,16
2012011519,6,17
2012011520,6,18
2012011521,6,19
2012011522,6,20
2012011523,6,21
2012011600,6,22
2012011601,6,23
2012011602,6,24
2012011603,6,25
2012011604,6,26
2012011605,6,27
2012011606,6,28
2012011607,2,29
2012011621,2,1
2012011622,4,2
2012011719,1,1
2012011720,6,2
2012011721,5,3
2012011722,1,4
2012011723,5,5
2012011811,4,1
2012011812,4,2
2012011813,1,3
2012011814,4,4
2012011815,1,5
2012011817,1,1
2012011818,1,2
2012012919,1,1
2012022221,1,1
2012022312,2,1
2012022319,4,1
2012022320,4,2
2012022620,2,1
2012022716,2,1
2012022717,6,2
2012022718,6,3
2012022719,5,4
2012022720,6,5
2012022721,6,6
2012022722,4,7
2012030517,4,1
2012030518,5,2
2012030519,6,3
2012030520,6,4
2012030521,5,5
2012030522,4,6
2012030604,1,1
2012030605,4,2
2012030606,5,3
2012030607,6,4
2012030608,4,5
2012030609,6,6
2012030610,6,7
2012030611,6,8
2012030612,4,9
2012030613,1,10
2012030614,6,11
2012030615,5,12
2012030616,6,13
2012030617,6,14
2012030618,6,15
2012030619,5,16
2012030620,2,17
2012030621,4,18
2012030622,5,19
2012030623,3,20
