MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,6,13,46.15
0102,4,14,28.57
0103,6,14,42.86
0104,6,14,42.86
0105,4,13,30.77
0106,6,13,46.15
0107,2,13,15.38
0108,3,13,23.08
0109,4,13,30.77
0110,5,13,38.46
0111,5,13,38.46
0112,2,12,16.67
0113,3,12,25.00
0114,1,12,8.33
0115,2,12,16.67
0116,5,12,41.67
0117,5,12,41.67
0118,4,12,33.33
0119,3,11,27.27
0120,2,11,18.18
0121,5,12,41.67
0122,7,12,58.33
0123,4,12,33.33
0124,3,11,27.27
0125,5,11,45.45
0126,4,12,33.33
0127,2,12,16.67
0128,3,12,25.00
0129,3,11,27.27
0130,2,11,18.18
0131,2,12,16.67
0201,3,12,25.00
0202,4,12,33.33
0203,4,11,36.36
0204,2,11,18.18
0205,2,11,18.18
0206,2,11,18.18
0207,1,11,9.09
0208,1,12,8.33
0209,2,12,16.67
0210,3,12,25.00
0211,8,12,66.67
0212,4,13,30.77
0213,2,13,15.38
0214,3,13,23.08
0215,3,13,23.08
0216,3,13,23.08
0217,3,13,23.08
0218,3,13,23.08
0219,4,13,30.77
0220,2,13,15.38
0221,1,13,7.69
0222,1,13,7.69
0223,4,13,30.77
0224,1,13,7.69
0225,4,13,30.77
0226,2,13,15.38
0227,5,13,38.46
0228,2,13,15.38
0229,0,2,0.00
0301,2,12,16.67
0302,2,12,16.67
0303,5,12,41.67
0304,7,12,58.33
0305,3,12,25.00
0306,4,12,33.33
0307,5,12,41.67
0308,5,12,41.67
0309,3,12,25.00
0310,3,12,25.00
0311,4,12,33.33
0312,3,12,25.00
0313,3,12,25.00
0314,5,12,41.67
0315,4,12,33.33
0316,2,12,16.67
0317,2,12,16.67
0318,3,12,25.00
0319,2,12,16.67
0320,3,12,25.00
0321,4,12,33.33
0322,1,12,8.33
0323,5,12,41.67
0324,2,13,15.38
0325,5,13,38.46
0326,8,13,61.54
0327,5,13,38.46
0328,5,13,38.46
0329,7,13,53.85
0330,2,13,15.38
0331,4,13,30.77
0401,3,12,25.00
0402,3,12,25.00
0403,4,12,33.33
0404,2,12,16.67
0405,5,12,41.67
0406,3,13,23.08
0407,4,13,30.77
0408,5,13,38.46
0409,3,13,23.08
0410,5,13,38.46
0411,5,12,41.67
0412,5,12,41.67
0413,7,12,58.33
0414,7,12,58.33
0415,5,12,41.67
0416,4,12,33.33
0417,6,13,46.15
0418,5,13,38.46
0419,4,13,30.77
0420,2,13,15.38
0421,4,13,30.77
0422,3,13,23.08
0423,4,12,33.33
0424,4,12,33.33
0425,3,12,25.00
0426,3,12,25.00
0427,2,12,16.67
0428,6,12,50.00
0429,6,12,50.00
0430,4,12,33.33
0501,3,12,25.00
0502,3,12,25.00
0503,3,12,25.00
0504,1,12,8.33
0505,5,12,41.67
0506,7,12,58.33
0507,6,12,50.00
0508,2,12,16.67
0509,1,12,8.33
0510,1,12,8.33
0511,2,12,16.67
0512,5,12,41.67
0513,4,12,33.33
0514,3,12,25.00
0515,3,12,25.00
0516,2,11,18.18
0517,5,11,45.45
0518,3,11,27.27
0519,5,11,45.45
0520,4,11,36.36
0521,4,11,36.36
0522,5,11,45.45
0523,4,11,36.36
0524,2,11,18.18
0525,3,11,27.27
0526,4,11,36.36
0527,4,11,36.36
0528,2,11,18.18
0529,1,11,9.09
0530,1,11,9.09
0531,4,11,36.36
0601,4,11,36.36
0602,1,11,9.09
0603,0,11,0.00
0604,1,12,8.33
0605,2,12,16.67
0606,3,12,25.00
0607,3,12,25.00
0608,6,12,50.00
0609,5,12,41.67
0610,5,12,41.67
0611,3,12,25.00
0612,4,12,33.33
0613,3,12,25.00
0614,4,12,33.33
0615,4,12,33.33
0616,6,12,50.00
0617,6,12,50.00
0618,5,12,41.67
0619,3,12,25.00
0620,2,11,18.18
0621,1,11,9.09
0622,2,11,18.18
0623,2,11,18.18
0624,2,11,18.18
0625,2,12,16.67
0626,2,12,16.67
0627,3,12,25.00
0628,3,12,25.00
0629,3,12,25.00
0630,2,12,16.67
0701,2,12,16.67
0702,1,12,8.33
0703,2,12,16.67
0704,1,12,8.33
0705,1,12,8.33
0706,0,11,0.00
0707,1,12,8.33
0708,1,12,8.33
0709,2,12,16.67
0710,1,12,8.33
0711,0,12,0.00
0712,0,13,0.00
0713,2,13,15.38
0714,3,13,23.08
0715,0,13,0.00
0716,1,14,7.14
0717,3,14,21.43
0718,1,14,7.14
0719,0,13,0.00
0720,0,13,0.00
0721,1,13,7.69
0722,1,13,7.69
0723,0,13,0.00
0724,0,12,0.00
0725,0,11,0.00
0726,0,12,0.00
0727,0,12,0.00
0728,0,12,0.00
0729,0,12,0.00
0730,0,13,0.00
0731,0,13,0.00
0801,1,12,8.33
0802,1,12,8.33
0803,0,12,0.00
0804,0,12,0.00
0805,0,12,0.00
0806,1,12,8.33
0807,2,12,16.67
0808,2,12,16.67
0809,1,12,8.33
0810,2,12,16.67
0811,2,12,16.67
0812,1,12,8.33
0813,0,12,0.00
0814,0,11,0.00
0815,0,11,0.00
0816,0,11,0.00
0817,0,11,0.00
0818,0,11,0.00
0819,2,11,18.18
0820,0,11,0.00
0821,2,11,18.18
0822,3,11,27.27
0823,1,11,9.09
0824,1,11,9.09
0825,1,11,9.09
0826,1,11,9.09
0827,2,11,18.18
0828,1,10,10.00
0829,1,11,9.09
0830,1,12,8.33
0831,3,12,25.00
0901,2,12,16.67
0902,0,12,0.00
0903,2,12,16.67
0904,2,12,16.67
0905,2,12,16.67
0906,2,12,16.67
0907,0,12,0.00
0908,2,12,16.67
0909,2,12,16.67
0910,0,12,0.00
0911,0,12,0.00
0912,2,12,16.67
0913,3,12,25.00
0914,2,12,16.67
0915,2,12,16.67
0916,3,12,25.00
0917,3,12,25.00
0918,3,12,25.00
0919,5,12,41.67
0920,5,12,41.67
0921,5,12,41.67
0922,6,12,50.00
0923,1,11,9.09
0924,1,11,9.09
0925,2,11,18.18
0926,1,11,9.09
0927,0,11,0.00
0928,2,11,18.18
0929,4,11,36.36
0930,3,11,27.27
1001,2,11,18.18
1002,3,11,27.27
1003,2,11,18.18
1004,5,11,45.45
1005,2,11,18.18
1006,2,11,18.18
1007,0,10,0.00
1008,0,10,0.00
1009,3,10,30.00
1010,2,10,20.00
1011,4,12,33.33
1012,1,12,8.33
1013,3,12,25.00
1014,4,12,33.33
1015,7,11,63.64
1016,5,12,41.67
1017,3,12,25.00
1018,3,12,25.00
1019,3,12,25.00
1020,3,12,25.00
1021,2,12,16.67
1022,4,12,33.33
1023,4,12,33.33
1024,4,12,33.33
1025,6,12,50.00
1026,4,12,33.33
1027,5,12,41.67
1028,4,13,30.77
1029,4,13,30.77
1030,5,13,38.46
1031,4,13,30.77
1101,2,13,15.38
1102,1,13,7.69
1103,4,12,33.33
1104,3,12,25.00
1105,1,11,9.09
1106,3,11,27.27
1107,2,11,18.18
1108,2,11,18.18
1109,3,11,27.27
1110,2,11,18.18
1111,2,11,18.18
1112,2,11,18.18
1113,3,11,27.27
1114,1,11,9.09
1115,2,12,16.67
1116,4,12,33.33
1117,4,12,33.33
1118,3,13,23.08
1119,4,13,30.77
1120,3,14,21.43
1121,5,14,35.71
1122,4,14,28.57
1123,4,14,28.57
1124,3,13,23.08
1125,3,13,23.08
1126,3,14,21.43
1127,4,14,28.57
1128,4,14,28.57
1129,5,14,35.71
1130,4,14,28.57
1201,4,14,28.57
1202,5,14,35.71
1203,6,14,42.86
1204,2,14,14.29
1205,4,14,28.57
1206,3,14,21.43
1207,4,15,26.67
1208,2,14,14.29
1209,5,14,35.71
1210,5,14,35.71
1211,5,14,35.71
1212,5,14,35.71
1213,6,15,40.00
1214,5,15,33.33
1215,2,15,13.33
1216,5,15,33.33
1217,6,15,40.00
1218,2,15,13.33
1219,6,15,40.00
1220,5,15,33.33
1221,6,15,40.00
1222,5,15,33.33
1223,5,15,33.33
1224,5,14,35.71
1225,3,14,21.43
1226,3,13,23.08
1227,4,13,30.77
1228,4,13,30.77
1229,4,13,30.77
1230,2,13,15.38
1231,5,13,38.46
