MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,8,13,61.54
0102,6,14,42.86
0103,6,14,42.86
0104,5,14,35.71
0105,4,14,28.57
0106,3,14,21.43
0107,2,14,14.29
0108,3,14,21.43
0109,6,14,42.86
0110,7,14,50.00
0111,5,14,35.71
0112,4,13,30.77
0113,4,13,30.77
0114,6,13,46.15
0115,6,13,46.15
0116,7,13,53.85
0117,7,13,53.85
0118,5,13,38.46
0119,8,12,66.67
0120,2,12,16.67
0121,9,13,69.23
0122,9,13,69.23
0123,8,13,61.54
0124,6,12,50.00
0125,7,12,58.33
0126,5,13,38.46
0127,5,13,38.46
0128,7,13,53.85
0129,4,12,33.33
0130,4,12,33.33
0131,2,13,15.38
0201,3,13,23.08
0202,6,13,46.15
0203,3,12,25.00
0204,3,12,25.00
0205,5,12,41.67
0206,4,12,33.33
0207,4,12,33.33
0208,3,13,23.08
0209,6,13,46.15
0210,6,13,46.15
0211,8,13,61.54
0212,5,14,35.71
0213,3,14,21.43
0214,6,14,42.86
0215,6,14,42.86
0216,5,14,35.71
0217,6,14,42.86
0218,5,14,35.71
0219,5,14,35.71
0220,3,14,21.43
0221,4,14,28.57
0222,7,14,50.00
0223,8,14,57.14
0224,2,14,14.29
0225,6,14,42.86
0226,6,14,42.86
0227,8,14,57.14
0228,2,14,14.29
0229,0,2,0.00
0301,4,13,30.77
0302,3,13,23.08
0303,5,13,38.46
0304,6,13,46.15
0305,4,12,33.33
0306,5,12,41.67
0307,5,12,41.67
0308,5,12,41.67
0309,3,12,25.00
0310,4,12,33.33
0311,4,12,33.33
0312,3,12,25.00
0313,3,12,25.00
0314,5,12,41.67
0315,5,12,41.67
0316,4,12,33.33
0317,3,12,25.00
0318,4,12,33.33
0319,4,12,33.33
0320,3,12,25.00
0321,5,12,41.67
0322,4,12,33.33
0323,6,12,50.00
0324,7,13,53.85
0325,6,13,46.15
0326,10,13,76.92
0327,5,13,38.46
0328,7,13,53.85
0329,9,13,69.23
0330,4,13,30.77
0331,5,13,38.46
0401,8,12,66.67
0402,6,12,50.00
0403,5,12,41.67
0404,3,12,25.00
0405,5,12,41.67
0406,6,13,46.15
0407,6,13,46.15
0408,6,13,46.15
0409,4,13,30.77
0410,6,13,46.15
0411,6,12,50.00
0412,5,12,41.67
0413,8,12,66.67
0414,8,12,66.67
0415,5,12,41.67
0416,5,12,41.67
0417,6,13,46.15
0418,10,13,76.92
0419,7,13,53.85
0420,4,13,30.77
0421,2,13,15.38
0422,5,13,38.46
0423,6,12,50.00
0424,8,12,66.67
0425,5,12,41.67
0426,5,12,41.67
0427,3,12,25.00
0428,7,12,58.33
0429,7,12,58.33
0430,5,12,41.67
0501,4,12,33.33
0502,5,12,41.67
0503,4,12,33.33
0504,4,12,33.33
0505,6,12,50.00
0506,8,12,66.67
0507,8,12,66.67
0508,4,12,33.33
0509,2,12,16.67
0510,4,12,33.33
0511,6,12,50.00
0512,6,12,50.00
0513,7,12,58.33
0514,4,12,33.33
0515,4,12,33.33
0516,3,11,27.27
0517,5,11,45.45
0518,6,11,54.55
0519,5,11,45.45
0520,6,11,54.55
0521,7,11,63.64
0522,7,11,63.64
0523,4,11,36.36
0524,6,11,54.55
0525,7,11,63.64
0526,6,11,54.55
0527,5,11,45.45
0528,4,11,36.36
0529,3,11,27.27
0530,5,11,45.45
0531,5,11,45.45
0601,5,11,45.45
0602,3,11,27.27
0603,2,11,18.18
0604,3,12,25.00
0605,6,12,50.00
0606,5,12,41.67
0607,5,12,41.67
0608,7,12,58.33
0609,8,12,66.67
0610,8,12,66.67
0611,3,12,25.00
0612,6,12,50.00
0613,6,12,50.00
0614,6,12,50.00
0615,6,12,50.00
0616,7,12,58.33
0617,8,12,66.67
0618,7,12,58.33
0619,7,12,58.33
0620,4,11,36.36
0621,6,11,54.55
0622,6,11,54.55
0623,3,11,27.27
0624,5,11,45.45
0625,6,12,50.00
0626,6,12,50.00
0627,5,12,41.67
0628,4,12,33.33
0629,6,12,50.00
0630,2,12,16.67
0701,3,12,25.00
0702,3,12,25.00
0703,6,12,50.00
0704,4,12,33.33
0705,2,12,16.67
0706,2,11,18.18
0707,3,12,25.00
0708,4,12,33.33
0709,4,12,33.33
0710,3,12,25.00
0711,2,12,16.67
