MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,12,8.33
0102,2,13,15.38
0103,2,13,15.38
0104,3,13,23.08
0105,3,13,23.08
0106,3,13,23.08
0107,4,13,30.77
0108,2,13,15.38
0109,1,13,7.69
0110,1,13,7.69
0111,2,13,15.38
0112,1,12,8.33
0113,1,12,8.33
0114,3,12,25.00
0115,2,12,16.67
0116,3,12,25.00
0117,3,12,25.00
0118,2,12,16.67
0119,2,11,18.18
0120,2,11,18.18
0121,2,12,16.67
0122,1,12,8.33
0123,2,12,16.67
0124,1,11,9.09
0125,1,11,9.09
0126,2,12,16.67
0127,2,12,16.67
0128,2,12,16.67
0129,2,11,18.18
0130,3,11,27.27
0131,2,12,16.67
0201,4,12,33.33
0202,4,12,33.33
0203,2,11,18.18
0204,1,11,9.09
0205,3,11,27.27
0206,3,11,27.27
0207,3,11,27.27
0208,5,12,41.67
0209,4,12,33.33
0210,1,12,8.33
0211,3,12,25.00
0212,4,13,30.77
0213,5,13,38.46
0214,4,13,30.77
0215,4,13,30.77
0216,6,13,46.15
0217,7,13,53.85
0218,8,13,61.54
0219,6,13,46.15
0220,5,13,38.46
0221,5,13,38.46
0222,4,13,30.77
0223,2,13,15.38
0224,4,13,30.77
0225,5,13,38.46
0226,7,13,53.85
0227,7,13,53.85
0228,7,13,53.85
0229,2,2,100.00
0301,5,12,41.67
0302,5,12,41.67
0303,6,12,50.00
0304,5,12,41.67
0305,7,12,58.33
0306,10,12,83.33
0307,9,12,75.00
0308,3,12,25.00
0309,4,12,33.33
0310,6,12,50.00
0311,5,12,41.67
0312,5,12,41.67
0313,3,12,25.00
0314,6,12,50.00
0315,7,12,58.33
0316,8,12,66.67
0317,8,12,66.67
0318,9,12,75.00
0319,8,12,66.67
0320,10,12,83.33
0321,7,12,58.33
0322,7,12,58.33
0323,4,12,33.33
0324,7,13,53.85
0325,9,13,69.23
0326,9,13,69.23
0327,7,13,53.85
0328,9,13,69.23
0329,9,13,69.23
0330,9,13,69.23
0331,10,13,76.92
0401,9,12,75.00
0402,8,12,66.67
0403,9,12,75.00
0404,8,12,66.67
0405,9,12,75.00
0406,8,13,61.54
0407,7,13,53.85
0408,11,13,84.62
0409,8,13,61.54
0410,10,13,76.92
0411,9,12,75.00
0412,7,12,58.33
0413,7,12,58.33
0414,10,12,83.33
0415,9,12,75.00
0416,9,12,75.00
0417,5,13,38.46
0418,9,13,69.23
0419,11,13,84.62
0420,12,13,92.31
0421,10,13,76.92
0422,9,13,69.23
0423,9,12,75.00
0424,9,12,75.00
0425,9,12,75.00
0426,10,12,83.33
0427,9,12,75.00
0428,10,12,83.33
0429,11,12,91.67
0430,9,12,75.00
0501,8,12,66.67
0502,8,12,66.67
0503,9,12,75.00
0504,12,12,100.00
0505,9,12,75.00
0506,9,12,75.00
0507,7,12,58.33
0508,7,12,58.33
0509,6,12,50.00
0510,6,12,50.00
0511,10,12,83.33
0512,10,12,83.33
0513,11,12,91.67
0514,11,12,91.67
0515,11,12,91.67
0516,9,11,81.82
0517,8,11,72.73
0518,8,11,72.73
0519,7,11,63.64
0520,10,11,90.91
0521,11,11,100.00
0522,11,11,100.00
0523,9,11,81.82
0524,8,11,72.73
0525,10,11,90.91
0526,10,11,90.91
0527,11,11,100.00
0528,10,11,90.91
0529,11,11,100.00
0530,11,11,100.00
0531,11,11,100.00
0601,11,11,100.00
0602,11,11,100.00
0603,11,11,100.00
0604,12,12,100.00
0605,12,12,100.00
0606,11,12,91.67
0607,11,12,91.67
0608,11,12,91.67
0609,11,12,91.67
0610,12,12,100.00
0611,11,12,91.67
0612,10,12,83.33
0613,11,12,91.67
0614,11,12,91.67
0615,12,12,100.00
0616,11,12,91.67
0617,11,12,91.67
0618,12,12,100.00
0619,12,12,100.00
0620,11,11,100.00
0621,11,11,100.00
0622,11,11,100.00
0623,11,11,100.00
0624,11,11,100.00
0625,12,12,100.00
0626,12,12,100.00
0627,12,12,100.00
0628,10,12,83.33
0629,11,12,91.67
0630,11,12,91.67
0701,10,12,83.33
0702,10,12,83.33
0703,10,12,83.33
