OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2005111907,2,1
2005111908,1,2
2005111909,1,3
2005112109,1,1
2005112114,1,1
2005112210,2,1
2005112213,1,1
2005112214,2,2
2005112215,1,3
2005112310,1,1
2005112312,1,1
2005112313,2,2
2005112314,2,3
2005112410,1,1
2005112411,1,2
2005112412,1,3
2005112413,1,4
2005112414,2,5
2005112415,1,6
2005112416,1,7
2005112511,2,1
2005112513,1,1
2005112717,2,1
2005112720,1,1
2005112721,1,2
2005120119,1,1
2005120120,1,2
2005120121,2,3
2005120123,1,1
2005120204,1,1
2005120210,1,1
2005120211,2,2
2005120212,1,3
2005120213,1,4
2005120421,1,1
2005120422,1,2
2005120614,1,1
2005120914,1,1
2005120918,1,1
2005120919,2,2
2005120920,2,3
2005120922,1,1
2005120923,1,2
2005121005,1,1
2005121009,1,1
2005121013,1,1
2005121014,1,2
2005121015,1,3
2005121016,2,4
2005121017,1,5
2005121018,1,6
2005121019,1,7
2005121020,1,8
2005121021,1,9
2005121101,1,1
2005121102,1,2
2005121104,1,1
2005121111,1,1
2005121112,1,2
2005121114,1,1
2005121115,1,2
2005121116,2,3
2005121117,2,4
2005121118,1,5
2005121209,1,1
2005121210,1,2
2005121211,1,3
2005121212,2,4
2005121213,2,5
2005121214,2,6
2005121215,2,7
2005121216,1,8
2005121510,1,1
2005121518,1,1
2005121519,1,2
2005121522,1,1
2005121611,2,1
2005121612,2,2
2005121613,2,3
2005121614,2,4
2005121615,1,5
2005121616,1,6
2005122313,1,1
2005122419,1,1
2005122606,1,1
2005122613,1,1
2005122615,1,1
2005122616,1,2
2005122617,2,3
2005122620,1,1
2005123114,1,1
2005123119,1,1
2005123120,2,2
2005123122,1,1
2005123123,1,2
2006010100,1,3
2006010101,2,4
2006010102,1,5
2006010103,1,6
2006010205,1,1
2006010215,1,1
2006010216,2,2
2006010217,2,3
2006010218,2,4
2006010219,2,5
2006010220,2,6
2006010221,2,7
2006010302,2,1
2006010303,1,2
2006010304,2,3
2006010305,2,4
2006010306,1,5
2006011421,2,1
2006011422,2,2
2006011500,1,1
2006011501,2,2
