OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2005111820,1,1
2005111905,1,1
2005111907,2,1
2005111908,1,2
2005111909,1,3
2005111912,1,1
2005111917,1,1
2005111919,1,1
2005111921,1,1
2005112108,1,1
2005112109,2,2
2005112110,1,3
2005112111,1,4
2005112112,1,5
2005112114,1,1
2005112117,1,1
2005112119,1,1
2005112206,1,1
2005112207,1,2
2005112208,1,3
2005112209,2,4
2005112210,2,5
2005112211,1,6
2005112212,2,7
2005112213,2,8
2005112214,2,9
2005112215,2,10
2005112216,2,11
2005112217,1,12
2005112310,2,1
2005112311,1,2
2005112312,1,3
2005112313,2,4
2005112314,2,5
2005112410,1,1
2005112411,2,2
2005112412,2,3
2005112413,2,4
2005112414,2,5
2005112415,2,6
2005112416,2,7
2005112510,1,1
2005112511,2,2
2005112513,1,1
2005112514,1,2
2005112604,2,1
2005112605,1,2
2005112606,1,3
2005112700,1,1
2005112702,1,1
2005112703,1,2
2005112704,2,3
2005112717,2,1
2005112718,2,2
2005112719,2,3
2005112720,2,4
2005112721,2,5
2005112722,2,6
2005112723,1,7
2005112818,1,1
2005112819,2,2
2005112820,2,3
2005120119,2,1
2005120120,2,2
2005120121,2,3
2005120122,2,4
2005120123,1,5
2005120202,1,1
2005120203,1,2
2005120204,2,3
2005120205,2,4
2005120207,1,1
2005120208,1,2
2005120209,1,3
2005120210,2,4
2005120211,2,5
2005120212,2,6
2005120213,1,7
2005120214,1,8
2005120215,1,9
2005120216,1,10
2005120223,2,1
2005120419,2,1
2005120420,2,2
2005120421,2,3
2005120422,2,4
2005120423,1,5
2005120609,1,1
2005120614,1,1
2005120711,2,1
2005120712,1,2
2005120719,1,1
2005120720,1,2
2005120721,2,3
2005120722,1,4
2005120802,1,1
2005120906,1,1
2005120907,1,2
2005120908,1,3
2005120909,1,4
2005120911,1,1
2005120912,1,2
2005120913,1,3
2005120915,1,1
2005120916,1,2
2005120917,1,3
2005120918,2,4
2005120919,2,5
2005120920,2,6
2005120921,2,7
2005120922,2,8
2005120923,1,9
2005121000,1,10
2005121001,2,11
2005121004,1,1
2005121005,1,2
2005121007,1,1
2005121008,1,2
2005121009,2,3
2005121010,2,4
2005121011,1,5
2005121013,2,1
2005121014,2,2
2005121015,2,3
2005121016,2,4
2005121017,2,5
2005121018,2,6
2005121019,2,7
2005121020,2,8
2005121021,2,9
2005121022,2,10
2005121023,2,11
2005121100,2,12
2005121101,2,13
2005121102,1,14
2005121103,2,15
2005121104,2,16
2005121105,2,17
2005121106,1,18
2005121107,2,19
2005121108,1,20
2005121109,2,21
2005121111,2,1
2005121112,2,2
2005121114,2,1
2005121115,2,2
2005121116,2,3
2005121117,2,4
2005121118,2,5
2005121119,2,6
2005121120,2,7
2005121121,2,8
2005121207,1,1
2005121209,2,1
2005121210,2,2
2005121211,2,3
2005121212,2,4
2005121213,2,5
2005121214,2,6
2005121215,2,7
2005121216,2,8
2005121217,1,9
2005121404,2,1
2005121405,2,2
2005121406,2,3
2005121407,2,4
2005121408,2,5
2005121409,1,6
2005121410,1,7
2005121411,2,8
2005121412,2,9
2005121413,1,10
2005121414,1,11
2005121419,1,1
2005121420,2,2
2005121421,1,3
2005121422,2,4
2005121423,1,5
2005121512,2,1
2005121513,2,2
2005121516,1,1
2005121517,1,2
2005121518,2,3
2005121519,2,4
2005121520,1,5
2005121521,2,6
2005121522,1,7
2005121610,1,1
2005121611,2,2
2005121612,2,3
2005121613,2,4
2005121614,2,5
2005121615,1,6
2005121616,2,7
2005121617,1,8
2005121618,1,9
2005121818,1,1
2005121819,2,2
2005121820,1,3
2005122110,1,1
2005122313,1,1
2005122416,1,1
2005122419,1,1
2005122420,1,2
2005122519,1,1
2005122520,1,2
2005122521,1,3
2005122522,1,4
2005122523,2,5
2005122605,1,1
2005122606,1,2
2005122607,2,3
2005122612,1,1
2005122613,2,2
2005122614,2,3
2005122615,2,4
2005122616,2,5
2005122617,2,6
2005122618,2,7
2005122620,2,1
2005122621,2,2
2005122717,1,1
2005122822,1,1
2005122823,2,2
2005122918,1,1
2005122919,1,2
2005123113,2,1
2005123114,1,2
2005123118,2,1
2005123119,2,2
2005123120,2,3
2005123121,2,4
2005123122,1,5
2005123123,1,6
2006010100,2,7
2006010101,2,8
2006010102,2,9
2006010103,2,10
2006010104,1,11
2006010204,2,1
2006010205,2,2
2006010206,1,3
2006010207,2,4
2006010208,2,5
2006010209,1,6
2006010211,1,1
2006010214,1,1
2006010215,2,2
2006010216,2,3
2006010217,2,4
2006010218,2,5
2006010219,2,6
2006010220,2,7
2006010221,2,8
2006010222,2,9
2006010223,2,10
2006010300,1,11
2006010301,1,12
2006010302,2,13
2006010303,2,14
2006010304,2,15
2006010305,2,16
2006010306,2,17
2006010307,1,18
2006010308,1,19
2006010309,1,20
2006010310,1,21
2006010506,2,1
2006010507,2,2
2006010508,1,3
2006010610,1,1
2006010720,1,1
2006010721,1,2
2006010903,1,1
2006011211,1,1
2006011212,1,2
2006011215,1,1
2006011216,2,2
2006011218,2,1
2006011320,1,1
2006011420,2,1
2006011421,2,2
2006011422,2,3
