MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,13,0.00
0102,0,12,0.00
0103,0,13,0.00
0104,0,13,0.00
0105,1,12,8.33
0106,0,12,0.00
0107,0,12,0.00
0108,0,12,0.00
0109,0,12,0.00
0110,0,12,0.00
0111,0,12,0.00
0112,0,12,0.00
0113,0,12,0.00
0114,0,12,0.00
0115,1,12,8.33
0116,0,12,0.00
0117,0,12,0.00
0118,0,12,0.00
0119,0,12,0.00
0120,0,12,0.00
0121,0,12,0.00
0122,0,12,0.00
0123,0,12,0.00
0124,0,12,0.00
0125,0,12,0.00
0126,0,12,0.00
0127,0,12,0.00
0128,0,12,0.00
0129,0,12,0.00
0130,0,12,0.00
0131,0,12,0.00
0201,1,12,8.33
0202,2,12,16.67
0203,1,12,8.33
0204,0,12,0.00
0205,0,12,0.00
0206,0,12,0.00
0207,0,12,0.00
0208,1,12,8.33
0209,1,12,8.33
0210,0,12,0.00
0211,0,12,0.00
0212,0,12,0.00
0213,0,12,0.00
0214,0,12,0.00
0215,0,12,0.00
0216,0,12,0.00
0217,2,12,16.67
0218,1,12,8.33
0219,0,12,0.00
0220,0,12,0.00
0221,0,12,0.00
0222,0,12,0.00
0223,0,12,0.00
0224,1,12,8.33
0225,0,12,0.00
0226,1,12,8.33
0227,1,12,8.33
0228,0,12,0.00
0229,0,3,0.00
0301,0,12,0.00
0302,0,12,0.00
0303,0,12,0.00
0304,1,12,8.33
0305,1,12,8.33
0306,0,12,0.00
0307,1,12,8.33
0308,1,12,8.33
0309,1,12,8.33
0310,0,12,0.00
0311,0,12,0.00
0312,0,12,0.00
0313,1,12,8.33
0314,1,12,8.33
0315,1,12,8.33
0316,0,12,0.00
0317,2,12,16.67
0318,0,12,0.00
0319,1,12,8.33
0320,0,12,0.00
0321,1,12,8.33
0322,1,12,8.33
0323,1,12,8.33
0324,0,12,0.00
0325,0,12,0.00
0326,2,12,16.67
0327,1,12,8.33
0328,0,12,0.00
0329,0,12,0.00
0330,2,12,16.67
0331,1,12,8.33
0401,2,12,16.67
0402,3,12,25.00
0403,2,12,16.67
0404,0,12,0.00
0405,1,12,8.33
0406,1,12,8.33
0407,0,12,0.00
0408,1,12,8.33
0409,1,12,8.33
0410,1,12,8.33
0411,2,12,16.67
0412,1,12,8.33
0413,0,12,0.00
0414,2,12,16.67
0415,0,12,0.00
0416,3,12,25.00
0417,4,12,33.33
0418,1,12,8.33
0419,0,12,0.00
0420,0,12,0.00
0421,1,12,8.33
0422,1,12,8.33
0423,2,12,16.67
0424,1,12,8.33
0425,0,12,0.00
0426,0,12,0.00
0427,0,12,0.00
0428,2,12,16.67
0429,2,12,16.67
0430,1,12,8.33
0501,1,12,8.33
0502,0,12,0.00
0503,1,12,8.33
0504,0,12,0.00
0505,0,12,0.00
0506,1,12,8.33
0507,0,12,0.00
0508,1,12,8.33
0509,0,12,0.00
0510,0,12,0.00
0511,1,12,8.33
0512,1,12,8.33
0513,1,12,8.33
0514,0,12,0.00
0515,1,12,8.33
