MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,12,8.33
0102,1,11,9.09
0103,0,12,0.00
0104,0,12,0.00
0105,1,12,8.33
0106,0,12,0.00
0107,0,12,0.00
0108,0,12,0.00
0109,1,12,8.33
0110,0,12,0.00
0111,0,12,0.00
0112,0,12,0.00
0113,0,12,0.00
0114,0,12,0.00
0115,1,12,8.33
0116,1,12,8.33
0117,1,12,8.33
0118,0,12,0.00
0119,1,12,8.33
0120,0,12,0.00
0121,0,12,0.00
0122,2,12,16.67
0123,0,12,0.00
0124,0,12,0.00
0125,0,12,0.00
0126,0,12,0.00
0127,0,12,0.00
0128,0,12,0.00
0129,0,12,0.00
0130,0,12,0.00
0131,0,12,0.00
0201,2,12,16.67
0202,2,12,16.67
0203,1,12,8.33
0204,0,12,0.00
0205,0,12,0.00
0206,0,12,0.00
0207,0,12,0.00
0208,1,12,8.33
0209,1,12,8.33
0210,0,12,0.00
0211,0,12,0.00
0212,0,12,0.00
0213,0,12,0.00
0214,0,12,0.00
0215,0,12,0.00
0216,1,12,8.33
0217,2,12,16.67
0218,2,12,16.67
0219,1,12,8.33
0220,0,12,0.00
0221,1,12,8.33
0222,2,12,16.67
0223,1,12,8.33
0224,0,12,0.00
0225,1,12,8.33
0226,1,12,8.33
0227,1,12,8.33
0228,0,12,0.00
0229,0,3,0.00
0301,1,12,8.33
0302,0,12,0.00
0303,2,12,16.67
0304,1,12,8.33
0305,1,12,8.33
0306,1,12,8.33
0307,1,12,8.33
0308,1,12,8.33
0309,1,12,8.33
0310,0,12,0.00
0311,1,12,8.33
0312,0,12,0.00
0313,2,12,16.67
0314,1,12,8.33
0315,2,12,16.67
0316,0,12,0.00
0317,3,12,25.00
0318,2,12,16.67
0319,1,12,8.33
0320,0,12,0.00
0321,2,12,16.67
0322,3,12,25.00
0323,2,12,16.67
0324,1,12,8.33
0325,1,12,8.33
0326,3,12,25.00
0327,1,12,8.33
0328,0,12,0.00
0329,0,12,0.00
0330,3,12,25.00
0331,2,12,16.67
0401,3,12,25.00
0402,4,12,33.33
0403,3,12,25.00
0404,0,12,0.00
0405,1,12,8.33
0406,2,12,16.67
0407,1,12,8.33
0408,2,12,16.67
0409,1,12,8.33
0410,2,12,16.67
0411,2,12,16.67
0412,2,12,16.67
0413,3,12,25.00
0414,4,12,33.33
0415,2,12,16.67
0416,4,12,33.33
0417,4,12,33.33
0418,4,12,33.33
0419,0,12,0.00
0420,1,12,8.33
0421,0,12,0.00
0422,2,12,16.67
0423,2,12,16.67
0424,1,12,8.33
0425,1,12,8.33
0426,2,12,16.67
0427,1,12,8.33
0428,2,12,16.67
0429,4,12,33.33
0430,2,12,16.67
0501,2,12,16.67
0502,0,12,0.00
0503,1,12,8.33
0504,2,12,16.67
0505,2,12,16.67
0506,1,12,8.33
0507,2,12,16.67
0508,1,12,8.33
0509,0,12,0.00
0510,0,12,0.00
0511,1,12,8.33
0512,5,12,41.67
0513,1,12,8.33
0514,0,12,0.00
0515,1,12,8.33
0516,1,12,8.33
0517,0,12,0.00
0518,0,12,0.00
0519,1,12,8.33
0520,1,12,8.33
0521,1,12,8.33
0522,2,12,16.67
0523,1,12,8.33
0524,1,12,8.33
0525,0,12,0.00
0526,2,12,16.67
0527,1,12,8.33
0528,1,12,8.33
0529,0,12,0.00
0530,0,12,0.00
0531,1,12,8.33
0601,1,12,8.33
0602,0,12,0.00
0603,0,12,0.00
0604,0,12,0.00
0605,1,12,8.33
0606,2,12,16.67
0607,2,12,16.67
0608,3,12,25.00
0609,2,12,16.67
0610,3,12,25.00
0611,1,12,8.33
0612,0,12,0.00
0613,2,12,16.67
0614,2,12,16.67
0615,1,12,8.33
0616,3,12,25.00
0617,2,12,16.67
0618,0,12,0.00
0619,1,12,8.33
0620,0,12,0.00
0621,1,12,8.33
0622,1,12,8.33
0623,0,12,0.00
0624,0,12,0.00
0625,1,12,8.33
0626,1,12,8.33
0627,0,12,0.00
0628,0,12,0.00
0629,2,12,16.67
0630,0,12,0.00
0701,0,12,0.00
0702,1,12,8.33
0703,1,12,8.33
0704,0,12,0.00
0705,0,12,0.00
0706,0,12,0.00
0707,0,12,0.00
0708,0,12,0.00
0709,0,12,0.00
0710,1,12,8.33
0711,0,12,0.00
0712,0,12,0.00
0713,0,12,0.00
0714,0,12,0.00
0715,0,12,0.00
0716,0,12,0.00
0717,0,12,0.00
0718,0,12,0.00
0719,0,12,0.00
0720,0,12,0.00
0721,0,12,0.00
0722,0,12,0.00
0723,0,12,0.00
0724,0,12,0.00
0725,0,12,0.00
0726,0,12,0.00
0727,0,12,0.00
0728,0,12,0.00
0729,0,12,0.00
0730,0,12,0.00
0731,0,12,0.00
0801,0,12,0.00
0802,0,12,0.00
0803,0,12,0.00
0804,0,12,0.00
0805,0,12,0.00
0806,0,12,0.00
0807,0,12,0.00
0808,1,12,8.33
0809,1,12,8.33
0810,0,12,0.00
0811,1,12,8.33
0812,1,12,8.33
0813,0,12,0.00
0814,0,12,0.00
0815,0,12,0.00
0816,0,12,0.00
0817,0,12,0.00
0818,0,12,0.00
0819,0,12,0.00
0820,0,12,0.00
0821,0,12,0.00
0822,0,12,0.00
0823,1,12,8.33
0824,0,12,0.00
0825,0,12,0.00
0826,0,12,0.00
0827,0,12,0.00
0828,1,12,8.33
0829,1,12,8.33
0830,0,12,0.00
0831,1,12,8.33
0901,0,12,0.00
0902,0,12,0.00
0903,1,12,8.33
0904,1,12,8.33
0905,2,12,16.67
0906,0,12,0.00
0907,0,12,0.00
0908,1,12,8.33
0909,2,12,16.67
0910,0,12,0.00
0911,0,12,0.00
0912,1,12,8.33
0913,1,12,8.33
0914,0,12,0.00
0915,0,12,0.00
0916,2,12,16.67
0917,0,12,0.00
0918,1,12,8.33
0919,1,12,8.33
0920,0,12,0.00
0921,1,12,8.33
