MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,12,0.00
0102,0,11,0.00
0103,0,12,0.00
0104,1,12,8.33
0105,1,12,8.33
0106,1,12,8.33
0107,0,12,0.00
0108,0,12,0.00
0109,0,12,0.00
0110,0,12,0.00
0111,0,12,0.00
0112,0,12,0.00
0113,0,12,0.00
0114,1,12,8.33
0115,1,12,8.33
0116,1,12,8.33
0117,0,12,0.00
0118,1,12,8.33
0119,0,12,0.00
0120,0,12,0.00
0121,0,12,0.00
0122,0,12,0.00
0123,0,12,0.00
0124,0,12,0.00
0125,0,12,0.00
0126,0,12,0.00
0127,0,12,0.00
0128,0,12,0.00
0129,0,12,0.00
0130,1,12,8.33
0131,1,12,8.33
0201,0,12,0.00
0202,0,12,0.00
0203,1,12,8.33
0204,0,12,0.00
0205,0,12,0.00
0206,1,12,8.33
0207,1,12,8.33
0208,1,12,8.33
0209,0,12,0.00
0210,1,12,8.33
0211,0,12,0.00
0212,1,12,8.33
0213,1,12,8.33
0214,2,12,16.67
0215,1,12,8.33
0216,1,12,8.33
0217,2,12,16.67
0218,3,12,25.00
0219,2,12,16.67
0220,2,12,16.67
0221,0,12,0.00
0222,0,12,0.00
0223,0,12,0.00
0224,0,12,0.00
0225,2,12,16.67
0226,1,12,8.33
0227,1,12,8.33
0228,0,12,0.00
0229,1,3,33.33
0301,0,12,0.00
0302,1,12,8.33
0303,2,12,16.67
0304,2,12,16.67
0305,3,12,25.00
0306,5,12,41.67
0307,1,12,8.33
0308,1,12,8.33
0309,4,12,33.33
0310,4,12,33.33
0311,5,12,41.67
0312,6,12,50.00
0313,4,12,33.33
0314,7,12,58.33
0315,6,12,50.00
0316,7,12,58.33
0317,7,12,58.33
0318,7,12,58.33
0319,7,12,58.33
0320,7,12,58.33
0321,7,12,58.33
0322,7,12,58.33
0323,3,12,25.00
0324,2,12,16.67
0325,5,12,41.67
0326,4,12,33.33
0327,5,12,41.67
0328,6,12,50.00
0329,5,12,41.67
0330,7,12,58.33
0331,4,12,33.33
0401,7,12,58.33
0402,4,12,33.33
0403,6,12,50.00
0404,8,12,66.67
0405,8,12,66.67
0406,4,12,33.33
0407,7,12,58.33
0408,9,12,75.00
0409,6,12,50.00
0410,6,12,50.00
0411,7,12,58.33
0412,7,12,58.33
0413,5,12,41.67
0414,7,12,58.33
0415,8,12,66.67
0416,6,12,50.00
0417,7,12,58.33
0418,8,12,66.67
0419,7,12,58.33
0420,8,12,66.67
0421,8,12,66.67
0422,10,12,83.33
0423,11,12,91.67
0424,6,12,50.00
0425,6,12,50.00
0426,5,12,41.67
0427,4,12,33.33
0428,9,12,75.00
0429,8,12,66.67
0430,8,12,66.67
0501,8,12,66.67
0502,7,12,58.33
0503,8,12,66.67
0504,10,12,83.33
0505,10,12,83.33
0506,11,12,91.67
0507,7,12,58.33
0508,7,12,58.33
0509,6,12,50.00
0510,7,12,58.33
0511,8,12,66.67
0512,9,12,75.00
0513,11,12,91.67
0514,10,12,83.33
0515,7,12,58.33
0516,10,12,83.33
0517,7,12,58.33
0518,6,12,50.00
0519,5,12,41.67
0520,5,12,41.67
0521,5,12,41.67
0522,7,12,58.33
0523,6,12,50.00
0524,5,12,41.67
0525,8,12,66.67
0526,8,12,66.67
0527,8,12,66.67
0528,6,12,50.00
0529,6,12,50.00
0530,7,12,58.33
0531,10,12,83.33
0601,10,12,83.33
0602,9,12,75.00
0603,10,12,83.33
0604,10,12,83.33
0605,10,12,83.33
0606,10,12,83.33
0607,10,12,83.33
0608,9,12,75.00
0609,10,12,83.33
0610,10,12,83.33
0611,9,12,75.00
0612,8,12,66.67
0613,8,12,66.67
0614,9,12,75.00
0615,10,12,83.33
0616,10,12,83.33
0617,8,12,66.67
0618,8,12,66.67
0619,10,12,83.33
0620,11,12,91.67
0621,10,12,83.33
0622,11,12,91.67
0623,11,12,91.67
0624,12,12,100.00
0625,12,12,100.00
0626,12,12,100.00
0627,11,12,91.67
0628,12,12,100.00
0629,11,12,91.67
0630,9,12,75.00
0701,9,12,75.00
0702,9,12,75.00
0703,11,12,91.67
0704,11,12,91.67
0705,10,12,83.33
0706,8,12,66.67
0707,9,12,75.00
0708,10,12,83.33
0709,10,12,83.33
0710,9,12,75.00
0711,10,12,83.33
0712,7,12,58.33
0713,9,12,75.00
0714,10,12,83.33
0715,11,12,91.67
0716,11,12,91.67
0717,11,12,91.67
0718,10,12,83.33
0719,10,12,83.33
0720,10,12,83.33
0721,11,12,91.67
0722,10,12,83.33
0723,10,12,83.33
0724,10,12,83.33
0725,9,12,75.00
0726,8,12,66.67
0727,9,12,75.00
0728,10,12,83.33
0729,8,12,66.67
0730,10,12,83.33
0731,10,12,83.33
0801,8,12,66.67
0802,10,12,83.33
0803,9,12,75.00
0804,8,12,66.67
0805,10,12,83.33
0806,8,12,66.67
0807,11,12,91.67
0808,7,12,58.33
0809,8,12,66.67
0810,10,12,83.33
0811,12,12,100.00
0812,11,12,91.67
0813,11,12,91.67
0814,11,12,91.67
0815,11,12,91.67
0816,11,12,91.67
0817,12,12,100.00
0818,11,12,91.67
0819,11,12,91.67
0820,9,12,75.00
0821,10,12,83.33
0822,11,12,91.67
0823,8,12,66.67
0824,9,12,75.00
0825,9,12,75.00
0826,10,12,83.33
0827,9,12,75.00
0828,9,12,75.00
0829,10,12,83.33
0830,12,12,100.00
0831,12,12,100.00
0901,9,12,75.00
0902,10,12,83.33
0903,11,12,91.67
0904,12,12,100.00
0905,11,12,91.67
0906,10,12,83.33
0907,10,12,83.33
0908,11,12,91.67
0909,7,12,58.33
0910,8,12,66.67
0911,9,12,75.00
0912,9,12,75.00
0913,10,12,83.33
0914,8,12,66.67
0915,6,12,50.00
0916,7,12,58.33
0917,8,12,66.67
0918,10,12,83.33
0919,10,12,83.33
0920,9,12,75.00
0921,11,12,91.67
0922,8,12,66.67
0923,8,12,66.67
0924,8,12,66.67
0925,8,12,66.67
0926,7,12,58.33
0927,7,12,58.33
0928,8,12,66.67
0929,8,12,66.67
0930,10,12,83.33
1001,7,12,58.33
1002,8,12,66.67
1003,6,12,50.00
1004,5,12,41.67
1005,5,12,41.67
1006,4,12,33.33
1007,4,12,33.33
1008,8,12,66.67
1009,7,12,58.33
1010,7,12,58.33
1011,7,12,58.33
1012,8,12,66.67
1013,7,12,58.33
1014,7,12,58.33
1015,8,12,66.67
1016,9,12,75.00
1017,9,12,75.00
1018,6,12,50.00
1019,6,12,50.00
1020,5,12,41.67
1021,7,12,58.33
1022,4,12,33.33
1023,5,12,41.67
1024,7,12,58.33
1025,7,12,58.33
1026,6,12,50.00
1027,4,12,33.33
1028,6,12,50.00
1029,5,12,41.67
1030,3,12,25.00
1031,4,12,33.33
1101,6,11,54.55
1102,5,12,41.67
1103,5,12,41.67
1104,4,12,33.33
1105,2,12,16.67
1106,2,12,16.67
1107,4,12,33.33
1108,4,12,33.33
1109,5,12,41.67
1110,7,12,58.33
1111,5,12,41.67
1112,4,12,33.33
1113,4,12,33.33
1114,2,12,16.67
1115,4,12,33.33
1116,4,12,33.33
1117,2,12,16.67
1118,2,12,16.67
1119,3,12,25.00
1120,3,12,25.00
1121,4,12,33.33
1122,2,12,16.67
1123,1,12,8.33
1124,1,12,8.33
1125,0,12,0.00
1126,0,12,0.00
1127,2,12,16.67
1128,3,12,25.00
1129,2,12,16.67
1130,1,12,8.33
1201,0,12,0.00
1202,0,12,0.00
1203,1,12,8.33
1204,1,12,8.33
1205,2,11,18.18
1206,1,11,9.09
1207,1,11,9.09
1208,1,11,9.09
1209,0,12,0.00
1210,0,12,0.00
1211,0,12,0.00
1212,0,12,0.00
1213,0,12,0.00
1214,0,12,0.00
1215,0,12,0.00
1216,0,12,0.00
1217,0,12,0.00
1218,0,12,0.00
1219,0,12,0.00
1220,1,12,8.33
1221,0,12,0.00
1222,1,12,8.33
1223,1,12,8.33
1224,0,12,0.00
1225,0,12,0.00
1226,0,12,0.00
1227,0,12,0.00
1228,0,12,0.00
1229,0,12,0.00
1230,1,12,8.33
1231,1,12,8.33
