OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2008121307,1,1
2008121308,1,2
2008121314,3,1
2008121315,5,2
2008121318,1,1
2008121912,1,1
2008121913,4,2
2008121914,1,3
2008121916,4,1
2008121917,2,2
2008121920,1,1
2008121922,1,1
2008121923,1,2
2008122001,2,1
2008122216,1,1
2008122518,1,1
2008122602,1,1
2008122603,2,2
2008122618,2,1
2009010305,6,1
2009010306,3,2
2009010307,5,3
2009010309,1,1
2009010310,2,2
2009010311,3,3
2009010312,1,4
2009010317,4,1
2009010318,4,2
2009010320,1,1
2009010322,2,1
2009010905,1,1
2009010906,1,2
2009010907,2,3
2009010909,1,1
2009010921,3,1
2009012616,3,1
2009012617,4,2
2009012622,2,1
2009012623,1,2
2009020918,1,1
2009021713,3,1
2009022422,1,1
2009022600,3,1
2009022601,4,2
2009022707,1,1
2009022708,6,2
2009022709,6,3
2009022710,6,4
2009022711,6,5
2009022712,6,6
2009022716,3,1
2009022717,1,2
2009030300,1,1
2009030317,1,1
2009030318,1,2
2009030321,4,1
2009030408,4,1
2009030410,1,1
2009030412,2,1
2009030413,1,2
2009030416,1,1
2009030417,3,2
2009030418,5,3
2009030419,6,4
2009030420,4,5
2009030421,6,6
2009030422,4,7
2009030423,4,8
2009030500,3,9
2009030508,2,1
2009030509,6,2
2009030818,1,1
2009030819,1,2
2009030821,1,1
2009030822,1,2
2009030903,4,1
2009030904,2,2
2009030906,1,1
2009030910,1,1
2009030912,3,1
2009031302,1,1
2009031617,2,1
2009031618,1,2
2009031619,1,3
2009032120,1,1
2009032204,1,1
2009032210,2,1
2009032211,1,2
2009032213,1,1
2009032215,4,1
2009032216,4,2
2009032219,5,1
2009032220,4,2
2009032221,1,3
2009032320,1,1
2009032321,2,2
2009032322,1,3
2009032422,1,1
2009032615,2,1
2009032616,2,2
2009032617,6,3
2009032618,4,4
2009032619,5,5
2009032620,6,6
2009032621,5,7
2009032622,6,8
2009032623,6,9
2009032700,6,10
2009032701,6,11
2009032702,6,12
2009032703,4,13
2009032704,1,14
2009032705,1,15
2009032706,1,16
2009032913,1,1
2009032914,1,2
2009032915,3,3
2009032916,5,4
2009032917,5,5
2009032919,1,1
2009033016,2,1
2009033017,3,2
2009033018,4,3
2009033019,3,4
2009033020,2,5
2009033021,1,6
2009040121,1,1
2009040122,2,2
2009040123,1,3
2009040222,1,1
2009040316,1,1
2009040318,1,1
2009040319,4,2
2009040321,3,1
2009040400,1,1
2009040401,3,2
2009040404,1,1
2009040420,1,1
2009040421,1,2
2009040815,1,1
2009040817,1,1
2009040818,3,2
2009040819,5,3
2009040820,6,4
2009040821,3,5
2009040822,3,6
2009041218,1,1
2009041320,2,1
2009041422,2,1
2009041700,1,1
2009041711,1,1
2009041712,3,2
