OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2008121306,1,1
2008121307,3,2
2008121308,1,3
2008121314,3,1
2008121315,6,2
2008121316,2,3
2008121318,1,1
2008121913,5,1
2008121914,4,2
2008121916,6,1
2008121917,4,2
2008121918,1,3
2008121922,1,1
2008121923,1,2
2008122000,1,3
2008122001,1,4
2008122602,2,1
2008122603,3,2
2008122618,2,1
2008122620,1,1
2009010305,6,1
2009010306,4,2
2009010307,5,3
2009010310,3,1
2009010311,3,2
2009010312,1,3
2009010314,2,1
2009010316,1,1
2009010317,5,2
2009010318,5,3
2009010320,1,1
2009010903,1,1
2009010904,1,2
2009010907,1,1
2009010921,3,1
2009012616,1,1
2009012617,2,2
2009020611,1,1
2009020918,1,1
2009020920,1,1
2009021713,3,1
2009022422,1,1
2009022522,1,1
2009022600,2,1
2009022601,6,2
2009022602,1,3
2009022707,3,1
2009022708,6,2
2009022709,6,3
2009022710,6,4
2009022711,6,5
2009022712,5,6
2009022716,2,1
2009022717,1,2
2009030223,3,1
2009030300,3,2
2009030304,2,1
2009030306,3,1
2009030308,2,1
2009030317,1,1
2009030318,2,2
2009030319,1,3
2009030320,1,4
2009030321,6,5
2009030322,5,6
2009030323,3,7
2009030400,3,8
2009030403,1,1
2009030406,1,1
2009030408,4,1
2009030409,2,2
2009030410,5,3
2009030411,3,4
2009030412,4,5
2009030413,3,6
2009030415,1,1
2009030416,1,2
2009030417,5,3
2009030418,6,4
2009030419,6,5
2009030420,6,6
2009030421,6,7
2009030422,6,8
2009030423,5,9
2009030500,6,10
2009030501,1,11
2009030508,1,1
2009030509,6,2
2009030510,2,3
2009030818,3,1
2009030819,1,2
2009030820,1,3
2009030821,1,4
2009030823,1,1
2009030903,6,1
2009030904,6,2
2009030906,3,1
2009030910,4,1
2009030911,5,2
2009030912,3,3
2009030913,2,4
2009030923,2,1
2009031000,1,2
2009031618,1,1
2009031622,1,1
2009032118,1,1
2009032119,2,2
2009032120,2,3
2009032121,2,4
2009032202,1,1
2009032203,5,2
2009032204,6,3
2009032205,5,4
2009032206,2,5
2009032207,1,6
2009032208,4,7
2009032209,4,8
2009032210,5,9
2009032211,6,10
2009032212,3,11
2009032213,2,12
2009032215,3,1
2009032216,5,2
2009032217,2,3
2009032218,3,4
2009032219,6,5
2009032220,5,6
2009032221,4,7
2009032320,2,1
2009032321,3,2
2009032322,1,3
2009032607,3,1
2009032612,3,1
2009032613,1,2
2009032614,1,3
2009032615,1,4
2009032616,4,5
2009032617,6,6
2009032618,6,7
2009032619,6,8
2009032620,6,9
2009032621,6,10
2009032622,6,11
2009032623,6,12
2009032700,6,13
2009032701,6,14
2009032702,6,15
2009032703,5,16
2009032704,2,17
2009032706,1,1
2009032913,2,1
2009032914,5,2
2009032915,4,3
2009032916,6,4
2009032917,6,5
2009032919,1,1
2009033016,5,1
2009033017,2,2
2009033018,5,3
2009033019,6,4
2009033020,3,5
2009033021,2,6
2009033022,2,7
2009033023,2,8
2009040107,1,1
2009040121,1,1
2009040123,2,1
2009040220,1,1
2009040222,2,1
2009040318,1,1
2009040319,4,2
2009040321,3,1
2009040400,1,1
2009040401,5,2
2009040420,1,1
2009040815,3,1
2009040817,2,1
2009040818,5,2
2009040819,6,3
2009040820,6,4
2009040821,3,5
2009040822,4,6
2009041021,1,1
2009041100,2,1
2009041219,1,1
2009041320,1,1
2009041419,1,1
2009041422,2,1
2009041512,1,1
2009041712,2,1
2009041713,6,2
2009041714,6,3
2009041715,6,4
2009041716,6,5
2009041717,6,6
2009041718,6,7
2009041719,6,8
2009041720,6,9
2009041721,6,10
2009041722,6,11
2009041723,6,12
2009041800,6,13
2009041801,1,14
2009041820,2,1
2009041821,1,2
2009042320,2,1
2009042321,3,2
2009042322,6,3
2009042323,6,4
2009042400,1,5
2009042401,5,6
2009042402,2,7
2009042403,2,8
2009042404,3,9
2009042405,1,10
2009042413,1,1
2009042414,2,2
2009042418,3,1
2009042419,6,2
2009042420,4,3
2009042421,2,4
2009042500,2,1
2009042501,3,2
2009042502,5,3
2009042503,3,4
2009042621,2,1
2009042801,3,1
2009042815,4,1
2009042816,6,2
2009042817,6,3
2009042818,5,4
2009042819,5,5
2009042820,4,6
2009042821,5,7
2009042822,3,8
2009042823,2,9
2009042900,1,10
2009042901,4,11
2009042902,2,12
2009042903,6,13
2009042904,4,14
2009042905,1,15
2009042918,2,1
2009042920,2,1
2009042921,2,2
2009042923,1,1
2009043019,1,1
2009043020,1,2
2009043021,1,3
2009043023,1,1
2009050104,1,1
2009050110,1,1
2009050221,2,1
2009050400,1,1
2009050403,1,1
2009050404,2,2
2009050618,4,1
2009050620,1,1
2009050721,1,1
2009051218,4,1
2009051219,1,2
2009051220,2,3
2009051221,1,4
2009051222,1,5
2009051223,1,6
2009051303,1,1
2009051308,1,1
2009051309,5,2
2009051310,4,3
2009051311,3,4
2009051312,2,5
2009051315,3,1
2009051316,4,2
2009051317,4,3
2009051916,2,1
2009051917,3,2
2009051918,1,3
2009051919,3,4
2009051920,2,5
2009051922,1,1
2009051923,3,2
2009052023,2,1
2009052221,1,1
2009052501,1,1
2009052601,4,1
2009052701,1,1
2009052900,1,1
2009052922,3,1
2009053121,1,1
2009060222,1,1
2009060223,1,2
2009060423,2,1
2009060518,1,1
2009060519,2,2
2009060600,1,1
