OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2008121021,2,1
2008121022,6,2
2008121023,1,3
2009022123,1,1
2009022720,1,1
2009022721,1,2
2009022722,6,3
2009022723,2,4
2009022820,2,1
2009022822,2,1
2009022823,1,2
2009030120,3,1
2009030121,6,2
2009030122,6,3
2009030123,6,4
2009030200,2,5
2009030223,5,1
2009030320,2,1
2009030321,6,2
2009030322,6,3
2009030323,5,4
2009030400,5,5
2009030401,4,6
2009030402,6,7
2009030403,6,8
2009030404,3,9
2009030405,1,10
2009030406,2,11
2009030408,3,1
2009030409,1,2
2009030410,3,3
2009030412,3,1
2009030413,6,2
2009030414,3,3
2009030415,2,4
2009030416,6,5
2009030417,6,6
2009030418,6,7
2009030419,6,8
2009030420,6,9
2009030421,6,10
2009030422,6,11
2009030423,6,12
2009030500,6,13
2009030501,6,14
2009030502,3,15
2009030818,1,1
2009030819,3,2
2009030820,4,3
2009030821,2,4
2009030822,1,5
2009031123,5,1
2009031200,1,2
2009031222,1,1
2009031223,2,2
2009031320,3,1
2009031321,6,2
2009031322,6,3
2009031323,5,4
2009031400,3,5
2009031420,6,1
2009031421,6,2
2009031422,6,3
2009031423,6,4
2009031500,6,5
2009031501,1,6
2009031502,2,7
2009031515,1,1
2009031516,6,2
2009031517,6,3
2009031518,6,4
2009031519,6,5
2009031520,6,6
2009031521,6,7
2009031522,6,8
2009031523,6,9
2009031600,6,10
2009031601,2,11
2009031616,1,1
2009031617,6,2
2009031618,6,3
2009031619,6,4
2009031620,6,5
2009031621,6,6
2009031622,6,7
2009031623,6,8
2009031700,3,9
2009031716,3,1
2009031717,5,2
2009031718,6,3
2009031719,6,4
2009031720,6,5
2009031721,6,6
2009031722,6,7
2009031723,6,8
2009031800,4,9
2009031818,3,1
2009031819,6,2
2009031820,6,3
2009031821,6,4
2009031822,6,5
2009031823,6,6
2009031900,5,7
2009031919,5,1
2009031920,6,2
2009031921,6,3
2009031922,6,4
2009031923,6,5
2009032000,6,6
2009032001,2,7
2009032018,6,1
2009032019,6,2
2009032020,6,3
2009032021,6,4
2009032022,6,5
2009032023,6,6
2009032100,6,7
2009032101,6,8
2009032116,3,1
2009032117,5,2
2009032118,6,3
2009032119,6,4
2009032120,6,5
2009032121,6,6
2009032122,6,7
2009032123,6,8
2009032200,6,9
2009032201,6,10
2009032202,6,11
2009032203,6,12
2009032204,6,13
2009032205,6,14
2009032206,6,15
2009032207,4,16
2009032208,1,17
2009032209,5,18
2009032210,1,19
2009032212,2,1
2009032213,3,2
2009032214,1,3
2009032215,6,4
2009032216,6,5
2009032217,6,6
2009032218,6,7
2009032219,6,8
2009032220,6,9
2009032221,1,10
2009040521,1,1
2009040522,5,2
2009040523,5,3
2009040600,4,4
2009040619,1,1
2009040620,6,2
2009040621,6,3
2009040622,6,4
2009040623,6,5
2009040700,6,6
2009040701,5,7
2009040702,1,8
2009040717,3,1
2009040718,6,2
2009040719,6,3
2009040720,6,4
2009040721,6,5
2009040722,6,6
2009040723,6,7
2009040800,6,8
2009040801,5,9
2009040802,4,10
2009040803,3,11
2009040816,1,1
2009040817,1,2
2009040818,6,3
2009040819,6,4
2009040820,6,5
2009040821,1,6
2009041020,2,1
2009041021,6,2
2009041022,6,3
2009041023,5,4
2009041222,2,1
2009041223,2,2
2009041319,3,1
2009041320,6,2
2009041321,6,3
2009041322,6,4
2009041323,6,5
2009041400,6,6
2009041401,1,7
2009041920,5,1
2009041921,6,2
2009041922,6,3
