MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,7,0.00
0102,0,7,0.00
0103,0,7,0.00
0104,1,7,14.29
0105,0,7,0.00
0106,0,7,0.00
0107,0,7,0.00
0108,1,7,14.29
0109,2,7,28.57
0110,1,7,14.29
0111,3,7,42.86
0112,1,7,14.29
0113,0,7,0.00
0114,0,7,0.00
0115,0,7,0.00
0116,0,7,0.00
0117,0,7,0.00
0118,1,7,14.29
0119,1,7,14.29
0120,1,7,14.29
0121,0,7,0.00
0122,0,7,0.00
0123,1,7,14.29
0124,0,7,0.00
0125,1,7,14.29
0126,0,7,0.00
0127,0,7,0.00
0128,0,7,0.00
0129,1,7,14.29
0130,1,7,14.29
0131,0,7,0.00
0201,1,7,14.29
0202,2,7,28.57
0203,0,7,0.00
0204,1,7,14.29
0205,0,7,0.00
0206,2,7,28.57
0207,2,7,28.57
0208,2,7,28.57
0209,1,7,14.29
0210,1,7,14.29
0211,0,7,0.00
0212,1,7,14.29
0213,1,7,14.29
0214,0,7,0.00
0215,0,7,0.00
0216,1,7,14.29
0217,2,7,28.57
0218,3,7,42.86
0219,1,7,14.29
0220,2,7,28.57
0221,1,7,14.29
0222,1,7,14.29
0223,1,7,14.29
0224,0,7,0.00
0225,0,7,0.00
0226,0,7,0.00
0227,0,7,0.00
0228,0,7,0.00
0229,0,2,0.00
0301,1,7,14.29
0302,2,7,28.57
0303,0,7,0.00
0304,1,7,14.29
0305,1,7,14.29
0306,2,7,28.57
0307,0,7,0.00
0308,0,7,0.00
0309,1,7,14.29
0310,2,7,28.57
0311,1,7,14.29
0312,0,7,0.00
0313,0,7,0.00
0314,1,7,14.29
0315,2,7,28.57
0316,1,7,14.29
0317,2,7,28.57
0318,1,7,14.29
0319,0,7,0.00
0320,0,7,0.00
0321,4,7,57.14
0322,2,7,28.57
0323,1,7,14.29
0324,0,7,0.00
0325,1,7,14.29
0326,0,7,0.00
0327,1,7,14.29
0328,0,7,0.00
0329,2,7,28.57
0330,1,7,14.29
0331,0,7,0.00
0401,2,7,28.57
0402,0,7,0.00
0403,0,7,0.00
0404,0,7,0.00
0405,2,7,28.57
0406,2,7,28.57
0407,1,7,14.29
0408,2,7,28.57
0409,1,8,12.50
0410,2,8,25.00
0411,1,8,12.50
0412,0,8,0.00
0413,3,8,37.50
0414,3,8,37.50
0415,1,8,12.50
0416,3,8,37.50
0417,4,8,50.00
0418,1,8,12.50
0419,0,8,0.00
0420,0,8,0.00
0421,0,8,0.00
0422,2,8,25.00
0423,2,8,25.00
0424,0,8,0.00
0425,0,8,0.00
0426,0,8,0.00
0427,0,8,0.00
0428,1,8,12.50
0429,3,8,37.50
0430,2,8,25.00
0501,1,8,12.50
0502,0,8,0.00
0503,0,8,0.00
0504,0,8,0.00
0505,0,8,0.00
0506,1,8,12.50
0507,1,8,12.50
0508,0,8,0.00
0509,0,8,0.00
0510,0,8,0.00
0511,1,8,12.50
0512,2,8,25.00
0513,2,8,25.00
0514,1,8,12.50
0515,0,8,0.00
0516,1,8,12.50
0517,2,8,25.00
0518,1,8,12.50
0519,2,8,25.00
0520,1,8,12.50
0521,2,8,25.00
0522,1,8,12.50
0523,1,8,12.50
0524,0,8,0.00
0525,1,8,12.50
0526,1,8,12.50
0527,0,8,0.00
0528,1,8,12.50
0529,1,8,12.50
0530,1,8,12.50
0531,2,8,25.00
0601,4,8,50.00
0602,2,8,25.00
0603,0,8,0.00
0604,0,8,0.00
0605,0,8,0.00
0606,1,8,12.50
0607,2,8,25.00
0608,3,8,37.50
0609,3,8,37.50
0610,3,8,37.50
0611,2,8,25.00
0612,2,8,25.00
0613,2,8,25.00
0614,2,8,25.00
0615,1,8,12.50
0616,1,8,12.50
0617,0,8,0.00
0618,2,8,25.00
0619,1,8,12.50
0620,1,8,12.50
0621,1,8,12.50
0622,0,8,0.00
0623,0,8,0.00
0624,1,8,12.50
0625,1,8,12.50
0626,1,8,12.50
0627,1,8,12.50
0628,2,8,25.00
0629,1,8,12.50
0630,0,8,0.00
0701,0,8,0.00
0702,0,8,0.00
0703,0,8,0.00
0704,1,8,12.50
0705,1,8,12.50
0706,0,8,0.00
0707,1,8,12.50
0708,2,8,25.00
0709,1,8,12.50
0710,1,8,12.50
0711,0,8,0.00
0712,0,8,0.00
0713,0,8,0.00
0714,0,8,0.00
0715,0,8,0.00
0716,0,8,0.00
0717,1,8,12.50
0718,2,8,25.00
0719,1,8,12.50
0720,1,8,12.50
0721,1,8,12.50
0722,1,8,12.50
0723,0,8,0.00
0724,1,8,12.50
0725,0,8,0.00
0726,0,7,0.00
0727,0,7,0.00
0728,0,7,0.00
0729,0,7,0.00
0730,0,7,0.00
0731,0,7,0.00
0801,1,7,14.29
0802,1,7,14.29
0803,1,7,14.29
0804,0,7,0.00
0805,1,7,14.29
0806,0,7,0.00
0807,0,7,0.00
0808,2,7,28.57
0809,1,7,14.29
0810,1,7,14.29
0811,0,7,0.00
0812,0,7,0.00
0813,0,7,0.00
0814,0,7,0.00
0815,0,7,0.00
0816,0,7,0.00
0817,0,7,0.00
0818,0,7,0.00
0819,0,7,0.00
0820,0,7,0.00
0821,0,7,0.00
0822,0,7,0.00
0823,0,7,0.00
0824,0,7,0.00
0825,0,7,0.00
0826,0,7,0.00
0827,0,7,0.00
0828,0,7,0.00
0829,0,7,0.00
0830,1,7,14.29
0831,0,7,0.00
0901,0,7,0.00
0902,2,7,28.57
0903,2,7,28.57
0904,1,7,14.29
0905,1,7,14.29
0906,0,7,0.00
0907,0,7,0.00
0908,1,7,14.29
0909,0,7,0.00
0910,0,7,0.00
0911,0,7,0.00
0912,0,7,0.00
0913,0,7,0.00
0914,0,7,0.00
0915,0,6,0.00
0916,1,6,16.67
0917,2,6,33.33
0918,1,6,16.67
0919,0,6,0.00
0920,0,6,0.00
0921,1,6,16.67
0922,2,6,33.33
0923,0,6,0.00
0924,1,6,16.67
0925,1,6,16.67
0926,1,6,16.67
0927,0,6,0.00
0928,1,7,14.29
0929,1,7,14.29
0930,1,7,14.29
1001,0,7,0.00
1002,0,7,0.00
1003,1,7,14.29
1004,0,7,0.00
1005,0,7,0.00
1006,0,7,0.00
1007,0,7,0.00
1008,0,7,0.00
1009,0,7,0.00
1010,0,7,0.00
1011,2,7,28.57
1012,1,7,14.29
1013,0,7,0.00
1014,1,7,14.29
1015,1,7,14.29
1016,1,7,14.29
1017,1,7,14.29
1018,0,7,0.00
1019,0,7,0.00
1020,1,7,14.29
1021,0,7,0.00
1022,0,7,0.00
1023,0,7,0.00
1024,1,7,14.29
1025,1,7,14.29
1026,1,7,14.29
1027,1,7,14.29
1028,1,7,14.29
1029,1,7,14.29
1030,0,8,0.00
1031,1,8,12.50
1101,2,8,25.00
1102,2,8,25.00
1103,2,8,25.00
1104,0,8,0.00
1105,0,8,0.00
1106,0,8,0.00
1107,1,8,12.50
1108,2,8,25.00
1109,2,8,25.00
1110,1,8,12.50
1111,0,8,0.00
1112,0,8,0.00
1113,1,8,12.50
1114,0,8,0.00
1115,1,8,12.50
1116,3,8,37.50
1117,2,8,25.00
1118,1,8,12.50
1119,1,8,12.50
1120,1,8,12.50
1121,0,7,0.00
1122,1,7,14.29
1123,1,7,14.29
1124,0,7,0.00
1125,0,8,0.00
1126,0,8,0.00
1127,2,8,25.00
1128,1,8,12.50
1129,1,8,12.50
1130,1,8,12.50
1201,1,8,12.50
1202,2,8,25.00
1203,2,8,25.00
1204,0,8,0.00
1205,0,7,0.00
1206,0,7,0.00
1207,1,7,14.29
1208,0,7,0.00
1209,1,7,14.29
1210,1,7,14.29
1211,1,7,14.29
1212,2,7,28.57
1213,1,7,14.29
1214,1,7,14.29
1215,1,7,14.29
1216,1,7,14.29
1217,1,7,14.29
1218,0,7,0.00
1219,1,7,14.29
1220,1,7,14.29
1221,3,7,42.86
1222,2,7,28.57
1223,3,7,42.86
1224,2,7,28.57
1225,1,7,14.29
1226,1,7,14.29
1227,0,7,0.00
1228,0,7,0.00
1229,0,7,0.00
1230,1,7,14.29
1231,0,7,0.00
