MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,8,0.00
0102,0,8,0.00
0103,0,8,0.00
0104,0,8,0.00
0105,0,7,0.00
0106,0,7,0.00
0107,0,7,0.00
0108,0,7,0.00
0109,0,7,0.00
0110,0,7,0.00
0111,0,7,0.00
0112,0,7,0.00
0113,0,7,0.00
0114,0,7,0.00
0115,0,7,0.00
0116,1,7,14.29
0117,1,7,14.29
0118,0,7,0.00
0119,0,7,0.00
0120,0,7,0.00
0121,0,7,0.00
0122,0,7,0.00
0123,1,7,14.29
0124,0,7,0.00
0125,1,7,14.29
0126,0,7,0.00
0127,0,7,0.00
0128,2,7,28.57
0129,1,7,14.29
0130,2,7,28.57
0131,1,7,14.29
0201,0,7,0.00
0202,1,7,14.29
0203,1,7,14.29
0204,0,7,0.00
0205,1,7,14.29
0206,1,7,14.29
0207,1,7,14.29
0208,1,7,14.29
0209,1,7,14.29
0210,1,7,14.29
0211,0,7,0.00
0212,1,7,14.29
0213,0,7,0.00
0214,2,7,28.57
0215,2,7,28.57
0216,2,7,28.57
0217,5,7,71.43
0218,4,7,57.14
0219,1,7,14.29
0220,1,7,14.29
0221,1,7,14.29
0222,0,7,0.00
0223,2,7,28.57
0224,2,7,28.57
0225,3,7,42.86
0226,2,7,28.57
0227,1,7,14.29
0228,1,7,14.29
0229,2,2,100.00
0301,1,7,14.29
0302,1,7,14.29
0303,2,7,28.57
0304,2,7,28.57
0305,3,7,42.86
0306,4,7,57.14
0307,3,7,42.86
0308,3,7,42.86
0309,4,7,57.14
0310,5,7,71.43
0311,4,7,57.14
0312,4,7,57.14
0313,4,7,57.14
0314,6,7,85.71
0315,5,7,71.43
0316,5,7,71.43
0317,5,7,71.43
0318,3,7,42.86
0319,4,7,57.14
0320,5,7,71.43
0321,5,7,71.43
0322,4,7,57.14
0323,2,7,28.57
0324,1,7,14.29
0325,1,7,14.29
0326,2,7,28.57
0327,4,7,57.14
0328,5,7,71.43
0329,3,7,42.86
0330,3,7,42.86
0331,4,7,57.14
0401,5,7,71.43
0402,2,7,28.57
0403,5,7,71.43
0404,7,7,100.00
0405,6,7,85.71
0406,4,7,57.14
0407,4,7,57.14
0408,6,7,85.71
0409,3,8,37.50
0410,4,8,50.00
0411,5,8,62.50
0412,4,8,50.00
0413,5,8,62.50
0414,5,8,62.50
0415,5,8,62.50
0416,3,8,37.50
0417,4,8,50.00
0418,5,8,62.50
0419,5,8,62.50
0420,5,8,62.50
0421,6,8,75.00
0422,6,8,75.00
0423,7,8,87.50
0424,5,8,62.50
0425,4,8,50.00
0426,4,8,50.00
0427,3,8,37.50
0428,4,8,50.00
0429,6,8,75.00
0430,5,8,62.50
0501,5,8,62.50
0502,5,8,62.50
0503,7,8,87.50
0504,8,8,100.00
0505,7,8,87.50
0506,7,8,87.50
0507,3,8,37.50
0508,3,8,37.50
0509,2,8,25.00
0510,5,8,62.50
0511,6,8,75.00
0512,6,8,75.00
0513,8,8,100.00
0514,7,8,87.50
0515,6,8,75.00
0516,5,8,62.50
0517,3,8,37.50
0518,3,8,37.50
0519,3,8,37.50
0520,5,8,62.50
0521,4,8,50.00
0522,5,8,62.50
0523,2,8,25.00
0524,4,8,50.00
0525,5,8,62.50
0526,7,8,87.50
0527,6,8,75.00
0528,4,8,50.00
0529,4,8,50.00
0530,5,8,62.50
0531,6,8,75.00
0601,7,8,87.50
0602,8,8,100.00
0603,8,8,100.00
0604,8,8,100.00
0605,8,8,100.00
0606,8,8,100.00
0607,6,8,75.00
0608,7,8,87.50
0609,8,8,100.00
0610,8,8,100.00
0611,7,8,87.50
0612,6,8,75.00
0613,7,8,87.50
0614,7,8,87.50
0615,8,8,100.00
0616,8,8,100.00
0617,7,8,87.50
0618,5,8,62.50
0619,7,8,87.50
0620,8,8,100.00
0621,8,8,100.00
0622,8,8,100.00
0623,8,8,100.00
0624,8,8,100.00
0625,8,8,100.00
0626,8,8,100.00
0627,7,8,87.50
0628,8,8,100.00
0629,7,8,87.50
0630,6,8,75.00
0701,8,8,100.00
0702,8,8,100.00
0703,8,8,100.00
0704,8,8,100.00
0705,8,8,100.00
0706,6,8,75.00
0707,6,8,75.00
0708,7,8,87.50
0709,7,8,87.50
0710,7,8,87.50
0711,7,8,87.50
0712,7,8,87.50
0713,7,8,87.50
0714,8,8,100.00
0715,8,8,100.00
0716,8,8,100.00
0717,7,8,87.50
0718,7,8,87.50
0719,8,8,100.00
0720,7,8,87.50
0721,7,8,87.50
0722,8,8,100.00
0723,8,8,100.00
0724,8,8,100.00
0725,8,8,100.00
0726,6,7,85.71
0727,5,7,71.43
0728,6,7,85.71
0729,5,7,71.43
0730,6,7,85.71
0731,6,7,85.71
0801,6,7,85.71
0802,7,7,100.00
0803,7,7,100.00
0804,5,7,71.43
0805,6,7,85.71
0806,6,7,85.71
0807,6,7,85.71
0808,3,7,42.86
0809,6,7,85.71
0810,7,7,100.00
0811,7,7,100.00
0812,7,7,100.00
0813,6,7,85.71
0814,6,7,85.71
0815,6,7,85.71
0816,7,7,100.00
0817,7,7,100.00
0818,7,7,100.00
0819,7,7,100.00
0820,6,7,85.71
0821,6,7,85.71
0822,6,7,85.71
0823,6,7,85.71
0824,5,7,71.43
0825,5,7,71.43
0826,5,7,71.43
0827,4,7,57.14
0828,5,7,71.43
0829,7,7,100.00
0830,7,7,100.00
0831,6,7,85.71
0901,6,7,85.71
0902,6,7,85.71
0903,6,7,85.71
0904,6,7,85.71
0905,7,7,100.00
0906,7,7,100.00
0907,6,7,85.71
0908,6,7,85.71
0909,5,7,71.43
0910,4,7,57.14
0911,5,7,71.43
0912,5,7,71.43
0913,6,7,85.71
0914,5,7,71.43
0915,3,6,50.00
0916,3,6,50.00
0917,4,6,66.67
0918,5,6,83.33
0919,5,6,83.33
0920,3,6,50.00
0921,5,6,83.33
0922,4,6,66.67
0923,3,6,50.00
0924,5,6,83.33
0925,5,6,83.33
0926,3,6,50.00
0927,3,6,50.00
0928,3,7,42.86
0929,3,7,42.86
0930,3,7,42.86
1001,3,7,42.86
1002,3,7,42.86
1003,5,7,71.43
1004,5,7,71.43
1005,4,7,57.14
1006,3,7,42.86
1007,6,7,85.71
1008,6,7,85.71
1009,5,7,71.43
1010,6,7,85.71
1011,5,7,71.43
1012,6,7,85.71
1013,5,7,71.43
1014,6,7,85.71
1015,6,7,85.71
1016,6,7,85.71
1017,4,7,57.14
1018,4,7,57.14
1019,2,7,28.57
1020,5,7,71.43
1021,3,7,42.86
1022,3,7,42.86
1023,5,7,71.43
1024,5,7,71.43
1025,6,7,85.71
1026,6,7,85.71
1027,5,7,71.43
1028,4,7,57.14
1029,3,7,42.86
1030,3,8,37.50
1031,4,8,50.00
1101,5,8,62.50
1102,6,8,75.00
1103,4,8,50.00
1104,2,8,25.00
1105,1,8,12.50
1106,2,8,25.00
1107,3,8,37.50
1108,4,8,50.00
1109,5,8,62.50
1110,5,8,62.50
1111,2,8,25.00
1112,4,8,50.00
1113,4,8,50.00
1114,3,8,37.50
1115,5,8,62.50
1116,5,8,62.50
1117,1,8,12.50
1118,2,8,25.00
1119,2,8,25.00
1120,2,8,25.00
1121,2,7,28.57
1122,0,7,0.00
1123,2,7,28.57
1124,2,7,28.57
1125,2,8,25.00
1126,2,8,25.00
1127,3,8,37.50
1128,2,8,25.00
1129,2,8,25.00
1130,1,8,12.50
1201,1,8,12.50
1202,0,8,0.00
1203,0,8,0.00
1204,1,8,12.50
1205,0,8,0.00
1206,1,8,12.50
1207,1,8,12.50
1208,1,8,12.50
1209,0,8,0.00
1210,1,8,12.50
1211,0,8,0.00
1212,0,8,0.00
1213,1,8,12.50
1214,1,8,12.50
1215,0,8,0.00
1216,0,8,0.00
1217,0,8,0.00
1218,0,8,0.00
1219,0,8,0.00
1220,1,8,12.50
1221,1,8,12.50
1222,2,8,25.00
1223,1,8,12.50
1224,0,8,0.00
1225,0,8,0.00
1226,0,8,0.00
1227,0,8,0.00
1228,1,8,12.50
1229,1,8,12.50
1230,1,8,12.50
1231,1,8,12.50
