OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2012110116,1,1
2012110117,6,2
2012110118,6,3
2012110119,1,4
2012110717,1,1
2012110815,2,1
2012110816,1,2
2012110817,4,3
2012110818,5,4
2012110819,2,5
2012110820,1,6
2012110821,1,7
2012110822,3,8
2012110823,4,9
2012110900,6,10
2012110901,6,11
2012110902,6,12
2012110903,6,13
2012110904,6,14
2012110905,4,15
2012110906,5,16
2012110907,6,17
2012110908,4,18
2012110909,4,19
2012110910,6,20
2012110912,2,1
2012111618,1,1
2012111620,4,1
2012111621,1,2
2012111710,1,1
2012111711,1,2
2012111712,1,3
2012111722,2,1
2012111804,2,1
2012111805,2,2
2012111806,1,3
2012111807,4,4
2012111808,2,5
2012111812,3,1
2012111813,3,2
2012111815,2,1
2012111816,2,2
2012111817,2,3
2012111819,2,1
2012111906,1,1
2012111917,1,1
2012112019,2,1
2012112020,1,2
2012112817,2,1
2012112818,1,2
2012112819,3,3
2012112820,4,4
2012112821,2,5
2012112904,3,1
2012112905,6,2
2012112906,6,3
2012112907,4,4
2012112908,2,5
2012112917,2,1
2012112918,2,2
2012112919,2,3
2012112920,2,4
2012112921,1,5
2012112922,1,6
2012113002,1,1
2012113005,1,1
2012113006,5,2
2012113014,6,1
2012113015,6,2
2012113016,6,3
2012113017,3,4
2012113018,2,5
2012113019,3,6
2012113020,5,7
2012113021,2,8
2012120100,2,1
2012120101,2,2
2012120102,3,3
2012120103,1,4
2012120106,1,1
2012120107,2,2
2012120110,2,1
2012120111,1,2
2012120115,1,1
2012120121,1,1
2012120203,1,1
2012120206,4,1
2012120207,6,2
2012120208,5,3
2012120209,4,4
2012120210,2,5
2012120211,4,6
2012120212,5,7
2012120213,5,8
2012120214,6,9
2012120215,6,10
2012120216,5,11
2012120217,5,12
2012120218,4,13
2012120219,3,14
2012120220,6,15
2012120221,6,16
2012120222,6,17
2012120223,6,18
2012120300,6,19
2012120301,2,20
2012120302,4,21
2012120303,1,22
2012120304,1,23
2012120305,1,24
2012120410,3,1
2012120411,5,2
2012120412,1,3
2012120413,2,4
2012120414,2,5
2012120415,1,6
2012120416,1,7
2012120506,3,1
2012120508,1,1
2012120509,1,2
2012120510,4,3
2012120511,2,4
2012120817,3,1
2012120819,2,1
2012121012,2,1
2012121013,1,2
2012121015,2,1
2012121016,4,2
2012121017,3,3
2012121018,1,4
2012121019,3,5
2012121118,2,1
2012121119,3,2
2012121120,4,3
2012121121,4,4
2012121122,1,5
2012121123,2,6
2012121200,3,7
2012121201,1,8
2012121202,1,9
2012121203,4,10
2012121204,6,11
2012121205,4,12
2012121206,3,13
2012121207,3,14
2012121208,5,15
2012121209,5,16
2012121210,6,17
2012121211,6,18
2012121212,6,19
2012121213,6,20
2012121214,3,21
2012121215,4,22
2012121216,3,23
2012121217,2,24
2012121219,2,1
2012121220,1,2
2012121305,2,1
2012121306,2,2
2012121307,3,3
2012121308,1,4
2012121309,1,5
2012121310,2,6
2012121313,2,1
2012121314,2,2
2012121617,1,1
2012121703,3,1
2012121704,4,2
2012121705,2,3
2012121706,4,4
2012121707,5,5
2012121708,6,6
2012121709,6,7
2012121710,4,8
2012121711,6,9
