OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2012110117,6,1
2012110118,4,2
2012110119,1,3
2012110813,1,1
2012110815,1,1
2012110816,1,2
2012110817,3,3
2012110818,6,4
2012110819,6,5
2012110820,2,6
2012110821,2,7
2012110822,3,8
2012110823,6,9
2012110900,6,10
2012110901,6,11
2012110902,6,12
2012110903,6,13
2012110904,6,14
2012110905,6,15
2012110906,6,16
2012110907,6,17
2012110908,6,18
2012110909,6,19
2012110910,6,20
2012110911,4,21
2012110912,3,22
2012111620,4,1
2012111621,2,2
2012111722,2,1
2012111800,1,1
2012111804,3,1
2012111805,2,2
2012111806,1,3
2012111808,3,1
2012111812,4,1
2012111813,3,2
2012111815,2,1
2012111816,5,2
2012111817,2,3
2012111818,2,4
2012111906,2,1
2012112819,2,1
2012112820,2,2
2012112905,4,1
2012112906,6,2
2012112907,6,3
2012112908,6,4
2012112909,1,5
2012112916,1,1
2012112919,2,1
2012112920,1,2
2012113005,1,1
2012113006,6,2
2012113007,1,3
2012113011,1,1
2012113014,5,1
2012113015,6,2
2012113016,6,3
2012113017,4,4
2012113018,1,5
2012113019,4,6
2012113020,6,7
2012113021,3,8
2012113022,1,9
2012120100,3,1
2012120101,4,2
2012120102,6,3
2012120103,4,4
2012120106,1,1
2012120107,3,2
2012120108,1,3
2012120109,4,4
2012120110,3,5
2012120111,1,6
2012120203,1,1
2012120206,6,1
2012120207,6,2
2012120208,6,3
2012120210,3,1
2012120211,4,2
2012120212,5,3
2012120213,6,4
2012120214,6,5
2012120215,6,6
2012120216,6,7
2012120217,6,8
2012120218,5,9
2012120219,4,10
2012120220,6,11
2012120221,6,12
2012120222,6,13
2012120223,6,14
2012120300,6,15
2012120301,2,16
2012120302,6,17
2012120303,2,18
2012120304,3,19
2012120305,3,20
2012120410,3,1
2012120411,4,2
2012120413,2,1
2012120414,3,2
2012120415,2,3
2012120416,3,4
2012120503,1,1
2012120506,3,1
2012120508,1,1
2012120510,1,1
2012120511,1,2
2012120816,1,1
2012120817,3,2
2012120818,1,3
2012120819,1,4
2012121011,1,1
2012121016,2,1
2012121017,1,2
2012121118,1,1
2012121120,1,1
2012121121,4,2
2012121123,1,1
2012121203,3,1
2012121204,6,2
2012121205,5,3
2012121206,2,4
2012121207,1,5
2012121208,6,6
2012121209,5,7
2012121210,6,8
2012121211,6,9
2012121212,6,10
2012121213,6,11
2012121214,3,12
2012121215,3,13
2012121216,6,14
2012121217,5,15
2012121219,1,1
2012121220,3,2
2012121307,3,1
2012121309,1,1
2012121310,3,2
2012121313,1,1
2012121314,4,2
2012121319,1,1
2012121701,1,1
2012121703,4,1
2012121704,1,2
2012121705,1,3
2012121706,5,4
2012121707,3,5
2012121708,5,6
2012121709,6,7
2012121710,4,8
2012121711,6,9
2012121712,6,10
2012121713,6,11
2012121714,6,12
2012121715,6,13
2012121716,6,14
2012121717,6,15
2012121718,6,16
2012121719,6,17
2012121720,6,18
2012121721,5,19
2012121722,4,20
2012121723,1,21
2012121909,1,1
2012122013,1,1
2012122018,3,1
2012122105,1,1
2012122106,5,2
2012122107,6,3
2012122108,5,4
2012122109,4,5
2012122110,1,6
2012122111,4,7
2012122112,3,8
2012122113,3,9
2012122114,4,10
2012122118,3,1
2012122119,1,2
2012122120,2,3
2012122204,2,1
2012122205,5,2
2012122207,4,1
2012122208,4,2
2012122215,2,1
2012122216,2,2
2012122217,3,3
2012122218,4,4
2012122219,5,5
2012122220,6,6
2012122221,6,7
2012122222,1,8
2012122223,5,9
2012122300,2,10
2012122303,4,1
2012122304,2,2
2012122306,4,1
2012122307,2,2
2012122402,4,1
2012122403,6,2
2012122404,6,3
2012122405,5,4
2012122407,1,1
2012122409,4,1
2012122412,1,1
2012122419,4,1
2012122606,2,1
2012122614,2,1
2012122615,3,2
2012122616,4,3
2012122617,3,4
2012122618,3,5
2012122619,2,6
2012122620,3,7
2012122621,3,8
2013010918,2,1
2013010920,2,1
2013011001,1,1
2013011002,6,2
2013011003,6,3
2013011004,6,4
2013011005,6,5
2013011006,6,6
2013011007,6,7
2013011008,6,8
2013011009,6,9
2013011010,5,10
2013011011,1,11
2013011012,4,12
2013011013,6,13
2013011014,6,14
2013011015,5,15
2013011016,4,16
2013011017,3,17
2013011018,1,18
2013011019,3,19
2013011020,5,20
2013011101,1,1
2013012711,2,1
2013012717,3,1
2013012718,5,2
2013012719,4,3
2013012720,6,4
2013012721,5,5
2013013015,2,1
2013013016,2,2
2013020515,1,1
2013020805,5,1
2013020806,4,2
2013020807,3,3
2013020808,6,4
2013020809,2,5
2013020810,5,6
2013020820,2,1
2013020821,4,2
2013020822,3,3
2013021722,4,1
2013021723,2,2
2013021909,1,1
2013021910,5,2
2013021911,2,3
2013021913,1,1
2013021914,6,2
2013021915,6,3
2013021916,6,4
2013021917,6,5
2013021918,6,6
2013021919,3,7
2013022003,4,1
2013022004,1,2
2013022309,2,1
2013022310,4,2
2013022311,6,3
2013022312,4,4
2013022313,6,5
2013022314,6,6
2013022315,3,7
2013022316,5,8
2013022319,1,1
2013022320,5,2
2013022322,2,1
2013030418,1,1
2013030606,3,1
2013030607,2,2
2013030608,3,3
2013030609,2,4
2013030612,1,1
2013030614,1,1
2013030615,4,2
2013030616,1,3
2013030618,2,1
2013030619,2,2
2013030620,3,3
2013030621,6,4
2013030622,2,5
2013030623,1,6
2013030913,2,1
2013030914,3,2
2013030915,2,3
2013030916,4,4
2013030917,6,5
2013030918,6,6
2013030919,6,7
2013030920,6,8
2013030921,6,9
2013030922,6,10
2013030923,6,11
2013031000,4,12
2013031708,1,1
2013031719,5,1
2013031720,6,2
2013031721,5,3
2013031722,2,4
2013032011,4,1
2013032012,2,2
2013032102,3,1
2013032103,6,2
2013032104,3,3
2013032105,2,4
2013032106,1,5
2013032107,2,6
2013032108,3,7
2013032109,1,8
2013032111,5,1
2013032112,4,2
2013032222,1,1
2013032616,3,1
2013032617,4,2
2013032820,1,1
2013032821,1,2
2013032823,1,1
2013040103,1,1
2013040104,2,2
2013040106,3,1
2013040109,1,1
2013040111,1,1
2013040112,1,2
2013040117,2,1
2013040118,3,2
2013040119,1,3
2013040122,3,1
2013040123,1,2
2013040416,2,1
2013040417,6,2
2013040418,3,3
2013040422,2,1
2013040423,3,2
2013040500,1,3
2013040506,3,1
2013040507,5,2
2013040508,3,3
2013040513,1,1
2013040514,1,2
2013040823,3,1
2013040900,6,2
2013040901,6,3
2013040902,6,4
2013040903,6,5
2013040904,6,6
2013040905,6,7
2013040906,5,8
2013040907,5,9
2013040908,6,10
2013040909,6,11
2013040910,2,12
2013040911,1,13
2013040914,1,1
2013040916,6,1
2013040917,4,2
2013040918,4,3
2013040919,2,4
2013040920,6,5
2013040921,6,6
2013040922,6,7
2013040923,6,8
2013041000,5,9
2013041001,2,10
2013041309,4,1
2013041310,4,2
2013041311,6,3
2013041312,6,4
2013041313,3,5
2013041314,4,6
2013041317,2,1
2013041318,5,2
2013041319,1,3
2013041321,5,1
2013041322,2,2
2013041323,4,3
2013041400,3,4
2013041403,2,1
2013041404,3,2
2013041716,4,1
2013041717,4,2
2013041718,5,3
2013041719,6,4
2013041720,6,5
2013041721,5,6
2013041722,6,7
2013041723,5,8
2013041800,4,9
2013041801,2,10
2013041818,2,1
2013041819,2,2
2013041820,1,3
2013041821,2,4
2013041822,3,5
2013041917,1,1
2013042215,5,1
2013042216,4,2
2013042223,2,1
2013042300,6,2
2013042301,3,3
2013042306,1,1
2013042719,1,1
2013043018,2,1
2013043019,3,2
2013043020,6,3
2013043021,6,4
2013043022,6,5
2013043023,6,6
2013050100,6,7
2013050101,3,8
2013050102,1,9
2013050103,6,10
2013050104,3,11
2013050117,1,1
2013050118,2,2
2013050119,3,3
2013050120,5,4
2013050121,5,5
2013050122,5,6
2013050123,4,7
2013050606,2,1
2013050619,3,1
2013050620,4,2
2013050621,5,3
2013050702,1,1
2013050703,1,2
2013050717,1,1
2013050719,1,1
2013050800,5,1
2013050801,6,2
2013050802,2,3
2013050823,2,1
2013051317,2,1
2013051318,1,2
2013051520,2,1
2013051600,3,1
2013051601,1,2
2013051917,2,1
2013051923,3,1
2013052000,1,2
2013052003,1,1
2013052213,1,1
2013052214,1,2
2013052215,2,3
2013052216,3,4
2013052217,5,5
2013052218,6,6
2013052219,3,7
2013052220,5,8
2013052221,6,9
2013052222,6,10
2013052223,3,11
2013052301,3,1
2013052302,1,2
2013052303,2,3
2013052322,2,1
2013052403,2,1
2013052421,1,1
2013052517,6,1
2013052518,6,2
2013052519,2,3
2013052520,3,4
2013052521,3,5
2013052522,3,6
2013052523,1,7
2013052600,1,8
2013052606,2,1
2013052607,1,2
2013052610,1,1
2013052616,1,1
2013052618,4,1
2013052619,5,2
2013052620,4,3
2013052621,2,4
2013052622,2,5
2013052818,2,1
2013060100,1,1
2013060217,1,1
2013060218,1,2
2013060221,3,1
2013060721,3,1
2013061011,3,1
2013061012,1,2
2013061013,1,3
2013061014,3,4
2013061015,5,5
2013061016,5,6
2013061017,3,7
2013061018,5,8
2013061019,6,9
2013061020,6,10
2013061021,5,11
2013061022,6,12
2013061023,6,13
2013061100,5,14
2013061101,2,15
2013061115,3,1
2013061116,1,2
2013061216,2,1
2013061219,2,1
2013061220,6,2
2013061221,2,3
2013061222,5,4
2013061223,2,5
2013061300,1,6
2013061315,3,1
2013061316,6,2
2013061317,6,3
2013061318,6,4
2013061319,6,5
2013061320,6,6
2013061321,6,7
2013061322,5,8
2013061323,5,9
2013061400,3,10
2013061401,6,11
2013061402,6,12
2013061403,1,13
2013061613,4,1
2013061615,1,1
2013061616,5,2
2013061617,2,3
2013061620,2,1
2013061621,1,2
2013061701,1,1
2013061816,1,1
2013061819,1,1
2013061820,5,2
2013061821,4,3
2013061822,6,4
2013061823,1,5
2013061900,2,6
2013061901,3,7
2013061911,1,1
2013061912,2,2
2013061913,2,3
2013061914,6,4
2013061915,6,5
2013061916,5,6
2013061918,4,1
2013061922,4,1
2013061923,4,2
2013062000,3,3
2013062001,5,4
2013062002,2,5
2013062003,1,6
2013062415,1,1
2013062416,3,2
2013062417,6,3
2013062418,5,4
2013062419,6,5
2013062420,6,6
2013062421,3,7
2013062422,5,8
2013062423,5,9
2013062500,5,10
2013062517,1,1
2013062518,1,2
2013062519,1,3
2013062520,1,4
2013062521,1,5
2013062608,2,1
2013062609,4,2
2013062610,6,3
2013062611,1,4
2013070315,1,1
2013070408,2,1
2013070409,1,2
2013070507,5,1
2013070508,1,2
2013070600,2,1
2013070603,1,1
2013070604,1,2
2013070606,1,1
2013070607,2,2
2013070613,2,1
2013070614,2,2
2013070623,2,1
2013070705,5,1
2013070706,4,2
2013070707,4,3
2013070708,4,4
2013070721,6,1
2013070722,6,2
2013070723,5,3
2013070806,1,1
2013070820,1,1
2013070821,3,2
2013071123,5,1
2013071305,2,1
2013071323,2,1
2013071400,1,2
2013071401,2,3
2013071420,1,1
2013071601,4,1
2013071602,1,2
2013071617,1,1
2013071700,1,1
2013071701,1,2
2013071801,1,1
2013071802,2,2
2013072419,3,1
2013072420,4,2
2013072421,1,3
2013072708,2,1
2013072901,1,1
2013072902,4,2
2013072903,1,3
2013073001,1,1
2013073002,1,2
2013073004,3,1
2013073019,1,1
2013073021,1,1
2013073118,2,1
2013073119,1,2
2013073120,5,3
2013073121,6,4
2013080116,1,1
2013080117,5,2
2013080118,6,3
2013080119,6,4
2013080120,4,5
2013080121,4,6
2013080122,3,7
2013080123,3,8
2013080200,5,9
2013080201,6,10
2013080202,5,11
2013080203,6,12
2013080204,5,13
2013080205,1,14
2013080220,2,1
2013080221,4,2
2013080222,1,3
2013080311,1,1
2013080318,3,1
2013080319,5,2
2013080320,3,3
2013080321,1,4
2013080420,1,1
2013080517,1,1
2013080519,1,1
2013080520,1,2
2013080621,4,1
2013080712,1,1
2013080713,2,2
2013080722,4,1
2013080723,4,2
2013080800,6,3
2013080801,6,4
2013080802,4,5
2013080803,3,6
2013080805,5,1
2013080806,5,2
2013080807,1,3
2013080809,1,1
2013080820,2,1
2013080821,4,2
2013080822,1,3
2013080920,1,1
2013080921,6,2
2013080922,5,3
2013080923,4,4
2013081016,4,1
2013081017,1,2
2013081020,2,1
2013081022,5,1
2013081023,3,2
2013081101,1,1
2013081104,2,1
2013081108,1,1
2013081109,2,2
2013081110,4,3
2013081113,1,1
2013081114,2,2
2013081118,1,1
2013081122,1,1
2013081217,2,1
2013081300,1,1
2013081301,2,2
2013081321,1,1
2013081418,1,1
2013081519,1,1
2013081712,1,1
2013081717,1,1
2013081721,3,1
2013081722,5,2
2013081723,4,3
2013081800,1,4
2013081801,1,5
2013081808,3,1
2013082000,1,1
2013082002,5,1
2013082003,1,2
2013082021,1,1
2013082118,1,1
2013082302,4,1
2013082316,6,1
2013082317,5,2
2013082318,3,3
2013082417,2,1
2013082418,1,2
2013082422,2,1
2013082423,4,2
2013082500,1,3
2013082519,1,1
2013082602,2,1
2013082603,3,2
2013082604,1,3
2013082606,3,1
2013082607,1,2
2013082801,2,1
2013082802,5,2
2013082803,1,3
2013082817,2,1
2013082818,1,2
2013082819,1,3
2013082902,2,1
2013090304,1,1
2013090320,1,1
2013090513,1,1
2013090522,1,1
2013090523,1,2
2013090600,4,3
2013090602,3,1
2013090617,1,1
2013090618,2,2
2013090619,3,3
2013090620,3,4
2013090700,2,1
2013090721,1,1
2013090722,1,2
2013091217,3,1
2013091218,3,2
2013091718,3,1
2013091719,2,2
2013091720,5,3
2013091721,6,4
2013091722,4,5
2013091723,6,6
2013091800,6,7
2013091801,6,8
2013092117,4,1
2013092118,6,2
2013092119,6,3
2013092120,6,4
2013092121,6,5
2013092122,6,6
2013092123,6,7
2013092200,6,8
2013092201,4,9
2013092202,2,10
2013092203,4,11
2013092204,5,12
2013092205,1,13
2013092206,4,14
2013092207,4,15
2013092208,1,16
2013092209,5,17
2013092304,2,1
2013092410,1,1
2013092414,5,1
2013092415,2,2
2013092417,5,1
2013092418,6,2
2013092419,6,3
2013092420,6,4
2013092421,5,5
2013092422,2,6
2013092423,6,7
2013092500,6,8
2013092501,6,9
2013092502,6,10
2013092503,5,11
2013092504,4,12
2013092505,6,13
2013092506,3,14
2013092509,5,1
2013092510,6,2
2013092511,4,3
2013092512,4,4
2013092513,4,5
2013092514,4,6
2013092515,2,7
2013092517,2,1
2013092518,3,2
2013092519,1,3
2013092623,1,1
2013092910,5,1
2013092911,3,2
2013092912,2,3
2013092914,2,1
2013092915,3,2
2013092916,4,3
2013092917,4,4
2013092918,6,5
2013092919,3,6
2013092920,2,7
2013092921,1,8
2013093007,1,1
2013093008,5,2
2013093009,4,3
2013093010,2,4
2013093011,1,5
2013093012,4,6
2013093013,3,7
2013093014,3,8
2013093015,1,9
2013093019,2,1
2013100117,2,1
2013100118,4,2
2013100119,5,3
2013100120,1,4
2013100121,1,5
2013100322,1,1
2013100717,4,1
2013100718,3,2
2013100719,1,3
2013100805,3,1
2013100806,6,2
2013100807,5,3
2013100808,1,4
2013100920,1,1
2013100921,1,2
2013100922,2,3
2013100923,4,4
2013101303,2,1
2013102716,2,1
2013102717,2,2
2013102719,2,1
2013102802,1,1
2013102803,5,2
2013102804,6,3
2013102805,6,4
2013102806,6,5
2013102807,6,6
2013102808,6,7
2013102809,6,8
2013102810,4,9
2013102811,4,10
2013102812,5,11
2013102813,6,12
2013102814,6,13
2013102815,6,14
2013102816,6,15
2013102817,5,16
2013102818,6,17
2013102819,5,18
2013102820,6,19
2013102821,6,20
2013102822,6,21
2013102823,5,22
2013102900,4,23
2013102901,4,24
2013102902,2,25
2013102903,1,26
2013102912,1,1
2013110212,1,1
2013110215,2,1
2013110216,1,2
2013110218,1,1
2013110219,4,2
2013110220,5,3
2013110222,1,1
2013110223,2,2
2013110303,3,1
2013110304,5,2
2013110305,6,3
2013110306,6,4
2013110307,6,5
2013110309,3,1
2013110713,1,1
2013110714,1,2
2013110716,1,1
2013110717,6,2
2013110718,6,3
2013110720,1,1
2013110802,5,1
2013110803,6,2
2013110804,1,3
2013110805,1,4
2013110806,6,5
2013110807,2,6
2013110808,5,7
2013110809,3,8
2013110813,1,1
2013111420,1,1
2013111612,1,1
2013111906,1,1
2013111907,1,2
2013111908,2,3
2013111909,5,4
2013111910,1,5
2013112120,2,1
2013112122,1,1
2013112123,2,2
2013112200,1,3
2013120211,1,1
2013120214,2,1
2013120215,4,2
2013120216,5,3
2013120217,2,4
2013120218,2,5
2013120219,5,6
2013120220,3,7
2013120221,3,8
2013120301,2,1
2013120707,1,1
2013120708,5,2
2013120709,1,3
2013120710,4,4
2013120712,2,1
2013120715,2,1
2013120716,1,2
2013120717,2,3
2013120718,5,4
2013120719,3,5
2013121900,1,1
2013121901,1,2
2013121902,3,3
2013121903,6,4
2013121904,4,5
2013121908,1,1
2013122408,2,1
2013122409,3,2
2013122410,2,3
2013122417,1,1
2013122418,1,2
2014010910,2,1
2014010911,1,2
2014010912,4,3
2014010913,1,4
2014010921,1,1
2014010922,1,2
2014011116,1,1
2014011118,3,1
2014011119,6,2
2014011120,5,3
2014011121,3,4
2014011122,6,5
2014011123,6,6
2014011200,5,7
2014011201,4,8
2014011202,4,9
2014011203,2,10
2014011204,3,11
2014011207,3,1
2014011212,3,1
2014011213,1,2
2014011215,2,1
2014011216,3,2
2014011219,1,1
2014012916,1,1
2014012917,6,2
2014012918,3,3
2014012919,6,4
2014012920,6,5
2014012921,6,6
