MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,13,0.00
0102,0,12,0.00
0103,0,13,0.00
0104,0,13,0.00
0105,0,12,0.00
0106,0,12,0.00
0107,0,12,0.00
0108,0,12,0.00
0109,0,12,0.00
0110,0,12,0.00
0111,1,12,8.33
0112,0,12,0.00
0113,0,12,0.00
0114,0,12,0.00
0115,1,12,8.33
0116,1,12,8.33
0117,0,12,0.00
0118,0,12,0.00
0119,0,12,0.00
0120,0,12,0.00
0121,0,12,0.00
0122,1,12,8.33
0123,0,12,0.00
0124,0,12,0.00
0125,0,12,0.00
0126,0,12,0.00
0127,0,12,0.00
0128,0,12,0.00
0129,0,12,0.00
0130,0,12,0.00
0131,0,12,0.00
0201,1,12,8.33
0202,0,12,0.00
0203,0,12,0.00
0204,1,12,8.33
0205,1,12,8.33
0206,0,12,0.00
0207,0,12,0.00
0208,0,12,0.00
0209,0,12,0.00
0210,1,12,8.33
0211,0,12,0.00
0212,0,12,0.00
0213,0,12,0.00
0214,0,12,0.00
0215,1,12,8.33
0216,1,12,8.33
0217,1,12,8.33
0218,2,12,16.67
0219,0,12,0.00
0220,1,12,8.33
0221,1,12,8.33
0222,1,12,8.33
0223,2,12,16.67
0224,0,12,0.00
0225,1,12,8.33
0226,3,12,25.00
0227,0,12,0.00
0228,0,12,0.00
0229,1,3,33.33
0301,1,12,8.33
0302,1,12,8.33
0303,1,12,8.33
0304,2,12,16.67
0305,1,12,8.33
0306,4,12,33.33
0307,0,12,0.00
0308,1,12,8.33
0309,0,12,0.00
0310,2,12,16.67
0311,1,12,8.33
0312,1,12,8.33
0313,1,12,8.33
0314,1,12,8.33
0315,1,12,8.33
0316,2,12,16.67
0317,2,12,16.67
0318,2,12,16.67
0319,1,12,8.33
0320,0,12,0.00
0321,2,12,16.67
0322,3,12,25.00
0323,2,12,16.67
0324,0,12,0.00
0325,0,12,0.00
0326,1,12,8.33
0327,0,12,0.00
0328,0,12,0.00
0329,1,12,8.33
0330,3,12,25.00
0331,2,12,16.67
0401,1,12,8.33
0402,0,12,0.00
0403,0,12,0.00
0404,0,12,0.00
0405,0,12,0.00
0406,1,12,8.33
0407,2,12,16.67
0408,2,12,16.67
0409,0,12,0.00
0410,1,12,8.33
0411,1,12,8.33
0412,1,12,8.33
0413,1,12,8.33
0414,3,12,25.00
0415,0,12,0.00
0416,1,12,8.33
0417,1,12,8.33
0418,1,12,8.33
0419,0,12,0.00
0420,1,12,8.33
0421,0,12,0.00
0422,2,11,18.18
0423,2,11,18.18
0424,0,11,0.00
0425,0,11,0.00
0426,0,11,0.00
0427,2,11,18.18
0428,1,11,9.09
0429,0,12,0.00
0430,0,12,0.00
0501,0,12,0.00
0502,0,12,0.00
0503,0,12,0.00
0504,0,12,0.00
0505,1,12,8.33
0506,0,12,0.00
0507,0,12,0.00
0508,0,12,0.00
0509,0,12,0.00
0510,0,12,0.00
0511,0,12,0.00
0512,1,12,8.33
0513,1,12,8.33
0514,0,12,0.00
0515,1,12,8.33
