MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,12,0.00
0102,0,11,0.00
0103,0,12,0.00
0104,0,12,0.00
0105,0,12,0.00
0106,0,12,0.00
0107,0,12,0.00
0108,0,12,0.00
0109,0,12,0.00
0110,0,12,0.00
0111,0,12,0.00
0112,0,12,0.00
0113,0,12,0.00
0114,0,12,0.00
0115,1,12,8.33
0116,1,12,8.33
0117,0,12,0.00
0118,0,12,0.00
0119,1,12,8.33
0120,0,12,0.00
0121,0,12,0.00
0122,0,12,0.00
0123,0,12,0.00
0124,0,12,0.00
0125,1,12,8.33
0126,0,12,0.00
0127,0,12,0.00
0128,0,12,0.00
0129,0,12,0.00
0130,0,12,0.00
0131,0,12,0.00
0201,1,12,8.33
0202,1,12,8.33
0203,0,12,0.00
0204,0,12,0.00
0205,1,12,8.33
0206,1,12,8.33
0207,2,12,16.67
0208,2,12,16.67
0209,2,12,16.67
0210,1,12,8.33
0211,1,12,8.33
0212,1,12,8.33
0213,1,12,8.33
0214,1,12,8.33
0215,1,12,8.33
0216,4,12,33.33
0217,2,12,16.67
0218,3,12,25.00
0219,1,12,8.33
0220,1,12,8.33
0221,0,12,0.00
0222,0,12,0.00
0223,2,12,16.67
0224,3,12,25.00
0225,3,12,25.00
0226,2,12,16.67
0227,2,12,16.67
0228,0,12,0.00
0229,1,3,33.33
0301,0,12,0.00
0302,2,12,16.67
0303,3,12,25.00
0304,3,12,25.00
0305,4,12,33.33
0306,6,12,50.00
0307,5,12,41.67
0308,3,12,25.00
0309,3,12,25.00
0310,5,12,41.67
0311,5,12,41.67
0312,5,12,41.67
0313,2,12,16.67
0314,6,12,50.00
0315,5,12,41.67
0316,8,12,66.67
0317,8,12,66.67
0318,5,12,41.67
0319,4,12,33.33
0320,6,12,50.00
0321,8,12,66.67
0322,6,12,50.00
0323,3,12,25.00
0324,2,12,16.67
0325,3,12,25.00
0326,4,12,33.33
0327,3,12,25.00
0328,5,12,41.67
0329,5,12,41.67
0330,6,12,50.00
0331,4,12,33.33
0401,7,12,58.33
0402,4,12,33.33
0403,6,12,50.00
0404,6,12,50.00
0405,6,12,50.00
0406,2,12,16.67
0407,4,12,33.33
0408,7,12,58.33
0409,5,12,41.67
0410,5,12,41.67
0411,6,12,50.00
0412,6,12,50.00
0413,6,12,50.00
0414,7,12,58.33
0415,6,12,50.00
0416,6,12,50.00
0417,5,12,41.67
0418,6,12,50.00
0419,4,12,33.33
0420,8,12,66.67
0421,9,12,75.00
0422,9,11,81.82
0423,7,11,63.64
0424,6,11,54.55
0425,5,11,45.45
0426,5,11,45.45
0427,6,11,54.55
0428,6,11,54.55
0429,5,12,41.67
0430,7,12,58.33
0501,7,12,58.33
0502,8,12,66.67
0503,8,12,66.67
0504,8,12,66.67
0505,9,12,75.00
0506,9,12,75.00
0507,6,12,50.00
0508,6,12,50.00
0509,5,12,41.67
0510,5,12,41.67
0511,7,12,58.33
0512,8,12,66.67
0513,10,12,83.33
0514,9,12,75.00
0515,7,12,58.33
0516,9,12,75.00
0517,7,12,58.33
0518,6,12,50.00
0519,4,12,33.33
0520,6,12,50.00
0521,6,12,50.00
0522,6,12,50.00
0523,4,12,33.33
0524,5,12,41.67
0525,5,12,41.67
0526,9,12,75.00
0527,7,12,58.33
0528,4,12,33.33
0529,6,12,50.00
0530,8,12,66.67
0531,10,12,83.33
0601,9,12,75.00
0602,9,12,75.00
0603,8,12,66.67
0604,8,12,66.67
0605,10,12,83.33
0606,9,12,75.00
0607,8,12,66.67
0608,7,12,58.33
0609,9,12,75.00
0610,9,12,75.00
0611,10,12,83.33
0612,7,12,58.33
0613,8,12,66.67
0614,8,12,66.67
0615,10,12,83.33
0616,11,12,91.67
0617,9,12,75.00
0618,8,12,66.67
0619,11,12,91.67
0620,11,12,91.67
0621,11,12,91.67
0622,10,12,83.33
0623,11,12,91.67
0624,12,12,100.00
0625,12,12,100.00
0626,11,12,91.67
0627,11,12,91.67
0628,12,12,100.00
0629,11,12,91.67
0630,11,12,91.67
0701,11,12,91.67
0702,11,12,91.67
0703,11,12,91.67
0704,10,12,83.33
0705,11,12,91.67
0706,9,12,75.00
0707,9,12,75.00
0708,10,12,83.33
0709,10,12,83.33
0710,12,12,100.00
0711,11,12,91.67
0712,10,12,83.33
0713,12,12,100.00
0714,11,12,91.67
0715,11,12,91.67
0716,12,12,100.00
0717,12,12,100.00
0718,12,12,100.00
0719,12,12,100.00
0720,12,12,100.00
0721,12,12,100.00
0722,12,12,100.00
0723,10,12,83.33
0724,11,12,91.67
0725,11,12,91.67
0726,10,12,83.33
0727,8,12,66.67
0728,8,12,66.67
0729,9,12,75.00
0730,10,12,83.33
0731,10,12,83.33
0801,8,12,66.67
0802,10,12,83.33
0803,11,12,91.67
0804,10,12,83.33
0805,10,12,83.33
0806,11,12,91.67
0807,10,12,83.33
0808,8,12,66.67
0809,10,12,83.33
0810,12,12,100.00
0811,12,12,100.00
0812,11,12,91.67
0813,11,12,91.67
0814,11,12,91.67
0815,11,12,91.67
0816,11,12,91.67
0817,12,12,100.00
0818,12,12,100.00
0819,12,12,100.00
0820,11,12,91.67
0821,11,12,91.67
0822,12,12,100.00
0823,10,12,83.33
0824,10,12,83.33
0825,11,12,91.67
0826,11,12,91.67
0827,9,12,75.00
0828,10,12,83.33
0829,11,12,91.67
0830,12,12,100.00
0831,11,12,91.67
0901,11,12,91.67
0902,10,12,83.33
0903,11,12,91.67
0904,11,13,84.62
0905,12,12,100.00
0906,11,12,91.67
0907,10,13,76.92
0908,11,13,84.62
0909,10,12,83.33
0910,9,13,69.23
0911,9,13,69.23
0912,11,13,84.62
0913,12,13,92.31
0914,10,13,76.92
0915,8,13,61.54
0916,7,12,58.33
0917,9,12,75.00
0918,11,13,84.62
0919,11,12,91.67
0920,9,12,75.00
0921,8,12,66.67
0922,9,12,75.00
0923,8,12,66.67
0924,10,12,83.33
0925,8,12,66.67
0926,7,12,58.33
0927,7,12,58.33
0928,6,12,50.00
0929,8,12,66.67
0930,9,12,75.00
1001,7,12,58.33
1002,7,12,58.33
1003,5,12,41.67
1004,5,12,41.67
1005,3,12,25.00
1006,3,12,25.00
1007,6,12,50.00
1008,7,12,58.33
1009,6,12,50.00
1010,5,12,41.67
1011,5,12,41.67
1012,8,12,66.67
1013,8,12,66.67
1014,7,12,58.33
1015,6,12,50.00
1016,7,12,58.33
1017,6,12,50.00
1018,6,13,46.15
1019,5,13,38.46
1020,6,13,46.15
1021,3,13,23.08
1022,2,13,15.38
1023,4,13,30.77
1024,1,13,7.69
1025,4,13,30.77
1026,6,13,46.15
1027,5,13,38.46
1028,2,13,15.38
1029,3,13,23.08
1030,5,13,38.46
1031,5,13,38.46
1101,4,13,30.77
1102,3,13,23.08
1103,2,13,15.38
1104,1,13,7.69
1105,2,13,15.38
1106,2,13,15.38
1107,3,13,23.08
1108,2,13,15.38
1109,3,13,23.08
1110,1,13,7.69
1111,0,13,0.00
1112,0,13,0.00
1113,1,13,7.69
1114,1,13,7.69
1115,2,13,15.38
1116,2,13,15.38
1117,2,13,15.38
1118,3,13,23.08
1119,2,13,15.38
1120,2,13,15.38
1121,3,13,23.08
1122,2,13,15.38
1123,1,13,7.69
1124,2,13,15.38
1125,0,13,0.00
1126,1,13,7.69
1127,2,13,15.38
1128,1,13,7.69
1129,1,13,7.69
1130,1,13,7.69
1201,0,13,0.00
1202,1,13,7.69
1203,0,13,0.00
1204,1,13,7.69
1205,1,12,8.33
1206,0,12,0.00
1207,0,12,0.00
1208,0,12,0.00
1209,0,12,0.00
1210,1,12,8.33
1211,1,12,8.33
1212,2,12,16.67
1213,2,12,16.67
1214,0,12,0.00
1215,0,12,0.00
1216,0,12,0.00
1217,0,12,0.00
1218,0,12,0.00
1219,0,12,0.00
1220,1,12,8.33
1221,0,12,0.00
1222,1,12,8.33
1223,1,12,8.33
1224,0,12,0.00
1225,0,12,0.00
1226,0,12,0.00
1227,0,12,0.00
1228,0,12,0.00
1229,0,12,0.00
1230,0,12,0.00
1231,1,12,8.33
