OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2008090920,1,1
2008090921,1,2
2008090923,1,1
2008091005,1,1
2008091921,1,1
2008092018,2,1
2008092019,4,2
2008092020,3,3
2008092021,2,4
2008092209,1,1
2008092212,1,1
2008100321,1,1
2008100407,3,1
2008100408,6,2
2008100409,3,3
2008100410,2,4
2008100411,4,5
2008100412,2,6
2008100522,1,1
2008102123,1,1
2008102200,1,2
2008103120,1,1
2008103121,3,2
2008110204,1,1
2008110207,1,1
2008110210,1,1
2008110211,5,2
2008110212,4,3
2008110213,1,4
2008110214,4,5
2008110215,2,6
2008110216,6,7
2008110217,6,8
2008110218,3,9
2008110219,3,10
2008110409,1,1
2008110412,1,1
2008110414,2,1
2008110415,4,2
2008120220,1,1
2008120222,1,1
2008121306,3,1
2008121307,3,2
2008121311,5,1
2008121312,6,2
2008121313,6,3
2008121314,5,4
2008121315,1,5
2008121518,1,1
2008121904,1,1
2008121905,2,2
2008121907,2,1
2008121908,4,2
2008121909,5,3
2008121910,3,4
2008121911,6,5
2008121912,6,6
2008121913,6,7
2008121914,6,8
2008121915,6,9
2008121916,6,10
2008121917,6,11
2008121918,2,12
2008122211,3,1
2008122212,2,2
2008122213,6,3
2008122217,1,1
2008122218,1,2
2008122418,1,1
2008122419,2,2
2008122420,3,3
2008122508,1,1
2008122509,4,2
2008122510,3,3
2008122511,4,4
2008122512,4,5
2008122513,6,6
2008122514,5,7
2008122515,4,8
2008122516,5,9
2008122517,6,10
2008122518,6,11
2008122519,5,12
2008122520,6,13
2008122521,5,14
2008122522,4,15
2008122523,2,16
2008122600,6,17
2008122601,6,18
2008122602,2,19
2008122603,1,20
2008122605,1,1
2009010214,1,1
2009010216,1,1
2009010218,3,1
2009010219,5,2
2009010221,2,1
2009010222,2,2
2009010223,1,3
2009010300,2,4
2009010901,1,1
2009010903,2,1
2009020611,1,1
2009020920,1,1
2009020923,1,1
2009021000,1,2
2009021711,2,1
2009021712,3,2
2009022413,1,1
2009022415,1,1
2009022416,6,2
2009022620,3,1
2009022621,2,2
2009022623,1,1
2009022706,1,1
2009030300,5,1
2009030301,1,2
2009030304,4,1
2009030305,5,2
2009030306,5,3
2009030307,1,4
2009030308,1,5
2009030309,2,6
2009030310,6,7
2009030311,6,8
2009030312,5,9
2009030313,5,10
2009030316,1,1
2009030317,5,2
2009030318,5,3
2009030319,6,4
2009030320,4,5
2009030321,6,6
2009030322,6,7
2009030323,4,8
2009030400,3,9
2009030401,4,10
2009030403,1,1
2009030404,3,2
2009030405,5,3
2009030406,3,4
2009030407,1,5
2009030408,1,6
2009030409,2,7
2009030410,2,8
2009030411,2,9
2009030412,1,10
2009030413,4,11
2009030414,3,12
2009030415,2,13
2009030416,5,14
2009030417,3,15
2009030418,4,16
2009030419,6,17
2009030420,5,18
2009030421,6,19
2009030422,5,20
2009030423,4,21
2009030508,1,1
2009030815,3,1
2009030816,5,2
2009030817,5,3
2009030818,3,4
2009030819,2,5
2009030820,3,6
2009030821,4,7
2009030822,2,8
2009030902,1,1
2009031608,1,1
2009031609,1,2
2009031614,1,1
2009031615,2,2
2009031616,6,3
2009031617,3,4
2009031618,5,5
2009032116,1,1
2009032117,4,2
2009032118,6,3
2009032119,6,4
2009032120,4,5
2009032121,2,6
2009032122,2,7
2009032123,6,8
2009032200,3,9
2009032203,3,1
2009032204,6,2
2009032205,5,3
2009032206,3,4
2009032214,1,1
2009032215,1,2
2009032216,6,3
2009032217,6,4
2009032218,6,5
2009032219,6,6
2009032220,3,7
2009032221,4,8
2009032300,3,1
2009032301,1,2
2009032312,1,1
2009032313,1,2
2009032613,1,1
2009032907,2,1
2009032908,4,2
2009032909,6,3
2009032910,6,4
2009032911,5,5
2009032912,5,6
2009032913,6,7
2009032914,6,8
2009032915,2,9
2009032922,1,1
2009032923,2,2
2009033000,5,3
2009033001,1,4
2009033002,2,5
2009033003,2,6
2009033004,1,7
2009033010,1,1
2009040103,2,1
2009040104,5,2
2009040106,4,1
2009040107,2,2
2009040109,3,1
2009040110,5,2
2009040111,3,3
2009040216,2,1
2009040217,6,2
2009040218,5,3
2009040219,5,4
2009040220,1,5
2009040222,1,1
2009040223,1,2
2009040305,1,1
2009040400,2,1
2009040401,1,2
2009040402,2,3
2009040403,2,4
2009040404,2,5
2009040814,1,1
2009040815,1,2
2009040816,2,3
2009040817,5,4
2009040818,5,5
2009040819,6,6
2009040820,6,7
2009040821,2,8
2009040822,1,9
2009040823,1,10
2009040901,1,1
2009041101,1,1
2009041413,1,1
2009041416,1,1
2009041417,3,2
2009041420,1,1
2009041421,2,2
2009041422,1,3
2009041505,1,1
2009042423,2,1
2009042720,1,1
2009042723,2,1
2009042808,3,1
2009042811,4,1
2009042812,5,2
2009042813,3,3
2009042814,4,4
2009042900,2,1
2009042901,6,2
2009050323,1,1
2009050402,1,1
2009050804,4,1
2009050805,3,2
2009050806,4,3
2009050807,1,4
2009051217,1,1
2009051218,3,2
2009051222,2,1
2009051223,2,2
2009051300,6,3
2009051304,1,1
2009051306,1,1
2009051307,1,2
2009051502,2,1
2009051504,1,1
2009051916,1,1
2009051917,2,2
2009051920,1,1
2009052405,1,1
2009052423,2,1
2009052623,2,1
2009052923,1,1
2009060101,2,1
2009060202,2,1
2009060301,3,1
2009060321,1,1
2009060523,1,1
2009060600,5,2
2009060601,5,3
2009060602,2,4
2009060700,1,1
2009060905,1,1
2009060923,3,1
2009061000,2,2
2009061305,1,1
2009061306,1,2
2009061321,1,1
2009061423,3,1
2009061802,1,1
2009061803,1,2
2009062101,1,1
2009062121,3,1
2009062201,6,1
2009062202,2,2
2009062520,1,1
2009062522,4,1
2009062701,2,1
2009063021,1,1
2009070100,2,1
2009070101,1,2
2009070617,3,1
2009070620,1,1
2009071118,3,1
2009072003,1,1
2009080600,3,1
2009080601,2,2
2009080615,1,1
2009080616,2,2
2009080617,2,3
2009080618,5,4
2009080619,3,5
2009080620,5,6
2009080621,4,7
2009080700,5,1
2009080701,5,2
2009080702,6,3
2009080703,3,4
2009080722,1,1
2009081401,5,1
2009081402,1,2
2009081414,1,1
2009081415,1,2
2009081416,1,3
2009081511,1,1
2009081512,3,2
2009082309,1,1
2009082318,1,1
2009082319,3,2
2009082320,4,3
2009082321,3,4
2009082322,4,5
2009082400,1,1
2009090515,1,1
2009090615,1,1
2009090616,5,2
2009090617,5,3
2009090618,5,4
2009090623,1,1
2009090706,3,1
2009090708,1,1
2009091318,3,1
2009091319,2,2
2009091418,1,1
2009091420,3,1
2009091901,1,1
2009092004,1,1
2009092910,2,1
2009092911,4,2
2009092912,1,3
2009092915,2,1
2009092916,1,2
2009092917,5,3
2009092918,6,4
2009092919,5,5
2009092920,1,6
2009092921,2,7
2009092922,4,8
2009092923,6,9
2009093000,6,10
2009093001,5,11
2009093002,2,12
2009093003,1,13
2009093005,3,1
2009093006,2,2
2009093020,1,1
2009093021,2,2
2009100410,1,1
2009100412,1,1
2009100417,1,1
2009100418,5,2
2009100420,1,1
2009101305,1,1
2009101307,2,1
2009101316,1,1
2009101317,3,2
2009101318,4,3
2009101319,5,4
2009101320,2,5
2009101323,3,1
2009101400,5,2
2009101402,1,1
2009101403,3,2
2009101404,4,3
2009101405,3,4
2009101418,2,1
2009101911,1,1
2009101923,3,1
2009102001,1,1
2009102002,1,2
2009102705,3,1
2009102706,3,2
2009102707,5,3
2009102708,3,4
2009102709,1,5
2009102711,4,1
2009102722,1,1
2009110519,1,1
2009110604,3,1
2009110605,5,2
2009110616,1,1
2009111204,1,1
2009111205,1,2
2009111418,2,1
2009111419,2,2
2009112021,3,1
2009112022,3,2
2009112102,5,1
2009112103,4,2
2009112104,3,3
2009112105,2,4
2009112106,5,5
2009112107,1,6
2009112108,3,7
2009112109,2,8
2009112219,1,1
2009112220,1,2
2009112300,2,1
2010011908,1,1
2010011909,4,2
2010011910,6,3
2010011911,5,4
2010011913,2,1
2010012118,1,1
2010012119,2,2
2010012209,1,1
2010012210,1,2
2010012211,4,3
2010012212,3,4
2010012213,5,5
2010012214,6,6
2010012215,5,7
2010012216,6,8
2010012217,5,9
2010012218,5,10
2010012219,5,11
2010012220,2,12
2010012221,1,13
2010030309,1,1
2010030317,1,1
2010030318,1,2
2010030320,1,1
2010030321,1,2
2010030421,1,1
2010031820,2,1
2010032001,1,1
2010032303,1,1
2010032517,6,1
2010032518,3,2
2010032519,6,3
2010032618,1,1
2010032619,1,2
2010032700,1,1
2010032912,1,1
2010032917,1,1
2010032918,2,2
2010032921,3,1
2010032922,2,2
2010033000,1,1
2010033001,2,2
2010033002,3,3
2010033003,4,4
2010033004,5,5
2010033005,5,6
2010033006,6,7
2010033007,6,8
2010033008,6,9
2010033009,6,10
2010033010,6,11
2010033011,6,12
2010033012,6,13
2010033013,5,14
2010033014,6,15
2010033015,5,16
2010033016,6,17
2010033017,6,18
2010033018,6,19
2010033019,6,20
2010033020,6,21
2010033021,6,22
2010033022,5,23
2010033023,3,24
2010033100,1,25
2010040123,1,1
2010040200,1,2
2010040222,1,1
2010040223,3,2
2010040300,2,3
2010040301,4,4
2010040307,2,1
2010040308,4,2
2010040309,4,3
2010040310,1,4
2010040508,4,1
2010040510,1,1
2010040512,3,1
2010040514,2,1
2010040515,3,2
2010040517,2,1
2010040522,1,1
2010040602,2,1
2010040603,1,2
2010040616,1,1
2010040617,1,2
2010040618,4,3
2010040619,5,4
2010040620,6,5
2010040621,2,6
2010040623,2,1
2010041114,1,1
2010041117,4,1
2010041118,5,2
2010041119,1,3
2010041120,1,4
2010041216,1,1
2010041217,5,2
2010041218,6,3
2010041219,6,4
2010041220,4,5
2010041221,3,6
2010041222,1,7
2010041223,1,8
2010041701,1,1
2010042017,3,1
2010042018,3,2
2010042019,4,3
2010042020,3,4
2010042021,3,5
2010042022,1,6
2010042023,3,7
2010042112,2,1
2010042119,3,1
2010042120,2,2
2010042716,6,1
2010042717,6,2
2010042718,2,3
2010042719,3,4
2010042720,5,5
2010042721,6,6
2010042722,6,7
2010042723,6,8
2010042800,6,9
2010042801,6,10
2010042802,6,11
2010042803,6,12
2010042804,6,13
2010042805,6,14
2010042806,6,15
2010042807,6,16
2010042808,5,17
2010042809,4,18
2010042810,4,19
2010042921,1,1
2010050100,1,1
2010050201,1,1
2010050203,1,1
2010050321,1,1
2010050322,1,2
2010050323,1,3
2010050400,1,4
2010050401,2,5
2010050403,3,1
2010050407,4,1
2010050521,3,1
2010050522,1,2
2010050603,2,1
2010050604,3,2
2010050605,2,3
2010050606,1,4
2010051006,1,1
2010051009,1,1
2010051023,3,1
2010051100,1,2
2010051223,1,1
2010051421,3,1
2010051422,2,2
2010051719,3,1
2010051720,1,2
2010051909,1,1
2010052123,2,1
2010052203,3,1
2010052218,1,1
2010052321,3,1
2010052403,1,1
2010052423,1,1
2010052715,1,1
2010052716,1,2
2010052717,3,3
2010052816,1,1
2010052818,2,1
2010052900,2,1
2010052901,2,2
2010060800,1,1
2010061001,3,1
2010061003,1,1
2010061020,3,1
2010061021,3,2
2010061022,2,3
2010061101,2,1
2010061220,1,1
2010061518,4,1
2010061519,4,2
2010061520,2,3
2010061522,2,1
2010061523,3,2
2010061600,1,3
2010061603,1,1
2010061604,1,2
2010061614,2,1
2010061615,1,2
2010061616,5,3
2010061617,6,4
2010061618,6,5
2010061619,5,6
2010061620,6,7
2010061621,6,8
2010061622,4,9
2010061623,4,10
2010061704,1,1
2010061705,1,2
2010061917,3,1
2010061918,1,2
2010061919,1,3
2010061920,4,4
2010061921,2,5
2010061922,1,6
2010061923,2,7
2010062000,1,8
2010062001,1,9
2010062015,4,1
2010062016,5,2
2010062017,3,3
2010062018,4,4
2010062019,3,5
