OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2008090920,1,1
2008091005,1,1
2008091006,1,2
2008091921,1,1
2008091922,1,2
2008092016,1,1
2008092017,1,2
2008092018,3,3
2008092019,4,4
2008092020,5,5
2008092021,4,6
2008092212,1,1
2008092518,1,1
2008100321,1,1
2008100322,2,2
2008100407,4,1
2008100408,6,2
2008100409,6,3
2008100410,3,4
2008100411,5,5
2008100412,3,6
2008100413,1,7
2008100522,2,1
2008101111,1,1
2008101112,1,2
2008101119,1,1
2008101120,1,2
2008102114,1,1
2008103121,3,1
2008110121,2,1
2008110204,3,1
2008110210,1,1
2008110211,6,2
2008110212,5,3
2008110213,4,4
2008110214,5,5
2008110215,6,6
2008110216,6,7
2008110217,6,8
2008110218,6,9
2008110219,4,10
2008110220,1,11
2008110412,4,1
2008110413,2,2
2008110414,3,3
2008110415,5,4
2008120222,1,1
2008121306,6,1
2008121307,5,2
2008121308,1,3
2008121309,1,4
2008121311,6,1
2008121312,6,2
2008121313,6,3
2008121314,6,4
2008121904,2,1
2008121905,3,2
2008121907,1,1
2008121908,6,2
2008121909,5,3
2008121910,3,4
2008121911,6,5
2008121912,6,6
2008121913,6,7
2008121914,6,8
2008121915,6,9
2008121916,6,10
2008121917,6,11
2008121918,4,12
2008122211,2,1
2008122212,2,2
2008122213,6,3
2008122214,2,4
2008122217,4,1
2008122419,2,1
2008122420,4,2
2008122505,2,1
2008122508,1,1
2008122509,6,2
2008122510,5,3
2008122511,6,4
2008122512,5,5
2008122513,6,6
2008122514,6,7
2008122515,6,8
2008122516,6,9
2008122517,6,10
2008122518,6,11
2008122519,6,12
2008122520,6,13
2008122521,6,14
2008122522,6,15
2008122523,6,16
2008122600,6,17
2008122601,6,18
2008122602,3,19
2008122603,2,20
2009010216,2,1
2009010218,1,1
2009010219,5,2
2009010220,3,3
2009010221,2,4
2009010222,3,5
2009010223,2,6
2009010300,3,7
2009010301,1,8
2009010903,1,1
2009012418,1,1
2009020920,1,1
2009020921,1,2
2009020923,1,1
2009021000,1,2
2009021711,1,1
2009021712,5,2
2009021713,1,3
2009022412,1,1
2009022415,2,1
2009022416,4,2
2009022620,3,1
2009030300,5,1
2009030301,1,2
2009030304,5,1
2009030305,5,2
2009030306,6,3
2009030307,3,4
2009030308,2,5
2009030309,3,6
2009030310,6,7
2009030311,6,8
2009030312,6,9
2009030313,6,10
2009030314,2,11
2009030316,1,1
2009030317,5,2
2009030318,5,3
2009030319,6,4
2009030320,6,5
2009030321,6,6
2009030322,6,7
2009030323,4,8
2009030400,6,9
2009030401,6,10
2009030402,1,11
2009030403,3,12
2009030404,3,13
2009030405,5,14
2009030406,4,15
2009030407,2,16
2009030408,2,17
2009030409,1,18
2009030410,1,19
