OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2008090418,6,1
2008090705,2,1
2008090717,6,1
2008090718,6,2
2008090719,6,3
2008090720,6,4
2008090721,6,5
2008090722,6,6
2008090723,6,7
2008090800,6,8
2008090801,6,9
2008090802,2,10
2008090803,1,11
2008090817,1,1
2008090818,5,2
2008090819,6,3
2008090820,6,4
2008090821,6,5
2008090822,6,6
2008090823,6,7
2008090900,6,8
2008090901,2,9
2008090903,3,1
2008090904,2,2
2008090910,2,1
2008090911,3,2
2008090912,5,3
2008090913,3,4
2008090916,3,1
2008090917,4,2
2008090918,6,3
2008090919,6,4
2008090920,6,5
2008090921,6,6
2008090922,6,7
2008090923,4,8
2008091000,1,9
2008091122,1,1
2008091123,2,2
2008091218,2,1
2008091219,5,2
2008091220,5,3
2008091221,6,4
2008091222,6,5
2008091223,6,6
2008091300,6,7
2008091301,6,8
2008091302,6,9
2008091303,6,10
2008091304,5,11
2008091305,1,12
2008091317,6,1
2008091318,6,2
2008091319,6,3
2008091320,6,4
2008091321,6,5
2008091322,6,6
2008091323,5,7
2008091400,6,8
2008091401,4,9
2008091402,3,10
2008091403,6,11
2008091417,1,1
2008091418,6,2
2008091419,6,3
2008091420,5,4
2008091421,6,5
2008091422,6,6
2008091423,6,7
2008091500,6,8
2008091501,4,9
2008091502,6,10
2008091503,6,11
2008091504,6,12
2008091505,3,13
2008091517,6,1
2008091518,6,2
2008091519,6,3
2008091520,6,4
2008091521,6,5
2008091522,5,6
2008091523,6,7
2008091600,6,8
2008091601,2,9
2008091602,2,10
2008091603,5,11
2008091604,1,12
2008091616,4,1
2008091617,6,2
2008091618,6,3
2008091619,4,4
2008091620,6,5
2008091621,2,6
2008091721,1,1
2008091722,6,2
2008091723,5,3
2008091800,6,4
2008091801,6,5
2008091802,5,6
2008091803,3,7
2008091816,1,1
2008091817,1,2
2008091818,6,3
2008091819,5,4
2008091820,4,5
2008091821,6,6
2008091822,6,7
2008091823,6,8
2008091900,6,9
2008091901,3,10
2008091902,1,11
2008091903,6,12
2008091904,5,13
2008091917,4,1
2008091918,6,2
2008091919,6,3
2008091920,6,4
2008091921,5,5
2008091922,2,6
2008091923,5,7
2008092000,3,8
2008092001,6,9
2008092002,6,10
2008092003,3,11
2008092004,1,12
2008092011,2,1
2008092018,1,1
2008092019,1,2
2008092020,3,3
2008092021,4,4
2008092100,1,1
2008092119,2,1
2008092120,1,2
2008092318,3,1
2008092319,6,2
2008092320,5,3
2008092321,3,4
2008092322,6,5
2008092323,4,6
2008092400,4,7
2008092418,3,1
2008092419,6,2
2008092420,6,3
2008092421,6,4
2008092422,3,5
2008092423,6,6
2008092500,6,7
2008092516,5,1
2008092517,6,2
2008092518,6,3
2008092519,6,4
2008092520,5,5
2008092521,6,6
2008092522,6,7
2008092523,6,8
2008092600,6,9
2008092601,6,10
2008092602,6,11
2008092603,6,12
2008092604,4,13
2008092616,1,1
2008092617,2,2
2008092618,6,3
2008092619,6,4
2008092620,6,5
2008092621,6,6
2008092622,6,7
2008092623,6,8
2008092700,6,9
2008092701,2,10
2008092703,5,1
2008092704,2,2
2008092705,2,3
2008092715,2,1
2008092716,6,2
2008092717,4,3
2008092718,5,4
2008092719,6,5
2008092720,6,6
2008092721,6,7
2008092722,6,8
2008092723,6,9
2008092800,3,10
2008092802,2,1
2008092803,6,2
2008092818,6,1
2008092819,5,2
2008092820,6,3
2008092821,6,4
2008092822,6,5
2008092823,6,6
2008092900,2,7
2008092919,6,1
2008092920,6,2
2008092921,6,3
2008092922,3,4
2008092923,4,5
2008093000,3,6
2008093018,6,1
2008093019,6,2
2008093020,6,3
2008093021,6,4
2008093022,6,5
2008093023,6,6
2008100100,4,7
2008100117,1,1
2008100118,6,2
2008100119,6,3
2008100120,6,4
2008100121,6,5
2008100122,6,6
2008100123,6,7
2008100200,2,8
2008100203,2,1
2008100204,5,2
2008100205,5,3
2008100206,3,4
2008100217,2,1
2008100218,2,2
2008100219,5,3
2008100220,6,4
2008100221,6,5
2008100222,6,6
2008100223,6,7
2008100300,1,8
2008100301,1,9
2008100302,6,10
2008100303,1,11
2008100320,6,1
2008100321,5,2
2008100406,3,1
2008100407,5,2
2008100408,6,3
2008100409,6,4
2008100410,6,5
2008100411,2,6
2008100720,2,1
2008100721,2,2
2008100722,1,3
2008100723,5,4
2008101622,1,1
2008101623,2,2
2008101719,1,1
2008101721,2,1
2008101722,5,2
2008101817,2,1
2008101818,6,2
2008101819,5,3
2008101820,6,4
2008101821,6,5
2008101822,6,6
2008101823,1,7
2008101918,1,1
2008101919,2,2
2008101920,5,3
2008101921,5,4
2008101922,6,5
2008101923,3,6
2008102016,1,1
2008102017,5,2
2008102018,2,3
2008102019,1,4
2008102020,1,5
2008102021,3,6
2008102022,6,7
2008102023,3,8
2008102118,2,1
2008102121,5,1
2008102122,6,2
2008102123,6,3
2008102200,2,4
2008102220,2,1
2008102221,1,2
2008102222,1,3
2008102318,2,1
2008102319,4,2
2008102320,6,3
2008102321,6,4
2008102322,6,5
2008102323,6,6
2008102400,1,7
2008102418,2,1
2008102419,4,2
2008102420,5,3
2008102421,6,4
2008102422,6,5
2008102423,3,6
2008102516,1,1
2008102517,6,2
2008102518,6,3
2008102519,6,4
2008102520,6,5
2008102521,6,6
2008102522,6,7
2008102523,6,8
2008102600,6,9
2008102601,3,10
2008102718,3,1
2008102719,6,2
2008102720,6,3
2008102721,6,4
2008102722,6,5
2008102723,3,6
2008102820,1,1
2008102821,6,2
2008102822,4,3
2008102920,5,1
2008102921,6,2
2008102922,6,3
2008102923,6,4
2008103000,2,5
2008103002,2,1
2008103003,1,2
2008103017,3,1
2008103018,2,2
2008103019,6,3
2008103020,6,4
2008103021,6,5
2008103022,6,6
2008103107,3,1
2008103112,1,1
2008103113,6,2
2008103114,3,3
2008103115,6,4
2008103116,6,5
2008103117,6,6
2008103118,6,7
2008103119,6,8
2008103120,6,9
2008103121,6,10
2008103122,6,11
2008103123,6,12
2008110100,3,13
2008110121,3,1
2008110122,5,2
2008110123,4,3
2008110204,4,1
2009021521,4,1
2009021522,1,2
2009022022,1,1
2009022023,4,2
2009022100,2,3
2009022620,3,1
2009022621,5,2
2009022622,6,3
2009022623,3,4
2009022719,1,1
2009022720,1,2
2009030300,5,1
2009030301,3,2
2009030302,1,3
2009030303,2,4
2009030304,4,5
2009030305,1,6
2009030306,1,7
2009030318,2,1
2009030319,6,2
2009030320,6,3
2009030321,6,4
2009030322,6,5
2009030323,6,6
2009030400,6,7
2009030401,6,8
2009030402,6,9
2009030403,6,10
2009030404,6,11
2009030405,6,12
2009030406,6,13
2009030407,6,14
2009030408,6,15
2009030409,6,16
2009030410,6,17
2009030411,6,18
2009030412,6,19
2009030413,6,20
2009030414,6,21
2009030415,6,22
2009030416,5,23
2009030417,6,24
2009030418,6,25
2009030419,6,26
2009030420,6,27
2009030421,6,28
2009030422,6,29
2009030423,1,30
2009030523,1,1
2009030600,3,2
2009030816,1,1
2009030817,6,2
2009030818,6,3
2009030819,6,4
2009030820,6,5
2009030821,6,6
2009030822,6,7
2009030823,6,8
2009030900,6,9
2009030901,6,10
2009030902,5,11
2009031419,5,1
2009031420,4,2
2009031421,1,3
2009031422,6,4
2009031423,6,5
2009031500,5,6
2009031518,1,1
2009031519,4,2
2009031520,6,3
2009031521,6,4
2009031522,6,5
2009031523,6,6
2009031600,6,7
2009031601,6,8
2009031602,1,9
2009031607,6,1
2009031608,6,2
2009031609,6,3
2009031610,6,4
2009031611,6,5
2009031612,6,6
2009031613,6,7
2009031614,6,8
2009031615,6,9
2009031616,6,10
2009031617,6,11
2009031618,6,12
2009031619,6,13
2009031620,6,14
2009031621,6,15
2009031622,6,16
2009031623,6,17
2009031700,5,18
2009031703,1,1
2009031721,1,1
2009031722,2,2
2009031723,4,3
2009031800,4,4
2009031802,1,1
2009031821,1,1
2009031822,3,2
2009031920,5,1
2009031921,3,2
2009032021,2,1
2009032115,5,1
2009032116,6,2
2009032117,6,3
2009032118,6,4
2009032119,6,5
2009032120,6,6
2009032121,6,7
2009032122,6,8
2009032123,6,9
2009032200,6,10
2009032201,6,11
2009032202,6,12
2009032203,6,13
2009032204,6,14
2009032205,6,15
2009032206,5,16
2009032214,1,1
2009032215,6,2
2009032216,6,3
2009032217,6,4
2009032218,6,5
2009032219,2,6
2009032823,1,1
2009032905,1,1
2009032906,4,2
2009032907,5,3
2009032908,1,4
2009032909,3,5
2009032910,4,6
2009032911,4,7
2009032912,3,8
2009032913,5,9
2009040216,1,1
2009040217,5,2
2009040218,5,3
2009040219,6,4
2009040220,2,5
2009040221,1,6
2009040623,1,1
2009040717,1,1
2009040718,6,2
2009040719,6,3
2009040720,6,4
2009040721,6,5
2009040722,6,6
2009040723,6,7
2009040800,6,8
2009040801,6,9
2009040802,6,10
2009040803,6,11
2009040804,5,12
2009040805,1,13
2009040806,2,14
2009040807,3,15
2009040808,3,16
2009040809,6,17
2009040810,1,18
2009040813,4,1
2009040814,6,2
2009040815,2,3
2009040816,4,4
2009040817,6,5
2009040818,6,6
2009040819,6,7
2009040820,1,8
2009041019,2,1
2009041020,2,2
2009041021,5,3
2009041022,4,4
2009041023,1,5
2009041101,1,1
2009041317,1,1
2009041318,5,2
2009041319,6,3
2009041320,6,4
2009041321,6,5
2009041322,6,6
2009041323,6,7
2009041400,6,8
2009041401,6,9
2009041402,6,10
2009041403,3,11
2009041921,5,1
2009041922,5,2
2009041923,6,3
2009042000,6,4
2009042001,5,5
2009042003,1,1
2009042004,5,2
2009042005,1,3
2009042016,1,1
2009042017,6,2
2009042018,6,3
2009042019,6,4
2009042020,6,5
2009042021,6,6
2009042022,6,7
2009042023,6,8
2009042100,6,9
2009042101,6,10
2009042102,2,11
2009042103,2,12
2009042104,6,13
2009042105,3,14
2009042106,2,15
2009042117,3,1
2009042118,6,2
2009042119,6,3
2009042120,6,4
2009042121,6,5
2009042122,6,6
2009042123,6,7
2009042200,6,8
2009042201,6,9
2009042202,5,10
2009042203,6,11
2009042204,4,12
2009042205,4,13
2009042206,1,14
2009042216,1,1
2009042217,6,2
2009042218,6,3
2009042219,6,4
2009042220,6,5
2009042221,6,6
2009042222,6,7
2009042223,6,8
2009042300,6,9
2009042301,6,10
2009042302,4,11
2009042303,6,12
2009042310,2,1
2009042315,2,1
2009042316,6,2
2009042317,6,3
2009042318,5,4
2009042319,6,5
2009042320,5,6
2009042321,6,7
2009042322,6,8
2009042323,6,9
2009042400,5,10
2009042401,5,11
2009042402,3,12
2009042403,1,13
2009042621,3,1
2009042622,2,2
2009042719,2,1
2009042720,6,2
2009042721,6,3
2009042722,6,4
2009042723,6,5
2009042800,6,6
2009042801,6,7
2009042802,4,8
2009042806,5,1
2009042807,6,2
2009042808,6,3
2009042809,6,4
2009042810,6,5
2009042811,6,6
2009042812,6,7
2009042813,6,8
2009042814,6,9
2009042815,3,10
2009043000,4,1
2009043001,5,2
2009043018,2,1
2009043020,4,1
2009043021,4,2
2009043022,1,3
2009043023,6,4
2009050100,6,5
2009050101,6,6
2009050102,6,7
2009050103,6,8
2009050521,3,1
2009050522,5,2
2009050523,4,3
2009050600,6,4
2009050601,4,5
2009050617,3,1
2009050618,6,2
2009050619,6,3
2009050620,6,4
2009050621,6,5
2009050622,6,6
2009050623,6,7
2009050700,6,8
2009050701,5,9
2009050702,2,10
2009050816,1,1
2009050817,3,2
2009050818,1,3
2009050819,3,4
2009050820,5,5
2009050821,6,6
2009050822,6,7
2009050823,6,8
2009050900,6,9
2009050901,6,10
2009050902,6,11
2009050903,6,12
2009050904,5,13
2009050905,2,14
2009050919,2,1
2009050920,6,2
2009050921,6,3
2009050922,6,4
2009050923,6,5
2009051000,6,6
2009051001,5,7
2009051017,4,1
2009051018,6,2
2009051019,5,3
2009051020,6,4
2009051021,6,5
2009051022,6,6
2009051023,6,7
2009051100,6,8
2009051101,6,9
2009051102,6,10
2009051103,1,11
2009051116,6,1
2009051117,6,2
2009051118,6,3
2009051119,6,4
2009051120,6,5
2009051121,6,6
2009051122,6,7
2009051123,6,8
2009051200,6,9
2009051201,4,10
2009051203,5,1
2009051204,3,2
2009051215,5,1
2009051216,6,2
2009051217,6,3
2009051218,6,4
2009051219,6,5
2009051220,6,6
2009051221,6,7
2009051222,6,8
2009051223,6,9
2009051300,6,10
2009051301,2,11
2009051314,2,1
2009051315,3,2
2009051316,6,3
2009051317,6,4
2009051318,6,5
2009051319,6,6
2009051320,6,7
2009051321,6,8
2009051322,6,9
2009051323,6,10
2009051400,6,11
2009051401,5,12
2009051416,1,1
2009051418,5,1
2009051419,6,2
2009051420,6,3
2009051421,6,4
2009051422,6,5
2009051423,6,6
2009051500,6,7
2009051501,6,8
2009051502,2,9
2009051518,1,1
2009051519,6,2
2009051520,3,3
2009051521,4,4
2009051522,6,5
2009051523,6,6
2009051600,6,7
2009051601,4,8
2009051618,5,1
2009051619,6,2
2009051620,6,3
2009051621,4,4
2009051702,1,1
2009051703,3,2
2009051704,6,3
2009051705,5,4
2009051714,1,1
2009051716,2,1
2009051717,6,2
2009051718,6,3
2009051719,6,4
2009051720,6,5
2009051721,6,6
2009051722,6,7
2009051723,6,8
2009051800,6,9
2009051801,6,10
2009051802,4,11
2009051803,3,12
2009051804,1,13
2009051816,3,1
2009051817,6,2
2009051818,6,3
2009051819,6,4
2009051820,6,5
2009051821,6,6
2009051822,6,7
2009051823,6,8
2009051900,6,9
2009051901,6,10
2009051902,6,11
2009051903,6,12
2009051904,5,13
2009051905,6,14
2009051913,2,1
2009051914,6,2
2009051915,4,3
2009051916,6,4
2009051917,6,5
2009051918,6,6
2009051919,6,7
2009051920,5,8
2009051921,6,9
2009051922,3,10
2009051923,4,11
2009052000,3,12
2009052019,1,1
2009052020,1,2
2009052021,6,3
2009052022,4,4
2009052023,6,5
2009052100,6,6
2009052101,2,7
2009052119,2,1
2009052120,1,2
2009052121,3,3
2009052122,5,4
2009052123,6,5
2009052200,6,6
2009052201,4,7
2009052202,1,8
2009052219,6,1
2009052220,6,2
2009052221,6,3
2009052222,6,4
2009052223,6,5
2009052300,6,6
2009052301,6,7
2009052302,2,8
2009052623,2,1
2009052701,1,1
2009052720,5,1
2009052721,6,2
2009052722,6,3
2009052723,6,4
2009052800,6,5
2009052801,6,6
2009052817,2,1
2009052818,4,2
2009052819,5,3
2009052820,6,4
2009052821,6,5
2009052822,6,6
2009052823,6,7
2009052900,6,8
2009052901,6,9
2009052902,4,10
2009052904,4,1
2009052905,3,2
2009052917,4,1
2009052918,6,2
2009052919,6,3
2009052920,6,4
2009052921,6,5
2009052922,6,6
2009052923,6,7
2009053000,6,8
2009053001,6,9
2009053002,6,10
2009053003,6,11
2009053004,4,12
2009053005,1,13
2009053017,2,1
2009053018,6,2
2009053019,6,3
2009053020,6,4
2009053021,6,5
2009053022,6,6
2009053023,6,7
2009053100,4,8
2009053101,1,9
2009053102,4,10
2009053117,3,1
2009053118,1,2
2009053119,3,3
2009053120,6,4
2009053121,6,5
2009053122,6,6
2009053123,5,7
2009060200,1,1
2009060201,2,2
2009060222,1,1
2009060223,6,2
2009060300,1,3
2009060320,2,1
2009060321,6,2
2009060322,6,3
2009060323,6,4
2009060400,6,5
2009060401,1,6
2009060420,5,1
2009060421,6,2
2009060422,6,3
2009060423,6,4
2009060500,6,5
2009060501,6,6
2009060502,6,7
2009060503,6,8
2009060504,6,9
2009060505,5,10
2009060506,6,11
2009060507,4,12
2009060523,5,1
