MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,11,0.00
0102,0,11,0.00
0103,0,12,0.00
0104,0,12,0.00
0105,0,12,0.00
0106,0,12,0.00
0107,0,12,0.00
0108,0,12,0.00
0109,1,11,9.09
0110,1,12,8.33
0111,0,12,0.00
0112,1,12,8.33
0113,0,12,0.00
0114,1,12,8.33
0115,1,12,8.33
0116,1,12,8.33
0117,1,12,8.33
0118,1,12,8.33
0119,1,12,8.33
0120,0,12,0.00
0121,2,12,16.67
0122,3,12,25.00
0123,0,12,0.00
0124,0,12,0.00
0125,0,12,0.00
0126,0,12,0.00
0127,1,12,8.33
0128,0,12,0.00
0129,0,12,0.00
0130,0,12,0.00
0131,0,12,0.00
0201,1,12,8.33
0202,1,12,8.33
0203,1,12,8.33
0204,1,12,8.33
0205,1,12,8.33
0206,1,12,8.33
0207,1,12,8.33
0208,0,12,0.00
0209,0,12,0.00
0210,2,12,16.67
0211,0,12,0.00
0212,0,12,0.00
0213,0,12,0.00
0214,0,12,0.00
0215,0,12,0.00
0216,1,12,8.33
0217,2,12,16.67
0218,2,12,16.67
0219,1,12,8.33
0220,2,12,16.67
0221,1,12,8.33
0222,0,12,0.00
0223,1,12,8.33
0224,2,12,16.67
0225,1,12,8.33
0226,3,12,25.00
0227,1,12,8.33
0228,0,12,0.00
0229,0,3,0.00
0301,1,12,8.33
0302,2,12,16.67
0303,2,12,16.67
0304,1,12,8.33
0305,1,12,8.33
0306,2,12,16.67
0307,0,12,0.00
0308,2,12,16.67
0309,0,12,0.00
0310,0,12,0.00
0311,1,12,8.33
0312,1,12,8.33
0313,2,12,16.67
0314,1,12,8.33
0315,2,12,16.67
0316,2,12,16.67
0317,3,12,25.00
0318,2,12,16.67
0319,1,12,8.33
0320,0,12,0.00
0321,2,12,16.67
0322,2,12,16.67
0323,3,12,25.00
0324,1,12,8.33
0325,1,12,8.33
0326,3,12,25.00
0327,1,12,8.33
0328,0,12,0.00
0329,2,12,16.67
0330,2,12,16.67
0331,1,12,8.33
0401,2,12,16.67
0402,0,12,0.00
0403,3,12,25.00
0404,0,12,0.00
0405,1,12,8.33
0406,0,11,0.00
0407,2,11,18.18
0408,1,11,9.09
0409,1,11,9.09
0410,2,11,18.18
0411,2,11,18.18
0412,1,12,8.33
0413,3,12,25.00
0414,3,12,25.00
0415,1,12,8.33
0416,1,12,8.33
0417,4,12,33.33
0418,1,11,9.09
0419,0,11,0.00
0420,0,11,0.00
0421,1,11,9.09
0422,1,11,9.09
0423,0,12,0.00
0424,0,12,0.00
0425,0,12,0.00
0426,2,12,16.67
0427,1,12,8.33
0428,1,12,8.33
0429,2,12,16.67
0430,2,12,16.67
0501,1,12,8.33
0502,0,12,0.00
0503,1,12,8.33
0504,2,12,16.67
0505,2,12,16.67
0506,0,12,0.00
0507,3,12,25.00
0508,1,12,8.33
0509,0,12,0.00
0510,2,12,16.67
0511,1,12,8.33
0512,3,12,25.00
0513,3,12,25.00
0514,0,12,0.00
0515,1,12,8.33
0516,1,12,8.33
0517,0,12,0.00
0518,2,12,16.67
0519,2,12,16.67
0520,1,12,8.33
0521,2,12,16.67
0522,2,12,16.67
0523,1,12,8.33
0524,0,12,0.00
0525,1,12,8.33
0526,3,12,25.00
0527,1,12,8.33
0528,1,12,8.33
0529,0,12,0.00
0530,0,12,0.00
0531,2,12,16.67
0601,1,12,8.33
0602,1,12,8.33
0603,0,12,0.00
0604,0,12,0.00
0605,0,12,0.00
0606,2,12,16.67
0607,2,12,16.67
0608,2,12,16.67
0609,2,12,16.67
0610,2,12,16.67
0611,0,12,0.00
0612,0,12,0.00
0613,1,12,8.33
0614,1,12,8.33
0615,1,11,9.09
0616,2,11,18.18
0617,1,12,8.33
0618,0,12,0.00
0619,1,12,8.33
0620,3,12,25.00
0621,0,12,0.00
0622,1,12,8.33
0623,1,12,8.33
0624,2,12,16.67
0625,3,12,25.00
0626,1,12,8.33
0627,2,12,16.67
0628,1,12,8.33
0629,1,12,8.33
0630,0,12,0.00
0701,1,12,8.33
0702,1,12,8.33
0703,1,12,8.33
0704,0,12,0.00
0705,0,12,0.00
0706,1,12,8.33
0707,0,12,0.00
0708,0,12,0.00
0709,0,12,0.00
0710,0,12,0.00
0711,0,12,0.00
0712,0,12,0.00
0713,0,12,0.00
0714,0,12,0.00
0715,0,12,0.00
0716,0,12,0.00
0717,0,12,0.00
0718,0,12,0.00
0719,0,12,0.00
0720,0,12,0.00
0721,1,12,8.33
0722,1,12,8.33
0723,0,12,0.00
0724,0,12,0.00
0725,0,12,0.00
0726,0,12,0.00
0727,0,12,0.00
0728,0,12,0.00
0729,0,12,0.00
0730,0,12,0.00
0731,0,12,0.00
0801,0,12,0.00
0802,1,12,8.33
0803,0,12,0.00
0804,1,12,8.33
0805,0,12,0.00
0806,0,12,0.00
0807,0,12,0.00
0808,0,12,0.00
0809,0,12,0.00
0810,0,12,0.00
0811,0,12,0.00
0812,0,12,0.00
0813,0,12,0.00
0814,1,12,8.33
0815,0,12,0.00
0816,0,12,0.00
0817,0,12,0.00
0818,0,12,0.00
0819,0,12,0.00
0820,0,12,0.00
0821,0,12,0.00
0822,0,12,0.00
0823,0,12,0.00
0824,1,12,8.33
0825,0,12,0.00
0826,0,12,0.00
0827,0,12,0.00
0828,0,12,0.00
0829,1,12,8.33
0830,1,12,8.33
0831,0,12,0.00
0901,1,12,8.33
0902,0,12,0.00
0903,1,12,8.33
0904,1,12,8.33
0905,0,12,0.00
0906,0,12,0.00
0907,0,12,0.00
0908,2,12,16.67
0909,0,12,0.00
0910,0,12,0.00
0911,0,12,0.00
0912,0,12,0.00
0913,0,12,0.00
0914,0,12,0.00
0915,1,12,8.33
0916,0,12,0.00
0917,0,12,0.00
0918,0,12,0.00
0919,0,12,0.00
0920,0,12,0.00
0921,2,12,16.67
0922,0,12,0.00
0923,0,12,0.00
0924,1,12,8.33
0925,1,12,8.33
0926,0,12,0.00
0927,0,12,0.00
0928,1,12,8.33
0929,2,12,16.67
0930,1,12,8.33
1001,0,12,0.00
1002,0,12,0.00
1003,0,12,0.00
1004,0,12,0.00
1005,0,12,0.00
1006,1,12,8.33
1007,0,12,0.00
1008,1,12,8.33
1009,1,12,8.33
1010,0,12,0.00
1011,0,12,0.00
1012,1,12,8.33
1013,0,12,0.00
1014,1,12,8.33
1015,0,12,0.00
1016,1,12,8.33
1017,1,12,8.33
1018,0,12,0.00
1019,0,12,0.00
1020,1,12,8.33
1021,0,12,0.00
1022,1,12,8.33
1023,1,12,8.33
1024,0,12,0.00
1025,2,12,16.67
1026,1,12,8.33
1027,0,12,0.00
1028,3,12,25.00
1029,0,12,0.00
1030,0,12,0.00
1031,0,12,0.00
1101,1,12,8.33
1102,1,12,8.33
1103,3,12,25.00
1104,1,12,8.33
1105,0,12,0.00
1106,0,12,0.00
1107,1,12,8.33
1108,1,12,8.33
1109,2,12,16.67
1110,0,12,0.00
1111,0,12,0.00
1112,2,12,16.67
1113,0,12,0.00
1114,1,12,8.33
1115,1,12,8.33
1116,2,12,16.67
1117,1,12,8.33
1118,2,12,16.67
1119,1,12,8.33
1120,2,12,16.67
1121,2,12,16.67
1122,0,12,0.00
1123,1,12,8.33
1124,1,12,8.33
1125,0,12,0.00
1126,1,12,8.33
1127,1,12,8.33
1128,1,12,8.33
1129,1,12,8.33
1130,1,12,8.33
1201,2,12,16.67
1202,1,12,8.33
1203,2,12,16.67
1204,0,12,0.00
1205,0,11,0.00
1206,0,11,0.00
1207,0,11,0.00
1208,0,11,0.00
1209,0,12,0.00
1210,1,12,8.33
1211,1,12,8.33
1212,2,12,16.67
1213,1,12,8.33
1214,0,12,0.00
1215,1,12,8.33
1216,1,12,8.33
1217,1,12,8.33
1218,0,12,0.00
1219,1,12,8.33
1220,1,12,8.33
1221,0,12,0.00
1222,1,12,8.33
1223,2,12,16.67
1224,2,12,16.67
1225,2,12,16.67
1226,1,12,8.33
1227,0,12,0.00
1228,0,12,0.00
1229,1,12,8.33
1230,1,11,9.09
1231,1,11,9.09
