MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,12,8.33
0102,2,12,16.67
0103,0,13,0.00
0104,1,13,7.69
0105,1,12,8.33
0106,0,12,0.00
0107,0,12,0.00
0108,0,12,0.00
0109,1,11,9.09
0110,3,12,25.00
0111,1,12,8.33
0112,2,12,16.67
0113,1,12,8.33
0114,1,12,8.33
0115,1,12,8.33
0116,1,12,8.33
0117,3,12,25.00
0118,1,12,8.33
0119,1,12,8.33
0120,1,12,8.33
0121,1,12,8.33
0122,4,12,33.33
0123,1,12,8.33
0124,0,12,0.00
0125,0,12,0.00
0126,0,12,0.00
0127,2,12,16.67
0128,0,12,0.00
0129,0,12,0.00
0130,1,12,8.33
0131,0,12,0.00
0201,1,12,8.33
0202,1,12,8.33
0203,1,12,8.33
0204,1,12,8.33
0205,2,12,16.67
0206,3,12,25.00
0207,3,12,25.00
0208,1,12,8.33
0209,0,12,0.00
0210,2,12,16.67
0211,0,12,0.00
0212,0,12,0.00
0213,0,12,0.00
0214,1,12,8.33
0215,1,12,8.33
0216,2,12,16.67
0217,3,12,25.00
0218,3,12,25.00
0219,1,12,8.33
0220,3,12,25.00
0221,1,12,8.33
0222,1,12,8.33
0223,1,12,8.33
0224,1,12,8.33
0225,1,12,8.33
0226,3,12,25.00
0227,1,12,8.33
0228,0,12,0.00
0229,0,3,0.00
0301,2,12,16.67
0302,2,12,16.67
0303,2,12,16.67
0304,3,12,25.00
0305,2,12,16.67
0306,3,12,25.00
0307,0,12,0.00
0308,2,12,16.67
0309,1,12,8.33
0310,0,12,0.00
0311,2,12,16.67
0312,1,12,8.33
0313,2,12,16.67
0314,3,12,25.00
0315,3,12,25.00
0316,3,12,25.00
0317,4,12,33.33
0318,5,12,41.67
0319,1,12,8.33
0320,0,12,0.00
0321,6,12,50.00
0322,1,12,8.33
0323,3,12,25.00
0324,2,12,16.67
0325,2,12,16.67
0326,3,12,25.00
0327,2,12,16.67
0328,0,12,0.00
0329,4,12,33.33
0330,3,12,25.00
0331,4,12,33.33
0401,5,12,41.67
0402,1,12,8.33
0403,3,12,25.00
0404,3,12,25.00
0405,3,12,25.00
0406,1,11,9.09
0407,4,11,36.36
0408,2,11,18.18
0409,1,11,9.09
0410,2,11,18.18
0411,3,11,27.27
0412,3,12,25.00
0413,4,12,33.33
0414,5,12,41.67
0415,3,12,25.00
0416,3,12,25.00
0417,4,12,33.33
0418,2,11,18.18
0419,1,11,9.09
0420,2,11,18.18
0421,2,11,18.18
0422,2,11,18.18
0423,2,12,16.67
0424,2,12,16.67
0425,1,12,8.33
0426,2,12,16.67
0427,3,12,25.00
0428,5,12,41.67
0429,5,12,41.67
0430,3,12,25.00
0501,2,12,16.67
0502,1,12,8.33
0503,2,12,16.67
0504,3,12,25.00
0505,3,12,25.00
0506,4,12,33.33
0507,2,12,16.67
0508,2,12,16.67
0509,0,12,0.00
0510,1,12,8.33
0511,2,12,16.67
0512,3,12,25.00
0513,3,12,25.00
0514,3,12,25.00
0515,1,12,8.33
0516,2,12,16.67
0517,0,12,0.00
0518,1,12,8.33
0519,4,12,33.33
0520,3,12,25.00
0521,3,12,25.00
0522,3,12,25.00
0523,2,12,16.67
0524,2,12,16.67
0525,1,12,8.33
0526,3,12,25.00
0527,3,12,25.00
0528,1,12,8.33
0529,2,12,16.67
0530,2,12,16.67
0531,5,12,41.67
0601,5,12,41.67
0602,4,12,33.33
0603,1,12,8.33
0604,1,12,8.33
0605,1,12,8.33
0606,3,12,25.00
0607,3,12,25.00
0608,5,12,41.67
0609,5,12,41.67
0610,3,12,25.00
0611,3,12,25.00
0612,0,12,0.00
0613,3,12,25.00
0614,2,12,16.67
0615,1,11,9.09
0616,5,11,45.45
0617,1,12,8.33
0618,3,12,25.00
0619,4,12,33.33
0620,4,12,33.33
0621,2,12,16.67
0622,2,12,16.67
0623,1,12,8.33
0624,2,12,16.67
0625,2,12,16.67
0626,1,12,8.33
0627,2,12,16.67
0628,3,12,25.00
0629,3,12,25.00
0630,1,12,8.33
0701,1,12,8.33
0702,1,12,8.33
0703,1,12,8.33
0704,1,12,8.33
0705,0,12,0.00
0706,2,12,16.67
0707,1,12,8.33
0708,1,12,8.33
0709,2,12,16.67
0710,1,12,8.33
0711,1,12,8.33
0712,0,12,0.00
0713,1,12,8.33
0714,0,12,0.00
0715,0,12,0.00
0716,1,12,8.33
0717,1,12,8.33
0718,1,12,8.33
0719,1,12,8.33
0720,0,12,0.00
0721,2,12,16.67
0722,1,12,8.33
0723,0,12,0.00
0724,1,12,8.33
0725,0,12,0.00
0726,0,12,0.00
0727,1,12,8.33
0728,1,12,8.33
0729,0,12,0.00
0730,0,12,0.00
0731,1,12,8.33
0801,1,12,8.33
0802,1,12,8.33
0803,2,12,16.67
0804,0,12,0.00
0805,1,12,8.33
0806,1,12,8.33
0807,1,12,8.33
0808,0,12,0.00
0809,1,12,8.33
0810,2,12,16.67
0811,1,12,8.33
0812,0,12,0.00
0813,0,12,0.00
0814,1,12,8.33
0815,0,12,0.00
0816,0,12,0.00
0817,0,12,0.00
0818,1,12,8.33
0819,1,12,8.33
0820,1,12,8.33
0821,1,12,8.33
0822,1,12,8.33
0823,1,12,8.33
0824,1,12,8.33
0825,0,12,0.00
0826,0,12,0.00
0827,1,12,8.33
0828,0,12,0.00
0829,1,12,8.33
0830,1,12,8.33
0831,1,12,8.33
0901,1,12,8.33
0902,1,12,8.33
0903,3,12,25.00
0904,2,12,16.67
0905,1,12,8.33
0906,3,12,25.00
0907,2,12,16.67
0908,3,12,25.00
0909,3,12,25.00
0910,0,12,0.00
0911,1,12,8.33
0912,2,12,16.67
0913,1,12,8.33
0914,1,12,8.33
0915,1,12,8.33
0916,3,12,25.00
0917,0,12,0.00
0918,1,12,8.33
0919,3,12,25.00
0920,2,12,16.67
0921,3,12,25.00
0922,1,12,8.33
0923,3,12,25.00
0924,1,12,8.33
0925,1,12,8.33
0926,0,12,0.00
0927,0,12,0.00
0928,1,12,8.33
0929,4,12,33.33
0930,4,12,33.33
1001,0,12,0.00
1002,1,12,8.33
1003,0,12,0.00
1004,1,12,8.33
1005,2,12,16.67
1006,1,12,8.33
1007,1,12,8.33
1008,2,12,16.67
1009,1,12,8.33
1010,1,12,8.33
1011,1,12,8.33
1012,3,12,25.00
1013,0,12,0.00
1014,3,12,25.00
1015,2,12,16.67
1016,1,12,8.33
1017,2,12,16.67
1018,0,12,0.00
1019,0,12,0.00
1020,2,12,16.67
1021,0,12,0.00
1022,0,12,0.00
1023,1,12,8.33
1024,0,12,0.00
1025,2,12,16.67
1026,1,12,8.33
1027,1,12,8.33
1028,2,12,16.67
1029,1,12,8.33
1030,0,12,0.00
1031,0,12,0.00
1101,1,12,8.33
1102,3,12,25.00
1103,5,12,41.67
1104,1,12,8.33
1105,1,12,8.33
1106,0,12,0.00
1107,1,12,8.33
1108,3,12,25.00
1109,2,12,16.67
1110,0,12,0.00
1111,0,12,0.00
1112,1,12,8.33
1113,0,12,0.00
1114,1,12,8.33
1115,1,12,8.33
1116,3,12,25.00
1117,4,12,33.33
1118,5,12,41.67
1119,2,12,16.67
1120,2,12,16.67
1121,2,12,16.67
1122,0,12,0.00
1123,2,12,16.67
1124,2,12,16.67
1125,1,12,8.33
1126,1,12,8.33
1127,1,12,8.33
1128,2,12,16.67
1129,2,12,16.67
1130,1,12,8.33
1201,1,12,8.33
1202,1,12,8.33
1203,3,12,25.00
1204,1,12,8.33
1205,0,12,0.00
1206,0,12,0.00
1207,0,12,0.00
1208,0,12,0.00
1209,0,13,0.00
1210,1,13,7.69
1211,2,13,15.38
1212,2,13,15.38
1213,2,13,15.38
1214,0,13,0.00
1215,1,13,7.69
1216,1,13,7.69
1217,0,13,0.00
1218,0,13,0.00
1219,2,13,15.38
1220,1,13,7.69
1221,0,13,0.00
1222,3,13,23.08
1223,4,13,30.77
1224,3,13,23.08
1225,3,13,23.08
1226,1,13,7.69
1227,0,13,0.00
1228,0,13,0.00
1229,1,13,7.69
1230,0,12,0.00
