MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,12,0.00
0102,1,12,8.33
0103,1,13,7.69
0104,2,13,15.38
0105,2,12,16.67
0106,0,12,0.00
0107,0,12,0.00
0108,0,12,0.00
0109,0,11,0.00
0110,0,12,0.00
0111,0,12,0.00
0112,1,12,8.33
0113,0,12,0.00
0114,2,12,16.67
0115,1,12,8.33
0116,2,12,16.67
0117,0,12,0.00
0118,1,12,8.33
0119,0,12,0.00
0120,0,12,0.00
0121,0,12,0.00
0122,0,12,0.00
0123,1,12,8.33
0124,1,12,8.33
0125,0,12,0.00
0126,1,12,8.33
0127,0,12,0.00
0128,0,12,0.00
0129,0,12,0.00
0130,0,12,0.00
0131,0,12,0.00
0201,0,12,0.00
0202,1,12,8.33
0203,1,12,8.33
0204,0,12,0.00
0205,0,12,0.00
0206,1,12,8.33
0207,1,12,8.33
0208,1,12,8.33
0209,0,12,0.00
0210,0,12,0.00
0211,0,12,0.00
0212,1,12,8.33
0213,3,12,25.00
0214,2,12,16.67
0215,2,12,16.67
0216,1,12,8.33
0217,1,12,8.33
0218,3,12,25.00
0219,1,12,8.33
0220,1,12,8.33
0221,0,12,0.00
0222,0,12,0.00
0223,0,12,0.00
0224,1,12,8.33
0225,0,12,0.00
0226,0,12,0.00
0227,0,12,0.00
0228,0,12,0.00
0229,0,3,0.00
0301,0,12,0.00
0302,3,12,25.00
0303,1,12,8.33
0304,2,12,16.67
0305,3,12,25.00
0306,4,12,33.33
0307,0,12,0.00
0308,2,12,16.67
0309,1,12,8.33
0310,2,12,16.67
0311,5,12,41.67
0312,2,12,16.67
0313,3,12,25.00
0314,4,12,33.33
0315,5,12,41.67
0316,3,12,25.00
0317,6,12,50.00
0318,3,12,25.00
0319,3,12,25.00
0320,6,12,50.00
0321,5,12,41.67
0322,6,12,50.00
0323,3,12,25.00
0324,2,12,16.67
0325,3,12,25.00
0326,3,12,25.00
0327,2,12,16.67
0328,4,12,33.33
0329,3,12,25.00
0330,3,12,25.00
0331,4,12,33.33
0401,5,12,41.67
0402,4,12,33.33
0403,5,12,41.67
0404,6,12,50.00
0405,5,12,41.67
0406,4,11,36.36
0407,5,11,45.45
0408,5,11,45.45
0409,4,11,36.36
0410,4,11,36.36
0411,5,11,45.45
0412,5,12,41.67
0413,2,12,16.67
0414,4,12,33.33
0415,4,12,33.33
0416,4,12,33.33
0417,5,12,41.67
0418,6,11,54.55
0419,6,11,54.55
0420,6,11,54.55
0421,7,11,63.64
0422,7,11,63.64
0423,8,12,66.67
0424,7,12,58.33
0425,5,12,41.67
0426,4,12,33.33
0427,4,12,33.33
0428,8,12,66.67
0429,7,12,58.33
0430,5,12,41.67
0501,5,12,41.67
0502,4,12,33.33
0503,8,12,66.67
0504,10,12,83.33
