OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2008121302,3,1
2008121304,2,1
2008121305,3,2
2008121306,4,3
2008121307,3,4
2008121311,4,1
2008121312,6,2
2008121313,6,3
2008121314,5,4
2008121315,5,5
2008121318,5,1
2008121319,5,2
2008121320,4,3
2008121322,1,1
2008121323,2,2
2008121518,5,1
2008121519,6,2
2008121520,6,3
2008121521,6,4
2008121907,1,1
2008121908,5,2
2008121909,1,3
2008121912,6,1
2008121913,6,2
2008121914,6,3
2008121915,6,4
2008121916,6,5
2008121917,6,6
2008121918,5,7
2008121921,3,1
2008121922,4,2
2008121923,3,3
2008122000,1,4
2008122020,2,1
2008122021,4,2
2008122202,1,1
2008122203,1,2
2008122204,1,3
2008122208,1,1
2008122211,1,1
2008122212,1,2
2008122213,5,3
2008122214,3,4
2008122216,3,1
2008122217,1,2
2008122223,3,1
2008122300,4,2
2008122301,1,3
2008122418,3,1
2008122419,1,2
2008122420,4,3
2008122421,2,4
2008122502,5,1
2008122503,5,2
2008122505,2,1
2008122506,2,2
2008122509,2,1
2008122510,6,2
2008122511,2,3
2008122513,1,1
2008122514,4,2
2008122515,1,3
2008122516,6,4
2008122517,6,5
2008122518,6,6
2008122519,6,7
2008122520,6,8
2008122521,6,9
2008122522,6,10
2008122523,6,11
2008122600,6,12
2008122601,3,13
2008122602,4,14
2008122603,2,15
2008122605,2,1
2008122607,4,1
2008122608,6,2
2008122609,3,3
2008122616,1,1
2008122619,1,1
2008122620,2,2
2009010218,1,1
2009010219,5,2
2009010220,2,3
2009010221,3,4
2009010222,2,5
2009010305,4,1
2009010306,3,2
2009010307,2,3
2009010310,2,1
2009010311,1,2
2009010314,2,1
2009010710,2,1
2009010721,1,1
2009010904,5,1
2009010905,2,2
2009010909,3,1
2009010910,1,2
2009010912,1,1
2009011208,1,1
2009011209,3,2
2009011210,6,3
2009011211,1,4
2009011301,3,1
2009011302,2,2
2009011305,1,1
2009012611,1,1
2009012820,4,1
2009012821,6,2
2009012822,2,3
2009012823,1,4
2009020602,5,1
2009020604,1,1
2009020918,1,1
2009021020,2,1
2009021022,2,1
2009021518,6,1
2009021521,1,1
2009021522,1,2
2009021705,6,1
2009021706,6,2
2009021707,1,3
2009022414,3,1
2009022415,2,2
2009022416,3,3
2009022417,4,4
2009022418,6,5
2009022419,3,6
2009022420,1,7
2009022516,4,1
2009022517,6,2
2009022518,6,3
2009022519,2,4
2009022520,1,5
2009022523,1,1
2009022705,1,1
2009022706,4,2
2009022707,5,3
2009022708,2,4
2009022709,5,5
2009022710,2,6
2009022711,5,7
2009022713,3,1
2009022714,2,2
2009022715,1,3
2009022716,5,4
2009022717,1,5
2009030114,3,1
2009030115,4,2
2009030300,4,1
2009030301,6,2
2009030302,6,3
2009030303,6,4
2009030304,6,5
2009030305,6,6
2009030306,6,7
2009030307,6,8
2009030308,6,9
2009030309,6,10
2009030310,6,11
2009030311,1,12
2009030314,2,1
2009030316,1,1
2009030317,4,2
2009030318,6,3
2009030319,6,4
2009030320,5,5
2009030321,3,6
2009030322,2,7
2009030403,2,1
2009030404,2,2
2009030405,2,3
2009030406,2,4
2009030407,2,5
2009030408,1,6
2009030409,6,7
2009030410,6,8
2009030411,6,9
2009030412,1,10
2009030414,3,1
2009030415,4,2
2009030416,3,3
2009030417,6,4
2009030418,3,5
2009030419,5,6
2009030420,2,7
2009030421,4,8
2009030423,1,1
2009030509,2,1
2009030510,4,2
2009030511,1,3
2009030520,1,1
2009030811,1,1
