OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2008121302,4,1
2008121304,2,1
2008121305,3,2
2008121306,6,3
2008121307,3,4
2008121311,4,1
2008121312,6,2
2008121313,6,3
2008121314,5,4
2008121315,5,5
2008121318,2,1
2008121319,2,2
2008121320,2,3
2008121518,6,1
2008121519,6,2
2008121520,6,3
2008121521,5,4
2008121907,1,1
2008121908,1,2
2008121909,1,3
2008121910,3,4
2008121911,1,5
2008121912,4,6
2008121913,6,7
2008121914,6,8
2008121915,6,9
2008121916,6,10
2008121917,6,11
2008121918,3,12
2008121921,4,1
2008121922,2,2
2008121923,1,3
2008122000,3,4
2008122018,1,1
2008122019,2,2
2008122020,5,3
2008122021,5,4
2008122022,2,5
2008122212,2,1
2008122213,6,2
2008122214,6,3
2008122216,2,1
2008122217,1,2
2008122223,2,1
2008122300,2,2
2008122301,1,3
2008122418,1,1
2008122420,1,1
2008122502,2,1
2008122505,1,1
2008122506,3,2
2008122509,3,1
2008122510,6,2
2008122511,4,3
2008122512,5,4
2008122513,1,5
2008122514,3,6
2008122515,4,7
2008122516,3,8
2008122517,6,9
2008122518,6,10
2008122519,6,11
2008122520,6,12
2008122521,6,13
2008122522,6,14
2008122523,3,15
2008122600,6,16
2008122602,3,1
2008122603,3,2
2008122604,1,3
2008122605,2,4
2008122606,1,5
2008122607,5,6
2008122608,6,7
2008122609,4,8
2008122620,1,1
2009010218,3,1
2009010219,6,2
2009010220,3,3
2009010221,6,4
2009010222,3,5
2009010223,1,6
2009010305,4,1
2009010306,1,2
2009010307,1,3
2009010314,1,1
2009010709,1,1
2009010710,4,2
2009010903,2,1
2009010904,4,2
2009010905,2,3
2009010906,1,4
2009011208,2,1
2009011209,6,2
2009011210,5,3
2009011211,2,4
2009011212,1,5
2009011301,1,1
2009011305,1,1
2009012819,2,1
2009012820,5,2
2009012821,5,3
2009012822,2,4
2009012823,3,5
2009012903,1,1
2009020602,1,1
2009020610,1,1
2009021518,2,1
2009021704,1,1
2009021705,5,2
2009021706,5,3
2009021707,1,4
2009022414,1,1
2009022416,1,1
2009022418,5,1
2009022420,1,1
2009022516,4,1
2009022517,6,2
2009022518,5,3
2009022519,4,4
2009022520,2,5
2009022523,1,1
2009022600,1,2
2009022619,2,1
2009022706,1,1
2009022707,1,2
2009022708,1,3
2009022709,3,4
2009022713,4,1
2009022716,2,1
2009030300,4,1
2009030301,6,2
2009030302,6,3
2009030303,6,4
2009030304,6,5
2009030305,6,6
2009030306,6,7
2009030307,6,8
2009030308,6,9
2009030309,6,10
2009030310,6,11
2009030311,2,12
2009030314,5,1
2009030316,1,1
2009030317,4,2
2009030318,6,3
2009030319,6,4
2009030320,5,5
2009030321,6,6
2009030322,5,7
2009030323,2,8
2009030401,1,1
2009030403,4,1
2009030404,5,2
2009030405,4,3
2009030406,4,4
2009030407,5,5
2009030408,3,6
2009030409,6,7
2009030410,6,8
2009030411,6,9
2009030412,4,10
2009030413,1,11
2009030414,4,12
2009030415,5,13
2009030416,5,14
2009030417,6,15
2009030418,6,16
2009030419,6,17
2009030420,6,18
2009030421,6,19
2009030422,5,20
2009030423,3,21
2009030500,3,22
2009030501,2,23
2009030509,2,1
2009030510,3,2
2009030816,2,1
2009030817,6,2
2009030818,6,3
2009030819,6,4
2009030820,5,5
2009030821,4,6
2009030822,3,7
2009030902,1,1
2009030903,5,2
2009030904,5,3
2009030905,1,4
2009030906,3,5
2009030907,1,6
2009030908,4,7
2009030909,6,8
2009030910,6,9
2009030911,5,10
2009030912,2,11
2009030913,4,12
2009030922,3,1
2009030923,4,2
2009031005,4,1
2009031006,1,2
2009031520,1,1
2009031616,3,1
2009031617,4,2
2009031618,6,3
2009031619,4,4
2009031620,6,5
2009031621,2,6
2009031623,1,1
2009032117,2,1
2009032118,6,2
2009032119,3,3
2009032120,3,4
2009032121,1,5
2009032122,2,6
2009032123,1,7
2009032202,1,1
2009032203,6,2
2009032204,6,3
2009032205,6,4
2009032206,5,5
2009032207,1,6
2009032208,1,7
