OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2009011821,1,1
2009012119,1,1
2009012120,4,2
2009012121,3,3
2009012122,3,4
2009012123,1,5
2009022018,1,1
2009022019,2,2
2009022020,2,3
2009022021,4,4
2009022022,1,5
2009022219,1,1
2009022220,2,2
2009022222,5,1
2009022519,2,1
2009022821,6,1
2009022822,2,2
2009022823,5,3
2009030116,1,1
2009030117,1,2
2009030119,5,1
2009030120,6,2
2009030121,6,3
2009030122,6,4
2009030123,5,5
2009030200,6,6
2009030201,1,7
2009030202,1,8
2009030212,1,1
2009030213,1,2
2009030221,5,1
2009030222,3,2
2009030223,2,3
2009030320,4,1
2009030321,6,2
2009030322,6,3
2009030323,6,4
2009030400,6,5
2009030401,6,6
2009030402,6,7
2009030403,6,8
2009030404,6,9
2009030405,6,10
2009030406,6,11
2009030407,2,12
2009030408,4,13
2009030409,3,14
2009030410,4,15
2009030411,1,16
2009030412,1,17
2009030413,4,18
2009030414,3,19
2009030415,6,20
2009030416,6,21
2009030417,6,22
2009030418,6,23
2009030419,6,24
2009030420,6,25
2009030421,6,26
2009030422,6,27
2009030423,6,28
2009030500,5,29
2009031121,1,1
2009031220,1,1
2009031322,3,1
2009031323,3,2
2009031420,6,1
2009031421,6,2
2009031422,6,3
2009031423,6,4
2009031500,6,5
2009031501,6,6
2009031502,4,7
2009031511,2,1
2009031512,5,2
2009031513,5,3
2009031515,1,1
2009031516,4,2
2009031517,2,3
2009031519,6,1
2009031520,6,2
2009031521,5,3
2009031522,6,4
2009031523,6,5
2009031618,1,1
2009031619,4,2
2009031620,5,3
2009031622,3,1
2009031623,2,2
2009031703,1,1
2009031719,3,1
2009031720,6,2
2009031721,6,3
2009031722,4,4
2009031818,4,1
2009031819,5,2
2009031820,6,3
2009031821,2,4
2009031919,3,1
2009031920,5,2
2009031921,6,3
2009031922,6,4
2009031923,6,5
2009032000,3,6
2009032018,3,1
2009032019,6,2
2009032020,6,3
2009032021,6,4
2009032022,6,5
2009032023,6,6
2009032100,6,7
2009032116,1,1
2009032117,4,2
2009032118,6,3
2009032119,6,4
2009032120,6,5
2009032121,6,6
2009032122,6,7
2009032123,6,8
2009032200,6,9
2009032201,6,10
2009032202,6,11
2009032203,6,12
2009032204,6,13
2009032205,6,14
2009032206,6,15
2009032207,2,16
2009032215,1,1
2009032216,5,2
2009032217,6,3
2009032218,4,4
2009032219,6,5
2009032220,4,6
2009040621,3,1
2009040622,6,2
2009040623,6,3
2009040700,6,4
2009040701,2,5
2009040702,2,6
2009040703,1,7
2009040717,6,1
2009040718,6,2
2009040719,6,3
2009040720,6,4
2009040721,6,5
2009040722,6,6
2009040723,6,7
2009040800,6,8
2009040801,6,9
