MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,4,11,36.36
0102,3,11,27.27
0103,2,11,18.18
0104,4,11,36.36
0105,1,10,10.00
0106,0,10,0.00
0107,1,10,10.00
0108,1,10,10.00
0109,2,9,22.22
0110,0,10,0.00
0111,1,10,10.00
0112,3,11,27.27
0113,3,11,27.27
0114,2,11,18.18
0115,3,11,27.27
0116,4,11,36.36
0117,0,11,0.00
0118,0,11,0.00
0119,1,11,9.09
0120,1,11,9.09
0121,2,11,18.18
0122,3,11,27.27
0123,1,11,9.09
0124,1,11,9.09
0125,0,11,0.00
0126,1,11,9.09
0127,2,11,18.18
0128,1,11,9.09
0129,4,11,36.36
0130,0,11,0.00
0131,4,11,36.36
0201,4,11,36.36
0202,3,11,27.27
0203,2,11,18.18
0204,1,11,9.09
0205,2,11,18.18
0206,1,11,9.09
0207,3,11,27.27
0208,4,11,36.36
0209,2,11,18.18
0210,1,10,10.00
0211,2,11,18.18
0212,2,11,18.18
0213,0,11,0.00
0214,2,11,18.18
0215,0,11,0.00
0216,0,11,0.00
0217,2,11,18.18
0218,2,11,18.18
0219,1,11,9.09
0220,1,11,9.09
0221,4,11,36.36
0222,4,11,36.36
0223,3,11,27.27
0224,1,11,9.09
0225,1,11,9.09
0226,3,11,27.27
0227,2,11,18.18
0228,2,11,18.18
0229,0,3,0.00
0301,0,11,0.00
0302,3,11,27.27
0303,2,11,18.18
0304,0,11,0.00
0305,1,11,9.09
0306,3,11,27.27
0307,3,11,27.27
0308,1,10,10.00
0309,1,11,9.09
0310,1,11,9.09
0311,2,11,18.18
0312,1,11,9.09
0313,3,11,27.27
0314,2,11,18.18
0315,2,11,18.18
0316,1,11,9.09
0317,2,11,18.18
0318,1,11,9.09
0319,1,11,9.09
0320,3,11,27.27
0321,3,11,27.27
0322,1,11,9.09
0323,1,11,9.09
0324,0,11,0.00
0325,2,11,18.18
0326,4,11,36.36
0327,2,11,18.18
0328,0,11,0.00
0329,1,11,9.09
0330,3,11,27.27
0331,2,11,18.18
0401,0,11,0.00
0402,0,11,0.00
0403,3,11,27.27
0404,1,11,9.09
0405,2,11,18.18
0406,3,11,27.27
0407,1,11,9.09
0408,4,11,36.36
0409,3,11,27.27
0410,2,11,18.18
0411,0,11,0.00
0412,0,11,0.00
0413,0,11,0.00
0414,1,11,9.09
0415,2,11,18.18
0416,2,11,18.18
0417,3,11,27.27
0418,1,11,9.09
0419,2,11,18.18
0420,2,11,18.18
0421,3,11,27.27
0422,2,11,18.18
0423,1,11,9.09
0424,0,11,0.00
0425,2,11,18.18
0426,2,11,18.18
0427,4,11,36.36
0428,1,11,9.09
0429,1,11,9.09
0430,0,11,0.00
0501,2,11,18.18
0502,1,11,9.09
0503,2,11,18.18
0504,5,11,45.45
0505,5,11,45.45
0506,2,11,18.18
0507,3,11,27.27
0508,3,11,27.27
0509,5,11,45.45
0510,3,11,27.27
0511,2,11,18.18
0512,1,10,10.00
0513,3,10,30.00
0514,3,10,30.00
0515,3,10,30.00
0516,1,10,10.00
0517,3,10,30.00
0518,1,11,9.09
0519,0,11,0.00
0520,4,11,36.36
0521,3,11,27.27
0522,1,11,9.09
0523,2,11,18.18
0524,0,11,0.00
0525,3,11,27.27
0526,1,11,9.09
0527,1,11,9.09
0528,1,11,9.09
0529,3,11,27.27
0530,4,11,36.36
0531,3,11,27.27
0601,2,11,18.18
0602,5,11,45.45
0603,2,11,18.18
0604,7,11,63.64
0605,3,11,27.27
0606,5,10,50.00
0607,4,11,36.36
0608,2,11,18.18
0609,4,11,36.36
0610,3,11,27.27
0611,3,11,27.27
0612,6,11,54.55
0613,3,11,27.27
0614,2,11,18.18
0615,5,11,45.45
0616,4,11,36.36
0617,3,11,27.27
0618,4,11,36.36
0619,1,11,9.09
0620,3,11,27.27
0621,3,11,27.27
0622,2,11,18.18
0623,3,11,27.27
0624,4,11,36.36
0625,3,11,27.27
0626,4,11,36.36
0627,5,11,45.45
0628,6,11,54.55
0629,3,11,27.27
0630,5,11,45.45
0701,6,11,54.55
0702,6,11,54.55
0703,3,11,27.27
0704,1,11,9.09
0705,5,11,45.45
0706,3,11,27.27
0707,4,11,36.36
0708,4,11,36.36
0709,5,11,45.45
0710,6,11,54.55
0711,4,11,36.36
0712,1,11,9.09
0713,1,11,9.09
0714,6,11,54.55
0715,4,11,36.36
0716,4,11,36.36
0717,2,11,18.18
0718,2,11,18.18
0719,5,11,45.45
0720,3,11,27.27
0721,3,11,27.27
0722,1,11,9.09
0723,1,11,9.09
0724,4,11,36.36
0725,4,11,36.36
0726,3,11,27.27
0727,2,11,18.18
0728,2,11,18.18
0729,4,11,36.36
0730,5,11,45.45
0731,5,11,45.45
0801,2,11,18.18
0802,5,11,45.45
0803,3,11,27.27
0804,2,11,18.18
0805,4,11,36.36
0806,4,11,36.36
0807,3,11,27.27
0808,3,11,27.27
0809,2,11,18.18
0810,6,11,54.55
0811,3,11,27.27
0812,3,11,27.27
0813,5,11,45.45
0814,4,11,36.36
0815,5,11,45.45
0816,4,11,36.36
0817,5,11,45.45
0818,4,11,36.36
0819,4,11,36.36
0820,4,11,36.36
0821,5,11,45.45
0822,1,11,9.09
0823,3,11,27.27
0824,3,11,27.27
0825,5,11,45.45
0826,4,11,36.36
0827,2,11,18.18
0828,6,11,54.55
0829,5,11,45.45
0830,3,11,27.27
0831,2,11,18.18
0901,5,11,45.45
0902,5,11,45.45
0903,6,11,54.55
0904,5,11,45.45
0905,5,11,45.45
0906,3,11,27.27
0907,5,11,45.45
0908,6,11,54.55
0909,4,11,36.36
0910,4,11,36.36
0911,5,11,45.45
0912,5,11,45.45
0913,6,11,54.55
0914,4,11,36.36
0915,5,11,45.45
0916,3,11,27.27
0917,3,11,27.27
0918,3,11,27.27
0919,3,11,27.27
0920,5,11,45.45
0921,6,11,54.55
0922,3,11,27.27
0923,1,11,9.09
0924,4,11,36.36
0925,3,11,27.27
0926,2,11,18.18
0927,4,11,36.36
0928,5,11,45.45
0929,3,11,27.27
0930,3,11,27.27
1001,3,11,27.27
1002,2,11,18.18
1003,1,10,10.00
1004,2,10,20.00
1005,3,10,30.00
1006,1,10,10.00
1007,4,10,40.00
1008,3,10,30.00
1009,2,10,20.00
1010,3,10,30.00
1011,1,10,10.00
1012,1,10,10.00
1013,4,10,40.00
1014,4,10,40.00
1015,3,10,30.00
1016,3,10,30.00
1017,5,10,50.00
1018,0,10,0.00
1019,4,10,40.00
1020,4,10,40.00
1021,2,10,20.00
1022,1,10,10.00
1023,3,10,30.00
1024,1,10,10.00
1025,1,10,10.00
1026,1,10,10.00
1027,1,10,10.00
