MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,5,11,45.45
0102,4,11,36.36
0103,2,11,18.18
0104,6,11,54.55
0105,1,11,9.09
0106,2,11,18.18
0107,4,11,36.36
0108,2,11,18.18
0109,4,10,40.00
0110,0,11,0.00
0111,2,11,18.18
0112,3,12,25.00
0113,3,12,25.00
0114,2,12,16.67
0115,3,12,25.00
0116,5,12,41.67
0117,2,12,16.67
0118,1,12,8.33
0119,3,12,25.00
0120,3,12,25.00
0121,2,12,16.67
0122,4,12,33.33
0123,2,12,16.67
0124,2,12,16.67
0125,0,12,0.00
0126,3,12,25.00
0127,2,12,16.67
0128,3,12,25.00
0129,4,12,33.33
0130,1,12,8.33
0131,5,12,41.67
0201,5,12,41.67
0202,3,12,25.00
0203,4,12,33.33
0204,1,12,8.33
0205,3,12,25.00
0206,0,12,0.00
0207,6,12,50.00
0208,6,12,50.00
0209,2,12,16.67
0210,1,11,9.09
0211,3,12,25.00
0212,3,12,25.00
0213,2,12,16.67
0214,3,12,25.00
0215,1,12,8.33
0216,2,12,16.67
0217,4,12,33.33
0218,3,12,25.00
0219,2,12,16.67
0220,2,12,16.67
0221,5,12,41.67
0222,4,12,33.33
0223,4,12,33.33
0224,1,12,8.33
0225,3,12,25.00
0226,3,12,25.00
0227,2,12,16.67
0228,2,12,16.67
0229,0,3,0.00
0301,2,12,16.67
0302,2,12,16.67
0303,3,12,25.00
0304,1,12,8.33
0305,2,11,18.18
0306,3,11,27.27
0307,3,11,27.27
0308,1,10,10.00
0309,0,11,0.00
0310,2,11,18.18
0311,3,11,27.27
0312,2,11,18.18
0313,4,11,36.36
0314,3,11,27.27
0315,1,11,9.09
0316,0,11,0.00
0317,5,11,45.45
0318,3,11,27.27
0319,2,11,18.18
0320,2,11,18.18
0321,3,11,27.27
0322,2,11,18.18
0323,0,11,0.00
0324,1,11,9.09
0325,3,11,27.27
0326,4,11,36.36
0327,3,11,27.27
0328,0,11,0.00
0329,2,11,18.18
0330,4,11,36.36
0331,4,11,36.36
0401,2,11,18.18
0402,1,11,9.09
0403,3,11,27.27
0404,4,11,36.36
0405,2,11,18.18
0406,3,11,27.27
0407,2,11,18.18
0408,4,11,36.36
0409,4,11,36.36
0410,4,11,36.36
0411,2,11,18.18
0412,2,11,18.18
0413,2,11,18.18
0414,3,11,27.27
0415,3,11,27.27
0416,4,11,36.36
0417,2,11,18.18
0418,1,11,9.09
0419,3,11,27.27
0420,2,11,18.18
0421,5,11,45.45
0422,5,11,45.45
0423,4,11,36.36
0424,1,11,9.09
0425,1,11,9.09
0426,2,11,18.18
0427,6,11,54.55
0428,3,11,27.27
0429,3,11,27.27
0430,1,11,9.09
0501,3,11,27.27
0502,2,11,18.18
0503,2,11,18.18
0504,6,11,54.55
0505,6,11,54.55
0506,4,11,36.36
0507,4,11,36.36
0508,3,11,27.27
0509,5,11,45.45
0510,4,11,36.36
0511,2,11,18.18
0512,2,10,20.00
0513,3,10,30.00
0514,4,10,40.00
0515,3,10,30.00
0516,2,10,20.00
0517,3,10,30.00
0518,2,11,18.18
0519,2,11,18.18
0520,4,11,36.36
0521,3,11,27.27
0522,3,11,27.27
0523,3,11,27.27
0524,0,11,0.00
0525,3,11,27.27
0526,3,11,27.27
0527,2,11,18.18
0528,1,11,9.09
0529,3,11,27.27
0530,6,11,54.55
0531,2,11,18.18
0601,3,11,27.27
0602,7,11,63.64
0603,4,11,36.36
0604,7,11,63.64
0605,4,11,36.36
0606,5,10,50.00
0607,6,11,54.55
0608,3,11,27.27
0609,6,11,54.55
0610,5,11,45.45
0611,3,11,27.27
0612,7,11,63.64
0613,4,11,36.36
0614,6,11,54.55
0615,7,11,63.64
0616,5,11,45.45
0617,3,11,27.27
0618,5,11,45.45
0619,3,11,27.27
0620,4,11,36.36
0621,6,11,54.55
0622,4,11,36.36
0623,5,11,45.45
0624,5,11,45.45
0625,3,11,27.27
0626,5,11,45.45
0627,5,11,45.45
0628,6,11,54.55
0629,5,11,45.45
0630,5,11,45.45
0701,5,11,45.45
0702,7,11,63.64
0703,3,11,27.27
0704,4,11,36.36
0705,4,11,36.36
0706,5,11,45.45
0707,5,11,45.45
0708,4,11,36.36
0709,7,11,63.64
0710,7,11,63.64
0711,6,11,54.55
0712,4,11,36.36
0713,1,11,9.09
0714,7,11,63.64
0715,6,11,54.55
0716,4,11,36.36
0717,2,11,18.18
0718,3,11,27.27
0719,4,11,36.36
0720,2,11,18.18
0721,4,11,36.36
0722,2,11,18.18
0723,3,11,27.27
0724,4,11,36.36
0725,3,11,27.27
0726,3,11,27.27
0727,3,11,27.27
0728,2,11,18.18
0729,4,11,36.36
0730,4,11,36.36
0731,5,11,45.45
0801,3,11,27.27
0802,5,11,45.45
0803,3,11,27.27
0804,2,11,18.18
0805,4,11,36.36
0806,3,11,27.27
0807,3,11,27.27
0808,4,11,36.36
0809,2,11,18.18
