MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,11,9.09
0102,0,11,0.00
0103,1,11,9.09
0104,1,11,9.09
0105,0,10,0.00
0106,1,10,10.00
0107,0,10,0.00
0108,0,10,0.00
0109,0,9,0.00
0110,0,10,0.00
0111,0,10,0.00
0112,0,11,0.00
0113,0,11,0.00
0114,1,11,9.09
0115,1,11,9.09
0116,1,11,9.09
0117,0,11,0.00
0118,1,11,9.09
0119,0,11,0.00
0120,0,11,0.00
0121,0,11,0.00
0122,0,11,0.00
0123,0,11,0.00
0124,0,11,0.00
0125,1,11,9.09
0126,0,11,0.00
0127,0,11,0.00
0128,1,11,9.09
0129,0,11,0.00
0130,1,11,9.09
0131,1,11,9.09
0201,1,11,9.09
0202,2,11,18.18
0203,1,11,9.09
0204,0,11,0.00
0205,0,11,0.00
0206,1,11,9.09
0207,1,11,9.09
0208,1,11,9.09
0209,0,11,0.00
0210,1,10,10.00
0211,0,11,0.00
0212,1,11,9.09
0213,2,11,18.18
0214,3,11,27.27
0215,4,11,36.36
0216,2,11,18.18
0217,3,11,27.27
0218,3,11,27.27
0219,3,11,27.27
0220,2,11,18.18
0221,0,11,0.00
0222,1,11,9.09
0223,1,11,9.09
0224,2,11,18.18
0225,2,11,18.18
0226,5,11,45.45
0227,4,11,36.36
0228,3,11,27.27
0229,2,3,66.67
0301,1,11,9.09
0302,3,11,27.27
0303,2,11,18.18
0304,3,11,27.27
0305,6,11,54.55
0306,7,11,63.64
0307,4,11,36.36
0308,2,10,20.00
0309,5,11,45.45
0310,6,11,54.55
0311,7,11,63.64
0312,5,11,45.45
0313,7,11,63.64
0314,7,11,63.64
0315,5,11,45.45
0316,7,11,63.64
0317,8,11,72.73
0318,5,11,45.45
0319,6,11,54.55
0320,7,11,63.64
0321,8,11,72.73
0322,7,11,63.64
0323,3,11,27.27
0324,3,11,27.27
0325,6,11,54.55
0326,7,11,63.64
0327,4,11,36.36
0328,6,11,54.55
0329,6,11,54.55
0330,7,11,63.64
0331,6,11,54.55
0401,6,11,54.55
0402,4,11,36.36
0403,7,11,63.64
0404,8,11,72.73
0405,8,11,72.73
0406,5,11,45.45
0407,5,11,45.45
0408,9,11,81.82
0409,7,11,63.64
0410,4,11,36.36
0411,6,11,54.55
0412,5,11,45.45
0413,5,11,45.45
0414,4,11,36.36
0415,6,11,54.55
0416,6,11,54.55
0417,6,11,54.55
0418,7,11,63.64
0419,5,11,45.45
0420,5,11,45.45
0421,6,11,54.55
0422,7,11,63.64
0423,9,11,81.82
0424,5,11,45.45
0425,6,11,54.55
0426,5,11,45.45
0427,4,11,36.36
0428,7,11,63.64
0429,8,11,72.73
0430,7,11,63.64
0501,7,11,63.64
0502,8,11,72.73
0503,9,11,81.82
0504,10,11,90.91
0505,10,11,90.91
0506,10,11,90.91
0507,6,11,54.55
0508,6,11,54.55
0509,4,11,36.36
0510,6,11,54.55
0511,6,11,54.55
0512,6,10,60.00
0513,8,10,80.00
0514,8,10,80.00
0515,6,10,60.00
0516,7,10,70.00
0517,7,10,70.00
0518,5,11,45.45
0519,3,11,27.27
0520,5,11,45.45
0521,3,11,27.27
0522,6,11,54.55
0523,5,11,45.45
0524,5,11,45.45
0525,6,11,54.55
0526,9,11,81.82
0527,8,11,72.73
0528,6,11,54.55
0529,5,11,45.45
0530,7,11,63.64
0531,10,11,90.91
0601,10,11,90.91
0602,8,11,72.73
0603,8,11,72.73
0604,9,11,81.82
0605,9,11,81.82
0606,9,10,90.00
0607,8,11,72.73
0608,9,11,81.82
0609,9,11,81.82
0610,10,11,90.91
0611,9,11,81.82
0612,8,11,72.73
0613,9,11,81.82
0614,8,11,72.73
0615,10,11,90.91
0616,10,11,90.91
0617,8,11,72.73
0618,8,11,72.73
0619,10,11,90.91
0620,10,11,90.91
0621,10,11,90.91
0622,11,11,100.00
0623,11,11,100.00
0624,11,11,100.00
0625,11,11,100.00
0626,11,11,100.00
0627,10,11,90.91
0628,11,11,100.00
0629,11,11,100.00
0630,8,11,72.73
0701,9,11,81.82
0702,10,11,90.91
0703,11,11,100.00
0704,11,11,100.00
0705,9,11,81.82
0706,7,11,63.64
0707,8,11,72.73
0708,9,11,81.82
0709,9,11,81.82
0710,9,11,81.82
0711,9,11,81.82
0712,8,11,72.73
0713,9,11,81.82
0714,10,11,90.91
0715,10,11,90.91
0716,10,11,90.91
0717,11,11,100.00
0718,10,11,90.91
0719,10,11,90.91
0720,10,11,90.91
0721,11,11,100.00
0722,10,11,90.91
0723,11,11,100.00
0724,10,11,90.91
0725,10,11,90.91
0726,9,11,81.82
0727,8,11,72.73
0728,10,11,90.91
0729,8,11,72.73
0730,10,11,90.91
0731,10,11,90.91
0801,7,11,63.64
0802,9,11,81.82
0803,9,11,81.82
0804,10,11,90.91
0805,9,11,81.82
0806,9,11,81.82
0807,11,11,100.00
0808,8,11,72.73
0809,10,11,90.91
0810,11,11,100.00
0811,11,11,100.00
0812,10,11,90.91
0813,11,11,100.00
0814,9,11,81.82
0815,11,11,100.00
0816,10,11,90.91
0817,11,11,100.00
0818,10,11,90.91
0819,10,11,90.91
0820,10,11,90.91
0821,10,11,90.91
0822,10,11,90.91
0823,7,11,63.64
0824,8,11,72.73
0825,9,11,81.82
0826,10,11,90.91
0827,8,11,72.73
0828,9,11,81.82
0829,10,11,90.91
0830,11,11,100.00
0831,10,11,90.91
0901,9,11,81.82
0902,9,11,81.82
0903,10,11,90.91
0904,10,11,90.91
0905,10,11,90.91
0906,11,11,100.00
0907,8,11,72.73
0908,9,11,81.82
0909,6,11,54.55
0910,6,11,54.55
0911,8,11,72.73
0912,7,11,63.64
0913,9,11,81.82
0914,9,11,81.82
0915,6,11,54.55
0916,7,11,63.64
0917,9,11,81.82
0918,9,11,81.82
0919,11,11,100.00
0920,10,11,90.91
0921,10,11,90.91
0922,8,11,72.73
0923,7,11,63.64
0924,8,11,72.73
0925,7,11,63.64
0926,6,11,54.55
0927,7,11,63.64
0928,7,11,63.64
0929,7,11,63.64
0930,7,11,63.64
1001,7,11,63.64
1002,6,11,54.55
1003,7,10,70.00
1004,5,10,50.00
1005,4,10,40.00
1006,2,10,20.00
1007,4,10,40.00
1008,6,10,60.00
1009,5,10,50.00
1010,6,10,60.00
1011,6,10,60.00
1012,4,10,40.00
1013,5,10,50.00
1014,6,10,60.00
1015,8,10,80.00
1016,8,10,80.00
1017,8,10,80.00
1018,5,10,50.00
1019,4,10,40.00
1020,6,10,60.00
1021,7,10,70.00
1022,4,10,40.00
1023,4,10,40.00
1024,5,10,50.00
1025,6,10,60.00
1026,4,10,40.00
1027,4,10,40.00
1028,8,10,80.00
1029,5,10,50.00
1030,6,10,60.00
1031,3,10,30.00
1101,5,10,50.00
1102,4,10,40.00
1103,4,10,40.00
1104,2,9,22.22
1105,2,9,22.22
1106,1,9,11.11
1107,3,9,33.33
1108,2,9,22.22
1109,4,9,44.44
1110,4,9,44.44
1111,4,10,40.00
1112,3,10,30.00
1113,3,10,30.00
1114,1,10,10.00
1115,3,10,30.00
1116,4,10,40.00
1117,1,10,10.00
1118,3,10,30.00
1119,3,10,30.00
1120,3,11,27.27
1121,4,11,36.36
1122,2,11,18.18
1123,0,11,0.00
1124,2,11,18.18
1125,2,11,18.18
1126,2,11,18.18
1127,2,11,18.18
1128,2,11,18.18
1129,2,11,18.18
1130,2,11,18.18
1201,1,11,9.09
1202,1,11,9.09
1203,3,11,27.27
1204,0,11,0.00
1205,0,11,0.00
1206,1,11,9.09
1207,1,11,9.09
1208,1,11,9.09
1209,0,11,0.00
1210,1,11,9.09
1211,1,11,9.09
1212,0,11,0.00
1213,0,11,0.00
1214,0,11,0.00
1215,0,11,0.00
1216,0,11,0.00
1217,0,12,0.00
1218,0,12,0.00
1219,0,12,0.00
1220,1,12,8.33
1221,0,12,0.00
1222,1,11,9.09
1223,2,11,18.18
1224,0,11,0.00
1225,0,11,0.00
1226,0,11,0.00
1227,0,11,0.00
1228,0,11,0.00
1229,1,11,9.09
1230,1,11,9.09
1231,2,11,18.18
