OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2009121808,1,1
2009121809,2,2
2009121811,1,1
2009121812,6,2
2009121813,6,3
2009121814,3,4
2009121816,2,1
2009121909,2,1
2009121910,1,2
2009121911,1,3
2009121914,1,1
2009121915,4,2
2009121916,4,3
2009122003,2,1
2009122004,2,2
2009122005,5,3
2009122006,3,4
2009122007,6,5
2009122008,1,6
2009122009,6,7
2009122010,6,8
2009122011,3,9
2009122012,6,10
2009122013,5,11
2009122014,6,12
2009122015,6,13
2009122016,6,14
2009122017,3,15
2009122018,3,16
2009122218,1,1
2009122613,2,1
2009122614,1,2
2009122615,4,3
2009122703,4,1
2009122706,3,1
2009122707,1,2
2009122713,1,1
2009122714,5,2
2009122715,4,3
2009122805,1,1
2009122814,3,1
2009122815,1,2
2009122816,6,3
2009122817,6,4
2009122818,3,5
2009122820,4,1
2010010310,1,1
2010010311,1,2
2010010312,1,3
2010010313,4,4
2010010314,1,5
2010010409,4,1
2010010410,1,2
2010010411,6,3
2010010412,6,4
2010010413,5,5
2010010414,6,6
2010010415,6,7
2010010416,5,8
2010010417,6,9
2010010418,6,10
2010010419,5,11
2010010420,1,12
2010010805,1,1
2010010806,3,2
2010010807,4,3
2010010808,6,4
2010010809,6,5
2010010810,6,6
2010010811,3,7
2010010812,5,8
2010010813,6,9
2010010814,6,10
2010010815,3,11
2010011006,2,1
2010011105,1,1
2010011111,1,1
2010011112,4,2
2010011113,6,3
2010011114,6,4
2010011115,6,5
2010011116,1,6
2010011117,4,7
2010011204,6,1
2010011205,11,2
2010011206,11,3
2010011207,2,4
2010011211,1,1
2010011212,2,2
2010011214,12,1
2010011215,7,2
2010011216,10,3
2010011217,12,4
2010011218,4,5
2010011312,1,1
2010011313,10,2
2010011314,8,3
2010011315,11,4
2010011316,11,5
2010011317,2,6
2010011318,5,7
2010011513,6,1
2010011514,8,2
2010011515,4,3
2010011516,2,4
2010011517,5,5
2010011603,1,1
2010011604,8,2
2010011605,12,3
2010011606,9,4
2010011607,11,5
2010011608,9,6
2010011609,5,7
2010011611,1,1
2010011612,1,2
2010011614,2,1
2010011902,3,1
2010011913,5,1
2010011914,4,2
2010011915,1,3
2010012005,4,1
2010012006,4,2
2010012007,1,3
2010012102,1,1
2010012122,2,1
2010012123,3,2
2010012200,7,3
2010012201,12,4
2010012202,12,5
2010012203,12,6
2010012204,12,7
2010012205,12,8
2010012206,12,9
2010012207,9,10
2010012215,1,1
2010012221,1,1
2010012305,2,1
2010012410,1,1
2010012511,4,1
2010012512,12,2
2010012513,5,3
2010012514,12,4
2010012515,8,5
2010012517,2,1
2010012523,2,1
2010012602,1,1
2010012604,1,1
2010012605,12,2
2010012606,7,3
2010012607,8,4
2010012608,12,5
2010012609,10,6
2010012610,3,7
2010012612,2,1
2010012614,2,1
2010012615,8,2
2010012616,5,3
2010012706,1,1
2010012707,4,2
2010012708,1,3
2010012709,2,4
2010012712,10,1
2010012713,7,2
2010012714,12,3
2010012715,12,4
2010012716,12,5
2010012717,12,6
2010012718,11,7
2010012719,3,8
2010012720,8,9
2010012722,1,1
2010012723,2,2
2010012800,7,3
2010012801,8,4
2010012802,9,5
2010012803,5,6
2010012804,9,7
2010012805,10,8
2010012806,12,9
2010012807,9,10
2010012808,9,11
2010012809,5,12
2010012810,4,13
2010012811,11,14
2010012812,12,15
2010012813,8,16
2010012814,11,17
2010012815,12,18
2010012816,12,19
2010012817,12,20
2010012818,9,21
2010012819,11,22
2010012820,3,23
2010012821,9,24
2010012822,8,25
2010012823,4,26
2010012902,11,1
2010012909,2,1
2010012910,7,2
2010012911,8,3
2010012912,2,4
2010012913,10,5
2010012914,7,6
2010012915,11,7
2010012916,4,8
2010012917,5,9
2010012918,1,10
2010013009,3,1
2010013010,1,2
2010013015,1,1
2010013016,7,2
2010013017,3,3
2010020201,1,1
2010020205,1,1
2010020206,2,2
2010020208,4,1
2010020209,12,2
2010020210,12,3
2010020211,12,4
2010020212,12,5
2010020213,12,6
2010020214,12,7
2010020215,10,8
2010020216,11,9
2010020217,12,10
2010020218,3,11
2010020306,2,1
2010020308,1,1
2010020309,5,2
2010020310,9,3
2010020311,11,4
2010020312,11,5
2010020313,12,6
2010020314,7,7
2010020315,12,8
2010020316,12,9
2010020317,12,10
2010020318,12,11
2010020319,6,12
2010020506,1,1
2010020507,5,2
2010020508,5,3
2010020509,8,4
2010020703,2,1
2010020704,9,2
2010020705,10,3
2010020706,12,4
2010020707,11,5
2010020708,12,6
2010020709,12,7
2010020710,12,8
2010020711,12,9
2010020712,10,10
2010020713,9,11
2010020714,10,12
2010020715,11,13
2010020716,12,14
2010020717,12,15
2010020718,12,16
2010020719,12,17
2010020720,12,18
2010020721,7,19
2010020722,4,20
2010020808,7,1
2010020809,10,2
2010020810,1,3
2010020811,8,4
2010020812,8,5
2010020813,10,6
2010020814,11,7
2010020815,11,8
2010020816,7,9
2010020817,1,10
2010020908,1,1
2010020909,5,2
2010020910,12,3
2010020911,11,4
2010020912,11,5
2010020913,9,6
2010020914,10,7
2010020915,8,8
2010020916,6,9
2010021008,12,1
2010021009,12,2
2010021010,12,3
2010021011,12,4
2010021012,12,5
2010021013,12,6
2010021014,12,7
2010021015,12,8
2010021016,10,9
2010021017,6,10
2010021509,5,1
2010021511,2,1
2010021512,1,2
2010022116,1,1
2010022206,1,1
2010022210,3,1
2010022213,9,1
2010022214,10,2
2010022215,3,3
2010022311,4,1
2010022312,1,2
2010022313,1,3
2010022314,5,4
2010022315,3,5
2010022316,2,6
2010022522,1,1
2010022612,3,1
2010022613,7,2
2010022614,1,3
2010022615,4,4
2010022616,9,5
2010022617,9,6
2010022618,1,7
2010022704,1,1
2010022706,4,1
2010022707,11,2
2010022708,12,3
2010022709,12,4
2010022710,12,5
2010022711,8,6
2010022712,9,7
2010022713,9,8
2010022714,3,9
2010022715,12,10
2010022716,10,11
2010022717,2,12
2010022718,4,13
2010022719,5,14
2010022720,2,15
2010030205,12,1
2010030206,12,2
2010030207,3,3
2010030208,9,4
2010030209,12,5
2010030210,12,6
2010030211,12,7
2010030212,12,8
2010030213,6,9
2010030214,9,10
2010030215,11,11
2010030216,8,12
2010030217,9,13
2010030410,4,1
2010030411,7,2
2010030412,3,3
2010030419,2,1
2010030610,5,1
2010030611,12,2
2010030612,12,3
2010030613,12,4
2010030614,12,5
2010030615,12,6
2010030616,12,7
2010030617,11,8
2010030618,11,9
2010030619,7,10
2010030620,8,11
2010030621,2,12
2010030700,3,1
2010030703,3,1
2010030704,8,2
2010030705,12,3
2010030706,12,4
2010030707,12,5
2010030708,12,6
2010030709,12,7
2010030710,12,8
2010030711,12,9
2010030712,12,10
2010030713,10,11
2010030714,5,12
2010030715,3,13
2010030716,4,14
2010030912,8,1
2010030913,1,2
2010030915,5,1
2010031113,4,1
2010031212,5,1
2010031213,10,2
2010031214,12,3
2010031215,12,4
2010031216,5,5
2010031508,7,1
2010031509,12,2
2010031510,11,3
2010031511,5,4
2010031512,5,5
2010031513,10,6
2010031514,1,7
2010031611,8,1
2010031612,10,2
2010031613,9,3
2010031614,12,4
2010031615,12,5
2010031616,4,6
2010031708,1,1
2010031709,2,2
2010031710,5,3
2010031711,12,4
2010031712,12,5
2010031713,12,6
2010031714,12,7
2010031715,9,8
2010031814,1,1
2010032011,1,1
2010032012,7,2
2010032013,3,3
2010032014,7,4
2010032107,1,1
2010032108,1,2
2010032109,3,3
2010032110,5,4
2010032111,12,5
2010032112,12,6
2010032113,10,7
2010032114,11,8
2010032115,12,9
2010032116,2,10
2010032410,6,1
2010032411,1,2
2010032412,6,3
2010032413,4,4
2010032511,1,1
2010032512,1,2
2010032513,1,3
2010032519,8,1
2010032520,6,2
2010032521,1,3
2010032619,2,1
2010032620,3,2
2010032621,2,3
