OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2009121808,1,1
2009121809,3,2
2009121812,2,1
2009121813,6,2
2009121814,3,3
2009121909,2,1
2009121910,1,2
2009121911,2,3
2009121915,3,1
2009121916,4,2
2009122004,1,1
2009122005,3,2
2009122006,4,3
2009122007,5,4
2009122008,3,5
2009122009,4,6
2009122010,5,7
2009122011,4,8
2009122012,6,9
2009122013,6,10
2009122014,6,11
2009122015,6,12
2009122016,6,13
2009122017,3,14
2009122018,3,15
2009122613,1,1
2009122614,1,2
2009122615,3,3
2009122702,3,1
2009122703,2,2
2009122706,1,1
2009122707,3,2
2009122712,2,1
2009122714,2,1
2009122715,5,2
2009122805,1,1
2009122814,3,1
2009122815,5,2
2009122816,6,3
2009122817,6,4
2009122818,6,5
2009122819,2,6
2009122820,6,7
2009122906,1,1
2010010311,5,1
2010010312,2,2
2010010313,4,3
2010010314,2,4
2010010315,1,5
2010010409,3,1
2010010410,4,2
2010010411,6,3
2010010412,6,4
2010010413,6,5
2010010414,6,6
2010010415,6,7
2010010416,5,8
2010010417,6,9
2010010418,6,10
2010010419,3,11
2010010806,1,1
2010010807,4,2
2010010808,4,3
2010010809,5,4
2010010810,6,5
2010010811,3,6
2010010812,6,7
2010010813,6,8
2010010814,6,9
2010010815,3,10
2010011006,2,1
2010011013,1,1
2010011105,3,1
2010011106,4,2
2010011107,2,3
2010011108,2,4
2010011111,2,1
2010011112,4,2
2010011113,6,3
2010011114,6,4
2010011115,5,5
2010011116,3,6
2010011117,3,7
2010011204,1,1
2010011205,12,2
2010011206,10,3
2010011207,1,4
2010011211,1,1
2010011214,12,1
2010011215,8,2
2010011216,10,3
2010011217,12,4
2010011218,2,5
2010011313,1,1
2010011314,7,2
2010011315,6,3
2010011316,11,4
2010011317,2,5
2010011514,1,1
2010011515,5,2
2010011516,1,3
2010011517,2,4
2010011604,4,1
2010011605,12,2
2010011606,10,3
2010011607,6,4
2010011608,10,5
2010011609,3,6
2010011611,1,1
2010011613,1,1
2010011614,3,2
2010011902,1,1
2010011913,6,1
2010011914,4,2
2010011920,1,1
2010011921,1,2
2010012005,1,1
2010012006,3,2
2010012117,1,1
2010012123,4,1
2010012200,12,2
2010012201,12,3
2010012202,12,4
2010012203,12,5
2010012204,12,6
2010012205,12,7
2010012206,12,8
2010012207,11,9
2010012209,1,1
2010012210,2,2
2010012211,4,3
2010012212,1,4
2010012213,1,5
2010012214,2,6
2010012215,2,7
2010012218,4,1
2010012220,5,1
2010012221,6,2
2010012222,1,3
2010012304,1,1
2010012305,1,2
2010012408,1,1
2010012511,4,1
2010012512,8,2
2010012513,3,3
2010012514,12,4
2010012515,4,5
2010012601,1,1
2010012604,1,1
2010012605,11,2
2010012606,2,3
2010012607,7,4
2010012608,12,5
2010012609,11,6
2010012610,3,7
2010012612,1,1
2010012614,1,1
2010012616,3,1
2010012712,4,1
2010012713,2,2
2010012714,11,3
2010012715,8,4
2010012716,12,5
2010012717,11,6
2010012718,4,7
2010012720,1,1
2010012800,4,1
2010012801,5,2
2010012802,3,3
2010012803,11,4
2010012804,4,5
2010012805,4,6
2010012806,10,7
2010012807,2,8
2010012808,9,9
2010012809,4,10
2010012810,7,11
2010012811,12,12
2010012812,10,13
2010012813,8,14
2010012814,8,15
2010012815,10,16
2010012816,12,17
2010012817,11,18
2010012818,5,19
2010012819,7,20
2010012821,3,1
2010012822,6,2
2010012823,3,3
2010012902,6,1
2010012909,1,1
2010012910,6,2
2010012911,9,3
2010012913,1,1
2010012914,3,2
2010012915,11,3
2010012917,3,1
2010013009,5,1
2010013010,2,2
2010013015,1,1
2010013016,7,2
2010013017,2,3
2010013109,1,1
2010020206,1,1
2010020208,8,1
2010020209,11,2
2010020210,12,3
2010020211,12,4
2010020212,11,5
2010020213,12,6
2010020214,12,7
2010020215,11,8
2010020216,12,9
2010020217,12,10
2010020218,1,11
2010020309,4,1
2010020310,2,2
2010020311,6,3
2010020312,6,4
2010020313,12,5
2010020314,8,6
2010020315,12,7
2010020316,12,8
2010020317,12,9
2010020318,9,10
2010020319,2,11
2010020507,1,1
2010020508,1,2
2010020705,3,1
2010020706,10,2
2010020707,9,3
2010020708,12,4
2010020709,9,5
2010020710,12,6
2010020711,11,7
2010020712,7,8
2010020713,7,9
2010020714,12,10
2010020715,12,11
2010020716,12,12
2010020717,12,13
2010020718,11,14
2010020719,11,15
2010020720,6,16
2010020721,3,17
2010020813,1,1
2010020814,1,2
2010020815,1,3
2010020816,3,4
2010020909,4,1
2010020910,12,2
2010020911,5,3
2010020912,5,4
2010020913,1,5
2010020914,2,6
2010021008,1,1
2010021009,2,2
2010021010,4,3
2010021011,4,4
2010021012,8,5
2010021013,8,6
2010021014,12,7
2010021015,9,8
2010021016,4,9
2010022114,2,1
2010022115,3,2
2010022116,1,3
2010022210,2,1
2010022212,2,1
2010022213,2,2
2010022214,8,3
2010022314,2,1
