OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2010022720,1,1
2010022721,3,2
2010022722,1,3
2010030220,2,1
2010030221,4,2
2010030222,3,3
2010031222,12,1
2010031223,12,2
2010031300,3,3
2010031620,4,1
2010031621,12,2
2010031622,12,3
2010031623,12,4
2010031700,12,5
2010031718,6,1
2010031719,11,2
2010031720,2,3
2010031721,8,4
2010031722,12,5
2010031723,9,6
2010031922,8,1
2010031923,8,2
2010032020,3,1
2010032021,12,2
2010032022,12,3
2010032023,12,4
2010032100,12,5
2010032101,7,6
2010032118,9,1
2010032119,12,2
2010032120,12,3
2010032121,12,4
2010032122,12,5
2010032123,12,6
2010032200,12,7
2010032201,8,8
2010032217,3,1
2010032218,12,2
2010032219,12,3
2010032220,12,4
2010032221,12,5
2010032222,2,6
2010032321,2,1
2010032421,6,1
2010032422,12,2
2010032423,12,3
2010032500,12,4
2010032501,7,5
2010032516,1,1
2010032517,12,2
2010032518,10,3
2010032519,12,4
2010032520,12,5
2010032521,12,6
2010032522,12,7
2010032523,12,8
2010032600,10,9
2010032601,1,10
2010032622,1,1
2010032700,9,1
2010032701,7,2
2010032702,10,3
2010032703,1,4
2010032817,3,1
2010032818,11,2
2010032819,12,3
2010032820,12,4
2010032821,12,5
2010032822,12,6
2010032823,12,7
2010032900,12,8
2010032901,12,9
2010032902,10,10
2010032916,2,1
2010032917,12,2
2010032918,12,3
2010032919,10,4
2010032920,12,5
2010032921,12,6
2010032922,12,7
2010032923,12,8
2010033000,12,9
2010033001,12,10
2010033002,12,11
2010033003,5,12
2010033005,8,1
2010033006,12,2
2010033007,12,3
2010033008,12,4
2010033009,12,5
2010033010,12,6
2010033011,12,7
2010033012,12,8
2010033013,12,9
2010033014,12,10
2010033015,12,11
2010033016,12,12
2010033017,12,13
2010033018,12,14
2010033019,12,15
2010033020,12,16
2010033021,12,17
2010033022,12,18
2010033023,12,19
2010033100,12,20
2010033101,12,21
2010033102,2,22
2010040320,4,1
2010040321,3,2
2010040403,8,1
2010040404,4,2
2010040422,1,1
2010040423,1,2
2010040817,2,1
2010040818,10,2
2010040819,12,3
2010040820,12,4
2010040821,12,5
2010040822,12,6
2010040823,12,7
2010040900,12,8
2010040901,10,9
2010041017,3,1
2010041018,2,2
2010041020,8,1
2010041021,12,2
2010041022,12,3
2010041023,12,4
2010041100,12,5
2010041101,12,6
2010041102,12,7
2010041103,12,8
2010041104,12,9
2010041105,12,10
