MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,5,0.00
0102,0,5,0.00
0103,0,5,0.00
0104,0,5,0.00
0105,0,5,0.00
0106,0,5,0.00
0107,0,5,0.00
0108,1,5,20.00
0109,0,5,0.00
0110,0,5,0.00
0111,0,5,0.00
0112,0,5,0.00
0113,0,5,0.00
0114,0,5,0.00
0115,0,5,0.00
0116,1,5,20.00
0117,1,5,20.00
0118,0,5,0.00
0119,0,5,0.00
0120,0,5,0.00
0121,0,6,0.00
0122,0,6,0.00
0123,0,6,0.00
0124,0,6,0.00
0125,1,6,16.67
0126,0,6,0.00
0127,0,6,0.00
0128,0,6,0.00
0129,0,6,0.00
0130,0,6,0.00
0131,0,6,0.00
0201,0,6,0.00
0202,1,6,16.67
0203,1,6,16.67
0204,0,6,0.00
0205,0,6,0.00
0206,1,6,16.67
0207,1,6,16.67
0208,0,6,0.00
0209,0,6,0.00
0210,0,6,0.00
0211,0,6,0.00
0212,1,6,16.67
0213,1,6,16.67
0214,0,6,0.00
0215,0,6,0.00
0216,1,6,16.67
0217,1,6,16.67
0218,1,6,16.67
0219,0,6,0.00
0220,0,6,0.00
0221,0,6,0.00
0222,0,6,0.00
0223,0,6,0.00
0224,0,6,0.00
0225,0,6,0.00
0226,0,6,0.00
0227,1,6,16.67
0228,0,6,0.00
0229,0,2,0.00
0301,0,6,0.00
0302,0,6,0.00
0303,1,6,16.67
0304,0,6,0.00
0305,2,6,33.33
0306,2,6,33.33
0307,1,6,16.67
0308,0,6,0.00
0309,0,6,0.00
0310,0,6,0.00
0311,2,6,33.33
0312,3,6,50.00
0313,0,6,0.00
0314,1,6,16.67
0315,2,6,33.33
0316,2,6,33.33
0317,2,6,33.33
0318,3,6,50.00
0319,2,6,33.33
0320,4,6,66.67
0321,4,6,66.67
0322,3,6,50.00
0323,0,6,0.00
0324,0,6,0.00
0325,0,6,0.00
0326,1,6,16.67
0327,2,6,33.33
0328,3,6,50.00
0329,1,6,16.67
0330,1,6,16.67
0331,3,6,50.00
0401,2,6,33.33
0402,0,6,0.00
0403,3,6,50.00
0404,4,6,66.67
0405,3,6,50.00
0406,3,6,50.00
0407,1,6,16.67
0408,3,6,50.00
0409,1,6,16.67
0410,0,6,0.00
0411,2,6,33.33
0412,2,6,33.33
0413,2,6,33.33
0414,3,6,50.00
0415,2,6,33.33
0416,2,5,40.00
0417,1,5,20.00
0418,0,5,0.00
0419,1,5,20.00
0420,3,5,60.00
0421,2,5,40.00
0422,2,5,40.00
0423,2,5,40.00
0424,0,5,0.00
0425,1,5,20.00
0426,2,5,40.00
0427,2,5,40.00
0428,2,5,40.00
0429,2,5,40.00
0430,1,5,20.00
0501,0,5,0.00
0502,1,5,20.00
0503,2,5,40.00
0504,5,5,100.00
0505,5,5,100.00
0506,5,5,100.00
0507,2,5,40.00
0508,2,5,40.00
0509,2,5,40.00
0510,2,5,40.00
0511,2,5,40.00
0512,4,5,80.00
0513,4,5,80.00
0514,2,5,40.00
0515,3,5,60.00
0516,2,5,40.00
0517,2,5,40.00
0518,2,5,40.00
0519,1,5,20.00
0520,0,6,0.00
0521,1,6,16.67
0522,1,6,16.67
0523,0,6,0.00
0524,3,6,50.00
0525,2,6,33.33
0526,2,6,33.33
0527,2,6,33.33
0528,0,6,0.00
0529,2,6,33.33
0530,4,6,66.67
0531,4,6,66.67
0601,5,6,83.33
0602,5,6,83.33
0603,3,6,50.00
0604,4,6,66.67
0605,4,6,66.67
0606,5,6,83.33
0607,4,6,66.67
0608,4,6,66.67
0609,5,6,83.33
0610,4,6,66.67
0611,4,6,66.67
0612,4,6,66.67
0613,4,6,66.67
0614,3,6,50.00
0615,5,6,83.33
