OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2015020623,2,1
2015020702,1,1
2015020704,1,1
2015020706,2,1
2015020708,1,1
2015020709,1,2
2015020714,1,1
2015020911,1,1
2015020912,6,2
2015020913,5,3
2015020914,1,4
2015020918,1,1
2015020922,1,1
2015031121,1,1
2015032315,1,1
2015040509,1,1
2015040514,1,1
2015040522,2,1
2015040523,1,2
2015040600,1,3
2015040601,1,4
2015041417,3,1
2015041418,2,2
2015041420,4,1
2015041421,5,2
2015041422,2,3
2015060200,1,1
2015060201,1,2
2015080801,1,1
2015090519,1,1
2015091423,1,1
2015091610,1,1
2015091612,2,1
2015091613,3,2
2015091615,2,1
2015110216,3,1
2015110217,2,2
2015110312,4,1
2015110910,1,1
2015110911,3,2
2015110912,4,3
2015110914,1,1
2015110918,1,1
2015110920,1,1
2015112417,1,1
2015112421,1,1
2015112422,1,2
2015112423,2,3
2015112504,3,1
2015112505,1,2
2015112514,2,1
2015120923,2,1
2015121000,1,2
2015121015,1,1
2015121017,1,1
2015121021,2,1
2015121022,3,2
2015121023,3,3
2015121100,1,4
2015121401,1,1
2015121402,1,2
2015121403,1,3
2015121908,2,1
2015121909,2,2
2015121913,2,1
2015121914,1,2
2015121915,2,3
2015121916,1,4
2015122202,1,1
2015122205,1,1
2015122314,2,1
2016012011,1,1
2016021717,1,1
2016021718,2,2
2016021719,3,3
2016021720,1,4
2016021722,1,1
2016021808,4,1
2016021810,3,1
2016021811,5,2
2016021812,3,3
2016021815,1,1
2016021817,4,1
2016021818,6,2
2016021819,2,3
2016022719,1,1
2016030207,3,1
2016030208,2,2
2016030606,4,1
2016030607,1,2
2016030612,1,1
2016030615,2,1
2016030617,1,1
2016030623,1,1
2016031407,1,1
2016031411,1,1
2016031412,1,2
2016031416,1,1
2016031418,2,1
2016032108,1,1
2016032200,1,1
2016032216,1,1
2016032303,1,1
2016032311,4,1
2016032312,5,2
2016032313,2,3
2016042218,1,1
2016042219,1,2
2016050621,1,1
2016051006,1,1
2016052020,1,1
2016052021,1,2
2016052120,1,1
2016052122,1,1
2016061320,1,1
2016061517,1,1
2016081523,1,1
2016092222,1,1
2016101409,2,1
2016101414,1,1
2016101415,3,2
2016101418,1,1
2016102421,1,1
2016102719,2,1
2016102721,1,1
2016102801,1,1
2016102903,1,1
2016102904,1,2
2016103103,1,1
2016103104,2,2
2016103105,1,3
2016103106,3,4
2016103107,1,5
2016111611,1,1
2016111923,2,1
2016112000,1,2
2016112002,1,1
2016112003,1,2
2016112016,1,1
2016112017,2,2
2016112018,2,3
2016112019,2,4
2016112708,2,1
2016120507,1,1
2016121603,1,1
2016121619,2,1
2016121620,1,2
2016122322,1,1
2016122402,1,1
2016122403,1,2
2016122405,2,1
2016122406,2,2
2016122407,1,3
2016122408,1,4
2017010415,1,1
2017010417,1,1
2017010418,1,2
2017010901,2,1
2017010902,2,2
2017010903,2,3
2017010904,6,4
2017010905,6,5
2017010906,6,6
2017010907,6,7
2017010908,6,8
2017010909,2,9
2017010910,3,10
2017010913,1,1
2017010922,1,1
2017011012,1,1
2017011013,1,2
2017011014,3,3
2017011015,1,4
2017011017,1,1
2017011909,1,1
2017011911,1,1
2017012320,1,1
2017020408,1,1
2017020611,1,1
2017020707,1,1
2017020709,1,1
2017020718,5,1
2017020719,2,2
2017020720,1,3
2017020721,2,4
2017020922,2,1
2017021000,1,1
2017021001,2,2
2017021002,1,3
2017021003,5,4
2017021004,4,5
2017021005,1,6
2017021006,3,7
2017021007,2,8
2017021008,2,9
2017021009,2,10
2017022021,1,1
2017022023,4,1
2017022100,6,2
2017022102,3,1
2017022103,3,2
2017022105,1,1
2017022110,1,1
2017022120,2,1
2017022122,4,1
2017022123,1,2
2017022201,1,1
2017030420,1,1
2017030421,1,2
2017030422,2,3
2017030507,1,1
2017030508,2,2
2017030509,1,3
2017030510,1,4
2017030511,2,5
2017030512,3,6
2017030513,2,7
2017030514,1,8
2017030521,1,1
2017030522,5,2
2017030523,6,3
2017030600,5,4
2017030601,3,5
2017030604,2,1
2017031909,1,1
2017040104,1,1
2017040106,1,1
2017040107,2,2
2017040711,2,1
2017040715,3,1
2017040716,5,2
2017040717,4,3
2017040718,1,4
2017040719,5,5
2017040723,1,1
2017040823,1,1
2017041311,2,1
2017041313,1,1
2017041318,2,1
2017041320,1,1
2017041321,2,2
2017041322,2,3
2017041323,1,4
2017041400,1,5
2017041401,2,6
2017041811,2,1
2017042102,1,1
2017042719,1,1
2017050621,1,1
2017051709,1,1
2017060423,1,1
2017060818,1,1
2017060922,2,1
2017060923,3,2
2017061000,1,3
2017061002,1,1
2017061221,1,1
2017061222,1,2
2017081001,1,1
2017102014,1,1
2017102018,1,1
2017110303,2,1
2017110304,1,2
2017110306,2,1
2017110307,2,2
2017110308,3,3
2017110310,2,1
2017110312,2,1
2017110406,1,1
2017111605,1,1
2017111606,1,2
2017111613,3,1
2017111705,1,1
2017111711,2,1
2017111720,1,1
2017111722,1,1
2017112620,1,1
2017112701,1,1
2017112702,2,2
2017112703,3,3
2017112704,1,4
2017112718,1,1
2017120223,1,1
2017120309,2,1
2017120310,1,2
2017120314,2,1
2017120315,1,2
2017120321,3,1
2017120401,1,1
2017122009,1,1
2017122400,1,1
2018010822,2,1
2018011015,1,1
2018011020,1,1
2018011021,2,2
2018011023,1,1
2018011905,1,1
2018011906,1,2
2018011907,1,3
2018011908,1,4
2018011909,4,5
2018011910,6,6
2018011911,3,7
2018011912,3,8
2018011915,1,1
2018012511,1,1
2018012512,1,2
2018012513,4,3
2018012514,1,4
2018021201,5,1
2018021202,2,2
2018030118,1,1
2018030122,1,1
2018030203,2,1
2018030204,3,2
2018030205,5,3
2018030206,2,4
2018030208,2,1
2018030209,4,2
2018030210,4,3
2018030211,6,4
2018030212,6,5
2018030213,5,6
2018030214,4,7
2018030311,1,1
2018031712,1,1
2018032206,1,1
2018032216,1,1
