OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2015020519,4,1
2015020520,4,2
2015020521,6,3
2015020522,6,4
2015020523,6,5
2015020600,3,6
2015020601,2,7
2015020603,2,1
2015020604,3,2
2015020606,2,1
2015020608,1,1
2015020609,1,2
2015020615,1,1
2015020617,1,1
2015020618,6,2
2015020619,6,3
2015020620,6,4
2015020621,6,5
2015020622,6,6
2015020623,6,7
2015020700,6,8
2015020701,5,9
2015020702,5,10
2015020703,6,11
2015020704,6,12
2015020705,6,13
2015020706,6,14
2015020707,6,15
2015020708,6,16
2015020709,6,17
2015020710,6,18
2015020711,6,19
2015020712,4,20
2015020713,6,21
2015020714,4,22
2015020715,6,23
2015020717,2,1
2015020718,5,2
2015020721,4,1
2015020722,6,2
2015020723,2,3
2015021720,5,1
2015021721,2,2
2015022420,3,1
2015030521,2,1
2015030619,3,1
2015030620,5,2
2015030819,1,1
2015030820,5,2
2015030821,3,3
2015030919,1,1
2015030920,4,2
2015030921,1,3
2015030922,5,4
2015031014,1,1
2015031019,5,1
2015031020,4,2
2015031021,5,3
2015031022,1,4
2015031107,2,1
2015031108,5,2
2015031109,2,3
2015031110,1,4
2015031118,6,1
2015031119,6,2
2015031120,6,3
2015031121,6,4
2015031122,6,5
2015031123,6,6
2015031200,3,7
2015031201,2,8
2015031202,1,9
2015031418,3,1
2015031419,5,2
2015031420,4,3
2015031421,6,4
2015031422,5,5
2015031423,1,6
2015031518,3,1
2015031519,5,2
2015031520,6,3
2015031521,6,4
2015031522,5,5
2015031523,1,6
2015031617,4,1
2015031618,6,2
2015031619,6,3
2015031620,6,4
2015031621,6,5
2015031622,6,6
2015031623,1,7
2015031717,2,1
2015031718,6,2
2015031719,6,3
2015031720,6,4
2015031721,6,5
2015031722,6,6
2015031723,6,7
2015031800,6,8
2015032018,5,1
2015032019,6,2
2015032020,6,3
2015032021,6,4
2015032022,6,5
2015032023,3,6
2015032105,3,1
2015032106,2,2
2015032107,6,3
2015032108,6,4
2015032109,6,5
2015032110,6,6
2015032111,2,7
2015032112,6,8
2015032113,6,9
2015032114,2,10
2015032116,4,1
2015032117,5,2
2015032118,5,3
2015032119,6,4
2015032120,6,5
2015032121,6,6
2015032122,6,7
2015032123,6,8
2015032200,3,9
2015032220,3,1
2015032221,6,2
2015032222,5,3
2015032721,3,1
2015032722,6,2
2015032723,3,3
2015032816,2,1
2015032817,5,2
2015032818,6,3
2015032819,6,4
2015032820,6,5
2015032821,6,6
2015032822,6,7
2015032823,6,8
2015032900,6,9
2015032901,2,10
2015032916,4,1
2015032918,5,1
2015032919,6,2
2015032920,6,3
2015032921,6,4
2015032922,6,5
2015032923,6,6
2015033000,5,7
2015033015,1,1
2015033016,2,2
2015033017,6,3
2015033018,6,4
2015033019,6,5
2015033020,6,6
2015033021,6,7
2015033022,6,8
2015033023,6,9
2015033100,2,10
2015033107,2,1
2015033108,1,2
2015033110,1,1
2015033115,5,1
2015033116,6,2
2015033117,6,3
2015033118,6,4
2015033119,6,5
2015033120,6,6
2015033121,6,7
2015033122,6,8
2015033123,6,9
2015040100,6,10
2015040101,6,11
2015040102,6,12
2015040103,6,13
2015040104,2,14
2015040121,5,1
2015040122,6,2
2015040123,6,3
2015040200,6,4
2015040201,5,5
2015040221,1,1
2015040222,4,2
2015040223,6,3
2015040300,6,4
2015040301,6,5
2015040302,1,6
2015040304,3,1
