MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,7,0.00
0102,0,7,0.00
0103,0,7,0.00
0104,1,7,14.29
0105,0,7,0.00
0106,0,7,0.00
0107,0,7,0.00
0108,0,7,0.00
0109,1,7,14.29
0110,1,7,14.29
0111,1,7,14.29
0112,0,7,0.00
0113,0,7,0.00
0114,1,7,14.29
0115,0,7,0.00
0116,0,7,0.00
0117,1,7,14.29
0118,0,7,0.00
0119,0,7,0.00
0120,0,7,0.00
0121,0,7,0.00
0122,0,7,0.00
0123,1,7,14.29
0124,0,6,0.00
0125,1,6,16.67
0126,0,6,0.00
0127,0,6,0.00
0128,1,6,16.67
0129,1,6,16.67
0130,0,6,0.00
0131,0,6,0.00
0201,0,6,0.00
0202,1,6,16.67
0203,2,6,33.33
0204,1,7,14.29
0205,1,7,14.29
0206,0,7,0.00
0207,1,7,14.29
0208,1,7,14.29
0209,1,7,14.29
0210,1,7,14.29
0211,0,7,0.00
0212,0,7,0.00
0213,1,7,14.29
0214,1,7,14.29
0215,0,7,0.00
0216,0,7,0.00
0217,0,7,0.00
0218,2,7,28.57
0219,0,7,0.00
0220,0,7,0.00
0221,1,7,14.29
0222,1,7,14.29
0223,0,7,0.00
0224,1,6,16.67
0225,1,7,14.29
0226,0,7,0.00
0227,1,7,14.29
0228,0,7,0.00
0229,0,2,0.00
0301,0,7,0.00
0302,1,7,14.29
0303,1,7,14.29
0304,0,7,0.00
0305,1,6,16.67
0306,2,6,33.33
0307,2,6,33.33
0308,1,6,16.67
0309,0,6,0.00
0310,0,6,0.00
0311,0,6,0.00
0312,1,6,16.67
0313,0,6,0.00
0314,2,6,33.33
0315,1,6,16.67
0316,1,6,16.67
0317,2,6,33.33
0318,1,6,16.67
0319,1,6,16.67
0320,0,6,0.00
0321,1,6,16.67
0322,3,6,50.00
0323,1,6,16.67
0324,0,6,0.00
0325,1,6,16.67
0326,0,6,0.00
0327,0,6,0.00
0328,1,6,16.67
0329,0,6,0.00
0330,0,6,0.00
0331,2,6,33.33
0401,2,6,33.33
0402,0,6,0.00
0403,1,6,16.67
0404,0,6,0.00
0405,2,6,33.33
0406,2,6,33.33
0407,2,6,33.33
0408,2,6,33.33
0409,0,6,0.00
0410,0,6,0.00
0411,0,6,0.00
0412,0,6,0.00
0413,2,6,33.33
0414,2,6,33.33
0415,0,6,0.00
0416,1,6,16.67
0417,1,6,16.67
0418,0,6,0.00
0419,0,6,0.00
0420,0,6,0.00
0421,0,6,0.00
0422,2,6,33.33
0423,1,6,16.67
0424,0,6,0.00
0425,0,6,0.00
0426,0,6,0.00
0427,0,6,0.00
0428,1,6,16.67
0429,1,6,16.67
0430,0,6,0.00
0501,0,6,0.00
0502,1,6,16.67
0503,0,6,0.00
0504,0,6,0.00
0505,0,6,0.00
0506,0,6,0.00
0507,0,6,0.00
0508,0,6,0.00
0509,0,6,0.00
0510,0,6,0.00
0511,0,6,0.00
0512,3,6,50.00
0513,3,6,50.00
0514,2,6,33.33
0515,2,6,33.33
0516,1,6,16.67
0517,0,6,0.00
0518,1,6,16.67
0519,1,5,20.00
0520,0,5,0.00
0521,1,5,20.00
0522,0,5,0.00
0523,0,5,0.00
0524,0,5,0.00
0525,1,5,20.00
0526,0,5,0.00
0527,0,5,0.00
0528,0,4,0.00
0529,0,4,0.00
0530,0,4,0.00
0531,1,5,20.00
0601,2,5,40.00
0602,2,5,40.00
0603,0,5,0.00
0604,0,5,0.00
0605,0,5,0.00
0606,1,5,20.00
0607,1,5,20.00
0608,2,5,40.00
0609,1,5,20.00
0610,1,5,20.00
0611,0,5,0.00
0612,1,5,20.00
0613,2,5,40.00
0614,1,5,20.00
0615,1,5,20.00
0616,1,5,20.00
0617,0,5,0.00
0618,1,6,16.67
0619,0,6,0.00
0620,0,6,0.00
0621,0,6,0.00
0622,0,6,0.00
0623,0,6,0.00
0624,0,6,0.00
0625,1,6,16.67
0626,1,6,16.67
0627,1,6,16.67
0628,3,6,50.00
0629,2,6,33.33
0630,0,6,0.00
0701,0,6,0.00
0702,1,6,16.67
0703,1,6,16.67
0704,0,6,0.00
0705,0,6,0.00
0706,0,6,0.00
0707,0,6,0.00
0708,1,6,16.67
0709,1,6,16.67
0710,1,6,16.67
0711,1,6,16.67
0712,1,6,16.67
0713,1,6,16.67
0714,0,6,0.00
0715,0,6,0.00
0716,0,6,0.00
0717,0,6,0.00
0718,0,6,0.00
0719,2,6,33.33
0720,1,6,16.67
0721,0,6,0.00
0722,0,6,0.00
0723,0,6,0.00
0724,0,6,0.00
0725,0,5,0.00
0726,0,6,0.00
0727,1,6,16.67
0728,0,6,0.00
0729,0,6,0.00
0730,0,6,0.00
0731,0,6,0.00
0801,0,6,0.00
0802,0,6,0.00
0803,0,6,0.00
0804,0,6,0.00
0805,0,6,0.00
0806,1,6,16.67
0807,1,6,16.67
0808,0,6,0.00
0809,0,5,0.00
0810,0,5,0.00
0811,1,5,20.00
0812,0,5,0.00
0813,0,5,0.00
0814,0,5,0.00
0815,0,5,0.00
0816,0,5,0.00
0817,0,5,0.00
0818,0,6,0.00
0819,0,6,0.00
0820,0,6,0.00
0821,0,6,0.00
0822,0,6,0.00
0823,0,6,0.00
0824,0,6,0.00
0825,0,6,0.00
0826,0,6,0.00
0827,0,6,0.00
0828,0,6,0.00
0829,0,6,0.00
0830,1,6,16.67
0831,0,6,0.00
0901,1,6,16.67
0902,1,6,16.67
0903,1,6,16.67
0904,1,6,16.67
0905,1,6,16.67
0906,0,7,0.00
0907,0,7,0.00
0908,0,7,0.00
0909,0,7,0.00
0910,0,7,0.00
0911,0,7,0.00
0912,0,7,0.00
0913,1,7,14.29
0914,2,7,28.57
0915,2,7,28.57
0916,3,7,42.86
0917,2,6,33.33
0918,3,6,50.00
0919,4,6,66.67
0920,0,6,0.00
0921,1,6,16.67
0922,0,7,0.00
0923,1,7,14.29
0924,1,7,14.29
0925,0,7,0.00
0926,0,7,0.00
0927,0,7,0.00
0928,1,7,14.29
0929,0,7,0.00
0930,1,7,14.29
1001,1,7,14.29
1002,1,7,14.29
1003,1,7,14.29
1004,2,7,28.57
1005,0,7,0.00
1006,0,7,0.00
1007,0,7,0.00
1008,0,7,0.00
1009,0,7,0.00
1010,1,7,14.29
1011,1,7,14.29
1012,1,7,14.29
1013,0,7,0.00
1014,0,7,0.00
1015,1,7,14.29
1016,2,7,28.57
1017,1,7,14.29
1018,1,7,14.29
1019,0,7,0.00
1020,1,7,14.29
1021,1,7,14.29
1022,0,7,0.00
1023,0,7,0.00
1024,0,7,0.00
1025,0,7,0.00
1026,1,7,14.29
1027,0,7,0.00
1028,1,7,14.29
1029,1,6,16.67
1030,1,6,16.67
1031,1,6,16.67
1101,1,6,16.67
1102,1,6,16.67
1103,1,6,16.67
1104,1,6,16.67
1105,0,6,0.00
1106,1,6,16.67
1107,0,6,0.00
1108,1,6,16.67
1109,1,6,16.67
1110,1,6,16.67
1111,0,6,0.00
1112,0,6,0.00
1113,0,6,0.00
1114,1,6,16.67
1115,0,6,0.00
1116,0,6,0.00
1117,1,6,16.67
1118,1,6,16.67
1119,0,6,0.00
1120,0,6,0.00
1121,0,6,0.00
1122,0,6,0.00
1123,0,6,0.00
1124,1,6,16.67
1125,1,6,16.67
1126,0,6,0.00
1127,1,6,16.67
1128,0,6,0.00
1129,1,6,16.67
1130,1,6,16.67
1201,0,6,0.00
1202,0,6,0.00
1203,1,6,16.67
1204,0,6,0.00
1205,0,6,0.00
1206,0,6,0.00
1207,0,6,0.00
1208,0,7,0.00
1209,0,7,0.00
1210,1,7,14.29
1211,1,7,14.29
1212,0,7,0.00
1213,0,7,0.00
1214,0,7,0.00
1215,0,7,0.00
1216,0,7,0.00
1217,0,7,0.00
1218,0,7,0.00
1219,1,7,14.29
1220,1,7,14.29
1221,0,7,0.00
1222,3,7,42.86
1223,1,7,14.29
1224,1,7,14.29
1225,0,7,0.00
1226,0,7,0.00
1227,0,7,0.00
1228,0,7,0.00
1229,0,7,0.00
1230,0,7,0.00
1231,0,7,0.00
