MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,7,0.00
0102,0,7,0.00
0103,0,7,0.00
0104,0,6,0.00
0105,0,6,0.00
0106,0,6,0.00
0107,0,6,0.00
0108,0,6,0.00
0109,0,6,0.00
0110,0,6,0.00
0111,0,6,0.00
0112,0,6,0.00
0113,0,6,0.00
0114,0,6,0.00
0115,0,6,0.00
0116,1,6,16.67
0117,1,6,16.67
0118,0,6,0.00
0119,0,6,0.00
0120,0,6,0.00
0121,0,6,0.00
0122,0,6,0.00
0123,0,6,0.00
0124,0,5,0.00
0125,1,5,20.00
0126,0,5,0.00
0127,0,5,0.00
0128,0,5,0.00
0129,0,5,0.00
0130,0,5,0.00
0131,0,5,0.00
0201,0,5,0.00
0202,1,5,20.00
0203,1,5,20.00
0204,0,6,0.00
0205,0,6,0.00
0206,1,6,16.67
0207,1,6,16.67
0208,0,6,0.00
0209,0,6,0.00
0210,0,6,0.00
0211,0,6,0.00
0212,1,6,16.67
0213,1,6,16.67
0214,2,6,33.33
0215,0,6,0.00
0216,1,6,16.67
0217,3,6,50.00
0218,2,6,33.33
0219,1,6,16.67
0220,0,6,0.00
0221,0,6,0.00
0222,0,6,0.00
0223,0,6,0.00
0224,1,5,20.00
0225,1,6,16.67
0226,1,6,16.67
0227,1,6,16.67
0228,1,6,16.67
0229,1,2,50.00
0301,1,6,16.67
0302,1,6,16.67
0303,1,6,16.67
0304,1,6,16.67
0305,3,6,50.00
0306,3,6,50.00
0307,0,6,0.00
0308,1,6,16.67
0309,1,6,16.67
0310,1,6,16.67
0311,2,6,33.33
0312,3,6,50.00
0313,0,6,0.00
0314,2,6,33.33
0315,3,6,50.00
0316,3,6,50.00
0317,3,6,50.00
0318,3,6,50.00
0319,2,6,33.33
0320,4,6,66.67
0321,4,6,66.67
0322,3,6,50.00
0323,1,6,16.67
0324,0,6,0.00
0325,0,6,0.00
0326,1,6,16.67
0327,2,6,33.33
0328,3,6,50.00
0329,1,6,16.67
0330,1,6,16.67
0331,2,6,33.33
0401,3,6,50.00
0402,1,6,16.67
0403,3,6,50.00
0404,5,6,83.33
0405,3,6,50.00
0406,4,6,66.67
0407,3,6,50.00
0408,4,6,66.67
0409,1,6,16.67
0410,2,6,33.33
0411,2,6,33.33
0412,2,6,33.33
0413,2,6,33.33
0414,3,6,50.00
0415,2,6,33.33
0416,2,6,33.33
0417,1,6,16.67
0418,1,6,16.67
0419,2,6,33.33
0420,4,6,66.67
0421,3,6,50.00
0422,3,6,50.00
0423,2,6,33.33
0424,0,6,0.00
0425,1,6,16.67
0426,2,6,33.33
0427,2,6,33.33
0428,2,6,33.33
0429,3,6,50.00
0430,2,6,33.33
0501,0,6,0.00
0502,2,6,33.33
0503,2,6,33.33
0504,5,6,83.33
0505,5,6,83.33
0506,5,6,83.33
0507,2,6,33.33
0508,2,6,33.33
0509,2,6,33.33
0510,2,6,33.33
0511,3,6,50.00
0512,5,6,83.33
0513,5,6,83.33
0514,4,6,66.67
0515,3,6,50.00
0516,2,6,33.33
0517,2,6,33.33
0518,2,6,33.33
0519,2,5,40.00
0520,1,5,20.00
0521,0,5,0.00
0522,1,5,20.00
0523,0,5,0.00
0524,3,5,60.00
0525,2,5,40.00
0526,2,5,40.00
0527,2,5,40.00
0528,2,4,50.00
0529,2,4,50.00
0530,4,4,100.00
0531,4,5,80.00
0601,5,5,100.00
0602,5,5,100.00
0603,5,5,100.00
0604,5,5,100.00
0605,4,5,80.00
0606,4,5,80.00
0607,3,5,60.00
0608,3,5,60.00
0609,4,5,80.00
0610,3,5,60.00
0611,4,5,80.00
0612,3,5,60.00
0613,4,5,80.00
0614,3,5,60.00
0615,5,5,100.00
0616,5,5,100.00
0617,3,5,60.00
0618,3,6,50.00
0619,4,6,66.67
0620,5,6,83.33
0621,6,6,100.00
0622,6,6,100.00
0623,6,6,100.00
0624,6,6,100.00
0625,6,6,100.00
0626,5,6,83.33
0627,6,6,100.00
0628,6,6,100.00
0629,5,6,83.33
0630,5,6,83.33
0701,5,6,83.33
0702,5,6,83.33
0703,6,6,100.00
0704,6,6,100.00
0705,5,6,83.33
0706,5,6,83.33
0707,5,6,83.33
0708,5,6,83.33
0709,5,6,83.33
0710,5,6,83.33
0711,6,6,100.00
0712,4,6,66.67
0713,6,6,100.00
0714,6,6,100.00
0715,5,6,83.33
0716,6,6,100.00
0717,6,6,100.00
0718,6,6,100.00
0719,5,6,83.33
0720,6,6,100.00
0721,5,6,83.33
0722,5,6,83.33
0723,5,6,83.33
0724,6,6,100.00
0725,4,5,80.00
0726,4,6,66.67
0727,4,6,66.67
0728,5,6,83.33
0729,6,6,100.00
0730,6,6,100.00
0731,6,6,100.00
0801,5,6,83.33
0802,5,6,83.33
0803,5,6,83.33
0804,5,6,83.33
0805,6,6,100.00
0806,6,6,100.00
0807,5,6,83.33
0808,2,6,33.33
0809,3,5,60.00
0810,4,5,80.00
0811,5,5,100.00
0812,4,5,80.00
0813,4,5,80.00
0814,4,5,80.00
0815,4,5,80.00
0816,4,5,80.00
0817,5,5,100.00
0818,6,6,100.00
0819,6,6,100.00
0820,5,6,83.33
0821,5,6,83.33
0822,4,6,66.67
0823,4,6,66.67
0824,5,6,83.33
0825,5,6,83.33
0826,5,6,83.33
0827,4,6,66.67
0828,4,6,66.67
0829,6,6,100.00
0830,6,6,100.00
0831,4,6,66.67
0901,4,6,66.67
0902,5,6,83.33
0903,6,6,100.00
0904,6,6,100.00
0905,6,6,100.00
0906,4,7,57.14
0907,6,7,85.71
0908,6,7,85.71
0909,4,7,57.14
0910,4,7,57.14
0911,4,7,57.14
0912,5,7,71.43
0913,7,7,100.00
0914,6,7,85.71
0915,4,7,57.14
0916,4,7,57.14
0917,5,6,83.33
0918,6,6,100.00
0919,6,6,100.00
0920,3,6,50.00
0921,4,6,66.67
0922,3,7,42.86
0923,4,7,57.14
0924,5,7,71.43
0925,4,7,57.14
0926,4,7,57.14
0927,2,7,28.57
0928,3,7,42.86
0929,3,7,42.86
0930,3,7,42.86
1001,2,7,28.57
1002,3,7,42.86
1003,3,7,42.86
1004,3,7,42.86
1005,2,7,28.57
1006,1,7,14.29
1007,4,7,57.14
1008,5,7,71.43
1009,3,7,42.86
1010,4,7,57.14
1011,5,7,71.43
1012,4,7,57.14
1013,5,7,71.43
1014,4,7,57.14
1015,5,7,71.43
1016,6,7,85.71
1017,4,7,57.14
1018,3,7,42.86
1019,2,7,28.57
1020,2,7,28.57
1021,1,7,14.29
1022,1,7,14.29
1023,2,7,28.57
1024,4,7,57.14
1025,3,7,42.86
1026,1,7,14.29
1027,1,7,14.29
1028,4,7,57.14
1029,2,6,33.33
1030,1,6,16.67
1031,2,6,33.33
1101,4,6,66.67
1102,3,6,50.00
1103,2,6,33.33
1104,1,6,16.67
1105,1,6,16.67
1106,1,6,16.67
1107,1,6,16.67
1108,0,6,0.00
1109,1,6,16.67
1110,2,6,33.33
1111,0,6,0.00
1112,0,6,0.00
1113,0,6,0.00
1114,1,6,16.67
1115,1,6,16.67
1116,3,6,50.00
1117,1,6,16.67
1118,1,6,16.67
1119,2,6,33.33
1120,2,6,33.33
1121,1,6,16.67
1122,1,6,16.67
1123,1,6,16.67
1124,1,6,16.67
1125,1,6,16.67
1126,0,6,0.00
1127,1,6,16.67
1128,0,6,0.00
1129,1,6,16.67
1130,1,6,16.67
1201,0,6,0.00
1202,0,6,0.00
1203,1,6,16.67
1204,0,6,0.00
1205,0,6,0.00
1206,0,6,0.00
1207,0,6,0.00
1208,1,7,14.29
1209,1,7,14.29
1210,2,7,28.57
1211,0,7,0.00
1212,0,7,0.00
1213,0,7,0.00
1214,0,7,0.00
1215,0,7,0.00
1216,0,7,0.00
1217,0,7,0.00
1218,0,7,0.00
1219,0,7,0.00
1220,2,7,28.57
1221,0,7,0.00
1222,1,7,14.29
1223,1,7,14.29
1224,0,7,0.00
1225,0,7,0.00
1226,0,7,0.00
1227,0,7,0.00
1228,0,7,0.00
1229,0,7,0.00
1230,0,7,0.00
1231,0,7,0.00
