OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2014082220,1,1
2014082520,1,1
2014092605,1,1
2014092623,1,1
2014101517,1,1
2014101518,1,2
2014101519,1,3
2014101520,4,4
2014101521,1,5
2014101523,2,1
2014101600,2,2
2014101601,2,3
2014102113,2,1
2014102114,4,2
2014102600,1,1
2014102603,3,1
2014102604,4,2
2014102605,6,3
2014102606,5,4
2014102607,6,5
2014102608,5,6
2014102609,5,7
2014103119,1,1
2014103120,1,2
2014110119,3,1
2014110120,4,2
2014110121,2,3
2014110123,3,1
2014110200,6,2
2014110201,2,3
2014111005,1,1
2014112221,1,1
2014112919,3,1
2014112920,5,2
2014112921,4,3
2014112922,3,4
2014112923,1,5
2014113003,1,1
2014113004,4,2
2014113005,3,3
2014120409,1,1
2014121309,2,1
2014121310,1,2
2014122202,1,1
2014122203,1,2
2014122301,1,1
2014122507,1,1
2015020521,1,1
2015020522,2,2
2015020603,1,1
2015020915,5,1
2015020916,4,2
2015020917,6,3
2015030300,4,1
2015030301,1,2
2015031121,3,1
2015031122,1,2
2015031201,1,1
2015031203,1,1
2015031718,1,1
2015031719,3,2
2015033120,3,1
2015033121,3,2
2015033122,4,3
2015033123,2,4
2015040100,1,5
2015040101,1,6
2015040102,1,7
2015040421,2,1
2015040422,1,2
2015040423,1,3
2015040519,2,1
2015040520,5,2
2015040521,5,3
2015040522,6,4
2015040523,5,5
2015040600,3,6
2015040601,2,7
2015040602,6,8
2015040603,4,9
2015040604,2,10
2015040606,2,1
2015040607,1,2
2015040608,4,3
2015040609,5,4
2015040610,4,5
2015040611,3,6
2015040616,1,1
2015040617,1,2
2015040723,2,1
2015040800,2,2
2015040801,4,3
2015040808,1,1
2015040809,2,2
2015040811,1,1
2015040812,2,2
2015040813,1,3
2015041412,3,1
2015041414,3,1
2015041415,2,2
2015041416,1,3
2015041418,1,1
2015041419,4,2
2015041420,6,3
2015041421,2,4
2015042503,1,1
2015050219,1,1
2015050220,1,2
2015050221,3,3
2015050222,1,4
2015050702,1,1
2015051222,1,1
2015051306,1,1
2015051307,1,2
2015051322,1,1
2015051401,1,1
2015051402,2,2
2015051503,1,1
2015060116,1,1
2015060120,1,1
2015060121,2,2
2015060122,6,3
2015060123,6,4
2015060200,6,5
2015060201,1,6
