OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2014082220,2,1
2014082221,1,2
2014082222,1,3
2014082223,1,4
2014082421,1,1
2014082505,2,1
2014082520,4,1
2014082521,1,2
2014082923,2,1
2014083018,2,1
2014083022,1,1
2014083023,1,2
2014090218,1,1
2014090220,1,1
2014090222,1,1
2014090319,2,1
2014090621,1,1
2014090702,2,1
2014090704,1,1
2014090723,1,1
2014090808,2,1
2014090823,2,1
2014091821,1,1
2014091823,2,1
2014092522,1,1
2014092523,1,2
2014092605,4,1
2014092615,1,1
2014092623,2,1
2014092704,1,1
2014092706,1,1
2014092710,1,1
2014101209,2,1
2014101210,4,2
2014101211,2,3
2014101212,5,4
2014101213,1,5
2014101508,1,1
2014101511,1,1
2014101512,3,2
2014101514,3,1
2014101515,2,2
2014101516,2,3
2014101517,3,4
2014101518,5,5
2014101519,5,6
2014101520,6,7
2014101521,4,8
2014101522,5,9
2014101523,6,10
2014101600,6,11
2014101601,3,12
2014102109,2,1
2014102110,4,2
2014102111,1,3
2014102112,4,4
2014102113,5,5
2014102114,6,6
2014102115,3,7
2014102116,2,8
2014102117,4,9
2014102321,3,1
2014102421,1,1
2014102520,4,1
2014102521,1,2
2014102522,2,3
2014102523,2,4
2014102600,2,5
2014102601,1,6
2014102602,3,7
2014102603,6,8
2014102604,6,9
2014102605,6,10
2014102606,5,11
2014102607,6,12
2014102608,5,13
2014102609,6,14
2014102610,3,15
2014103119,5,1
2014103120,4,2
2014103121,3,3
2014103122,3,4
2014110100,1,1
2014110118,4,1
2014110119,6,2
2014110120,6,3
2014110121,4,4
2014110122,5,5
2014110123,6,6
2014110200,6,7
2014110201,6,8
2014110202,6,9
2014110203,4,10
2014111004,1,1
2014111005,5,2
2014111010,3,1
2014111011,2,2
2014111012,2,3
2014111013,1,4
2014111014,1,5
2014111418,2,1
2014111419,1,2
2014111506,2,1
2014111508,1,1
2014112211,1,1
2014112214,1,1
2014112217,1,1
2014112221,4,1
2014112222,5,2
2014112223,1,3
2014112300,1,4
2014112307,3,1
2014112308,3,2
2014112309,2,3
2014112310,1,4
2014112312,2,1
2014112413,4,1
2014112414,4,2
2014112914,4,1
2014112915,1,2
2014112918,1,1
2014112919,5,2
2014112920,6,3
2014112921,6,4
2014112922,6,5
2014112923,5,6
2014113000,4,7
2014113001,1,8
2014113002,2,9
2014113003,3,10
2014113004,5,11
2014113005,6,12
2014113006,4,13
2014113007,6,14
2014113008,5,15
2014113009,1,16
2014120407,2,1
2014120408,4,2
2014120409,4,3
