OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2014081806,2,1
2014081807,5,2
2014081808,6,3
2014081809,2,4
2014081811,1,1
2014081812,2,2
2014081816,5,1
2014081817,6,2
2014081818,6,3
2014081819,6,4
2014081820,6,5
2014081821,6,6
2014081822,6,7
2014081823,6,8
2014081900,6,9
2014081901,4,10
2014082219,3,1
2014082220,5,2
2014082822,2,1
2014082823,4,2
2014082900,3,3
2014082917,2,1
2014082918,3,2
2014082919,6,3
2014082920,6,4
2014082921,6,5
2014082922,6,6
2014082923,6,7
2014083000,3,8
2014083018,4,1
2014083022,5,1
2014083023,6,2
2014083100,4,3
2014090100,4,1
2014090101,1,2
2014090119,1,1
2014090120,4,2
2014090121,6,3
2014090122,6,4
2014090123,6,5
2014090200,5,6
2014090201,1,7
2014090216,3,1
2014090217,6,2
2014090218,5,3
2014090219,5,4
2014090220,5,5
2014090221,6,6
2014090222,6,7
2014090223,6,8
2014090300,6,9
2014090301,1,10
2014090307,1,1
2014090308,1,2
2014090309,2,3
2014090315,1,1
2014090316,5,2
2014090317,6,3
2014090318,6,4
2014090319,6,5
2014090320,6,6
2014090321,6,7
2014090322,6,8
2014090323,6,9
2014090400,6,10
2014090401,2,11
2014090418,2,1
2014090419,6,2
2014090420,6,3
2014090421,6,4
2014090422,6,5
2014090423,6,6
2014090500,6,7
2014090501,1,8
2014090519,3,1
2014090520,6,2
2014090521,6,3
2014090522,3,4
2014090600,1,1
2014090620,5,1
2014090621,2,2
2014090622,5,3
2014090623,6,4
2014090700,1,5
2014090716,2,1
2014090717,6,2
2014090718,6,3
2014090719,6,4
2014090720,6,5
2014090721,6,6
2014090722,6,7
2014090723,6,8
2014090800,6,9
2014091120,1,1
2014091123,1,1
2014091317,4,1
2014091318,6,2
2014091319,6,3
2014091320,6,4
2014091321,6,5
2014091322,6,6
2014091323,6,7
2014091400,1,8
2014091416,2,1
2014091417,6,2
2014091418,6,3
2014091419,6,4
2014091420,6,5
2014091421,6,6
2014091422,6,7
2014091423,6,8
2014091516,4,1
2014091517,6,2
2014091518,4,3
2014091519,6,4
2014091520,6,5
2014091521,6,6
2014091522,6,7
2014091523,6,8
2014091600,1,9
2014091616,3,1
2014091617,6,2
2014091618,5,3
2014091619,5,4
2014091620,6,5
2014091621,5,6
2014091622,5,7
2014091623,6,8
2014091700,5,9
2014091716,1,1
2014091717,5,2
2014091718,5,3
2014091719,6,4
2014091720,5,5
2014091721,6,6
2014091722,6,7
2014091723,6,8
2014091800,6,9
2014091801,2,10
2014091819,5,1
2014091820,6,2
2014091821,6,3
2014091822,5,4
2014091823,6,5
2014091900,6,6
2014091901,6,7
2014092016,1,1
2014092417,4,1
2014092418,3,2
2014092419,6,3
2014092420,6,4
2014092421,4,5
2014092422,6,6
2014092423,5,7
2014092516,1,1
2014092517,6,2
2014092518,6,3
2014092519,5,4
2014092520,6,5
2014092521,6,6
2014092522,6,7
2014092523,6,8
2014092600,6,9
2014092601,3,10
2014092605,5,1
2014092606,5,2
2014092619,4,1
2014092620,6,2
2014092621,6,3
2014092622,5,4
2014100320,1,1
2014100321,1,2
2014100721,3,1
2014100722,6,2
2014100817,2,1
2014100818,4,2
2014100819,4,3
2014100820,6,4
2014100821,6,5
2014100822,5,6
2014100823,3,7
2014100922,6,1
2014100923,1,2
2014101119,5,1
2014101120,5,2
2014101121,3,3
2014101122,6,4
2014101123,2,5
2014101206,2,1
2014101207,2,2
2014101319,2,1
2014101320,5,2
2014101321,2,3
2014101420,1,1
2014101421,2,2
2014101500,1,1
2014101501,2,2
2014101502,3,3
2014101503,5,4
2014101504,1,5
2014101505,3,6
2014101507,4,1
2014101508,6,2
2014101509,6,3
2014101510,6,4
2014101511,6,5
2014101512,6,6
2014101513,6,7
2014101514,6,8
2014101515,6,9
2014101516,6,10
2014101517,5,11
2014101518,6,12
2014101519,6,13
2014101520,6,14
2014101521,6,15
2014101522,5,16
2014101523,6,17
2014101600,6,18
2014101601,5,19
2014101602,2,20
2014101717,2,1
2014101718,5,2
2014101719,2,3
2014101720,1,4
2014101817,1,1
2014101818,1,2
2014101919,1,1
2014102019,6,1
2014102020,6,2
2014102021,6,3
2014102022,5,4
2014102317,4,1
2014102318,6,2
2014102319,5,3
2014102320,6,4
2014102321,6,5
2014102322,6,6
2014102323,6,7
2014102417,3,1
2014102418,6,2
2014102419,5,3
2014102420,6,4
2014102421,6,5
2014102422,5,6
2014102423,6,7
2014102500,1,8
2014102511,1,1
2014102517,4,1
2014102518,6,2
2014102519,6,3
2014102520,6,4
2014102521,6,5
2014102522,6,6
2014102523,6,7
2014102600,6,8
2014102601,6,9
2014102602,2,10
2014102621,1,1
2014102720,2,1
2014102721,3,2
2014102817,1,1
2014102818,3,2
2014102819,4,3
2014102820,6,4
2014102821,6,5
2014102822,3,6
2014102901,3,1
2014102902,6,2
2014102903,6,3
2014102904,6,4
2014102905,6,5
2014102906,4,6
2014102907,1,7
2014102918,1,1
2014102919,6,2
2014102920,5,3
2014102921,5,4
2014103018,2,1
2014103019,5,2
2014103020,6,3
2014103021,4,4
2014103106,5,1
2014103107,6,2
2014103108,4,3
2014103109,2,4
2014103110,3,5
2014103111,3,6
2014103116,5,1
2014103117,6,2
2014103118,6,3
2014103119,6,4
2014103120,6,5
2014103121,5,6
2014103122,6,7
2014103123,6,8
2014110100,6,9
2014110101,6,10
2014110103,5,1
2014110104,4,2
2014110105,6,3
2014110106,5,4
2014110107,5,5
2014110108,4,6
2014110109,3,7
2014110110,6,8
2014110111,5,9
2014110112,1,10
2014110113,1,11
2014110114,4,12
2014110115,6,13
2014110116,6,14
2014110117,3,15
2014110118,4,16
2014110201,2,1
2014110921,1,1
2014110922,3,2
2014110923,1,3
2014111004,4,1
2014111005,6,2
2014111006,6,3
2014112017,3,1
2014112018,2,2
2014112214,2,1
2014112820,2,1
2014112821,3,2
2014112822,1,3
2014112903,1,1
2014112904,4,2
2014112905,5,3
2014112906,6,4
2014112907,4,5
2014112908,2,6
2014112909,5,7
2014112910,5,8
2014112911,5,9
2014112912,5,10
2014112913,4,11
2014112914,6,12
2014112915,6,13
2014112916,3,14
2014112917,6,15
2014112918,6,16
2014112919,5,17
2014112920,6,18
2014112921,6,19
2014112922,6,20
2014112923,5,21
2014113000,5,22
2014113001,5,23
2014113002,6,24
2014113003,6,25
2014113004,5,26
2014113005,6,27
2014113006,4,28
2014113007,6,29
2014113008,6,30
2014113009,6,31
2014113010,2,32
2014121117,2,1
2014121119,5,1
2014121120,3,2
2014121217,2,1
2014121220,1,1
2015020519,3,1
2015020520,4,2
2015020521,6,3
2015020522,6,4
2015020523,6,5
2015020600,6,6
2015020601,5,7
2015020602,3,8
2015020603,6,9
2015020604,6,10
2015020605,2,11
2015020617,2,1
2015020618,6,2
2015020619,6,3
2015020620,6,4
2015020621,6,5
2015020622,6,6
2015020623,6,7
2015020700,6,8
2015020701,3,9
2015020703,3,1
2015020704,6,2
2015020705,6,3
2015020706,6,4
2015020707,6,5
2015020708,6,6
2015020709,5,7
2015020710,6,8
2015020711,6,9
2015020712,4,10
2015020713,6,11
2015020714,6,12
2015020715,6,13
2015020716,2,14
2015020717,6,15
2015020718,6,16
2015020719,6,17
2015020720,6,18
2015020721,6,19
2015020722,6,20
2015020723,2,21
2015021319,4,1
2015021320,3,2
2015021321,4,3
2015021405,1,1
2015021406,2,2
2015021408,1,1
2015021409,6,2
2015021410,6,3
2015021411,4,4
2015021412,3,5
2015021413,6,6
2015021414,6,7
2015021415,6,8
2015021416,4,9
2015021417,4,10
2015021418,6,11
2015021419,5,12
2015021718,2,1
2015021719,4,2
2015021720,6,3
2015021721,6,4
2015021722,6,5
2015021723,6,6
2015021818,4,1
2015021819,6,2
2015021820,6,3
2015021821,6,4
2015021822,5,5
2015021918,3,1
2015021919,5,2
2015021920,6,3
2015021921,6,4
2015021922,6,5
2015021923,3,6
2015022417,4,1
2015022418,6,2
2015022419,6,3
2015022420,6,4
2015022421,6,5
2015022422,6,6
2015022423,4,7
2015022500,1,8
2015022519,2,1
2015022522,1,1
2015030619,4,1
2015030620,6,2
2015030621,6,3
2015030622,6,4
2015030623,3,5
2015030722,1,1
2015030723,3,2
2015030819,5,1
2015030820,6,2
2015030821,6,3
2015030822,6,4
2015030918,5,1
2015030919,6,2
2015030920,6,3
2015030921,6,4
2015030922,6,5
2015030923,3,6
2015031015,1,1
2015031016,6,2
2015031017,6,3
2015031018,6,4
2015031019,6,5
2015031020,6,6
2015031021,6,7
2015031022,6,8
2015031023,6,9
2015031100,3,10
2015031109,6,1
2015031110,6,2
2015031111,4,3
2015031112,4,4
2015031113,4,5
2015031115,3,1
2015031116,3,2
2015031117,2,3
2015031118,1,4
2015031119,4,5
2015031120,6,6
2015031121,6,7
2015031122,6,8
2015031123,6,9
2015031200,6,10
2015031201,6,11
2015031202,5,12
2015031203,6,13
2015031204,1,14
2015031417,4,1
2015031418,6,2
2015031419,6,3
2015031420,6,4
2015031421,6,5
2015031422,6,6
2015031423,5,7
2015031500,1,8
2015031517,6,1
2015031518,6,2
2015031519,6,3
2015031520,6,4
2015031521,6,5
2015031522,6,6
2015031523,5,7
2015031617,2,1
2015031618,6,2
2015031619,6,3
2015031620,6,4
2015031621,6,5
2015031622,6,6
2015031623,5,7
2015031700,2,8
2015031716,1,1
2015031717,6,2
2015031718,6,3
2015031719,6,4
2015031720,6,5
2015031721,6,6
2015031722,6,7
2015031723,6,8
2015031800,5,9
2015032015,5,1
2015032016,5,2
2015032017,6,3
2015032018,6,4
2015032019,6,5
2015032020,6,6
2015032021,6,7
2015032022,6,8
2015032023,6,9
2015032100,5,10
2015032108,3,1
2015032109,4,2
2015032110,6,3
2015032111,3,4
2015032112,1,5
2015032113,1,6
2015032116,4,1
2015032117,6,2
2015032118,6,3
2015032119,6,4
2015032120,6,5
2015032121,6,6
2015032122,6,7
2015032123,6,8
2015032200,5,9
2015032216,2,1
2015032217,6,2
2015032218,6,3
2015032219,6,4
2015032220,6,5
2015032221,6,6
2015032222,6,7
2015032223,6,8
2015032300,2,9
2015032721,6,1
2015032722,6,2
2015032723,6,3
2015032800,2,4
2015032816,4,1
2015032817,6,2
2015032818,6,3
2015032819,6,4
2015032820,6,5
2015032821,6,6
2015032822,6,7
2015032823,6,8
2015032900,6,9
2015032901,3,10
2015032915,1,1
2015032916,5,2
2015032917,6,3
2015032918,6,4
2015032919,6,5
2015032920,6,6
2015032921,6,7
2015032922,6,8
2015032923,6,9
2015033000,6,10
2015033001,2,11
2015033016,4,1
2015033017,6,2
2015033018,6,3
2015033019,6,4
2015033020,6,5
2015033021,6,6
2015033022,6,7
2015033023,6,8
2015033100,6,9
2015033101,1,10
2015033103,1,1
2015033116,4,1
2015033117,6,2
2015033118,6,3
2015033119,6,4
2015033120,6,5
2015033121,6,6
2015033122,6,7
2015033123,6,8
2015040100,6,9
2015040101,6,10
2015040102,6,11
2015040103,6,12
2015040104,2,13
2015040121,4,1
2015040122,6,2
2015040123,6,3
2015040200,6,4
2015040201,5,5
2015040203,3,1
2015040204,6,2
2015040205,6,3
2015040206,6,4
2015040207,5,5
2015040208,1,6
2015040209,1,7
2015040221,4,1
2015040222,4,2
2015040223,6,3
2015040300,6,4
2015040301,6,5
2015040302,5,6
2015040315,4,1
2015040316,4,2
2015040317,6,3
2015040318,6,4
2015040319,6,5
2015040320,6,6
2015040321,6,7
2015040322,6,8
2015040323,6,9
2015040400,6,10
2015040401,5,11
2015040402,3,12
2015040403,6,13
2015040404,6,14
2015040405,6,15
2015040406,6,16
2015040407,6,17
2015040408,6,18
2015040409,6,19
2015040410,6,20
2015040411,6,21
2015040412,6,22
2015040413,5,23
2015040414,4,24
2015040415,6,25
2015040416,6,26
2015040417,6,27
2015040418,6,28
2015040419,6,29
2015040420,6,30
2015040421,6,31
2015040422,6,32
2015040423,6,33
