MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,15,0.00
0102,1,14,7.14
0103,0,15,0.00
0104,1,15,6.67
0105,1,15,6.67
0106,0,15,0.00
0107,1,15,6.67
0108,0,15,0.00
0109,0,13,0.00
0110,2,14,14.29
0111,3,14,21.43
0112,2,14,14.29
0113,1,14,7.14
0114,1,14,7.14
0115,0,13,0.00
0116,2,14,14.29
0117,3,14,21.43
0118,1,14,7.14
0119,0,15,0.00
0120,0,13,0.00
0121,1,14,7.14
0122,2,15,13.33
0123,1,15,6.67
0124,0,14,0.00
0125,0,14,0.00
0126,0,14,0.00
0127,1,14,7.14
0128,1,14,7.14
0129,1,14,7.14
0130,0,14,0.00
0131,1,14,7.14
0201,0,14,0.00
0202,0,14,0.00
0203,1,14,7.14
0204,0,14,0.00
0205,1,14,7.14
0206,2,14,14.29
0207,1,14,7.14
0208,2,14,14.29
0209,0,14,0.00
0210,0,14,0.00
0211,0,14,0.00
0212,0,14,0.00
0213,0,14,0.00
0214,1,14,7.14
0215,1,14,7.14
0216,2,14,14.29
0217,2,14,14.29
0218,2,14,14.29
0219,1,14,7.14
0220,1,14,7.14
0221,0,14,0.00
0222,1,14,7.14
0223,1,14,7.14
0224,2,14,14.29
0225,1,14,7.14
0226,2,14,14.29
0227,3,14,21.43
0228,1,14,7.14
0229,0,4,0.00
0301,1,15,6.67
0302,1,15,6.67
0303,1,15,6.67
0304,1,15,6.67
0305,2,15,13.33
0306,3,15,20.00
0307,0,15,0.00
0308,1,15,6.67
0309,0,15,0.00
0310,0,15,0.00
0311,3,15,20.00
0312,1,15,6.67
0313,2,15,13.33
0314,2,15,13.33
0315,0,15,0.00
0316,1,15,6.67
0317,4,14,28.57
0318,4,14,28.57
0319,1,14,7.14
0320,0,14,0.00
0321,1,14,7.14
0322,2,14,14.29
0323,2,14,14.29
0324,0,13,0.00
0325,3,13,23.08
0326,0,13,0.00
0327,1,13,7.69
0328,2,13,15.38
0329,2,14,14.29
0330,1,14,7.14
0331,5,14,35.71
0401,3,14,21.43
0402,1,14,7.14
0403,1,14,7.14
0404,0,14,0.00
0405,1,14,7.14
0406,3,14,21.43
0407,1,14,7.14
0408,1,14,7.14
0409,0,13,0.00
0410,1,13,7.69
0411,3,13,23.08
0412,2,13,15.38
0413,3,13,23.08
0414,2,13,15.38
0415,2,13,15.38
0416,2,13,15.38
0417,1,13,7.69
0418,1,13,7.69
0419,0,13,0.00
0420,0,13,0.00
0421,1,13,7.69
0422,2,13,15.38
0423,1,13,7.69
0424,1,13,7.69
0425,1,13,7.69
0426,1,13,7.69
0427,3,13,23.08
0428,4,13,30.77
0429,5,14,35.71
0430,4,14,28.57
0501,2,14,14.29
0502,1,14,7.14
0503,0,14,0.00
0504,2,14,14.29
0505,2,14,14.29
0506,2,14,14.29
0507,2,14,14.29
0508,2,14,14.29
0509,1,14,7.14
0510,1,14,7.14
0511,1,14,7.14
0512,1,14,7.14
0513,2,14,14.29
0514,2,14,14.29
0515,1,14,7.14
0516,2,14,14.29
0517,1,14,7.14
0518,0,14,0.00
0519,1,14,7.14
0520,2,14,14.29
0521,0,14,0.00
0522,3,14,21.43
0523,3,14,21.43
0524,2,14,14.29
0525,1,14,7.14
0526,2,14,14.29
0527,1,14,7.14
0528,1,14,7.14
0529,1,14,7.14
0530,1,14,7.14
0531,0,14,0.00
0601,0,14,0.00
0602,2,14,14.29
0603,2,14,14.29
0604,0,14,0.00
0605,1,14,7.14
0606,4,14,28.57
0607,3,14,21.43
0608,2,14,14.29
0609,2,14,14.29
0610,6,14,42.86
0611,1,14,7.14
0612,1,14,7.14
0613,1,14,7.14
0614,2,14,14.29
0615,0,14,0.00
0616,2,14,14.29
0617,3,14,21.43
0618,1,14,7.14
0619,2,14,14.29
0620,1,14,7.14
0621,0,13,0.00
0622,1,14,7.14
0623,3,14,21.43
0624,0,14,0.00
0625,2,14,14.29
0626,2,14,14.29
0627,1,14,7.14
0628,1,15,6.67
0629,2,15,13.33
0630,1,15,6.67
