MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,15,0.00
0102,1,14,7.14
0103,0,15,0.00
0104,1,15,6.67
0105,1,15,6.67
0106,0,15,0.00
0107,0,15,0.00
0108,0,15,0.00
0109,1,13,7.69
0110,2,14,14.29
0111,4,14,28.57
0112,1,14,7.14
0113,1,14,7.14
0114,0,14,0.00
0115,0,13,0.00
0116,2,14,14.29
0117,3,14,21.43
0118,2,14,14.29
0119,0,15,0.00
0120,0,13,0.00
0121,1,14,7.14
0122,2,15,13.33
0123,0,15,0.00
0124,0,14,0.00
0125,0,14,0.00
0126,0,14,0.00
0127,1,14,7.14
0128,1,14,7.14
0129,1,14,7.14
0130,1,14,7.14
0131,1,14,7.14
0201,0,14,0.00
0202,1,14,7.14
0203,2,14,14.29
0204,1,14,7.14
0205,1,14,7.14
0206,2,14,14.29
0207,2,14,14.29
0208,1,14,7.14
0209,0,14,0.00
0210,2,14,14.29
0211,0,14,0.00
0212,0,14,0.00
0213,0,14,0.00
0214,1,14,7.14
0215,1,14,7.14
0216,2,14,14.29
0217,3,14,21.43
0218,2,14,14.29
0219,2,14,14.29
0220,2,14,14.29
0221,1,14,7.14
0222,2,14,14.29
0223,1,14,7.14
0224,2,14,14.29
0225,2,14,14.29
0226,3,14,21.43
0227,3,14,21.43
0228,1,14,7.14
0229,1,4,25.00
0301,1,15,6.67
0302,1,15,6.67
0303,2,15,13.33
0304,2,15,13.33
0305,2,15,13.33
0306,5,15,33.33
0307,0,15,0.00
0308,0,15,0.00
0309,0,15,0.00
0310,0,15,0.00
0311,3,15,20.00
0312,1,15,6.67
0313,1,15,6.67
0314,4,15,26.67
0315,1,15,6.67
0316,2,15,13.33
0317,5,14,35.71
0318,3,14,21.43
0319,1,14,7.14
0320,0,14,0.00
0321,2,14,14.29
0322,2,14,14.29
0323,2,14,14.29
0324,1,13,7.69
0325,3,13,23.08
0326,1,13,7.69
0327,1,13,7.69
0328,3,13,23.08
0329,4,14,28.57
0330,1,14,7.14
0331,5,14,35.71
0401,3,14,21.43
0402,3,14,21.43
0403,3,14,21.43
0404,0,14,0.00
0405,2,14,14.29
0406,2,14,14.29
0407,4,14,28.57
0408,1,14,7.14
0409,1,13,7.69
0410,2,13,15.38
0411,3,13,23.08
0412,3,13,23.08
0413,3,13,23.08
0414,3,13,23.08
0415,3,13,23.08
0416,4,13,30.77
0417,2,13,15.38
0418,4,13,30.77
0419,1,13,7.69
0420,0,13,0.00
0421,1,13,7.69
0422,3,13,23.08
0423,5,13,38.46
0424,2,13,15.38
0425,1,13,7.69
0426,1,13,7.69
0427,5,13,38.46
0428,7,13,53.85
0429,4,14,28.57
0430,2,14,14.29
0501,3,14,21.43
0502,2,14,14.29
0503,2,14,14.29
0504,2,14,14.29
0505,1,14,7.14
0506,4,14,28.57
0507,2,14,14.29
0508,3,14,21.43
0509,1,14,7.14
0510,0,14,0.00
0511,0,14,0.00
0512,2,14,14.29
0513,2,14,14.29
0514,2,14,14.29
0515,3,14,21.43
0516,3,14,21.43
0517,2,14,14.29
0518,2,14,14.29
0519,2,14,14.29
0520,3,14,21.43
0521,2,14,14.29
0522,2,14,14.29
0523,3,14,21.43
0524,3,14,21.43
0525,2,14,14.29
0526,3,14,21.43
0527,3,14,21.43
0528,2,14,14.29
0529,2,14,14.29
0530,1,14,7.14
0531,5,14,35.71
0601,4,14,28.57
0602,3,14,21.43
0603,3,14,21.43
0604,1,14,7.14
0605,3,14,21.43
0606,6,14,42.86
0607,2,14,14.29
0608,3,14,21.43
0609,4,14,28.57
0610,7,14,50.00
0611,4,14,28.57
0612,1,14,7.14
0613,4,14,28.57
0614,3,14,21.43
0615,2,14,14.29
0616,3,14,21.43
0617,3,14,21.43
0618,1,14,7.14
0619,6,14,42.86
0620,2,14,14.29
0621,1,13,7.69
0622,2,14,14.29
0623,3,14,21.43
0624,1,14,7.14
0625,2,14,14.29
0626,2,14,14.29
0627,1,14,7.14
0628,2,15,13.33
0629,5,15,33.33
0630,2,15,13.33
