MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,15,6.67
0102,1,14,7.14
0103,1,15,6.67
0104,1,15,6.67
0105,1,15,6.67
0106,0,15,0.00
0107,0,15,0.00
0108,0,15,0.00
0109,0,13,0.00
0110,0,14,0.00
0111,1,14,7.14
0112,0,14,0.00
0113,1,14,7.14
0114,1,14,7.14
0115,1,13,7.69
0116,1,14,7.14
0117,0,14,0.00
0118,1,14,7.14
0119,0,15,0.00
0120,0,13,0.00
0121,0,14,0.00
0122,0,15,0.00
0123,1,15,6.67
0124,0,14,0.00
0125,1,14,7.14
0126,1,14,7.14
0127,1,14,7.14
0128,0,14,0.00
0129,0,14,0.00
0130,0,14,0.00
0131,0,14,0.00
0201,1,14,7.14
0202,0,14,0.00
0203,1,14,7.14
0204,1,14,7.14
0205,0,14,0.00
0206,1,14,7.14
0207,1,14,7.14
0208,0,14,0.00
0209,0,14,0.00
0210,0,14,0.00
0211,0,14,0.00
0212,0,14,0.00
0213,1,14,7.14
0214,2,14,14.29
0215,2,14,14.29
0216,1,14,7.14
0217,1,14,7.14
0218,3,14,21.43
0219,2,14,14.29
0220,1,14,7.14
0221,1,14,7.14
0222,1,14,7.14
0223,0,14,0.00
0224,1,14,7.14
0225,1,14,7.14
0226,0,14,0.00
0227,1,14,7.14
0228,0,14,0.00
0229,0,4,0.00
0301,0,15,0.00
0302,2,15,13.33
0303,3,15,20.00
0304,4,15,26.67
0305,4,15,26.67
0306,5,15,33.33
0307,2,15,13.33
0308,2,15,13.33
0309,4,15,26.67
0310,3,15,20.00
0311,5,15,33.33
0312,3,15,20.00
0313,4,15,26.67
0314,6,15,40.00
0315,6,15,40.00
0316,7,15,46.67
0317,8,14,57.14
0318,5,14,35.71
0319,6,14,42.86
0320,7,14,50.00
0321,6,14,42.86
0322,7,14,50.00
0323,3,14,21.43
0324,2,13,15.38
0325,3,13,23.08
0326,4,13,30.77
0327,5,13,38.46
0328,6,13,46.15
0329,4,14,28.57
0330,4,14,28.57
0331,4,14,28.57
0401,5,14,35.71
0402,3,14,21.43
0403,6,14,42.86
0404,9,14,64.29
0405,7,14,50.00
0406,5,14,35.71
0407,6,14,42.86
0408,8,14,57.14
0409,4,13,30.77
0410,5,13,38.46
0411,7,13,53.85
0412,5,13,38.46
0413,5,13,38.46
0414,7,13,53.85
0415,7,13,53.85
0416,4,13,30.77
0417,5,13,38.46
0418,6,13,46.15
0419,7,13,53.85
0420,6,13,46.15
0421,7,13,53.85
0422,7,13,53.85
0423,7,13,53.85
0424,7,13,53.85
0425,5,13,38.46
0426,4,13,30.77
0427,5,13,38.46
0428,9,13,69.23
0429,9,14,64.29
0430,8,14,57.14
0501,6,14,42.86
0502,7,14,50.00
0503,9,14,64.29
0504,11,14,78.57
0505,10,14,71.43
0506,11,14,78.57
0507,8,14,57.14
0508,7,14,50.00
0509,6,14,42.86
0510,9,14,64.29
0511,8,14,57.14
0512,10,14,71.43
0513,12,14,85.71
0514,11,14,78.57
0515,8,14,57.14
0516,11,14,78.57
0517,9,14,64.29
0518,8,14,57.14
0519,7,14,50.00
0520,6,14,42.86
0521,8,14,57.14
0522,6,14,42.86
0523,5,14,35.71
0524,6,14,42.86
0525,8,14,57.14
0526,8,14,57.14
0527,7,14,50.00
0528,7,14,50.00
0529,7,14,50.00
0530,7,14,50.00
0531,12,14,85.71
0601,12,14,85.71
0602,11,14,78.57
0603,10,14,71.43
0604,11,14,78.57
0605,11,14,78.57
0606,9,14,64.29
0607,8,14,57.14
0608,10,14,71.43
0609,11,14,78.57
0610,11,14,78.57
0611,10,14,71.43
0612,8,14,57.14
0613,10,14,71.43
0614,9,14,64.29
0615,12,14,85.71
0616,12,14,85.71
0617,9,14,64.29
0618,9,14,64.29
0619,11,14,78.57
0620,12,14,85.71
