OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2005112603,1,1
2005112604,1,2
2005112608,1,1
2005112614,2,1
2005112615,2,2
2005112616,2,3
2005112618,2,1
2005112619,3,2
2005112620,3,3
2005112621,4,4
2005112622,3,5
2005112623,1,6
2005112701,3,1
2005112702,1,2
2005112703,1,3
2005113006,1,1
2005113007,4,2
2005113008,3,3
2005113009,2,4
2005113011,1,1
2005113012,2,2
2005113017,1,1
2005120206,2,1
2005120215,1,1
2005120216,2,2
2005120220,1,1
2005120402,1,1
2005120403,1,2
2005120407,1,1
2005120408,3,2
2005120409,3,3
2005120410,2,4
2005120411,3,5
2005120412,3,6
2005120413,3,7
2005120414,3,8
2005120416,1,1
2005120419,1,1
2005120421,1,1
2005120610,2,1
2005120613,1,1
2005120616,1,1
2005120617,2,2
2005120618,4,3
2005120620,3,1
2005121320,4,1
2005121321,4,2
2005121322,3,3
2005121323,2,4
2005122212,1,1
2005122213,1,2
2005122616,1,1
2005122617,2,2
2005122702,1,1
2005122704,1,1
2005122705,1,2
2005122707,1,1
2005122709,2,1
2005122900,1,1
2005122905,2,1
2005122906,4,2
2005122907,4,3
2005122908,3,4
2005122909,4,5
2005122910,4,6
2005122911,2,7
2005122912,1,8
2005122913,1,9
2005122919,2,1
2005122920,3,2
2005122921,1,3
2005123022,1,1
2005123104,1,1
2005123105,1,2
2005123106,1,3
2005123107,2,4
2005123117,2,1
2006010100,1,1
2006010101,2,2
2006010102,3,3
2006010103,1,4
2006010104,1,5
2006010108,4,1
2006010109,4,2
2006010110,4,3
2006010111,4,4
2006010205,1,1
2006010206,3,2
2006010207,3,3
2006010208,3,4
2006010209,2,5
2006010211,2,1
2006010212,3,2
2006010213,3,3
2006010214,4,4
2006010215,3,5
2006010216,2,6
2006010217,3,7
2006010218,2,8
2006010220,1,1
2006010221,2,2
2006010222,3,3
2006010307,3,1
2006010313,1,1
2006010314,2,2
2006010419,1,1
2006010720,2,1
2006010721,1,2
2006010811,4,1
2006010812,3,2
2006010816,2,1
2006010817,1,2
2006010818,1,3
2006011115,1,1
2006011123,2,1
2006011200,1,2
2006011204,1,1
2006011410,1,1
2006011411,1,2
2006011416,3,1
2006011417,3,2
2006011418,3,3
2006011419,3,4
2006011420,2,5
2006011421,3,6
2006011422,3,7
2006011509,1,1
2006011510,2,2
2006011519,1,1
2006011520,1,2
2006011814,1,1
2006011815,2,2
2006011817,2,1
2006011818,2,2
2006012900,2,1
2006012919,1,1
2006013113,1,1
2006013120,1,1
2006020303,1,1
2006020319,1,1
2006020501,2,1
2006020502,4,2
2006020503,3,3
2006020505,1,1
2006020506,2,2
2006020507,2,3
2006020516,1,1
2006021520,1,1
2006021522,2,1
2006021523,3,2
2006021601,2,1
2006022121,1,1
2006022122,1,2
2006022223,1,1
2006022803,1,1
2006022807,1,1
2006022809,1,1
2006022810,1,2
2006022811,2,3
2006022812,2,4
2006022813,1,5
2006022815,1,1
2006022817,2,1
2006022819,2,1
2006022820,3,2
2006030100,3,1
2006030101,1,2
2006030220,2,1
2006030320,1,1
2006030321,1,2
2006030404,2,1
2006030408,3,1
2006030409,3,2
2006030619,1,1
2006030621,1,1
2006030623,1,1
2006030700,2,2
2006030916,1,1
2006030917,2,2
2006030919,2,1
2006030921,1,1
2006031222,1,1
2006031415,3,1
2006031416,4,2
2006031417,3,3
2006031418,4,4
2006031419,4,5
2006031420,2,6
2006031421,2,7
2006031422,3,8
2006031423,1,9
2006031502,1,1
2006031503,1,2
2006031504,2,3
2006031505,2,4
2006031509,1,1
2006031516,2,1
2006031519,1,1
2006031917,1,1
2006070421,1,1
2006070704,1,1
2006070705,1,2
2006071000,3,1
2006071119,2,1
2006071121,1,1
2006071300,1,1
2006071519,1,1
2006071900,1,1
2006072610,1,1
2006072700,2,1
2006072720,1,1
2006073021,1,1
2006073117,1,1
2006080322,1,1
2006080621,1,1
