OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2005112603,1,1
2005112604,1,2
2005112608,1,1
2005112614,1,1
2005112616,1,1
2005112618,1,1
2005112619,2,2
2005112620,2,3
2005112621,3,4
2005112622,2,5
2005112701,1,1
2005112703,1,1
2005113006,1,1
2005113007,4,2
2005113008,1,3
2005113009,1,4
2005113017,1,1
2005120112,1,1
2005120117,2,1
2005120206,2,1
2005120216,1,1
2005120220,1,1
2005120403,1,1
2005120408,1,1
2005120409,2,2
2005120410,1,3
2005120411,3,4
2005120412,2,5
2005120413,2,6
2005120414,3,7
2005120616,1,1
2005120618,2,1
2005120620,1,1
2005121320,4,1
2005121321,4,2
2005121322,2,3
2005121323,1,4
2005122616,1,1
2005122704,1,1
2005122709,1,1
2005122905,2,1
2005122906,3,2
2005122907,3,3
2005122908,3,4
2005122909,4,5
2005122910,3,6
2005122912,1,1
2005122913,1,2
2005122920,2,1
2005122921,1,2
2005123104,3,1
2005123106,2,1
2005123107,1,2
2005123114,1,1
2006010102,2,1
2006010108,4,1
2006010109,4,2
2006010110,4,3
2006010111,3,4
2006010205,1,1
2006010206,3,2
2006010207,1,3
2006010208,2,4
2006010211,1,1
2006010212,3,2
2006010213,2,3
2006010214,3,4
2006010215,1,5
2006010216,2,6
2006010217,1,7
2006010218,1,8
2006010221,2,1
2006010222,3,2
2006010307,3,1
2006010314,1,1
2006010720,1,1
2006010721,1,2
2006010811,3,1
2006010812,1,2
2006010816,1,1
2006010818,1,1
2006011115,1,1
2006011123,2,1
2006011204,2,1
2006011411,1,1
2006011417,2,1
2006011418,2,2
2006011419,3,3
2006011421,1,1
2006011509,1,1
2006011510,1,2
2006011815,2,1
2006011817,1,1
2006011818,1,2
2006012900,1,1
2006020501,2,1
2006020502,3,2
2006020503,1,3
2006020506,1,1
2006020507,2,2
2006021520,1,1
2006021522,1,1
2006021523,2,2
2006022807,1,1
2006022812,1,1
2006022813,1,2
2006022815,1,1
2006022817,1,1
2006022819,2,1
2006022820,3,2
2006030100,3,1
2006030101,1,2
2006030404,1,1
2006030408,3,1
2006030619,1,1
2006030621,2,1
2006030623,1,1
2006030700,2,2
2006030916,1,1
2006030917,1,2
2006031415,3,1
2006031416,4,2
2006031417,3,3
2006031418,4,4
2006031419,2,5
2006031420,1,6
2006031421,3,7
2006031422,2,8
2006031502,1,1
2006031504,1,1
2006031505,1,2
2006031506,1,3
2006031509,1,1
2006070704,1,1
2006070823,1,1
2006071000,2,1
2006071118,1,1
2006071119,1,2
2006071121,1,1
2006071300,1,1
2006071900,1,1
2006072610,1,1
2006072700,2,1
2006073021,1,1
2006073117,1,1
2006080621,1,1
2006080721,2,1
2006080920,1,1
2006081021,1,1
2006081221,1,1
2006081616,1,1
2006081617,3,2
2006082019,1,1
2006082307,1,1
2006082322,2,1
2006082622,1,1
2006083018,1,1
2006083020,2,1
2006083021,1,2
2006083023,1,1
2006083100,1,2
2006091517,1,1
2006091521,1,1
2006091522,1,2
2006091612,1,1
2006091620,1,1
2006092008,1,1
2006092010,1,1
2006092012,2,1
2006100218,1,1
2006100220,2,1
2006100223,1,1
2006100300,2,2
2006100301,1,3
2006100420,1,1
2006100421,1,2
2006100700,1,1
2006102014,1,1
2006102015,3,2
2006102016,2,3
2006102017,1,4
2006102018,2,5
2006102019,1,6
2006102020,2,7
2006102021,2,8
2006102512,1,1
2006102513,2,2
2006102514,2,3
2006102515,3,4
2006102516,2,5
2006103120,1,1
2006111109,1,1
2006111110,3,2
2006111111,4,3
2006111112,2,4
2006111113,3,5
2006111115,1,1
2006111116,1,2
2006111313,2,1
2006111414,3,1
2006111415,4,2
2006111416,4,3
2006111417,3,4
2006111418,4,5
2006111419,1,6
2006111420,1,7
2006111421,1,8
2006112311,2,1
2006112316,2,1
2006112317,4,2
2006112318,4,3
2006112319,4,4
2006112320,2,5
2006112801,1,1
2006112802,2,2
